season_title,episode_num,episode_title,air_date,IMDB_rating,total_votes,desc
Mighty Morphin (Season 1),45,Crystal of Nightmares,2/14/1994,7,439,The rangers have a huge test to prepare for so they go to some cabins in the mountains that Billy's uncle owns to study with no distractions. Bulk and Skull go along without the rangers knowing so that they can cheat off of them. Goldar uses the Crystal of Nightmares on the rangers and Bulk and Skull that make them lose their confidence in themselves. The now frightened rangers refuse to fight ever again and are further disheartened when Zordon tells them that the only way to free themselves of the spell is to destroy the crystal.
Mighty Morphin (Season 1),46,To Flea or Not to Flee,2/15/1994,6.9,435,Jason tries to find the owner of a stray dog while the Rangers try to save Ernie's Gym & Juice Bar from going out of business.
Mighty Morphin (Season 1),47,Reign of the Jellyfish,2/16/1994,6.8,436,Rita determined to prevent future generations from remembering the Power Rangers tries to stop them from burying a time capsule.
Mighty Morphin (Season 1),48,Plague of the Mantis,2/17/1994,7.6,447,Trini struggles to learn praying mantis style kung fu to defeat Rita's latest monster.
Mighty Morphin (Season 1),49,Return of an Old Friend: Part I,2/28/1994,8.3,469,Rita demands the Power Rangers hand over their Power Coins if they ever want to see their parents again.
Mighty Morphin (Season 1),50,Return of an Old Friend: Part II,3/1/1994,8.3,464,With their Power Coins in the hands of the enemy the Rangers have no choice but to turn to Tommy once more for help.
Mighty Morphin (Season 1),51,Grumble Bee,4/28/1994,7,431,Billy gets his first 'B' on a science test giving Rita the idea to send her Grumble Bee to Earth.
Mighty Morphin (Season 1),52,Two Heads Are Better Than One,4/29/1994,6.9,428,"Jason and Tommy are teaching self-defense lessons to mothers in Angel Grove. Rita sees that they work great as a team when they put their heads together so Finster makes a two-headed parrot monster. The rangers are disappointed when they find out that this creature is nearly invincible. Billy reveals that since parrots like fruit that they could use that against it. All but Tommy distracts the monster while he seeks a specific kind of fruit. Furious, Rita sends Putties to steal all the fruit in the area. A desperate Tommy must think quickly to find a solution before ..."
Mighty Morphin (Season 1),53,Fowl Play,5/2/1994,6.9,432,Zack juggles watching over a group of children with battling the Peckster.
Mighty Morphin (Season 1),54,Trick or Treat,5/3/1994,6.8,441,"Kimberly is a contestant on the popular game show ""Trick or Treat"", and Rita sends down another monster to destroy the power rangers."
Mighty Morphin (Season 1),55,Second Chance,5/4/1994,6.7,444,"Jason and Zach help Roger practice for the city soccer team and are finding it difficult to teach the discouraged boy. In an effort to ""help"" Roger, Rita sends the Soccadillo monster to attack them in the park. Meanwhile, Tommy's communicator is taken from him, making it impossible to reach him."
Mighty Morphin (Season 1),56,On Fins and Needles,5/5/1994,7.7,443,The Slippery Shark monster casts a spell over Jason and Tommy causing them to fight amongst each other and they must fight the spell by working as a team.
Mighty Morphin (Season 1),57,Enter... The Lizzinator,5/6/1994,7.6,439,Kimberly helps her younger cousin try out for the Angel Grove Junior High cheerleading team while Rita sends the mighty Lizzinator to Earth.
Mighty Morphin (Season 1),58,Football Season,5/9/1994,6.8,434,"Tommy wants to try out for the football team but knows nothing of it. Ernie teaches Tommy how to play and helps him train for tryouts, but Tommy can't seem to get the hang of it. Rita decides to help him in the form of a monster and some putties that imprison all the rangers but him. Knowing that his powers won't last much longer, he challenges the monster, but to no avail. Zordon tells him what he must to to release the rangers but it's easier said than done."
Mighty Morphin (Season 1),59,Mighty Morphin' Mutants,5/16/1994,7.6,441,"Goldar trains select Putties to fight like the Rangers and gives them badges of darkness to look like and have the same powers as well. However, none are good enough to be the Red Ranger so Commander Crayfish becomes the leader. How can the rangers possibly defeat enemies against which they are perfectly matched?"
Mighty Morphin (Season 1),60,An Oyster Stew,5/23/1994,7.5,443,"Zach is so madly infatuated with Angela that he wants to impress her with a pair of pearl earrings but can't find any that are affordable. Just when he gives up, an unexpected opportunity presents him with exactly what he was looking for. Little does he know that Rita has plans for his date with Angela, especially when the earrings cast a spell on all but Tommy and Zach. Both must face the Oysterizer who shoots acidic goo from his stomach."
Mighty Morphin (Season 2),1,The Mutiny: Part I,7/21/1994,8.1,450,"Lord Zedd is introduced as the new arch-rival of the Power Rangers. Angered by the failure of Rita, he imprisons her in the Dumpster again and sets about defeating the Power Rangers by immobilizing the zords."
Mighty Morphin (Season 2),2,The Mutiny: Part II,7/29/1994,8,449,"The Rangers' problems are further jeopardized when the Tyrannosaurus and the Dragonzords both turn on the Rangers and begin to wreak havoc. Not only this, but Bulk and Skull begin their quest to find out the true identities of the Power Rangers."
Mighty Morphin (Season 2),3,The Mutiny: Part III,8/5/1994,8.1,444,"The Rangers are empowered with new zords, whilst the old ones are sacrificed. However, Tommy has no zord and is no longer a power ranger, and he performs his last duty as the Green Ranger, sending the Dragonzord back to the sea."
Mighty Morphin (Season 2),4,The Wanna-Be Ranger,9/13/1994,7.4,430,"Zordon informs the rangers that he's going to shut down temporarily, leaving Alpha 5 to keep an eye on things. A bored Alpha 5 checks things out and sees a little boy, Dylan, who needs help and goes to the park and befriends him. Lord Zedd takes advantage of the situation to send Primator, a shape-shifting monster, who attacks Alpha 5 and Dylan. Panicking, Alpha 5 orders Dylan to run to safety and turns on his self-destruct sequence so that Primator can't use him to find the Command Center. The Primator sets up some of the rangers so they get attacked by Putties. ..."
Mighty Morphin (Season 2),5,Putty on the Brain,9/14/1994,7.3,424,Lord Zedd casts a spell on the Power Rangers.
Mighty Morphin (Season 2),6,Bloom of Doom,9/17/1994,7.2,430,It's club day at Angel Grove High and Trini and Kimberly each set up a booth at which people can sign up to join their respective clubs. No one joins Kimberly's club; everyone seems to like Trini's which makes Kimberly feel disappointed and a little jealous. Lord Zedd takes advantage of this by casting a spell on her to make her not want to have anything to do with Trini.
Mighty Morphin (Season 2),7,The Green Dream,9/19/1994,7.7,437,Goldar plans to steal Tommy's Green Ranger powers.
Mighty Morphin (Season 2),8,The Power Stealer,9/20/1994,7,417,The Power Rangers use an unusual defense against a vain monster sent by Lord Zedd.
Mighty Morphin (Season 2),9,The Beetle Invasion,9/21/1994,7,415,The Stag Beetle Monster drains Tommy's powers in an attack on Angel Grove.
Mighty Morphin (Season 2),10,Welcome to Venus Island,9/24/1994,7.8,441,Rangers face Monster Venus Fly Traps as they try to rescue Hallie from Lord Zedd's island stronghold.
Mighty Morphin (Season 2),11,The Song of Guitardo,9/26/1994,8,452,Kimberly is the only one who can save the Rangers from a musical spell.
Mighty Morphin (Season 2),12,Green No More: Part I,9/27/1994,8.3,449,"Tommy sees a vision of himself from the future that bears a grim warning. Meanwhile, Lord Zedd plans to get rid of the Green Ranger forever by means of using a monster to drain him of his powers and putting them into a crystal. The monster is more than the rangers can handle; the Green Ranger disappears after they lose in battle. Lord Zedd imprisons them in another dimension and puts up an impermeable energy field around the Command Center. The Green Ranger is taken to the middle of nowhere and stripped of his powers, left utterly defenseless against the monster!"
Mighty Morphin (Season 2),13,Green No More: Part II,9/28/1994,8.3,446,"Goldar taunts Tommy after he loses his powers and is ultimately outsmarted; Tommy escapes and destroys the green crystal holding his powers. The rangers, now free, challenge the monster again and lose. Zordon explains to Tommy how to destroy the monster; is this the Green Ranger's last battle?"
Mighty Morphin (Season 2),14,Missing Green,10/3/1994,7.9,440,"Jason feels responsible for Tommy losing his powers and can't concentrate for the upcoming competition. The rest of the rangers decide to go find Tommy and bring him to make Jason feel better. Goldar waits for them to stop so he can capture them and put them into another dimension to strip them of their powers. Jason must face the Pipebrain monster alone, find the rangers, and rescue them before it's too late."
Mighty Morphin (Season 2),15,Orchestral Maneuvers in the Park,10/4/1994,6.8,415,The Power Rangers must toot their own horns to stop Lord Zedd's Trumpet Top.
Mighty Morphin (Season 2),16,Beauty and the Beast,10/10/1994,7.3,419,Kimberly is captured and transformed into Lord Zedd's evil queen.
Mighty Morphin (Season 2),17,White Light: Part I,10/17/1994,8.2,451,"Kimberly announces exciting news...Tommy's coming back! The rangers are happy but their joy is cut short when Lord Zedd creates the Scaret Sentinel which overpowers them. To make matters worse, Zordon and Alpha 5 disappear without a word!"
Mighty Morphin (Season 2),18,White Light: Part II,10/18/1994,8.3,454,"Billy reveals that Zordon and Alpha 5 are creating a new ranger! The rest of the rangers are unhappy about it because they'd rather have Tommy rejoin the team. They are forced to wait and watch as their beloved city is being destroyed by the Scarlet Sentinel. When Zordon and Alpha 5 finally unveil the newest ranger, the others are in for a shock!"
Mighty Morphin (Season 2),19,Two for One,10/24/1994,7,418,Lord Zedd fashions unfeminine monsters from Kimberly's stolen purse.
Mighty Morphin (Season 2),20,Opposites Attract,10/25/1994,6.9,412,Billy falls head over heels for Kimberly's friend but feels that he's not good enough for her and that they don't have anything in common. He happens to be nearby when the girls take some Girl Scouts for a hike in the woods which is a good thing especially when Lord Zedd makes a monster from one of Billy's gadgets.
Mighty Morphin (Season 2),21,Zedd's Monster Mash,10/28/1994,7.4,423,Tommy faces some real Halloween monsters after he's kidnapped by Goldar.
Mighty Morphin (Season 2),22,The Ninja Encounter: Part I,11/2/1994,6.7,423,"Lord Zedd tries to recruit winners of a Ninja Tournament to his cause, but the Rangers have other plans."
Mighty Morphin (Season 2),23,The Ninja Encounter: Part II,11/3/1994,7.1,419,The Power Rangers attempt to save their young ninja friends from the clutches of Lord Zedd.
Mighty Morphin (Season 2),24,The Ninja Encounter: Part III,11/4/1994,7.2,420,Billy must risk revealing his real identity to save his new ninja friends.
Mighty Morphin (Season 2),25,A Monster of Global Proportions,11/5/1994,5.9,416,Lord Zedd tries to sabotage the first World Teen Summit.
Mighty Morphin (Season 2),26,Zedd Waves,11/7/1994,6.8,415,"Beamcaster controls the minds of Angel Grove's citizens, turning them into Zedd's Zombies."
Mighty Morphin (Season 2),27,The Power Transfer: Part I,11/8/1994,7.2,425,"Jason, Trini, and Zach have been chosen to join a teen peace conference which means that each must pass on his/her powers to another. Lord Zedd casts a spell that makes all of Angel Grove fall into a deep sleep; the rangers must go to retrieve a sword for the power transfer. Rocky, Adam, and Aisha try to break the spell on Angel Grove and are captured by Putties and bound in the park. Lord Zedd and Goldar go and find the rangers and begin to destroy the planet that has what they seek before they can escape!"
Mighty Morphin (Season 2),28,The Power Transfer: Part II,11/9/1994,6.7,427,"Adam craftily tricks the Putties and frees himself, Rocky, and Aisha just in time before they can fall asleep. Meanwhile, the rangers found what they seek and can't remove the sword! Serpentera is on the loose and they are running out of time! They barely make it out in time and make the power transfer. Lord Zedd furiously unleashes a monster but is he too much for them to take especially when Serpentera joins the fray?"
Mighty Morphin (Season 2),29,Goldar's Vice-Versa,11/12/1994,7.4,420,"The rangers organize a Vice-versa Dance, where the girls invite the guys. Adam is unconfident that he will be asked to the dance until a mysterious new girl in town catches his eye, Sabrina. Adam goes out on a date with Sabrina and invites Aiesha along, which Sabrina is not happy about. Sabrina lulls Adam into a false sense of security but Aiesha smells a rat. Meanwhile the other rangers are at the Youth Centre preparing for the dance. They mention to their teacher Ms Abbleby that Adam is out with the new girl Sabrina. Ms Abbleby says there must be some mistake, ..."
Mighty Morphin (Season 2),30,Mirror of Regret,11/14/1994,6.7,410,"Adam takes Sean under his wing in part because he reminds Adam of himself when he was younger. He tries to give him self confidence by personally teaching him martial arts outside of class. Lord Zedd uses Adam's memories of self doubt against him with a special mirror to make him lose confidence in himself. Adam is forced to face his demons from the past, and none of the rangers can help him!"
Mighty Morphin (Season 2),31,When Is a Ranger Not a Ranger?,11/15/1994,7.9,423,"When Lord Zedd turns Adam's kaleidoscope into the ""Scatterbrain"" monster, it attacks Billy, Kimberly, and Tommy: robbing them of their memories -- and their lives -- as POWER RANGERS! When Zordon sends Rocky, Adam, and Aisha, in an attempt to help them, the ""Scatterbrain"" monster attacks them, leaving the fate of the POWER RANGERS -- and the world -- in the unlikely hands of ""Bulk"" & ""Skull"" -- who, through relentless determination, discover the identities of the POWER RANGERS! The ""Scatterbrain"" monster attacks ""Bulk"" & ""Skull"", leaving them without any memories, of ..."
Mighty Morphin (Season 2),32,Rocky Just Wants to Have Fun,11/16/1994,6.3,414,"Rocky just wants to have fun when Lord Zedd casts a spell on him to make him obsessed with goofing off. The rangers are annoyed when he refuses to fight especially when it costs them dearly, leaving Tommy to face the Pachinko monster alone!"
Mighty Morphin (Season 2),33,"Lights, Camera, Action",11/17/1994,5.7,414,"Lord Zedd tries to break into show biz, but the Rangers show him the true meaning of rejection."
Mighty Morphin (Season 2),34,"Where There's Smoke, There's Fire",11/21/1994,6.7,411,Aisha learns the value of being part of a team when all the Rangers are needed to deal with the Flame Head Monster.
Mighty Morphin (Season 2),35,Scavenger Hunt,11/22/1994,6.4,412,Zedd turns the gang's scavenger hunt into a fight for survival.
Mighty Morphin (Season 2),36,The Great Bookala Escape,11/23/1994,4.5,423,"The Rangers try to help Bookala, a friendly alien, return to his planet."
Mighty Morphin (Season 2),37,Forever Friends,11/28/1994,6.8,413,Zedd sends the huge Jaws of Destruction to destroy the Power Rangers.
Mighty Morphin (Season 2),38,A Reel Fish Story,11/29/1994,6.6,410,"Lord Zedd is inspired by Rocky's claim that he's never seen monsters at the lake before to unleash a few monsters to destroy the rangers. To make matters worse, only three of the rangers are able to respond! Worst of all, once the rangers unite against the monsters, Lord Zedd creates another monster upon the city. What will the rangers do now?"
Mighty Morphin (Season 2),39,Rangers Back in Time: Part I,2/4/1995,5.8,417,Lord Zedd casts a spell that turns back the hands of time and turns the Power Rangers into kids! He then unleashes a monster that traps them in a photograph.
Mighty Morphin (Season 2),40,Rangers Back in Time: Part II,2/11/1995,6.6,416,"A young Bulk and Skull are on the run with the picture of the rangers which is exactly what Lord Zedd, Goldar, and the monster are after. Alpha 5 is charged with regaining the picture so that the rangers will be freed. Once released, they must destroy the monster as well as the heavily guarded Rock of Time to undo the spell."
Mighty Morphin (Season 2),41,The Wedding: Part I,2/13/1995,7.4,415,"The rangers are going to Australia just as Lord Zedd is recharging. Rita Repulsa, meanwhile, is back and ready for revenge! She orders Finster to make a potion for Lord Zedd to make him fall in love with her when he awakens. Alpha 5 misses the rangers so much that Zordon suggests that he take a walk; when he returns, he creates havoc for the rangers by tricking them into going to a place where an assortment of monsters from the past attack them. To the rangers' horror, they find that they can't escape, and they are outnumbered and can't use their powers!"
Mighty Morphin (Season 2),42,The Wedding: Part II,2/14/1995,7.4,413,"The rangers are fighting for their lives with no end in sight! They search desperately for a way out but find monsters at every turn. Lord Zedd awakens from his slumber and asks Rita to marry him. Goldar is very unhappy to say the least especially when he's charged with planning the wedding ceremony. The rangers find a way out; Lord Zedd makes some of the monsters gigantic. Alpha 5 sabotages the zords while the rangers are in battle, forcing them to retreat. They teleport out.....only to find themselves back in the theatre from which they had just escaped! Meanwhile ..."
Mighty Morphin (Season 2),43,The Wedding: Part III,2/15/1995,7.5,416,"Everyone on the moon but Goldar is excited as Rita Repulsa and Lord Zedd tie the knot. The rangers hatch a plan to escape again while Rita and Lord Zedd are traveling to Earth to personally destroy them. Goldar sends monsters who eagerly pursue the rangers in attempt to stop them from reaching the Command Center. When they finally get there, Billy fixes Alpha 5 and restores Zordon who reveals that the pursuing monsters are gigantic now and attacking the city. Can the rangers defeat so many at one time?"
Mighty Morphin (Season 2),44,Return of the Green Ranger: Part I,2/20/1995,7.9,435,Rita summons the Wizard of Deception to send the rangers back in time. There's just one thing that stands in their way...the White Ranger. The Wizard casts a spell on Bulk and Skull to obtain something from him to resurrect the Green Ranger! The Wizard finds Tommy; the Green Ranger is reborn unbeknown st to the rangers! Tommy feels ill after a spell was cast on him during battle and goes home to rest. Green Ranger Tommy tricks the other rangers into meeting with him; they are sent back in time to late 18th century Angel Grove finding themselves trapped completely ...
Mighty Morphin (Season 2),45,Return of the Green Ranger: Part II,2/21/1995,8.1,433,"The Green and White rangers engage in battle and are perfectly matched until the Wizard drains the White Ranger of his powers and orders the Green Ranger to bring back Dragonzord to destroy Angel Grove. Back in late 18th century Angel Grove, the rest of the rangers are aided by a girl who helps them escape. The Wizard shows up an casts a spell on some rats, making them human-sized and unleashing them upon Angel Grove. The rangers are horrified at not being able to use their powers and are forced to flee."
Mighty Morphin (Season 2),46,Return of the Green Ranger: Part III,2/22/1995,7.9,433,"The Dragonzord is reawakened and is under the evil influence of the Wizard. Tommy is weakened from having his powers temporarily drained from him and can barely function. The White Tiger zord is no match for the Drafonzord while The White Ranger is in such a state. The Wizard and the Green Ranger corner him; he tricks them into revealing the whereabouts of the rangers. Afterwards, Zordon reveals what must be done to free the rangers. What will the rangers do when there's trouble in both worlds? Can the Green Ranger be defeated? What will become of him?"
