binomial_name,country,continent,group,year_last_seen,threat_AA,threat_BRU,threat_RCD,threat_ISGD,threat_EPM,threat_CC,threat_HID,threat_P,threat_TS,threat_NSM,threat_GE,threat_NA,action_LWP,action_SM,action_LP,action_RM,action_EA,action_NA,red_list_category
Beilschmiedia yangambiensis,Congo,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Benthamia catatiana,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Benthamia nigro-vaginata,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Berlinia hollandii,Nigeria,Africa,Flowering Plant,Before 1900,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct
Betula gynoterminalis,China,Asia,Flowering Plant,1940-1959,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Bidens ruyigiensis,Burundi,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Blepharis reekmansii,Burundi,Africa,Flowering Plant,1980-1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Blotiella coriacea,Tanzania,Africa,Ferns and Allies,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Blutaparon rigidum,Ecuador,South America,Flowering Plant,1900-1919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Breonia membranacea,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Breonia richardsonii,Madagascar,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Brieya latipetala,Angola,Africa,Flowering Plant,1940-1959,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Brighamia insignis,United States,North America,Flowering Plant,2000-2020,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,Extinct in the Wild
Bromus bromoideus,Belgium,Europe,Flowering Plant,1920-1939,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Bromus interruptus,United Kingdom,Europe,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Brugmansia arborea,Peru,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Brugmansia aurea,Colombia,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Brugmansia insignis,Peru,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Brugmansia sanguinea,Peru,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Brugmansia suaveolens,Brazil,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Brugmansia versicolor,Ecuador,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Brugmansia vulcanicola,Colombia,South America,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Bulbophyllum conchophyllum,Indonesia,Oceania,Flowering Plant,1900-1919,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Extinct
Bulbophyllum erythroglossum,Madagascar,Africa,Flowering Plant,1960-1979,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Bulbophyllum hirsutiusculum,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Bulbophyllum minax,Madagascar,Africa,Flowering Plant,1900-1919,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Extinct
Bulbophyllum sanguineum,Madagascar,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Extinct
Bulbophyllum sceliphron,Papua New Guinea,Oceania,Flowering Plant,1980-1999,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,Extinct
Bulbophyllum tampoketsense,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Extinct
Byttneria ivorensis,Côte d'Ivoire,Africa,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Callerya neocaledonica,New Caledonia,Oceania,Flowering Plant,1980-1999,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Camellia amplexicaulis,Viet Nam,Asia,Flowering Plant,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Extinct in the Wild
Campomanesia lundiana,Brazil,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Camptocarpus cornutus,Madagascar,Africa,Flowering Plant,1920-1939,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Canavalia veillonii,New Caledonia,Oceania,Flowering Plant,1980-1999,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Capparis grandidieri,Madagascar,Africa,Flowering Plant,Before 1900,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Capparis lucens,Rwanda,Africa,Flowering Plant,1920-1939,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Casearia quinduensis,Colombia,South America,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Casearia tinifolia,Mauritius,Africa,Flowering Plant,1960-1979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Centaurea pseudoleucolepis,Ukraine,Europe,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Extinct
Centropogon brachysiphoniatus,Ecuador,South America,Flowering Plant,1920-1939,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Ceratostema pensile,Ecuador,South America,Flowering Plant,1940-1959,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cereus estevesii,Brazil,South America,Flowering Plant,2000-2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct in the Wild
Cestrum flavescens,Mexico,North America,Flowering Plant,1960-1979,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Cestrum flavinervium,Mexico,North America,Flowering Plant,1920-1939,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Chassalia coursii,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Chrysophyllum januariense,Brazil,South America,Flowering Plant,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cinnamomum bhamoensis,Myanmar,Asia,Flowering Plant,1900-1919,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Extinct
Cinnamomum englerianum,Papua New Guinea,Oceania,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cinnamomum gracillimum,Indonesia,Oceania,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cinnamomum longipedicellatum,Papua New Guinea,Oceania,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cinnamomum pachypes,Malaysia,Asia,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Cinnamomum petiolatum,Indonesia,Oceania,Flowering Plant,1960-1979,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Cinnamomum rosselianum,Papua New Guinea,Oceania,Flowering Plant,1940-1959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cinnamomum trintaense,Malaysia,Asia,Flowering Plant,Before 1900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Clermontia multiflora,United States,North America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Clitoria andrei,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cloiselia humbertii,Madagascar,Africa,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Cnidoscolus fragrans,Cuba,North America,Flowering Plant,Before 1900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Coffea alleizettii,Madagascar,Africa,Flowering Plant,1960-1979,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct
Coffea decaryana,Madagascar,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Extinct
Coffea heterocalyx,Cameroon,Africa,Flowering Plant,2000-2020,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Coffea leonimontana,Cameroon,Africa,Flowering Plant,1960-1979,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cola mosserayana,Congo,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cola vandersmisseniana,Congo,Africa,Flowering Plant,1940-1959,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Commidendrum gummiferum,"Saint Helena, Ascension and Tristan da Cunha",Africa,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Corypha taliera,India,Asia,Flowering Plant,2000-2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct in the Wild
Costus vinosus,Panama,North America,Flowering Plant,2000-2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Cotula myriophylloides,South Africa,Africa,Flowering Plant,1960-1979,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Extinct
Crudia zeylanica,Sri Lanka,Asia,Flowering Plant,1980-1999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cryosophila williamsii,Honduras,North America,Flowering Plant,1980-1999,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Ctenitis pallatangana,Ecuador,South America,Ferns and Allies,Before 1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cupaniopsis crassivalvis,New Caledonia,Oceania,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Curcuma pygmaea,Viet Nam,Asia,Flowering Plant,2000-2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyanea arborea,United States,North America,Flowering Plant,1920-1939,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea comata,United States,North America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea cylindrocalyx,United States,North America,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea dolichopoda,United States,North America,Flowering Plant,1980-1999,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Extinct
Cyanea eleeleensis,United States,North America,Flowering Plant,1960-1979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyanea giffardii,United States,North America,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea kolekoleensis,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Extinct
Cyanea kuhihewa,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Cyanea linearifolia,United States,North America,Flowering Plant,1940-1959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyanea mauiensis,United States,North America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea minutiflora,United States,North America,Flowering Plant,1900-1919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyanea parvifolia,United States,North America,Flowering Plant,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyanea pinnatifida,United States,North America,Flowering Plant,2000-2020,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct in the Wild
Cyanea pohaku,United States,North America,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea pycnocarpa,United States,North America,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea quercifolia,United States,North America,Flowering Plant,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyanea sessilifolia,United States,North America,Flowering Plant,1940-1959,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Cyanea superba,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Extinct in the Wild
Cycas fugax,Viet Nam,Asia,Cycad,2000-2020,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Cyclophyllum tiebaghiense,New Caledonia,Oceania,Flowering Plant,2000-2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyclosorus burundensis,Burundi,Africa,Ferns and Allies,1960-1979,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cynoglossum lowryanum,Madagascar,Africa,Flowering Plant,1900-1919,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Cynoglossum tsaratananense,Madagascar,Africa,Flowering Plant,1920-1939,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Extinct
Cynometra beddomei,India,Asia,Flowering Plant,Before 1900,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Cynorkis bimaculata,Madagascar,Africa,Flowering Plant,1960-1979,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Extinct
Cynorkis catatii,Madagascar,Africa,Flowering Plant,Before 1900,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Cynorkis marojejyensis,Madagascar,Africa,Flowering Plant,1940-1959,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,Extinct
Cynorkis rolfei,Madagascar,Africa,Flowering Plant,1900-1919,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Cynorkis sylvatica,Madagascar,Africa,Flowering Plant,1940-1959,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Extinct
Cynorkis usambarae,Tanzania,Africa,Flowering Plant,Before 1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyperus chionocephalus,Ethiopia,Africa,Flowering Plant,1920-1939,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyperus multifolius,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Cyperus rockii,United States,North America,Flowering Plant,1900-1919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyphostemma michelii,Burundi,Africa,Flowering Plant,1940-1959,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyrtandra crenata,United States,North America,Flowering Plant,1940-1959,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,Extinct
Cyrtandra olona,United States,North America,Flowering Plant,1900-1919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Cyrtandra waiolani,United States,North America,Flowering Plant,1940-1959,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct in the Wild
Dalea sabinalis,United States,North America,Flowering Plant,1940-1959,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Delilia inelegans,Ecuador,South America,Flowering Plant,Before 1900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Extinct
Delissea niihauensis,United States,North America,Flowering Plant,Before 1900,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Extinct
Delissea rhytidosperma,United States,North America,Flowering Plant,2000-2020,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,Extinct in the Wild
Delissea subcordata,United States,North America,Flowering Plant,1920-1939,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Delissea takeuchii,United States,North America,Flowering Plant,1980-1999,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Extinct
Delissea undulata,United States,North America,Flowering Plant,Before 1900,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Delonix tomentosa,Madagascar,Africa,Flowering Plant,1900-1919,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Extinct
Dendrobium bandaense,Indonesia,Asia,Flowering Plant,1900-1919,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Extinct
Dendrobium brillianum,Indonesia,Oceania,Flowering Plant,1900-1919,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Extinct
