binomial_name,country,continent,group,year_last_seen,red_list_category,action_type,action_taken
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Land & Water Protection,1
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Species Management,0
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Law & Policy,0
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Research & Monitoring,1
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Education & Awareness,0
Adenophorus periens,United States,North America,Ferns and Allies,2000-2020,Extinct,Unknown,0
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Land & Water Protection,0
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Species Management,0
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Law & Policy,0
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Research & Monitoring,0
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Education & Awareness,0
Adiantum lianxianense,China,Asia,Ferns and Allies,2000-2020,Extinct,Unknown,1
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Species Management,0
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Aechmea cymosopaniculata,Venezuela,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,1
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,0
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Aeranthes africana,Zimbabwe,Africa,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,0
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Aeranthes albidiflora,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Unknown,1
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Land & Water Protection,0
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Species Management,0
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Law & Policy,0
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Research & Monitoring,0
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Education & Awareness,0
Aeranthes parkesii,Zimbabwe,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Unknown,1
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Species Management,0
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Aeschynomene ruspoliana,Ethiopia,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Species Management,0
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Aetheolaena hypoleuca,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Species Management,0
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Aetheolaena ledifolia,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Species Management,0
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Aetheolaena pichinchensis,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,Extinct in the Wild,Land & Water Protection,0
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,Extinct in the Wild,Species Management,0
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,Extinct in the Wild,Law & Policy,0
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,Extinct in the Wild,Research & Monitoring,0
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,Extinct in the Wild,Education & Awareness,0
Agave lurida,Mexico,North America,Flowering Plant,2000-2020,Extinct in the Wild,Unknown,1
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Agelanthus guineensis,Guinea,Africa,Flowering Plant,1940-1959,Extinct,Unknown,1
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Species Management,0
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Agelanthus rondensis,Tanzania,Africa,Flowering Plant,1900-1919,Extinct,Unknown,1
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Land & Water Protection,0
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Species Management,0
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Law & Policy,0
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Research & Monitoring,0
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Education & Awareness,0
Alangium circulare,Malaysia,Asia,Flowering Plant,1960-1979,Extinct in the Wild,Unknown,1
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Land & Water Protection,0
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Species Management,0
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Law & Policy,0
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Research & Monitoring,0
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Education & Awareness,0
Albizia verrucosa,Madagascar,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Unknown,1
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Species Management,0
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Albuca nana,South Africa,Africa,Flowering Plant,1900-1919,Extinct,Unknown,1
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Species Management,0
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Alnus henryi,Taiwan,Asia,Flowering Plant,1900-1919,Extinct,Unknown,1
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Land & Water Protection,1
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Species Management,0
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Law & Policy,0
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Research & Monitoring,1
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Education & Awareness,0
Amaranthus brownii,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,0
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Species Management,0
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Ammannia alternifolia,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Unknown,1
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Land & Water Protection,0
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Species Management,0
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Law & Policy,0
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Research & Monitoring,0
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Education & Awareness,0
Amorphophallus lewallei,Burundi,Africa,Flowering Plant,1960-1979,Extinct in the Wild,Unknown,1
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Species Management,0
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Amsinckia marginata,Ecuador,South America,Flowering Plant,1900-1919,Extinct,Unknown,1
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Species Management,0
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Andropogon benthamianus,Ecuador,South America,Flowering Plant,Before 1900,Extinct,Unknown,1
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Species Management,1
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Law & Policy,1
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Angraecopsis dolabriformis,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Unknown,0
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Species Management,1
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Law & Policy,1
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Angraecum astroarche,Sao Tome and Principe,Africa,Flowering Plant,Before 1900,Extinct,Unknown,0
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Angraecum mahavavense,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Unknown,1
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Angraecum muscicolum,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Unknown,1
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Angraecum perhumile,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Unknown,1
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Land & Water Protection,0
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Species Management,0
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Law & Policy,0
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Research & Monitoring,0
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Education & Awareness,0
Angraecum potamophilum,Madagascar,Africa,Flowering Plant,Before 1900,Extinct,Unknown,1
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Land & Water Protection,0
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Species Management,0
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Law & Policy,0
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Research & Monitoring,0
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Education & Awareness,0
Angraecum rigidifolium,Madagascar,Africa,Flowering Plant,1920-1939,Extinct,Unknown,1
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Species Management,0
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Angraecum rubellum,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Unknown,1
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Angraecum serpens,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Unknown,1
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Species Management,0
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Angraecum sterrophyllum,Madagascar,Africa,Flowering Plant,1900-1919,Extinct,Unknown,1
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Species Management,0
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Anisopappus burundiensis,Burundi,Africa,Flowering Plant,1960-1979,Extinct,Unknown,1
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Land & Water Protection,0
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Species Management,0
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Anisophyllea impressinervia,Malaysia,Asia,Flowering Plant,1960-1979,Extinct,Unknown,1
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Land & Water Protection,1
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Species Management,0
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Law & Policy,0
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Research & Monitoring,0
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Education & Awareness,0
Aponogeton dioecus,Madagascar,Africa,Flowering Plant,1960-1979,Extinct,Unknown,0
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,1
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Law & Policy,0
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Research & Monitoring,0
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Education & Awareness,0
Arboa antsingyae,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Unknown,0
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,Extinct,Land & Water Protection,0
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,Extinct,Species Management,0
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,Extinct,Law & Policy,0
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,Extinct,Research & Monitoring,0
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,Extinct,Education & Awareness,0
Argocoffeopsis lemblinii,Côte d'Ivoire,Africa,Flowering Plant,1900-1919,Extinct,Unknown,1
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,Extinct,Land & Water Protection,0
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,Extinct,Species Management,0
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,Extinct,Law & Policy,0
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,Extinct,Research & Monitoring,0
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,Extinct,Education & Awareness,0
Argyroxiphium virescens,United States,North America,Flowering Plant,1980-1999,Extinct,Unknown,1
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Land & Water Protection,0
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Species Management,0
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Law & Policy,0
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Research & Monitoring,0
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Education & Awareness,0
Artemisia kauaiensis,United States,North America,Flowering Plant,2000-2020,Extinct,Unknown,1
Aspidostemon inconspicuus,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Land & Water Protection,0
Aspidostemon inconspicuus,Madagascar,Africa,Flowering Plant,1940-1959,Extinct,Species Management,0
