ori,county,latitude,longitude,state_abbr,state,agency_name,agency_type,is_nibrs,nibrs_start_date
AL0220200,COOSA,32.931445,-86.243482,AL,Alabama,Rockford Police Department,City,TRUE,2021-05-01
AL0220100,COOSA,32.931445,-86.243482,AL,Alabama,Goodwater Police Department,City,TRUE,2020-01-01
AL0220000,COOSA,32.931445,-86.243482,AL,Alabama,Coosa County Sheriff's Office,County,TRUE,2021-09-01
AL0370300,HENRY,31.516978,-85.239971,AL,Alabama,Newville Police Department,City,TRUE,2022-11-01
AL0370000,HENRY,31.516978,-85.239971,AL,Alabama,Henry County Sheriff's Office,County,TRUE,2020-01-01
AL0370100,HENRY,31.516978,-85.239971,AL,Alabama,Abbeville Police Department,City,TRUE,2020-01-01
AL0370200,HENRY,31.35161,-85.34198,AL,Alabama,Headland Police Department,City,TRUE,2020-01-01
AL0400100,LAMAR,33.787085,-88.087431,AL,Alabama,Sulligent Police Department,City,TRUE,2020-01-01
AL0400400,LAMAR,33.787085,-88.087431,AL,Alabama,Millport Police Department,City,TRUE,2020-02-01
AL0400200,LAMAR,33.787085,-88.087431,AL,Alabama,Vernon Police Department,City,TRUE,2020-01-01
AL0400000,LAMAR,33.787085,-88.087431,AL,Alabama,Lamar County Sheriff's Office,County,TRUE,2020-01-01
AL0460700,MACON,32.387027,-85.692887,AL,Alabama,Tuskegee University,University or College,TRUE,2020-11-01
AL0460400,MACON,NA,NA,AL,Alabama,Franklin,NA,TRUE,2021-01-01
AL0460600,MACON,32.387027,-85.692887,AL,Alabama,Shorter Police Department,City,TRUE,2022-01-01
AL0460000,MACON,32.40025,-85.63693,AL,Alabama,Macon County Sheriff's Office,County,TRUE,2021-01-01
AL0460100,MACON,32.436695,-85.69221,AL,Alabama,Tuskegee Police Department,City,TRUE,2020-01-01
AL0530400,PERRY,NA,NA,AL,Alabama,Marion Military Institute,NA,TRUE,2023-01-01
AL0530000,PERRY,32.639005,-87.293827,AL,Alabama,Perry County Sheriff's Office,County,TRUE,2021-05-01
AL0530100,PERRY,32.639005,-87.293827,AL,Alabama,Marion Police Department,City,TRUE,2021-01-01
AL0530200,PERRY,32.639005,-87.293827,AL,Alabama,Uniontown Police Department,City,TRUE,2021-01-01
AL0080100,BLOUNT,33.943935,-86.47508,AL,Alabama,Oneonta Police Department,City,TRUE,2020-01-01
AL0080200,BLOUNT,33.977448,-86.567246,AL,Alabama,Blountsville Police Department,City,TRUE,2021-01-01
AL0080300,BLOUNT,33.977448,-86.567246,AL,Alabama,Cleveland Police Department,City,TRUE,2021-01-01
AL0080400,BLOUNT,33.977448,-86.567246,AL,Alabama,Snead Police Department,City,TRUE,2021-07-01
AL0080000,BLOUNT,33.929085,-86.4896,AL,Alabama,Blount County Sheriff's Office,County,TRUE,2006-01-01
AL0080500,BLOUNT,33.885117,-86.41327,AL,Alabama,Highland Lake Police Department,City,TRUE,2021-01-01
AL0080600,BLOUNT,NA,NA,AL,Alabama,Susan Moore,NA,TRUE,2022-01-01
AL0080800,BLOUNT,NA,NA,AL,Alabama,Hayden,NA,TRUE,2021-01-01
AL0100000,BUTLER,31.751667,-86.681969,AL,Alabama,Butler County Sheriff's Office,County,FALSE,NA
AL0100200,BUTLER,31.751667,-86.681969,AL,Alabama,Georgiana Police Department,City,TRUE,2020-01-01
AL0100100,BUTLER,31.751667,-86.681969,AL,Alabama,Greenville Police Department,City,TRUE,2021-01-01
AL0160400,CLARKE,31.685521,-87.818624,AL,Alabama,Fulton Police Department,City,TRUE,2021-01-01
AL0160000,CLARKE,31.685521,-87.818624,AL,Alabama,Clarke County Sheriff's Office,County,TRUE,2021-01-01
AL0160100,CLARKE,31.685521,-87.818624,AL,Alabama,Jackson Police Department,City,TRUE,2021-01-01
AL0160200,CLARKE,31.685521,-87.818624,AL,Alabama,Thomasville Police Department,City,TRUE,2021-01-01
AL0160300,CLARKE,31.685521,-87.818624,AL,Alabama,Grove Hill Police Department,City,TRUE,2021-01-01
AL0160600,CLARKE,31.685521,-87.818624,AL,Alabama,Coffeeville Police Department,City,TRUE,2021-02-01
AL0190100,COFFEE,31.402258,-85.989602,AL,Alabama,Elba Police Department,City,TRUE,2020-07-01
AL0190000,COFFEE,31.402258,-85.989602,AL,Alabama,Coffee County Sheriff's Office,County,TRUE,2020-02-01
AL0190300,COFFEE,31.402258,-85.989602,AL,Alabama,New Brockton Police Department,City,TRUE,2021-09-01
AL0190400,COFFEE,31.402258,-85.989602,AL,Alabama,Kinston Police Department,City,TRUE,2021-01-01
AL0190500,COFFEE,31.402258,-85.989602,AL,Alabama,Enterprise State Junior College,University or College,TRUE,2021-02-01
AL0270100,DALLAS,32.33354,-87.114356,AL,Alabama,Selma Police Department,City,TRUE,2021-03-01
AL0270000,DALLAS,32.33354,-87.114356,AL,Alabama,Dallas County Sheriff's Office,County,TRUE,2020-01-01
AL0270200,DALLAS,32.33354,-87.114356,AL,Alabama,Wallace Community College: Selma,University or College,FALSE,NA
AL0281100,DEKALB,34.460929,-85.803992,AL,Alabama,Fyffe Police Department,City,TRUE,2021-01-01
AL0281000,DEKALB,34.460929,-85.803992,AL,Alabama,Crossville Police Department,City,TRUE,2020-01-01
AL0280800,DEKALB,34.57885,-85.62933,AL,Alabama,Hammondville Police Department,City,TRUE,2021-06-01
AL0280700,DEKALB,34.460929,-85.803992,AL,Alabama,Rainsville Police Department,City,TRUE,2020-01-01
AL0280600,DEKALB,34.460929,-85.803992,AL,Alabama,Mentone Police Department,City,TRUE,2021-02-01
AL0280500,DEKALB,34.460929,-85.803992,AL,Alabama,Powell Police Department,City,TRUE,2020-01-01
AL0280400,DEKALB,34.460929,-85.803992,AL,Alabama,Henagar Police Department,City,TRUE,2020-01-01
AL0280300,DEKALB,34.460929,-85.803992,AL,Alabama,Geraldine Police Department,City,TRUE,2020-01-01
AL0280000,DEKALB,34.460929,-85.803992,AL,Alabama,DeKalb County Sheriff's Office,County,TRUE,2020-01-01
AL0280100,DEKALB,34.440315,-85.72332,AL,Alabama,Fort Payne Police Department,City,TRUE,2006-01-01
AL0281400,DEKALB,34.460929,-85.803992,AL,Alabama,Ider Police Department,City,TRUE,2020-01-01
AL0281300,DEKALB,34.460929,-85.803992,AL,Alabama,Valley Head Police Department,City,TRUE,2020-02-01
AL0281200,DEKALB,34.460929,-85.803992,AL,Alabama,Sylvania Police Department,City,TRUE,2021-01-01
AL0290100,ELMORE,32.597229,-86.142738,AL,Alabama,Wetumpka Police Department,City,TRUE,2014-10-01
AL0290000,ELMORE,32.597229,-86.142738,AL,Alabama,Elmore County Sheriff's Office,County,TRUE,2017-06-01
AL0290700,ELMORE,NA,NA,AL,Alabama,Central Alabama Drug Task Force,Other,FALSE,NA
AL0290400,ELMORE,32.597229,-86.142738,AL,Alabama,Coosada Police Department,City,TRUE,2020-01-01
AL0290300,ELMORE,32.597229,-86.142738,AL,Alabama,Eclectic Police Department,City,TRUE,2020-05-01
AL0310500,ETOWAH,33.951508,-86.044334,AL,Alabama,Rainbow City Police Department,City,TRUE,2020-12-01
AL0312200,ETOWAH,34.047648,-86.034522,AL,Alabama,Etowah County Drug Enforcement Unit,Other,TRUE,2021-01-01
AL0311000,ETOWAH,34.047648,-86.034522,AL,Alabama,Walnut Grove Police Department,City,TRUE,2021-04-01
AL0310600,ETOWAH,34.047648,-86.034522,AL,Alabama,Hokes Bluff Police Department,City,TRUE,2021-01-01
AL0310200,ETOWAH,34.047648,-86.034522,AL,Alabama,Gadsden Police Department,City,TRUE,2021-01-01
AL0310100,ETOWAH,34.022778,-86.08711,AL,Alabama,Attalla Police Department,City,TRUE,2006-01-01
AL0310000,ETOWAH,34.01584,-86.011925,AL,Alabama,Etowah County Sheriff's Office,County,TRUE,2020-01-01
AL0340200,GENEVA,31.092392,-85.821011,AL,Alabama,Samson Police Department,City,TRUE,2020-01-01
AL0340300,GENEVA,31.092392,-85.821011,AL,Alabama,Hartford Police Department,City,TRUE,2020-11-01
AL0340400,GENEVA,31.092392,-85.821011,AL,Alabama,Slocomb Police Department,City,TRUE,2020-01-01
AL0340000,GENEVA,31.092392,-85.821011,AL,Alabama,Geneva County Sheriff's Office,County,TRUE,2020-01-01
AL0340100,GENEVA,31.092392,-85.821011,AL,Alabama,Geneva Police Department,City,TRUE,2020-01-01
AL0350100,GREENE,32.844497,-87.9642,AL,Alabama,Eutaw Police Department,City,TRUE,2021-05-01
AL0350000,GREENE,32.844497,-87.9642,AL,Alabama,Greene County Sheriff's Office,County,TRUE,2021-01-01
AL0490500,MARION,34.138219,-87.881551,AL,Alabama,Brilliant Police Department,City,TRUE,2020-01-01
AL0490400,MARION,34.138219,-87.881551,AL,Alabama,Hackleburg Police Department,City,TRUE,2020-01-01
AL0490300,MARION,34.138219,-87.881551,AL,Alabama,Guin Police Department,City,TRUE,2020-01-01
AL049015A,MARION,NA,NA,AL,Alabama,District Attorney:,NA,TRUE,2021-03-01
AL0490100,MARION,34.138219,-87.881551,AL,Alabama,Hamilton Police Department,City,TRUE,2020-01-01
AL0490000,MARION,34.138219,-87.881551,AL,Alabama,Marion County Sheriff's Office,County,TRUE,2020-01-01
AL0490700,MARION,34.138219,-87.881551,AL,Alabama,Bear Creek Police Department,City,TRUE,2021-01-01
AL0490800,MARION,NA,NA,AL,Alabama,Marion County Drug Task Force,Other,FALSE,NA
AL0020600,MOBILE,30.684572,-88.196568,AL,Alabama,Bayou La Batre Police Department,City,TRUE,2020-01-01
AL0020700,MOBILE,30.684572,-88.196568,AL,Alabama,Satsuma Police Department,City,TRUE,2020-01-01
AL0020800,MOBILE,30.684572,-88.196568,AL,Alabama,Mount Vernon Police Department,City,TRUE,2020-09-01
AL0021200,MOBILE,30.684572,-88.196568,AL,Alabama,Creola Police Department,City,TRUE,2021-01-01
AL0021300,MOBILE,30.684572,-88.196568,AL,Alabama,Mobile Regional Airport,Other,TRUE,2021-02-01
AL0021400,MOBILE,30.69486,-88.17397,AL,Alabama,University of South Alabama,University or College,TRUE,2020-09-01
AL0021500,MOBILE,30.684572,-88.196568,AL,Alabama,Dauphin Island Police Department,City,TRUE,2020-01-01
AL0021700,MOBILE,30.69399,-88.056145,AL,Alabama,Bishop State Community College,University or College,TRUE,2022-06-01
AL0022200,MOBILE,NA,NA,AL,Alabama,Semmes,NA,TRUE,2022-01-01
AL0020000,MOBILE,30.684572,-88.196568,AL,Alabama,Mobile County Sheriff's Office,County,TRUE,2021-01-01
AL0020100,MOBILE,30.673004,-88.09793,AL,Alabama,Mobile Police Department,City,TRUE,2021-01-01
AL0020200,MOBILE,30.730814,-88.0808,AL,Alabama,Prichard Police Department,City,TRUE,2020-01-01
AL0020300,MOBILE,30.684572,-88.196568,AL,Alabama,Chickasaw Police Department,City,TRUE,2020-01-01
AL0020400,MOBILE,31.089754,-88.22756,AL,Alabama,Citronelle Police Department,City,TRUE,2021-01-01
AL0020500,MOBILE,30.80567,-88.071266,AL,Alabama,Saraland Police Department,City,TRUE,2021-01-01
AL0510100,MONROE,31.580332,-87.383266,AL,Alabama,Monroeville Police Department,City,TRUE,2021-02-01
AL0510200,MONROE,31.580332,-87.383266,AL,Alabama,Frisco City Police Department,City,TRUE,2021-01-01
AL0510400,MONROE,31.580332,-87.383266,AL,Alabama,Excel Police Department,City,TRUE,2020-01-01
AL0510000,MONROE,31.580332,-87.383266,AL,Alabama,Monroe County Sheriff's Office,County,TRUE,2020-01-01
AL052015A,MORGAN,NA,NA,AL,Alabama,District Attorney:,NA,FALSE,NA
AL0520000,MORGAN,34.454484,-86.846402,AL,Alabama,Morgan County Sheriff's Office,County,FALSE,NA
AL0520200,MORGAN,34.442818,-86.940285,AL,Alabama,Hartselle Police Department,City,TRUE,2022-01-01
AL0520400,MORGAN,34.454484,-86.846402,AL,Alabama,Falkville Police Department,City,TRUE,2013-03-01
AL0520600,MORGAN,34.454484,-86.846402,AL,Alabama,Somerville Police Department,City,TRUE,2020-01-01
AL0520900,MORGAN,34.5353,-86.90332,AL,Alabama,Priceville Police Department,City,TRUE,2020-01-01
AL052119E,MORGAN,NA,NA,AL,Alabama,Calhoun Community College,University or College,TRUE,2021-02-01
AL0591100,SHELBY,33.262937,-86.678104,AL,Alabama,University of Montevallo,University or College,TRUE,2020-01-01
AL0590000,SHELBY,33.262937,-86.678104,AL,Alabama,Shelby County Sheriff's Office,County,TRUE,2018-01-01
AL0590200,SHELBY,33.177193,-86.60668,AL,Alabama,Columbiana Police Department,City,TRUE,2006-01-01
AL0590300,SHELBY,33.099293,-86.86463,AL,Alabama,Montevallo Police Department,City,TRUE,2020-01-01
AL0590400,SHELBY,33.24704,-86.81563,AL,Alabama,Alabaster Police Department,City,TRUE,2020-08-01
AL0590600,SHELBY,33.262937,-86.678104,AL,Alabama,Pelham Police Department,City,TRUE,2021-01-01
AL0590900,SHELBY,33.262937,-86.678104,AL,Alabama,Harpersville Police Department,City,TRUE,2020-01-01
AL0600300,SUMTER,32.597481,-88.200057,AL,Alabama,Cuba Police Department,City,TRUE,2022-10-01
AL0600200,SUMTER,32.597481,-88.200057,AL,Alabama,Livingston Police Department,City,TRUE,2009-01-01
AL0600100,SUMTER,32.597481,-88.200057,AL,Alabama,York Police Department,City,TRUE,2021-03-01
AL0600000,SUMTER,32.597481,-88.200057,AL,Alabama,Sumter County Sheriff's Office,County,TRUE,2020-01-01
AL0600500,SUMTER,32.597481,-88.200057,AL,Alabama,University of West Alabama,University or College,TRUE,2021-08-01
AL0640600,WALKER,33.791558,-87.301094,AL,Alabama,Parrish Police Department,City,TRUE,2020-07-01
AL0641100,WALKER,33.791558,-87.301094,AL,Alabama,Bevill State Community College,University or College,FALSE,NA
AL0640400,WALKER,33.738365,-87.08069,AL,Alabama,Dora Police Department,City,TRUE,2020-01-01
AL0640300,WALKER,33.791558,-87.301094,AL,Alabama,Cordova Police Department,City,TRUE,2021-06-01
AL0640200,WALKER,33.791558,-87.301094,AL,Alabama,Carbon Hill Police Department,City,TRUE,2020-01-01
AL0640100,WALKER,33.835384,-87.27464,AL,Alabama,Jasper Police Department,City,TRUE,2006-01-01
AL0640000,WALKER,33.832783,-87.276886,AL,Alabama,Walker County Sheriff's Office,County,TRUE,2020-01-01
AL0660100,WILCOX,31.990372,-87.302216,AL,Alabama,Camden Police Department,City,TRUE,2021-05-01
AL0660200,WILCOX,31.990372,-87.302216,AL,Alabama,Pine Hill Police Department,City,TRUE,2021-01-01
AL0660000,WILCOX,31.990372,-87.302216,AL,Alabama,Wilcox County Sheriff's Office,County,TRUE,2022-10-01
AL0040200,AUTAUGA,32.536382,-86.64449,AL,Alabama,Autaugaville Police Department,City,TRUE,2021-01-01
AL0040000,AUTAUGA,32.4632,-86.47712,AL,Alabama,Autauga County Sheriff's Office,County,TRUE,2021-01-01
AL0050300,BALDWIN,30.659218,-87.746067,AL,Alabama,Foley Police Department,City,TRUE,2013-01-01
AL0050400,BALDWIN,30.659218,-87.746067,AL,Alabama,Gulf Shores Police Department,City,TRUE,2021-02-01
AL0050500,BALDWIN,30.659218,-87.746067,AL,Alabama,Robertsdale Police Department,City,TRUE,2021-01-01
AL0050600,BALDWIN,30.659218,-87.746067,AL,Alabama,Loxley Police Department,City,TRUE,2021-01-01
AL0050700,BALDWIN,30.659218,-87.746067,AL,Alabama,Silverhill Police Department,City,TRUE,2020-01-01
AL0050800,BALDWIN,30.599625,-87.898056,AL,Alabama,Daphne Police Department,City,TRUE,2007-11-01
AL0050900,BALDWIN,30.659218,-87.746067,AL,Alabama,Summerdale Police Department,City,TRUE,2019-01-01
AL0051000,BALDWIN,30.659218,-87.746067,AL,Alabama,Elberta Police Department,City,TRUE,2020-01-01
AL0051100,BALDWIN,30.659218,-87.746067,AL,Alabama,Faulkner State Community College,University or College,TRUE,2020-01-01
AL0051200,BALDWIN,30.659218,-87.746067,AL,Alabama,Orange Beach Police Department,City,TRUE,2021-01-01
AL0051300,BALDWIN,30.659218,-87.746067,AL,Alabama,Spanish Fort Police Department,City,TRUE,2013-08-01
AL0050000,BALDWIN,30.884958,-87.775055,AL,Alabama,Baldwin County Sheriff's Office,County,TRUE,2023-01-01
AL0050100,BALDWIN,30.659218,-87.746067,AL,Alabama,Bay Minette Police Department,City,TRUE,2010-06-01
AL0050200,BALDWIN,30.659218,-87.746067,AL,Alabama,Fairhope Police Department,City,TRUE,2015-11-01
AL0060000,BARBOUR,31.886034,-85.4849,AL,Alabama,Barbour County Sheriff's Office,County,TRUE,2020-01-01
AL0060700,BARBOUR,31.870253,-85.405104,AL,Alabama,Baker Hill Police Department,City,TRUE,2022-07-01
AL0060400,BARBOUR,31.870253,-85.405104,AL,Alabama,Louisville Police Department,City,TRUE,2021-05-01
AL0060300,BARBOUR,31.870253,-85.405104,AL,Alabama,Clio Police Department,City,TRUE,2022-12-01
AL0060200,BARBOUR,31.870253,-85.405104,AL,Alabama,Clayton Police Department,City,TRUE,2020-01-01
AL0060100,BARBOUR,31.870253,-85.405104,AL,Alabama,Eufaula Police Department,City,TRUE,2021-01-01
AL0090000,BULLOCK,32.14111,-85.71614,AL,Alabama,Bullock County Sheriff's Office,County,TRUE,2021-06-01
AL0090100,BULLOCK,32.13935,-85.716125,AL,Alabama,Union Springs Police Department,City,TRUE,2021-02-01
AL0110700,CALHOUN,33.771706,-85.822513,AL,Alabama,Ohatchee Police Department,City,TRUE,2021-01-01
AL0110000,CALHOUN,33.771706,-85.822513,AL,Alabama,Calhoun County Sheriff's Office,County,TRUE,2021-02-01
AL0110100,CALHOUN,33.771706,-85.822513,AL,Alabama,Anniston Police Department,City,TRUE,2021-01-01
AL0110200,CALHOUN,33.813366,-85.76122,AL,Alabama,Jacksonville Police Department,City,TRUE,2021-02-01
AL0110300,CALHOUN,33.771706,-85.822513,AL,Alabama,Piedmont Police Department,City,TRUE,2021-01-01
AL0110400,CALHOUN,33.771706,-85.822513,AL,Alabama,Weaver Police Department,City,TRUE,2020-01-01
AL0110800,CALHOUN,33.798615,-85.761284,AL,Alabama,Jacksonville State University,University or College,TRUE,2010-10-01
AL0140100,CHILTON,32.854051,-86.726607,AL,Alabama,Clanton Police Department,City,TRUE,2010-02-01
AL0140000,CHILTON,32.84005,-86.62905,AL,Alabama,Chilton County Sheriff's Office,County,TRUE,2022-01-01
AL0140400,CHILTON,32.854051,-86.726607,AL,Alabama,Thorsby Police Department,City,TRUE,2021-01-01
AL0140300,CHILTON,32.854051,-86.726607,AL,Alabama,Jemison Police Department,City,TRUE,2012-02-01
AL0140200,CHILTON,32.854051,-86.726607,AL,Alabama,Maplesville Police Department,City,TRUE,2021-01-01
AL0150100,CHOCTAW,31.990997,-88.248908,AL,Alabama,Butler Police Department,City,TRUE,2020-01-01
AL0150000,CHOCTAW,31.990997,-88.248908,AL,Alabama,Choctaw County Sheriff's Office,County,TRUE,2020-01-01
AL0150200,CHOCTAW,31.990997,-88.248908,AL,Alabama,Gilbertown Police Department,City,TRUE,2020-01-01
AL0150300,CHOCTAW,31.990997,-88.248908,AL,Alabama,Pennington Police Department,City,TRUE,2021-01-01
AL0200000,COLBERT,34.73306,-87.70358,AL,Alabama,Colbert County Sheriff's Office,County,TRUE,2020-03-01
AL0200100,COLBERT,34.703112,-87.801457,AL,Alabama,Sheffield Police Department,City,TRUE,2020-01-01
AL020015A,COLBERT,NA,NA,AL,Alabama,District Attorney:,NA,TRUE,2017-07-01
AL0200200,COLBERT,34.703112,-87.801457,AL,Alabama,Tuscumbia Police Department,City,TRUE,2020-01-01
AL0200300,COLBERT,34.703112,-87.801457,AL,Alabama,Muscle Shoals Police Department,City,TRUE,2019-07-01
AL0200400,COLBERT,34.703112,-87.801457,AL,Alabama,Cherokee Police Department,City,TRUE,2020-01-01
AL0200600,COLBERT,34.59297,-87.67472,AL,Alabama,Littleville Police Department,City,TRUE,2021-02-01
AL0200500,COLBERT,34.703112,-87.801457,AL,Alabama,Leighton Police Department,City,TRUE,2021-01-01
AL0210200,CONECUH,31.428292,-86.992029,AL,Alabama,Castleberry Police Department,City,TRUE,2020-01-01
AL0210000,CONECUH,31.435986,-86.95452,AL,Alabama,Conecuh County Sheriff's Office,County,TRUE,2020-01-01
AL0210100,CONECUH,31.428292,-86.992029,AL,Alabama,Evergreen Police Department,City,TRUE,2020-01-01
AL0210300,CONECUH,31.428292,-86.992029,AL,Alabama,Repton Police Department,City,TRUE,2021-08-01
AL0250100,CULLMAN,34.131923,-86.869267,AL,Alabama,Cullman Police Department,City,TRUE,2021-01-01
AL0250500,CULLMAN,NA,NA,AL,Alabama,Wallace State Community College,NA,TRUE,2021-02-01
AL0250000,CULLMAN,34.131923,-86.869267,AL,Alabama,Cullman County Sheriff's Office,County,TRUE,2021-01-01
AL0250200,CULLMAN,34.131923,-86.869267,AL,Alabama,Hanceville Police Department,City,TRUE,2021-01-01
AL0320200,FAYETTE,33.661625,-87.60143,AL,Alabama,Berry Police Department,City,TRUE,2021-05-01
AL0320000,FAYETTE,33.685856,-87.83186,AL,Alabama,Fayette County Sheriff's Office,County,TRUE,2020-01-01
AL0320100,FAYETTE,33.716157,-87.764292,AL,Alabama,Fayette Police Department,City,TRUE,2020-01-01
AL0380400,HOUSTON,31.158193,-85.296398,AL,Alabama,Columbia Police Department,City,TRUE,2020-01-01
AL0381000,HOUSTON,31.158193,-85.296398,AL,Alabama,Webb Police Department,City,FALSE,NA
AL0380800,HOUSTON,31.158193,-85.296398,AL,Alabama,Wallace Community College: Dothan,University or College,FALSE,NA
AL0380700,HOUSTON,NA,NA,AL,Alabama,Dothan-Houston County Airport Authority,NA,TRUE,2021-02-01
AL0380600,HOUSTON,31.298319,-85.344284,AL,Alabama,Kinsey Police Department,City,TRUE,2021-08-01
AL0380500,HOUSTON,31.158193,-85.296398,AL,Alabama,Cottonwood Police Department,City,TRUE,2021-01-01
AL0380300,HOUSTON,31.14179,-85.096176,AL,Alabama,Gordon Police Department,City,TRUE,2021-03-01
AL0380200,HOUSTON,31.158193,-85.296398,AL,Alabama,Ashford Police Department,City,TRUE,2020-01-01
AL0380000,HOUSTON,31.224411,-85.393456,AL,Alabama,Houston County Sheriff's Office,County,TRUE,2006-01-01
AL0390200,JACKSON,34.764095,-85.979956,AL,Alabama,Bridgeport Police Department,City,TRUE,2020-01-01
AL0390700,JACKSON,34.764095,-85.979956,AL,Alabama,Section Police Department,City,FALSE,NA
AL0390500,JACKSON,34.764095,-85.979956,AL,Alabama,Pisgah Police Department,City,TRUE,2021-01-01
AL0390800,JACKSON,34.764095,-85.979956,AL,Alabama,Woodville Police Department,City,FALSE,NA
AL0390900,JACKSON,34.764095,-85.979956,AL,Alabama,Skyline Police Department,City,TRUE,2021-01-01
AL0390300,JACKSON,34.867935,-85.837616,AL,Alabama,Stevenson Police Department,City,TRUE,2021-01-01
AL0390000,JACKSON,34.67283,-86.03464,AL,Alabama,Jackson County Sheriff's Office,County,TRUE,2022-05-01
AL0390400,JACKSON,34.764095,-85.979956,AL,Alabama,Hollywood Police Department,City,TRUE,2010-06-01
AL0390100,JACKSON,34.66247,-86.035,AL,Alabama,Scottsboro Police Department,City,FALSE,NA
AL0450500,LOWNDES,32.147888,-86.650586,AL,Alabama,White Hall Police Department,City,TRUE,2021-01-01
AL0450000,LOWNDES,32.147888,-86.650586,AL,Alabama,Lowndes County Sheriff's Office,County,TRUE,2020-01-01
AL0450100,LOWNDES,32.147888,-86.650586,AL,Alabama,Fort Deposit Police Department,City,TRUE,2020-01-01
AL0450200,LOWNDES,32.147888,-86.650586,AL,Alabama,Hayneville Police Department,City,TRUE,2020-01-01
AL0470900,MADISON,34.764238,-86.55108,AL,Alabama,Huntsville International Airport,Other,TRUE,2021-01-01
AL0471400,MADISON,NA,NA,AL,Alabama,Drake State Community and Technical College,NA,TRUE,2023-04-01
AL0470800,MADISON,34.764238,-86.55108,AL,Alabama,Alabama A&M University,University or College,TRUE,2020-01-01
AL0470700,MADISON,34.72357,-86.64402,AL,Alabama,University of Alabama: Huntsville,University or College,TRUE,2013-02-01
AL0470300,MADISON,34.764238,-86.55108,AL,Alabama,Gurley Police Department,City,TRUE,2021-02-01
AL0470600,MADISON,34.583607,-86.73393,AL,Alabama,Triana Police Department,City,TRUE,2020-01-01
AL0470500,MADISON,34.764238,-86.55108,AL,Alabama,Owens Crossroads Police Department,City,TRUE,2020-01-01
AL0470400,MADISON,34.764238,-86.55108,AL,Alabama,New Hope Police Department,City,TRUE,2020-01-01
AL0470000,MADISON,34.730453,-86.58588,AL,Alabama,Madison County Sheriff's Office,County,TRUE,2022-05-01
AL0480400,MARENGO,32.247591,-87.791091,AL,Alabama,Faunsdale Police Department,City,FALSE,NA
AL0480700,MARENGO,32.247591,-87.791091,AL,Alabama,17th Judicial Circuit Drug Task Force,Other,TRUE,2021-02-01
AL0480000,MARENGO,32.247591,-87.791091,AL,Alabama,Marengo County Sheriff's Office,County,TRUE,2021-01-01
AL0480100,MARENGO,32.247591,-87.791091,AL,Alabama,Demopolis Police Department,City,TRUE,2020-12-01
