date,year,wreck_name,wreck_no,classification,description,descriptive_date,place_of_loss,latitude,longitude,source_of_co_ordinate
1865-10-30,1865,Ceres,W00016,Schooner,"Schooner of Dublin en route from Ayr to Dublin with a cargo of coal, was reported ashore on Ballagan Point on 30 October 1865.",30/10/1865,"Ballagan Point, Carlingford Lough",NA,NA,NA
1764-09-04,1764,Charming Susana,W00017,Snow,"Snow of Cork, master was Terence Connor. Driven ashore en route to the West Indies.",04/09/1764,"Haulbowline Island, Carlingford Lough",NA,NA,NA
1878-08-16,1878,Chief Templar,W00018,Lugger,"A 36-ton wooden fishing lugger owned by J. Joughin of Peel, Isle of Man. Master was W. Kelly. Fishing from Peel in ballast, seven crew on board. Collided with the fishing smack Mary Cook of Campbeltown in a NNW force 6 wind. Chief Templar became totally wrecked, no loss of life.",16/08/1878,"Carlingford Bar, off, Carlingford Lough",NA,NA,NA
1875-06-17,1875,City of St. Andrewâs,W00019,Schooner,"Schooner of Maryport, en route from Troon to Newry with cargo of coal. Master was West. Struck Earl Rock, became stranded, filled with water. Crew abandoned ship. Vessel still stranded two days later, expected off if weather moderated at time of report.",17/06/1875,"Earl Rock, Carlingford Lough",NA,NA,NA
1840-02-14,1840,Clarence,W00020,Unknown,Wrecked en route from Runcorn.,14/02/1840,"Blockhouse, rocks at, Carlingford Lough",NA,NA,NA
1877-04-17,1877,Concord,W00021,Unknown,"Of Dublin, stranded en route from Newry to Ardrossan.",17/04/1877,"Carlingford Lough, Warrenpoint Roads",NA,NA,NA
1916-11-03,1916,Connemara (SS),W00022,Steamship,"UKHO wreck no. 007600057. An 833-ton, 19-year-old British passenger steamship. Measured L. 272ft, B.35ft, D.14ft. Built by Denny Brothers. Owned by London and North Western Railway Co., captain was G.H. Doey. En route from Greenore to Holyhead carrying general cargo and cattle. Encountered heavy seas, easterly gale. Crossed the bar, collided with steamship Retriever (W00080). Port side tore off, sank in five minutes. Both ships sank, with total loss of 97 lives. Sole survivor was a cabin boy from the Retriever. Stained-glass memorial in Dundalk cathedral. A ghost ship, PS Blaney, reportedly seen before accident. Blaney was a 200-ton paddle steamer wrecked near Prestatyn, 18th December 1833, after travelling from Newry.",03/11/1916,"Louth, Carlingford Lough, Carlingford Bar",54.01683,-6.06167,UKHO;INIS HYDRO
1836-12-26,1836,Countess Roden,W00023,Smack,"Smack wrecked en route from Whitehaven to Newry, valued at Â£200. Crew survived, materials saved.",26/12/1836,"Blockhouse Island, Carlingford Lough",NA,NA,NA
1905-03-15,1905,C. S. Parnell,W00024,Yawl,"3-ton, 26-year-old wooden yawl. Wrecked while beached at Greenore during SSEâS force 10 gale. Owner and master was J. McGuinness of Ballnatrana, Co. Louth.",15/03/1905,"Greenore Point, Carlingford Lough / Between Greenore Point and Ballagan, Co Louth.",NA,NA,NA
1844-10-09,1844,Daisy,W00025,Smack,"Smack of Beaumorris, totally wrecked. Crew drowned, captain John Lewis buried at Carlingford cemetery.",09/10/1844,"Carlingford Bar, near, Carlingford Lough",NA,NA,NA
1864-01-17,1864,Daniel Webster,W00026,Unknown,"Of Belfast, master was MâFerran. Stranded on the Long Rock at the entrance to Carlingford Lough on 17 January 1864 en route from Workington to Dundalk/Belfast, laden with coal. Crew and most of the materials were saved. Vessel expected to become a total wreck. The vessel was still stranded and expected to become a total wreck on 24 February 1864.",17/01/1864,"Long Rock, Carlingford Lough entrance",NA,NA,NA
1797-01-06,1797,Dublin,W00027,Unknown,"10-year-old vessel built in Chester. Classed A1 by Lloydâs. Went ashore en route from Liverpool to Dublin, captain was Scallion.",06/01/1797,"Carlingford, near, Carlingford Lough",NA,NA,NA
1851-12-10,1851,Ebenezer,W00028,Unknown,"Of Preston, master was Fletcher. En route from Dundalk to Preston. Capsized, sank in a squall, all three crew members perished.",10/12/1851,"Carlingford, near, Carlingford Lough",NA,NA,NA
1819-01-28,1819,Eliza and Mary,W00029,Unknown,"Of Newport, master was James. Ran ashore en route from Killough to Newry. Filled with water.",28/01/1819,"Carlingford, near, Carlingford Lough",NA,NA,NA
1819-01-28,1819,Eliza & Mary,W00030,Unknown,"**DOUBLE ENTRY SEE W00029** Lost en route from Killough to Newry, captain was James.",28/01/1819,"Carlingford, Carlingford Lough",NA,NA,NA
1901-11-12,1901,Emily,W00031,Lugger,"15-ton, 27-year-old unregistered wooden fishing lugger. Owned by J. Shields of Carlingford, master was M. Shields. Moored, in ballast, nobody on board. Broke from moorings, became stranded during an E force 10 gale, total loss on 12 November 1901.",12/11/1901,"Carlingford Harbour, Carlingford Lough",NA,NA,NA
1801-01-27,1801,Eve,W00032,Unknown,"Went ashore en route from Dublin to Newry, captain was Gilmore.",27/01/1801,"Carlingford, near, Carlingford Lough",NA,NA,NA
1803-12-27,1803,Experiment,W00033,Brig,"137-ton brig of Berwick, classed E1 by Lloydâs. En route from Ayr with cargo of coal. Captain was Steele. Vessel sank, crew saved.",27/12/1803,"Billagin (Ballagan?), near, Carlingford Lough",NA,NA,NA
1942-01-14,1942,Falavee (SS),W00034,Steel Steamship,"338-ton, 24-year-old steel steamship built in Alloa. Owned by Howdens Ltd. of Larne. Wrecked en route from Belfast to Newry laden with a general cargo, including flour.",14/01/1942,"Carlingford Lough, entrance",NA,NA,NA
1904-10-03,1904,Families Friend,W00035,Lugger,"A 4-ton, 7-year-old, 30ft lugger of Kilkeel (No. 404). Owned by R. Newell, Kilkeel, master was F. Fisher. Fishing from Kilkeel in Dundalk Bay for herring, four crew on board. Caught 90 mease of herring, overloaded the boat. Required a tow by skiff Velocity to return to port. Capsized crossing Carlingford Lough, became a total wreck during a NE force 2 wind. Three crew members were rescued, one drowned.",03/10/1904,"Carlingford Bar Lighthouse, 2 miles S of, Carlingford Lough",NA,NA,NA
1850-10-26,1850,Favourite,W00036,Schooner,"51-ton, 30-year-old schooner of Newry. Master was MâCawley. En route from Newry to Larne in ballast, three crew. NNE force 2 wind, clear conditions. Anchor could not hold in strong tide. Became wrecked. Estimated loss on vessel Â£300; insured.",26/10/1850,"Carlingford Lough, Long Rock, 0.75 mile S of outer lighthouse",NA,NA,NA
1820-01-12,1820,Fleece,W00037,Unknown,"Stranded, crew saved.",12/01/1820,"Carlingford Lough, entrance to Newry Harbour",NA,NA,NA
1902-09-10,1902,Frances,W00038,Smack,"53-ton, 35-year-old wooden smack of Carnarvon. Owned by Miss C. Evans, Carnarvon, master was E. Evans. Official number was 55,370. En route from Carnarvon to Irvine with two crew and cargo of slates. Sprang a leak, became stranded during NNE wind, total loss. Crew landed at Greenore.",10/09/1902,"Carlingford Lough, 0.75 mile NW of Greenore Pier",NA,NA,NA
1821-01-06,1821,Friendship,W00039,Unknown,Stranded en route from Whitehaven to Dublin. Master was Evans.,06/01/1821,"Carlingford bar, Carlingford Lough",NA,NA,NA
1856-08-10,1856,Fruiterer,W00040,Unknown,"Of Drogheda, captainâs name was Little. Wrecked en route from Whitehaven to Dunany/Annagassan, laden with cargo of coal. Crew saved. Estimated loss on vessel, Â£350.",10/08/1856,"Carlingford, off/ Carlingford Light, about 20 miles S",NA,NA,NA
1783-11-16,1783,Fruitful Vine,W00041,Brig,"90-ton wooden brig of Northam/Bideford. Classed A1 by Lloydâs. Owned by Marsh & Co., master was W. Rode. Driven ashore en route from Cork to Havre-de-Grace with cargo of beef, pork and candles. Vessel expected to be lost, cargo expected to be saved.",16/11/1783,"Carlingford Lough, Bembridge Ledge",NA,NA,NA
1874-09-22,1874,Glynllifon,W00042,Sloop,"48-ton, 49-year-old wooden sloop of Pwllheli. Owned by G. Roberts, master was Evans. En route from Whitehaven to Carlingford, two crew, cargo of coal. Stranded in SE force 9 gale. Crew saved.",22/09/1874,"Carlingford Bar, rocks, Carlingford Lough",NA,NA,NA
1854-11-21,1854,Handy,W00043,Cutter,"59-ton, 7-year-old cutter of Jersey. Built in Jersey. Captain was Anley. En route from Cardiff to Newry, five crew, cargo of coal. Encountered NW force 6 wind, hazy conditions. Caught fire, burnt down to floor heads, forced to run ashore. Sails, spars, chains, anchors saved. Estimated loss on vessel, Â£800.",21/11/1854,"Carlingford Harbour, Carlingford Lough",NA,NA,NA
1791-01-25,1791,Henderson,W00044,Brig,"154-ton wooden brig of Workington. Classed A1 by Lloydâs. Owned by R. Stevens, Captain was Hannah. Stranded en route from Leghorn to Belfast, cargo saved.",25/01/1791,"Carlingford, near, Carlingford Lough",NA,NA,NA
1839-03-07,1839,Herald,W00045,Unknown,"Ran onto rocks en route from Liverpool to Newry, became a total wreck.",07/03/1839,"Blockhouse Point, Carlingford Lough",NA,NA,NA
1821-01-05,1821,Hope,W00046,Unknown,"Of Liverpool, master was Middleton. En route from Quebec to Liverpool. Struck the Bar, knocked off its rudder, damaged its keel, sank.",05/01/1821,"Carlingford Bar, Carlingford Lough",NA,NA,NA
1840-09-19,1840,Horatio,W00047,Unknown,Abandoned in a sinking state en route from Troon to Waterford. Master was Rae.,19/09/1840,"Carlingford Bar, off, Carlingford Lough",NA,NA,NA
1774-05-05,1774,Industry,W00048,Unknown,Master was Sammuel Rice. Wrecked en route from Dublin to Coleraine. Vessel and cargo lost.,05/05/1774,"Carlingford, off, Carlingford Lough",NA,NA,NA
1805-05-10,1805,Industry,W00049,Unknown,"Of St Ives, master was Quick. Lost en route from Dublin to Galway, crew saved.",10/05/1805,"Carlingford Lough, off the Dorseys",NA,NA,NA
1820-11-26,1820,Isabella,W00050,Unknown,"Wrecked, carrying load of flax and butter.",26/11/1820,"Omeath, Carlingford Lough",NA,NA,NA
1929-05-11,1929,James Postlethwaite (MV),W00051,Schooner,"The auxiliary wooden three-masted motor schooner James Postlethwaite en route from Ayr for Bideford with a cargo of coal collided with the Steamer J & J Monks, of Liverpool, and sank in Carlingford Lough on 11 May 1929. Crew saved.  UKHO wreck no. 007600082. UKHO wreck data says schooner sank opposite Carlingford mast, surveyed 14th May 1929. Measured L. 99.7ft x B. 23ft x D. 11.3ft. The vessel was successfully salved by the Carlingford Lough Commissioners tug Slieve Foy on 15 July 1929 and towed into Carlingford.",11/05/1929,"Louth, Carlingford Lough Fairway, 54 03 02N, 006 09 10W",54.05056,-6.15278,UKHO
1814-12-03,1814,Janet & Peggy,W00052,Unknown,"Lost en route from Liverpool to Newry, master was Morgan.",03/12/1814,"Carlingford Lough, off",NA,NA,NA
1878-06-04,1878,Jason,W00053,Brig,"83-ton, 75-year-old wooden brig of Workington. Classed Ã1 by Lloydâs. Owned by J.M. Dunn & W. Wilson, master was W. Wilson. Sank en route from Workington to Dundalk, four crew, cargo of railway iron. Crew saved. Liverpool Salvage Association saved 95 tonnes of sheet rails; remaining rails expected to be saved.",04/06/1878,Carlingford Lough Entrance / Hellyhunter Rocks / off Cranfield / opposite Kilkeel,NA,NA,NA
1852-11-10,1852,John & Charles,W00054,Unknown,"Of Maryport, Islay. Parted from its moorings, went ashore on a reef. Feared vessel would not get off.",10/11/1852,"Carlingford Lough, on a reef in Warrenpoint roads",NA,NA,NA
1814-01-18,1814,John & Nancy,W00055,Unknown,"Of Liverpool, went ashore.",18/01/1814,"Carlingford, Carlingford Lough",NA,NA,NA
1891-04-22,1891,Jubilee,W00056,Schooner,"60-ton, 34-year-old schooner en route from Troon to Annagassan, cargo of coal. Collided with steamer Newry. Became stranded, wrecked. Crew saved.",22/04/1891,"Carlingford, Blockhouse Island, Carlingford Lough",NA,NA,NA
1838-11-28,1838,Juno,W00057,Unknown,"Message in a bottle washed ashore at Carlingford. It described plight of the Juno: encountered heavy squall, masts washed away, vessel on beam-ends. Fate of crew unknown. Wreckage that washed ashore at Greenore may have been from the Juno.",28/11/1838,"Carlingford, off, Carlingford Lough",NA,NA,NA
1877-04-17,1877,Kensington,W00058,Unknown,"Of Whitehaven, stranded en route from Swansea to Warrenpoint.",17/04/1877,"Carlingford Lough, Co Louth, Savilla Point",NA,NA,NA
1892-02-02,1892,Kilkeel (SS),W00059,Steamship,"Steamer owned by Newry Steamship Company, en route from Newry to Cardiff with cargo of oats. Returned to Greenore after springing a leak. Vessel beached in 5 fathoms of water to prevent sinking. Covered with water at time of report, feared vessel will become a total wreck.",02/02/1892,"Greenore, below the coastguard boathouse, Carlingford Lough",NA,NA,NA
1852-11-10,1852,Lito,W00060,Unknown,Lost.,10/11/1852,"Carlingford Bar, Carlingford Lough",NA,NA,NA
1852-11-07,1852,Louisa C.,W00061,Brig,"Austrian brig valued at Â£3,600, captain was Soick. En route from Ibrail with cargo of Indian corn for Messrs Cardwell & Hoiden of Newry. Ran ashore onto rocks, became a total wreck. Crew saved, cargo saved in partly damaged state.",07/11/1852,"Carlingford Single / Cranfield Point, Carlingford Lough",NA,NA,NA
1883-09-01,1883,Maggie,W00062,Smack,"16-ton, 36-year-old, unregistered wooden smack. Owned by R. Nicholeson of Kilkeel, master was W. Ilvam. Moored in ballast, no crew on board. Stranded during an ESE force 10 gale. Totally wrecked, no loss of life.",01/09/1883,Carlingford Lough,NA,NA,NA
1814-01-18,1814,Margaret,W00063,Unknown,"Of Dumbarton, went ashore en route to Glasgow.",18/01/1814,Carlingford,NA,NA,NA
1834-10-13,1834,Margaret,W00064,Unknown,"Driven ashore en route from Glasgow to Newry, became a total wreck.",13/10/1834,"Carlingford Harbour, near the entrance, Carlingford Lough",NA,NA,NA
1838-01-27,1838,Margaret,W00065,Unknown,"Master was OâNeil, went ashore because it was leaking. Vessel bilged, filled with water.",27/01/1838,"Carlingford Lough, Osmatte",NA,NA,NA
1868-12-09,1868,Margaret and Ann,W00066,Schooner,"75-ton, 12-year-old schooner en route from Cardiff to Newry, four crew, cargo of coal. Captain was Davies. Wrecked in S force 4 wind. One crew member drowned. Some sails and rigging saved, landed at Greencastle.",09/12/1868,"Carlingford Lighthouse, W of Haulbowline, Carlingford Lough",NA,NA,NA
1892-05-29,1892,Margaret Ann,W00067,Ketch,"57-ton, 38-year-old iron ketch/dandy of Barrow. Owned by J. Butterfield of Ulverstone, captain was J. Campbell. Official number was 8,076. En route from Liverpool to Annagassan, three crew, cargo of coal. Stranded in SW force 7 wind, total loss.",29/05/1892,"Carlingford Lough, entrance / Cranfield Point.",NA,NA,NA
1827-10-30,1827,Mary,W00068,Unknown,"Master was McMeaken, totally lost en route to Newcastle. Crew saved.",30/10/1827,"Carlingford, off, Carlingford Lough",NA,NA,NA
1819-11-30,1819,Mary Ann,W00069,Unknown,"Master was Graves. Vessel was totally wrecked en route from Newry to Preston. Master, four crew and two passengers all drowned. Most of cargo saved.",30/11/1819,"Carlingford, near",NA,NA,NA
1786-03-24,1786,Molly,W00070,Unknown,"Lost en route from Greenock to Portsmouth, crew saved. Captain was Carr.",24/03/1786,"Carlingford Harbour, near, Carlingford Lough",NA,NA,NA
1770-04-05,1770,Montague,W00071,Sloop,"Sloop en route from Clyde to Dublin carrying cargo of tobacco. Captain was Boyd. Drifted into Carlingford upside-down, crew feared lost.",05/04/1770,Carlingford Lough,NA,NA,NA
1881-10-15,1881,Mourne (SS),W00072,Steamship,"Steam launch owned by Lord Kilmorey. Broke from mooring during a storm, driven aground, completely wrecked.",15/10/1881,Carlingford Lough,NA,NA,NA
1872-02-09,1872,Newry,W00073,Lugger,"Lugger of Newry went ashore en route from Cardiff to Newry, laden with coal. Master was Leary. Became a total wreck, crew saved.",09/02/1872,"Blockhouse Island, Carlingford Lough",NA,NA,NA
1877-01-13,1877,Osceola,W00074,Brigantine,"192-ton, 12-year-old wooden brigantine of Ardrossan. Owner, captain was S. Montgomery of Ardrossan. En route from Ardrossan to Dublin, seven crew, cargo of coal. Stranded in SW force 6 wind, total wreck. Crew saved.",13/01/1877,"Blockhouse Island, Carlingford Lough",NA,NA,NA
1797-01-10,1797,Phillis,W00075,Unknown,Went ashore en route from London to Liverpool.,10/01/1797,"Carlingford, near, Carlingford Lough",NA,NA,NA
1814-12-03,1814,Phoenix,W00076,Unknown,"Lost en route from Liverpool to Newry, master was Fearan.",03/12/1814,"Carlingford, off, Carlingford Lough",NA,NA,NA
1936-11-12,1936,Pine (SS),W00077,Steamship,"UKHO wreck no. 007600070. 328-ton, 29-year-old steamer en route from Garston to Dundalk, cargo of coal. Anchored in Carlingford Lough to shelter from gales. Run down and sunk by the steamer Olive. Sank in 9 fathoms at high water, lying bow to the ESE on rough sandstone seabed. Wreck reported to have been removed in 1970.",12/11/1936,"Louth, Carlingford Lough, across channel fairway, 11 cable off Carlingford Pier. 54 02 50N, 006 09 12W",54.04722,-6.15333,UKHO
1842-01-28,1842,Prosperity,W00078,Smack,"Smack of Liverpool, parted from its cables, driven ashore. Master was Williams.",28/01/1842,"Carlingford Bar, inside, Carlingford Lough",NA,NA,NA
1858-02-07,1858,Punch,W00079,Schooner,Schooner of Preston went ashore en route to Irvine.,07/02/1858,"Carlingford, near, Carlingford Lough",NA,NA,NA
1916-11-03,1916,Retriever (SS),W00080,Steamship,"UKHO wreck no. 007600045, listed as a âdangerous wreckâ (DW). 500-ton, 10-year-old British steamship built by Ailsa Shipbuilding Company, Troon. Owned by Clanrye Steamship Co., captain was P. OâNeill. Measured L. 168ft x B. 26ft x D. 10ft, powered by 72rhp compound engines. En route from Garston to Newry, encountered heavy easterly gale. Cargo of coal shifted in rough seas, Retriever collided with passenger steamship Connemara. Both vessels sank, total loss of 97 lives. Cabin boy from Retriever sole survivor. Stained-glass memorial in Dundalk cathedral. A ghost ship, PS Blaney, reportedly seen before accident. Blaney was a 200-ton paddle steamer that was wrecked near Prestatyn, 18th December 1833, after travelling from Newry.",03/11/1916,"Louth, Carlingford Bar, 800m SE of. Carlingford Lough",54.01717,-6.05767,UKHO
1889-10-07,1889,Rocket,W00081,Lighter,"110-ton wooden lighter. Owned by M. Hunter of Newry, master was D. Hagan. En route from Carlingford to Newry in ballast, three crew. Lost in NW force 9 wind.",07/10/1889,Carlingford Lough,NA,NA,NA
NA,NA,Rosina,W00082,Schooner,"Lightkeeper of Carlingford reported a derelict schooner on rocks, not dangerous to navigation.",C 1892,"Carlingford, Carlingford Lough",NA,NA,NA
1905-03-15,1905,St. Mary,W00083,Yawl,"2-ton, 26-year-old unregistered wooden fishing yawl. Owned by B. Rice of Ballagan, master was J. Connor. Moored in ballast off Ballagan, no crew on board. Stranded in SE force 10 gale, total loss.",15/03/1905,"Greenore Point to Ballagan, Carlingford Lough",NA,NA,NA
1798-11-30,1798,Sarah,W00084,Brig,"109-ton, 11-year-old wooden brig of Liverpool. Owned by S. Spencer, captain was Jones. Lost en route from Liverpool to Africa.",30/11/1798,Carlingford Lough,NA,NA,NA
1870-03-04,1870,Sarah Caroline,W00085,Schooner,"Schooner of Girvan/Liverpool, master was Gordon. Official number was 42,172. Went ashore en route from Troon to Newry, cargo of coal. Filled with water, expected to become a wreck. Crew saved.",04/03/1870,Blockhouse Ledge / Haulbowline Island,NA,NA,NA
1873-04-17,1873,Seabird,W00086,Brigantine,"A 27-year-old, 80ft long, single-decked, doublemasted brigantine. Captain was Jensen. Wrecked en route from west coast of England to Dublin, cargo of coal and coke.",17/04/1873,"Carlingford Lough, N bank of S Rock",NA,NA,NA
1889-11-21,1889,Strathesk (SS),W00087,Steamship,"58-ton, 8-year-old iron steamship. Classed A1 by Lloydâs. Owned by W. Robertson of Glasgow, master was A. Johnstone. En route from Glasgow to Newry, eight crew, cargo of coal. Encountered SSW force 5 wind, struck rocks, foundered. Crew saved. Carlingford Lough Commissioners later dispersed remains of the vessel.",21/11/1889,"Carlingford Lough, off Haulbowline Light",NA,NA,NA
1829-11-21,1829,Tarbolton,W00088,Unknown,"Master was Boyd. Struck Blockhouse Rock en route from Troon to Dublin, expected to become a total wreck. Cargo was discharged.",21/11/1829,"Blockhouse Rock, Carlingford Lough",NA,NA,NA
1798-11-30,1798,Thomas & Sally,W00089,Unknown,"Lost en route form Liverpool to Newry, captain was Griffith.",30/11/1798,"Carlingford Lough, near Newry",NA,NA,NA
1852-11-12,1852,Three Brothers,W00090,Smack,"Smack of Carnarvon, worth Â£400. Owner and master was W. Williams. Struck the bar, sank. Crew perished. Shipâs register later washed ashore at Greenore.",12/11/1852,"Carlingford Lighthouse, 1.5 miles S, Carlingford Lough",NA,NA,NA
1797-01-10,1797,Unity,W00091,Unknown,"Went ashore en route from London to Liverpool, captain was Miller.",10/01/1797,"Carlingford, near, Carlingford Lough",NA,NA,NA
1768-01-29,1768,Vigilence,W00092,Unknown,"En route from London to Belfast to Derry, captain was Penry. Struck a sunken rock, hoped to be got off.",29/01/1768,"Carlingford, near Green Island, Carlingford Lough",NA,NA,NA
1887-05-21,1887,Watchman,W00093,Barque,"449-ton, 3-year-old barque of Belfast, laden with grain, went ashore en route to Newry.",21/05/1887,Carlingford Lough,NA,NA,NA
1874-12-10,1874,Woods,W00094,Brigantine,"Brigantine of Newry, master was McBirney. Sank en route from Carlingford pool to Drogheda, laden with wheat from the Rosa C.",10/12/1874,"Greenore, inside, Carlingford Lough",NA,NA,NA
NA,NA,Unknown,W00095,Unknown,"Artefacts, including bottles, have been recovered by divers from the base of Blockhouse Island, from a possible seventeenth-century wreck.",17th Century,"Carlingford Lough, Blockhouse Island",NA,NA,NA
1726-01-02,1726,Unknown,W00096,Yacht,"Yacht of the Isle of Man, en route from Liverpool to the Isle of Man. Passengers included the Governor and the son of the Bishop of the Isle of Man and several gentlemen. Became stranded during a storm. All on board saved, except for the master.",02/01/1726,"Carlingford, near, Carlingford Lough",NA,NA,NA
1768-12-11,1768,Unknown,W00097,Brig,Brig totally lost en route from Whitehaven.,11/12/1768,"Carlingford Lough, on a bank",NA,NA,NA
1775-11-13,1775,Unknown,W00098,Unknown,"Vessel was wrecked, Captain Riceâs body washed ashore. Small pieces of wreck, vesselâs rigging and clothing also washed ashore.",13/11/1775,"Blockhouse, Carlingford Lough",NA,NA,NA
1798-11-30,1798,Unknown,W00099,Ship,One of two ships which went ashore.,30/11/1798,"Carlingford Lough, near Newry",NA,NA,NA
1798-11-30,1798,Unknown,W00100,Ship,One of two ships which went ashore.,30/11/1798,"Carlingford Lough, near Newry",NA,NA,NA
1798-11-30,1798,Unknown,W00101,Brig,Brig went ashore.,30/11/1798,"Carlingford Lough, near Newry",NA,NA,NA
1814-01-18,1814,Unknown,W00102,Brig,Brig went ashore.,18/01/1814,"Carlingford, Carlingford Lough",NA,NA,NA
1825-01-26,1825,Unknown,W00103,Sloop,"Sloop seen sinking, crew feared drowned. Mainsail stamped with âBristolâ upon it, spars bearing name Nancy washed ashore.",26/01/1825,"Carlingford Bar, c. 2 miles E",NA,NA,NA
1850-04-19,1850,Unknown,W00104,Unknown,Large vessel was wrecked.,19/04/1850,"Carlingford area, Carlingford Lough",NA,NA,NA
1850-06-17,1850,Unknown,W00105,Schooner,Schooner was wrecked.,17/06/1850,"Carlingford, Carlingford Lough",NA,NA,NA
1852-11-12,1852,Unknown,W00106,Smack,"70-ton (approx.) smack foundered, crew feared drowned. Masts protruded above water. A âwater cask marked ââLane & Co., Liverpool, C. 193,ââ with a diamond underneathâ washed ashore.",12/11/1852,"Carlingford Light-house, 1.5 mile S, Carlingford Lough",NA,NA,NA
1863-10-31,1863,Unknown,W00107,Smack,"A smack, apparently a fishing vessel, was seen founder while attempting to make Carlingford Lough on 31 October 1863.",31/10/1863,"Carlingford Lough, near",NA,NA,NA
1868-12-19,1868,Unknown,W00108,Ship,"Masts of a sunken ship seen above water. Brass hooped buckets, some boards, a plank and part of a cabinâs fittings washed ashore, possibly off the same vessel.",19/12/1868,"Carlingford Lough entrance, 5 miles SE, Carlingford Lough",NA,NA,NA
1888-07-27,1888,Unknown,W00109,Unknown,Sunken wreck struck by passing vessel.,27/07/1888,"Carlingford Bar, near",NA,NA,NA
1901-11-12,1901,Unknown,W00110,Fishing boat,"First-class fishing vessel, totally lost during a storm.",12/11/1901,Carlingford Lough,NA,NA,NA
NA,NA,Unknown,W00111,Unknown,"Liverpool vessel was wrecked. Master was Nathaniel Marks, buried at Carlingford. Ship's name not clearly visible on tombstone, inscribed as E.. boâ¦",Unknown,"Ballagan Point, Carlingford Lough",NA,NA,NA
NA,NA,Unknown,W00112,Unknown,UKHO wreck number 007600069. Stranded wreck.,Unknown,"Louth, Carlingford Lough, Block House Island, 213m NW, 54 01 20N, 006 05 12W,",54.02222,-6.08667,UKHO
NA,NA,Unknown,W00113,Unknown,"UKHO wreck no. 007600124. Obstacle on aerial photograph (1989), possibly a wreck.",Unknown,"Louth, Carlingford Lough. 54 04 21N, 006 13 57W",54.0725,-6.2325,UKHO
NA,NA,Unknown,W00114,Unknown,"UKHO wreck no. 007600136. Wreckage discovered during dredging operations in 1993, depth of 7m. The remains were marked on the 1994 chart as foul.",Unknown,"Louth, Carlingford Bar. 54 01 19.86N, 06 04 38.33W, Carlingford Lough",54.02218,-6.07731,UKHO; INIS HYDRO
