year,n_tree,europe_temp_index
1842,-0.79,0.35
1841,-1.72,-0.8
1840,-1.59,-0.68
1839,-1.71,-0.54
1838,-2.32,-1.05
1837,-2.15,-0.66
1836,-2.41,-0.8
1835,-1.4,-0.43
1834,-1.33,0.33
1833,-1.8,-0.95
1832,-1.67,-0.6
1831,0.03,0.25
1830,-1.61,-0.34
1829,-1.38,-0.7
1828,-1.14,0
1827,-0.75,-0.14
1826,-0.53,0.49
1825,-2.01,-0.54
1824,-1.47,-0.46
1823,-1.13,-0.33
1822,-1.83,-0.03
1821,-3.28,-1.73
1820,-2.15,-0.73
1819,-1.67,-0.29
1818,-2.51,-0.71
1817,-2.05,-0.76
1816,-2.33,-1.55
1815,-2.18,-1.2
1814,-1.53,-0.68
1813,-1.76,-1.2
1812,-2.4,-1.19
1811,-1.1,-0.09
1810,-2.33,-0.9
1809,-1.25,-0.54
1808,-0.32,0.02
1807,-0.61,0.46
1806,-1.22,-0.46
1805,-0.78,-0.66
1804,-0.34,0.21
1803,-0.38,-0.07
1802,-0.83,-0.21
1801,-0.51,-0.36
1800,-1.05,-0.48
1799,-0.4,-0.35
1798,0.21,0.4
1797,-0.44,0.07
1796,-0.01,-0.07
1795,-0.7,-0.43
1794,-0.29,-0.03
1793,-0.36,-0.16
1792,-0.7,-0.29
1791,-0.09,-0.07
1790,-1.31,-0.79
1789,0.13,-0.17
1788,-0.31,0.01
1787,-0.8,-0.55
1786,-0.21,-0.8
1785,-0.11,-0.65
1784,-0.06,-0.22
1783,-1.06,-0.4
1782,-0.55,-0.01
1781,-0.37,0.11
1780,0.12,0.14
1779,-0.23,-0.2
1778,0.05,0.15
1777,-0.85,-0.49
1776,0.19,0.21
1775,0.4,0.47
1774,-0.37,0.11
1773,-0.36,-0.18
1772,-1.93,-0.51
1771,-1.06,-0.6
1770,-1.26,-0.44
1769,-0.88,-0.42
1768,-1.52,-0.52
1767,0.06,-0.19
1766,-0.33,0.28
1765,-0.87,-0.31
1764,-0.45,-0.04
1763,-0.37,0.21
1762,-0.57,0.07
1761,0.45,0.56
1760,0.33,0.09
1759,-0.75,-0.07
1758,-0.47,-0.37
1757,0.32,0.53
1756,-0.88,-0.22
1755,-0.49,0.14
1754,-0.17,0.09
1753,-1.13,-0.28
1752,-0.64,0.21
1751,-0.44,-0.36
1750,-1.29,-0.46
1749,-0.98,-0.29
1748,-0.77,0.1
1747,-1.07,-0.23
1746,-0.65,0.14
1745,-1.08,-0.28
1744,-0.53,-0.33
1743,-1.11,-0.73
1742,-1.4,-0.86
1741,-1.25,-1.08
1740,-0.48,-0.72
1739,-0.65,-0.2
1738,-0.37,0.2
1737,-0.75,-0.41
1736,-0.1,0.19
1735,-1.04,-0.23
1734,-0.83,-0.48
1733,-1.14,-0.44
1732,-0.68,-0.48
1731,-0.99,-0.32
1730,-0.33,0.02
1729,-0.4,0.06
1728,-1.03,-0.04
1727,-0.02,0.24
1726,-0.41,0.29
1725,-0.34,-0.76
1724,-0.26,0.18
1723,-1.37,-0.46
1722,-0.92,-0.52
1721,-0.95,-0.59
1720,-1.07,-0.62
1719,-1.28,0.01
1718,-1.37,-0.16
1717,-1.48,-0.67
1716,-1.04,-0.79
1715,-0.15,-0.05
1714,-0.94,-0.56
1713,-0.64,-0.55
1712,-0.7,-0.2
1711,-0.53,-0.16
1710,-1.13,-0.64
1709,-1.58,-0.99
1708,-2.22,-1.06
1707,-0.4,0.15
1706,-1.97,-0.27
1705,-2.32,-0.8
1704,-1.68,-0.5
1703,-0.59,-0.08
1702,-1.08,-0.3
1701,-1.79,-0.64
1700,-1.24,-0.4
1699,-1.84,-0.78
1698,-0.78,-0.91
1697,-1.71,-0.98
1696,-1.8,-1.04
1695,-1.42,-1.38
1694,-0.95,-0.48
1693,-0.57,-0.02
1692,-0.46,-0.7
1691,-0.87,-0.37
1690,-1,-0.64
1689,-0.29,-0.34
1688,-1.56,-0.75
1687,-1.03,-0.63
1686,-1.45,-0.68
1685,-1.13,-1.13
1684,-0.71,0.45
1683,-0.83,-0.02
1682,-1.47,-0.63
1681,-1.7,-0.17
1680,-1.63,-0.46
1679,-1.48,-0.57
1678,-1.27,-0.42
1677,-1.66,-0.94
1676,-1.31,-0.36
1675,-2.63,-1.69
1674,-1.35,-0.78
1673,-1.5,-0.71
1672,-1.37,-0.73
1671,-0.22,0
1670,-1.2,-0.44
1669,-1.62,-0.01
1668,-1.42,-0.4
1667,-1.16,-0.77
1666,-0.38,0.34
1665,0.32,0.16
1664,0.44,0.11
1663,-1.31,-1.23
1662,-0.82,-0.63
1661,0.15,-0.05
1660,-0.31,-0.09
1659,-0.33,-0.3
1658,-0.13,-0.19
1657,-0.48,-0.23
1656,-0.49,-0.23
1655,-0.79,0.12
1654,-1.27,-0.61
1653,-1.35,-0.62
1652,-0.98,-0.15
1651,-0.88,-0.07
1650,-0.94,-0.1
1649,-0.79,-0.1
1648,-0.45,-0.51
1647,-2.66,-1.03
1646,-1.17,-0.07
1645,-1.59,-0.28
1644,-1.67,-0.45
1643,-1.69,-0.67
1642,-1.36,-0.66
1641,-2.39,-1.31
1640,0.14,-0.11
1639,-1.24,-0.98
1638,-1.25,-0.36
1637,-0.34,-0.05
1636,0.03,-0.23
1635,-1.06,-0.71
1634,-0.89,-0.32
1633,-2.34,-1.47
1632,-2.38,-1.17
1631,-0.9,0.21
1630,-1.24,-0.2
1629,-0.08,0.25
1628,-1.02,-1.06
1627,-0.32,-0.62
1626,-0.93,-0.25
1625,-1.25,-0.57
1624,-1.16,-0.03
1623,-1.04,0.03
1622,-0.97,-0.1
1621,-0.8,-0.79
1620,-1.19,-0.48
1619,-0.25,-0.28
1618,-1.86,-1.01
1617,-0.84,-0.46
1616,-1.05,0.02
1615,-1.68,-0.28
1614,-1.71,-0.91
1613,-0.98,-0.16
1612,-1.39,-0.51
1611,-1.19,-0.23
1610,-1.57,-0.29
1609,-2.28,-1.11
1608,-1.95,-1.44
1607,-2.51,-0.96
1606,-2.4,-1.27
1605,-2.19,-0.85
1604,-1.64,-0.82
1603,-1.37,-0.52
1602,-1.97,-1.03
1601,-2.68,-1.73
1600,-1.35,-1.06
1599,-0.96,-0.28
1598,-0.62,-0.64
1597,-1.48,-0.99
1596,-1.99,-1.32
1595,-1.39,-0.95
1594,-1.15,-0.98
1593,-1.25,-0.91
1592,-1.12,-0.69
1591,-1.36,-0.75
1590,-1.38,-0.08
1589,-1.71,-1.04
1588,-0.71,-0.96
1587,-1.15,-1.24
1586,-0.31,0.03
1585,-0.83,-0.73
1584,-0.71,-0.33
1583,0.19,-0.03
1582,-0.81,-0.51
1581,-1.41,-0.61
1580,-1.79,-0.74
1579,-1.55,-1.22
1578,-1.36,-0.31
1577,-0.54,-0.6
1576,-0.64,-0.68
1575,0.06,0.37
1574,-0.58,-0.34
1573,-0.88,-0.76
1572,0.11,-0.04
1571,-0.82,-0.46
1570,-0.41,-0.4
1569,0.27,-0.29
1568,0.01,-0.27
1567,-0.6,-0.36
1566,0.02,-0.04
1565,0.12,0.19
1564,0.76,0.26
1563,0.42,-0.28
1562,-0.13,-0.12
1561,0.54,0.43
1560,-0.93,-0.42
1559,-0.54,0.24
1558,-0.03,0.48
1557,-0.6,-0.26
1556,-0.18,0.36
1555,-0.51,-0.54
1554,-0.43,-0.35
1553,-0.03,0.04
1552,-0.14,-0.07
1551,-0.46,-0.02
1550,-1.18,-0.49
1549,-0.77,-0.39
1548,-0.44,0.21
1547,-0.76,-0.11
1546,-0.75,-0.23
1545,-0.02,0.4
1544,-1.48,-0.7
1543,-1.17,-0.52
1542,-1.36,-0.96
1541,-0.49,-0.21
1540,0.01,0.51
1539,0.2,0.06
1538,-0.39,0.12
1537,0,-0.25
1536,-0.97,0.07
1535,-0.8,-0.04
1534,-0.52,0.48
1533,-0.5,-0.11
1532,0.12,0.22
1531,-0.68,-0.32
1530,-0.89,-0.36
1529,-0.61,-0.69
1528,-1.08,-0.45
1527,-0.36,-0.52
1526,-0.99,-0.46
1525,-0.59,-0.16
1524,-1.42,-0.78
1523,-1.54,-0.51
1522,-0.88,-0.42
1521,-0.41,-0.18
1520,-0.54,-0.39
1519,-0.07,-0.12
1518,-0.18,-0.13
1517,-0.34,-0.11
1516,-0.52,-0.04
1515,-0.32,-0.38
1514,-0.29,-0.29
1513,0.22,-0.13
1512,-0.05,0.13
1511,-0.17,-0.41
1510,0.04,-0.18
1509,-0.61,0.06
1508,0,-0.06
1507,-0.9,-0.67
1506,-0.09,0.13
1505,-0.08,-0.07
1504,-0.21,0.44
1503,-0.11,0.4
1502,-0.36,0.34
1501,-0.02,-0.28
1500,-0.71,-0.02
1499,-0.91,-0.36
1498,-1.1,-0.68
1497,-2.18,-1.28
1496,-0.29,0.14
1495,-0.72,-0.32
1494,-0.25,0.04
1493,-1.32,-0.38
1492,-0.82,0.07
1491,-0.33,-0.14
1490,0.03,0.15
1489,-0.45,-0.14
1488,-0.68,-0.26
1487,-0.43,-0.08
1486,-0.48,-0.21
1485,-0.44,-0.02
1484,-0.27,0.18
1483,-1.66,-0.44
1482,-0.79,-0.28
1481,-0.75,-0.29
1480,-0.79,-0.4
1479,-0.61,-0.23
1478,-1.24,-0.75
1477,-1.3,-0.54
1476,-0.98,-0.48
1475,-1.67,-0.62
1474,-1.05,-0.36
1473,-1.53,-0.68
1472,-1.66,-0.78
1471,-1.86,-0.64
1470,-1.04,-0.55
1469,-1.74,-0.72
1468,-1.72,-0.51
1467,-1.97,-0.62
1466,-2.43,-0.76
1465,-1.29,-0.69
1464,-2.02,-0.72
1463,-2.31,-0.99
1462,-2.33,-0.82
1461,-1.66,-0.73
1460,-2.04,-0.65
1459,-2.36,-1.01
1458,-2.35,-0.76
1457,-1.63,-0.8
1456,-2.04,-1.17
1455,-1.91,-1.07
1454,-1.61,-0.66
1453,-2.63,-1.48
1452,-0.9,-0.23
1451,-1.04,-0.16
1450,-0.67,0.13
1449,-1.02,-0.14
1448,-0.9,-0.12
1447,-0.73,-0.25
1446,-1.04,-0.35
1445,0.04,-0.07
1444,-0.48,-0.12
1443,0.01,-0.31
1442,-0.55,-0.15
1441,-0.52,-0.05
1440,-0.48,-0.29
1439,-0.65,-0.27
1438,-1.17,-0.34
1437,0.12,0.04
1436,0.11,-0.01
1435,0.2,0.22
1434,0.54,0.35
1433,0.03,0.12
1432,0.46,0.24
1431,0.28,0.15
1430,-0.6,-0.38
1429,0.36,0.11
1428,0.2,-0.29
1427,0.38,0.11
1426,0.05,-0.24
1425,0.41,0.35
1424,0.83,0.51
1423,-0.27,-0.34
1422,-0.62,-0.26
1421,0.21,0.11
1420,-0.67,-0.19
1419,-0.19,-0.2
1418,-0.13,0.22
1417,-0.21,-0.28
1416,0.11,-0.08
1415,0.29,0.08
1414,-0.73,-0.3
1413,0.45,0.26
1412,-0.42,-0.32
1411,0.81,0.48
1410,0,-0.01
1409,0.1,0.17
1408,-0.07,-0.04
1407,0.48,-0.04
1406,0.48,0.08
1405,0.17,0.03
1404,0.67,0.35
1403,0.33,0.22
1402,0.1,0.27
1401,-0.56,-0.02
1400,-0.83,-0.53
1399,-0.82,-0.41
1398,-0.9,-0.5
1397,-0.9,-0.51
1396,-0.91,-0.26
1395,-0.67,-0.4
1394,-1.08,-0.73
1393,-0.95,-0.35
1392,-0.86,-0.59
1391,-0.1,0.06
1390,-0.82,-0.11
1389,-0.82,-0.5
1388,-0.34,-0.48
1387,-0.39,-0.16
1386,0.09,0.36
1385,-0.46,-0.42
1384,-0.12,0.11
1383,-0.24,0.23
1382,-0.53,-0.41
1381,-0.33,0.02
1380,-0.96,-0.14
1379,-0.95,-0.16
1378,-0.99,-0.78
1377,-1.4,-1.06
1376,-0.43,-0.56
1375,-1.06,-0.72
1374,-0.1,-0.14
1373,-0.63,-0.44
1372,0.13,0.15
1371,-0.11,0.09
1370,-0.65,-0.67
1369,-0.67,-0.67
1368,0.53,-0.06
1367,-0.34,-0.31
1366,0.1,0.07
1365,0.35,0.44
1364,0.2,0.26
1363,-1.4,-0.82
1362,-0.27,-0.48
1361,-0.57,-0.36
1360,-1.19,-0.61
1359,-0.59,-0.36
1358,-1.12,-0.7
1357,-0.71,-0.48
1356,-0.68,-0.57
1355,-1.1,-0.59
1354,-0.75,-0.13
1353,-1.07,-0.74
1352,-1.11,-0.58
1351,-0.86,-0.28
1350,-1.96,-0.84
1349,-2.3,-1.03
1348,-2.33,-1.22
1347,-1.7,-0.58
1346,-2.34,-1.24
1345,-1.69,-0.76
1344,-1.54,-0.54
1343,-0.76,-0.3
1342,-1.72,-0.47
1341,-1.44,-0.75
1340,-1,-0.23
1339,-1.36,-0.49
1338,-1.99,-0.56
1337,-1.59,-0.57
1336,-2.15,-0.38
1335,-0.97,-0.21
1334,-0.76,0.38
1333,-1.69,-0.49
1332,-1.6,-0.52
1331,-1.15,-0.64
1330,-1.75,-0.69
1329,-0.84,-0.54
1328,-1.07,-0.4
1327,0.45,-0.14
1326,-0.36,-0.38
1325,-0.05,0.01
1324,-0.81,-0.47
1323,-0.98,-0.54
1322,-0.67,-0.34
1321,-0.69,-0.41
1320,-0.13,-0.29
1319,-0.58,-0.56
1318,-0.18,0.05
1317,-0.83,-0.54
1316,-0.01,0.16
1315,-0.57,-0.02
1314,-0.49,-0.5
1313,-0.33,-0.61
1312,-0.89,-0.41
1311,-0.09,-0.37
1310,-0.27,-0.32
1309,-1.48,-1.13
1308,-0.91,-0.53
1307,-1.13,-0.66
1306,-0.39,0.02
1305,-0.67,-0.39
1304,-1.05,-0.53
1303,-1.2,-0.55
1302,-1.01,-0.43
1301,-1.13,-0.64
1300,-0.99,-0.04
1299,-1.11,-0.28
1298,-0.88,-0.35
1297,-1.06,-0.3
1296,-1.47,-0.79
1295,-0.54,-0.21
1294,-1.92,-1.11
1293,-1.51,-0.72
1292,-1.2,-0.51
1291,-1.41,-0.45
1290,-1.63,-0.73
1289,-1.24,-0.35
1288,-1.53,-0.5
1287,-1.29,-0.51
1286,-1.1,-0.22
1285,-1.39,-0.05
1284,-1.11,-0.42
1283,-0.84,-0.56
1282,-1.24,-0.71
1281,-1.24,-0.69
1280,-0.77,-0.45
1279,-0.65,-0.53
1278,-2.42,-0.78
1277,-1.29,-0.82
1276,-0.93,-0.7
1275,-0.41,-0.4
1274,-0.86,-0.38
1273,-0.79,-0.1
1272,-0.27,0.02
1271,-0.52,-0.03
1270,-0.65,-0.16
1269,-0.01,0.1
1268,-0.88,-0.48
1267,-1.26,-0.72
1266,-0.82,-0.48
1265,-1.27,-0.45
1264,-1.45,-0.8
1263,-1.35,-0.51
1262,-0.99,-0.53
1261,-0.89,-0.59
1260,-0.96,-0.71
1259,-1.28,-0.89
1258,-1.57,-1.02
1257,0.19,-0.07
1256,-1.14,-0.5
1255,-0.76,-0.29
1254,-1.58,-0.64
1253,-0.54,-0.04
1252,-1.35,-0.81
1251,-0.99,-0.64
1250,-0.57,-0.23
1249,-0.25,-0.43
1248,-0.84,-0.67
1247,-0.98,-0.28
1246,-1.22,-0.36
1245,-0.53,-0.25
1244,-1.51,-0.46
1243,-0.59,-0.21
1242,-0.61,-0.37
1241,-0.45,-0.14
1240,-0.39,-0.22
1239,-0.33,-0.2
1238,-0.94,-0.57
1237,-0.34,-0.34
1236,-1.17,-0.51
1235,-0.83,-0.27
1234,-1.28,-0.23
1233,-1.16,-0.41
1232,-1.45,-0.76
1231,-0.84,-0.47
1230,-1.78,-0.59
1229,-0.05,-0.3
1228,-1.2,-0.51
1227,-0.14,0.5
1226,-1.06,-0.28
1225,-0.37,-0.13
1224,0.01,0.1
1223,-0.43,-0.11
1222,-0.16,0.08
1221,-0.24,0.36
1220,-1.04,-0.2
1219,-0.74,-0.13
1218,-1.19,-0.21
1217,-0.59,0.27
1216,-0.84,0.03
1215,-1.26,-0.38
1214,-0.59,0.05
1213,-0.96,0.03
1212,-0.19,0.24
1211,-0.35,0.17
1210,-1.26,-0.08
1209,-0.59,0.03
1208,-1.48,-0.33
1207,-1.54,-0.46
1206,-1.27,-0.02
1205,-0.4,0.15
1204,-0.79,0.23
1203,-0.04,0.38
1202,-1.12,-0.36
1201,-1.34,-0.07
1200,-0.67,-0.07
1199,-0.24,0.32
1198,-0.79,0.13
1197,-1.59,-0.73
1196,-0.83,-0.05
1195,-0.15,0.28
1194,-1.76,-0.54
1193,0.16,0.12
1192,-1.51,-0.59
1191,-0.99,-0.1
1190,0.03,-0.09
1189,-0.75,-0.3
1188,0.51,0.14
1187,-0.25,0.02
1186,-0.23,-0.09
1185,0.31,0.15
1184,0.1,0.07
1183,-0.33,-0.05
1182,-0.75,-0.44
1181,-0.34,-0.53
1180,-0.42,-0.21
1179,-1.01,-0.35
1178,-0.43,-0.21
1177,-0.79,-0.15
1176,-0.46,-0.14
1175,0.14,0.24
1174,-0.95,-0.43
1173,-0.3,-0.15
1172,-0.43,0.02
1171,-1.04,-0.46
1170,-0.08,0.45
1169,-0.06,-0.2
1168,0.73,0.58
1167,0.37,0.34
1166,-0.06,0.27
1165,0.45,0.62
1164,0.35,0.56
1163,0.34,0.24
1162,0.43,0.55
1161,1.13,0.89
1160,0.16,0.45
1159,-0.11,0.36
1158,-0.48,0.27
1157,-0.64,0.03
1156,-0.06,0.31
1155,0.15,0.42
1154,-0.14,0.01
1153,0,0.21
1152,-0.32,-0.32
1151,-1.3,-0.51
1150,-0.61,0.12
1149,-0.46,0.11
1148,-0.8,-0.09
1147,-0.95,-0.46
1146,-0.71,-0.33
1145,-1.17,-0.22
1144,-0.92,-0.67
1143,-0.49,-0.08
1142,-1.34,-0.62
1141,-0.97,-0.4
1140,-1.51,-0.34
1139,-0.95,-0.21
1138,-0.95,-0.44
1137,-0.81,-0.5
1136,-1.54,-0.71
1135,-0.57,-0.1
1134,-1.2,-0.47
1133,-1.54,-0.77
1132,-0.85,-0.35
1131,-0.74,-0.41
1130,-1.87,-1.08
1129,-1.67,-0.93
1128,-1.12,-0.84
1127,-1.72,-1.31
1126,-0.33,-0.28
1125,-0.95,-0.76
1124,-0.88,-0.32
1123,-0.68,-0.08
1122,-1.12,-0.34
1121,-2.06,-0.55
1120,-1.22,-0.23
1119,-1.3,-0.65
1118,-1.22,-0.63
1117,-1.49,-1.15
1116,-0.78,-0.7
1115,-1.47,-0.68
1114,-1.07,-0.45
1113,-0.39,-0.48
1112,-0.97,-0.7
1111,-1.05,-0.96
1110,-1.57,-0.79
1109,-1.89,-1.47
1108,-0.65,-1.1
1107,-0.28,-1.31
1106,0.82,0.24
1105,0.52,0.08
1104,0.4,-0.07
1103,0.11,-0.18
1102,-0.08,-0.08
1101,-0.12,-0.25
1100,-0.29,-0.36
1099,-0.19,-0.34
1098,-0.55,-0.44
1097,0.25,0.09
1096,-0.87,-0.67
1095,-0.37,-0.65
1094,0.21,0.1
1093,0.04,0
1092,0.63,0.61
1091,0.47,0.35
1090,0.44,-0.18
1089,0.2,0.01
1088,-0.2,-0.08
1087,0.16,0.14
1086,0.86,0.31
1085,-0.11,-0.1
1084,0.56,0.09
1083,-0.45,-0.68
1082,-0.09,-0.72
1081,0.38,-0.53
1080,0.04,-0.38
1079,-0.18,-0.29
1078,-0.74,-0.35
1077,-1.22,-0.81
1076,-0.26,-0.58
1075,-0.4,-0.56
1074,-0.35,-0.66
1073,0.16,-0.47
1072,-0.3,-0.6
1071,-0.14,-0.2
1070,-0.45,-0.07
1069,-0.89,-0.84
1068,-0.74,-0.75
1067,-0.36,-0.45
1066,-0.09,-0.14
1065,-0.05,0.06
1064,0.65,0.06
1063,0.22,-0.61
1062,0.98,0.03
1061,1.2,0.31
1060,0.79,0.42
1059,0.19,-0.18
1058,0.64,0.28
1057,0.7,-0.05
1056,0.08,-0.51
1055,0.3,-0.49
1054,0.09,-0.71
1053,-0.5,-0.74
1052,0.65,-0.09
1051,0.74,0.13
1050,-0.2,-0.03
1049,0.34,-0.14
1048,0.64,-0.06
1047,-0.25,-0.76
1046,0.33,-0.69
1045,-0.09,-0.53
1044,0.01,-0.05
1043,-0.35,-0.6
1042,-0.36,-0.61
1041,-0.28,-0.6
1040,0.13,-0.48
1039,0.07,-0.01
1038,0.25,-0.16
1037,0.37,0.15
1036,0.06,-0.35
1035,-0.05,-0.3
1034,0.6,-0.34
1033,0.63,0.05
1032,-0.41,-0.9
1031,0.05,-0.2
1030,0.28,-0.11
1029,0.06,-0.83
1028,0.61,-0.05
1027,0.22,-0.23
1026,0.38,-0.06
1025,0.32,0.22
1024,0.3,-0.46
1023,-0.02,-0.54
1022,0.06,-0.39
1021,-0.18,-0.39
1020,0.29,-0.21
1019,0.61,0.52
1018,-0.19,0.28
1017,-0.14,-0.62
1016,-0.4,-0.48
1015,-0.21,-0.32
1014,-0.73,-0.69
1013,-0.6,-0.33
1012,-0.64,-0.49
1011,-0.71,-0.2
1010,-0.45,-0.42
1009,-0.44,-0.06
1008,-0.63,-0.21
1007,-0.31,-0.43
1006,-0.31,0.07
1005,-0.39,0.1
1004,-0.68,-0.4
1003,-0.09,-0.17
1002,-0.13,0.24
1001,0.05,-0.13
1000,0.45,0.03
999,-0.07,-0.23
998,0,-0.12
997,-0.02,0.06
996,0.47,-0.34
995,0.62,0.03
994,-0.1,-0.06
993,0.54,0.36
992,0.08,0.22
991,-0.11,-0.09
990,0.45,0.41
989,0,-0.36
988,0.31,0.16
987,0.67,0.42
986,1.34,0.83
985,0.13,0.06
984,0.5,0.23
983,0.49,0.53
982,1.37,1.08
981,-0.04,0.27
980,0.3,0.17
979,-0.51,-0.25
978,0.48,0.4
977,-0.06,0.25
976,-0.79,-0.55
975,0.04,-0.07
974,-0.62,-0.13
973,-0.07,-0.24
972,0.57,0.54
971,0.05,0.22
970,0.09,0.35
969,-0.05,0.17
968,0.1,0.12
967,-0.06,0.07
966,-0.12,0.05
965,0.1,0.16
964,0.53,0.53
963,0.25,0.14
962,-0.48,0.01
961,-0.99,-0.85
960,0.35,0.26
959,0.12,0.2
958,-0.92,-0.29
957,0.12,0.31
956,-0.02,0.06
955,-0.4,0.02
954,-0.09,-0.14
953,0.39,0.03
952,-0.47,-0.24
951,0.52,0.64
950,0,0.02
949,-0.15,0.07
948,-0.44,0.05
947,0.04,-0.03
946,-0.04,0.3
945,0.49,0.42
944,0.06,0.31
943,-0.36,-0.36
942,-0.65,-0.26
941,0.02,-0.17
940,-1.68,-1.2
939,-0.17,-0.12
938,-0.41,-0.18
937,0.3,0.01
936,0.35,0.12
935,0.26,0.46
934,1.15,0.89
933,0.35,0.66
932,0.2,0.54
931,-0.1,0.43
930,0.27,0.65
929,0.54,0.59
928,0.07,0.76
927,-0.68,0.09
926,0.21,0.35
925,-0.33,0.1
924,-0.14,0.4
923,-0.48,-0.12
922,0.02,0.37
921,-0.88,-0.3
920,-0.54,-0.1
919,-0.24,0.38
918,-0.48,-0.03
917,-0.69,-0.01
916,-0.35,0.36
915,-0.14,0.36
914,-1.31,-0.21
913,-0.7,-0.17
912,-0.25,0.56
911,-1.14,-0.61
910,-1.27,-0.58
909,-0.82,-0.19
908,-0.82,0
907,-1.59,-0.7
906,-0.77,-0.07
905,-0.89,-0.11
904,-0.92,0.05
903,-1.46,-0.59
902,-1.26,-0.38
901,-0.95,-0.22
900,-1.39,-0.45
899,-0.25,0.13
898,-0.22,-0.03
897,0.34,0.55
896,-0.33,-0.26
895,0.02,-0.18
894,0.45,0.12
893,-0.02,0.11
892,-0.18,-0.15
891,1.09,0.82
890,0.19,0.54
889,0.06,0.32
888,-0.88,-0.02
887,0.56,0.57
886,0.17,0.57
885,0.25,0.55
884,-0.75,0.11
883,0.17,0.36
882,0.14,0.26
881,-1.36,-0.4
880,0.09,0.5
879,0.1,0.1
878,0.39,0.33
877,-0.78,-0.32
876,0.44,0.52
875,0.49,0.37
874,-0.09,0.18
873,0.04,0.04
872,-0.56,-0.29
871,-0.32,-0.12
870,-0.66,-0.31
869,0.04,0.58
868,-0.65,0.26
867,-0.71,-0.13
