year,neem,wdc
695.208,21.98,15.683
695.125,22.51,15.047
695.042,24.85,14.509
694.958,28.36,13.498
694.875,32.8,12.127
694.792,36.59,10.662
694.708,39.19,10.21
694.625,36.25,10.374
694.542,27.14,11.271
694.458,18.89,11.762
694.375,13.23,12.596
694.292,11.15,12.653
694.208,11.28,12.197
694.125,12.23,11.295
694.042,12.75,10.281
693.958,11.56,9.3253
693.875,9.37,8.4009
693.792,7.44,7.4941
693.708,6.43,7.2562
693.625,5.98,7.2408
693.542,5.99,7.799
693.458,7.22,8.8168
693.375,8.49,9.5625
693.292,9.93,10.226
693.208,11.3,10.481
693.125,11.85,10.354
693.042,11.23,9.0397
692.958,10.02,7.8737
692.875,8.5,7.3363
692.792,7.42,7.0454
692.708,7.28,7.0418
692.625,7.21,7.3274
692.542,6.79,7.5952
692.458,6.88,7.8572
692.375,8,8.9776
692.292,9.77,10.529
692.208,11.31,11.501
692.125,12.52,11.407
692.042,12.51,10.057
691.958,12.38,9.2448
691.875,12.47,8.7015
691.792,13.21,8.1699
691.708,14.41,8.2377
691.625,16.05,9.111
691.542,18.16,10.076
691.458,20,11.187
691.375,22.08,11.732
691.292,24.1,12.445
691.208,24.41,12.678
691.125,24.01,12.479
691.042,23.25,12.201
690.958,20.22,12.241
690.875,15.22,12.581
690.792,12.24,13.643
690.708,11.05,15.039
690.625,10.24,16.091
690.542,10.14,17.603
690.458,9.79,19.041
690.375,9.07,20.405
690.292,9.25,20.66
690.208,10.05,20.184
690.125,10.85,19.052
690.042,11.19,18.165
689.958,11.56,17.073
689.875,11.18,16.448
689.792,11,15.807
689.708,12.2,16.013
689.625,13.76,16.516
689.542,16.91,17.607
689.458,21.11,19.151
689.375,25.22,20.378
689.292,29.75,21.35
689.208,34.42,20.736
689.125,35.12,19.222
689.042,32,17.361
688.958,27.93,15.615
688.875,24.35,14.116
688.792,22.11,12.919
688.708,21.63,12.952
688.625,22.98,13.244
688.542,26.26,13.69
688.458,30.14,14.819
688.375,33.98,15.975
688.292,37.48,16.203
688.208,39.34,16.288
688.125,38.58,16.057
688.042,34.93,15.485
687.958,29.88,14.495
687.875,24.16,13.589
687.792,19.83,12.388
687.708,17.74,13.011
687.625,17.95,14.356
687.542,19.19,16.598
687.458,20.42,18.783
687.375,20.79,21.002
687.292,20.83,21.546
687.208,20.35,22.824
687.125,19.77,23.53
687.042,19.36,23.318
686.958,19.12,23.344
686.875,19.11,23.551
686.792,19.03,24.724
686.708,19.21,25.775
686.625,20.21,27.863
686.542,21.88,30.081
686.458,23.36,31.264
686.375,23.81,32.623
686.292,23.57,33.609
686.208,22.89,33.011
686.125,21.94,32.194
686.042,19.98,30.287
685.958,18.37,28.396
685.875,17.08,26.174
685.792,16.12,24.84
685.708,14.97,23.988
685.625,14.4,24.354
685.542,14.35,24.68
685.458,14.74,24.807
685.375,15.49,25.435
685.292,16.26,25.712
685.208,16.59,25.016
685.125,16.65,22.978
685.042,16.35,19.162
684.958,15.13,16.012
684.875,13.88,15.13
684.792,13.45,14.71
684.708,13.57,16.176
684.625,13.96,18.02
684.542,14.95,20.845
684.458,16.53,24.394
684.375,18.89,27.32
684.292,21.67,28.321
684.208,23.81,28.33
684.125,25.19,28.421
684.042,26.04,28.235
683.958,27.06,27.521
683.875,28.49,27.866
683.792,31.58,28.746
683.708,36.63,30.959
683.625,42.95,34.511
683.542,50.21,38.482
683.458,59.78,43.164
683.375,71.67,48.046
683.292,84.47,51.367
683.208,96.14,51.318
683.125,104.99,46.99
683.042,107.16,38.925
682.958,103.57,31.815
682.875,95.37,25.713
682.792,82.87,20.782
682.708,69.3,18.554
682.625,57.21,17.726
682.542,46.92,17.255
682.458,38.12,16.069
682.375,30.86,14.804
682.292,24.15,13.413
682.208,18.13,11.427
682.125,13.93,9.9593
682.042,11.54,9.7939
681.958,9.53,10.527
681.875,7.68,11.208
681.792,6.96,12.686
681.708,6.98,15.335
681.625,7.17,17.627
681.542,6.97,19.881
681.458,6.94,21.938
681.375,8.15,22.007
681.292,8.1,20.217
681.208,7.43,17.908
681.125,6.81,16.408
681.042,6.08,14.563
680.958,6.17,12.395
680.875,6.36,11.279
680.792,7.16,10.621
680.708,8.14,10.478
680.625,8.97,10.825
680.542,10.1,11.719
680.458,10.97,13.063
680.375,11.25,13.946
680.292,11.8,14.494
680.208,12.49,15.348
680.125,12.46,15.785
680.042,12.31,15.706
679.958,12.13,15.187
679.875,12.17,14.932
679.792,12.1,15.256
679.708,12.43,15.223
679.625,12.76,15.79
679.542,12.9,16.516
679.458,13.13,17.7
679.375,13.02,19.394
679.292,13.08,21.47
679.208,12.59,21.665
679.125,11.42,19.705
679.042,10.38,16.061
678.958,8.81,11.367
678.875,7.18,7.677
678.792,6.51,5.6409
678.708,6.45,9.8013
678.625,6.82,11.212
678.542,7.7,12.328
678.458,9.12,13.246
678.375,10.97,13.314
678.292,12.48,13.872
678.208,12.61,13.122
678.125,11.97,10.283
678.042,11.54,10.104
677.958,11.54,9.6557
677.875,11.69,9.6259
677.792,12.69,11.55
677.708,14.11,12.15
677.625,15.66,14.005
677.542,16.66,15.913
677.458,17.44,17.282
677.375,17.93,15.495
677.292,17.99,14.908
677.208,17.71,14.789
677.125,17.28,12.401
677.042,16.64,10.778
676.958,16.92,8.5107
676.875,18.13,7.0884
676.792,17.89,6.8412
676.708,14.89,7.402
676.625,12.23,8.4533
676.542,11.53,9.3575
676.458,12.22,10.43
676.375,13.25,12.437
676.292,12.95,12.14
676.208,11.58,11.363
676.125,10.68,10.141
676.042,9.73,8.6747
675.958,9.05,7.5378
675.875,8.94,6.6544
675.792,9.23,6.0425
675.708,10.45,6.3213
675.625,12.04,7.821
675.542,13.31,10.96
675.458,14.88,14.295
675.375,16.94,15.079
675.292,18.44,13.768
675.208,19.16,11.41
675.125,19.12,8.9582
675.042,17.67,7.4458
674.958,16.47,6.3695
674.792,10.31,6.2215
674.708,9.9,6.4059
674.625,9.63,7.0682
674.542,9.54,8.6642
674.458,8.91,11.37
674.375,9.61,15.458
674.292,11.61,17.406
674.208,13.59,10.484
674.125,14.27,4.7576
674.042,13.74,5.8461
673.958,12.85,7.2938
673.875,12.06,9.529
673.792,11.83,9.0663
673.708,12.02,8.8174
673.625,12.24,9.4756
673.542,12.5,10.728
673.458,12.98,12.143
673.375,13.41,13.043
673.292,13.25,13.393
673.208,13.28,13.156
673.125,12.83,12.857
673.042,11.71,12.179
672.958,10.75,11.586
672.875,10.54,10.918
672.792,11.31,10.798
672.708,11.96,12.629
672.625,12.23,15.212
672.542,12.54,18.176
672.458,12.08,21.945
672.375,12.13,24.34
672.292,13.83,25.143
672.208,17.2,23.695
672.125,21.58,21.02
672.042,24.7,17.286
671.958,25.47,13.535
671.875,25.57,10.626
671.792,24.48,8.783
671.708,23.17,8.054
671.625,21.37,7.9642
671.542,19.76,9.0322
671.458,17.97,11.802
671.375,16.41,14.956
671.292,15.21,16.913
671.208,14.25,16.194
671.125,13.12,14.148
671.042,11.8,11.58
670.958,10.08,9.1816
670.875,8.72,7.8237
670.792,7.47,7.3754
670.708,6.97,7.8532
670.625,6.85,8.489
670.542,7.14,9.1133
670.458,7.35,10.26
670.375,7.54,11.513
670.292,7.88,12.024
670.208,8.14,11.532
670.125,8.6,10.87
670.042,8.98,9.7561
669.958,9.43,9.2851
669.875,9.38,9.2211
669.792,9.22,8.6397
669.708,8.94,8.8435
669.625,8.88,9.0808
669.542,8.95,10.417
669.458,9.46,13.311
669.375,10.56,15.663
669.292,11.83,16.493
669.208,12.89,16.487
669.125,13.25,14.796
669.042,13.23,13.172
668.958,13.27,11.852
668.875,13.54,10.004
668.792,14.21,9.3069
668.708,14.77,10.401
668.625,15.34,11.355
668.542,16.02,13.32
668.458,16.28,16.118
668.375,16.36,18.66
668.292,15.86,20.115
668.208,15.51,18.153
668.125,15.23,13.981
668.042,14.64,11.054
667.958,13.51,9.9826
667.875,12.35,9.2687
667.792,12.61,9.7852
667.708,13.77,10.962
667.625,15.47,11.735
667.542,17.19,11.445
667.458,18.93,12.442
667.375,20.76,12.871
667.292,21.93,11.511
667.208,22.18,10.16
667.125,21.54,9.2663
667.042,19.06,9.2458
666.958,15.48,10.398
666.875,12.71,11.329
666.792,11.38,12.634
666.708,10.87,14.429
666.625,11.2,16.106
666.542,11.19,17.431
666.458,11.47,17.852
666.375,13.3,16.803
666.292,15.5,14.885
666.208,16.87,12.475
666.125,16.89,10.511
666.042,15.19,9.081
665.958,13.52,8.9144
665.875,12.99,9.1201
665.792,12.93,9.9818
665.708,13.34,11.243
665.625,13.96,12.548
665.542,14.49,13.631
665.458,14.73,13.589
665.375,14.6,12.94
665.292,13.94,12.14
665.208,13.21,11.185
665.125,12.17,10.707
665.042,11.24,9.7107
664.958,10.09,8.8338
664.875,8.85,8.8561
664.792,8.06,8.4798
664.708,7.97,8.9524
664.625,8.13,9.972
664.542,8.5,11.124
664.458,9.19,12.605
664.375,10.06,13.53
664.292,11.4,13.121
664.208,11.99,11.872
664.125,10.93,10.812
664.042,10.06,10.439
663.958,8.89,10.312
663.875,7.95,10.231
663.792,7.57,10.347
663.708,7.33,11.877
663.625,7.63,13.034
663.542,8.92,14.218
663.458,10.75,14.607
663.375,12.19,13.425
663.292,13.76,11.591
663.208,14.43,9.9873
663.125,13.34,8.884
663.042,12.22,8.2577
662.958,11.79,7.8021
662.875,11.58,7.6556
662.792,12.18,8.5593
662.708,12.85,10.657
662.625,13.31,12.612
662.542,13.52,15.651
662.458,13.99,17.932
662.375,14.7,18.667
662.292,14.86,18.021
662.208,15.04,16.657
662.125,14.86,14.575
662.042,14.27,12.702
661.958,13.66,10.811
661.875,13.74,10.153
661.792,14.43,10.353
661.708,15.65,10.453
661.625,16.79,10.887
661.542,17.66,11.705
661.458,18.81,11.738
661.375,19.57,11.462
661.292,19.04,10.328
661.208,17.98,9.3719
661.125,16.69,8.3317
661.042,15.35,7.4888
660.958,13.72,7.6875
660.875,11.72,8.2172
660.792,10.91,8.9288
660.708,10.97,9.5101
660.625,10.81,10.342
660.542,11.8,10.984
660.458,12.66,12.753
660.375,12.23,13.005
660.292,11.48,13.026
660.208,10.62,12.169
660.125,9.97,10.813
660.042,9.49,9.4725
659.958,9.03,8.7357
659.875,8.73,7.738
659.792,7.91,7.7882
659.708,6.55,8.3491
659.625,6.28,9.7467
659.542,7.24,11.565
659.458,8.63,13.482
659.375,10.13,15.426
659.292,11.32,16.48
659.208,12.16,16.001
659.125,12.32,15.293
659.042,12.65,13.794
658.958,12.36,11.901
658.875,11.36,10.592
658.792,9.98,10.11
658.708,9.24,10.117
658.625,9.67,10.64
658.542,11.31,12.288
658.458,13.92,14.658
658.375,17.46,16.199
658.292,21.25,17.045
658.208,24.04,16.843
658.125,25.37,15.954
658.042,25.28,13.933
657.958,25.17,12.53
657.875,24.88,11.263
657.792,20.94,10.876
657.708,15.24,12.151
657.625,9.36,13.493
657.542,7.33,15.356
657.458,6.73,17.527
657.375,6.39,18.359
657.292,7.27,18.207
657.208,9.3,17.231
657.125,11.07,15.452
657.042,12.34,13.304
656.958,12.28,11.402
656.875,11.04,11.105
656.792,10.14,11.741
656.708,9.75,12.637
656.625,9.58,15.322
656.542,9.95,17.618
656.458,10.73,17.855
656.375,11.6,17.932
656.292,12.6,17.699
656.208,13.76,17.47
656.125,14.93,16.825
656.042,15.57,16.603
655.958,15.28,16.087
655.792,13.04,15.571
655.708,12.78,14.915
655.625,12.48,14.768
655.542,12.45,14.554
655.458,13.35,14.548
655.375,14.67,15.076
655.292,16.51,16.099
655.208,18.02,16.253
655.125,18.88,14.649
655.042,19.44,12.912
654.958,19.66,10.618
654.875,19.88,8.9688
654.792,19.27,7.8731
654.708,18.91,7.0585
654.625,18.8,7.7126
654.542,19.04,8.5913
654.458,19.27,9.6827
654.375,19.05,11.252
654.292,18.51,12.371
654.208,18.26,13.134
654.125,18.39,12.885
654.042,17.63,12.079
653.958,14.76,10.717
653.875,10.88,8.836
653.792,9.41,6.5759
653.708,9.19,5.3334
653.625,9.58,12.66
653.542,9.45,13.284
653.458,9.71,13.381
653.375,10.41,11.062
653.292,11.12,9.9079
653.208,12.26,10.211
653.125,13.07,11.291
653.042,12.78,11.976
652.958,11.72,12.064
652.875,10.95,13.728
652.792,11.11,13.699
652.708,11.77,14.107
652.625,12.39,15.017
652.542,13.49,14.275
652.458,15.41,13.846
652.375,17.28,12.849
652.292,17.44,10.171
652.208,16.31,9.6466
652.125,15.05,7.4379
652.042,14.41,7.622
651.958,13.56,8.6892
651.875,12.79,9.7958
651.792,12.36,10.999
651.708,12.24,12.653
651.625,12.28,13.767
651.542,12.65,14.371
651.458,12.78,14.187
651.375,12.87,13.847
651.292,13.55,13.823
651.208,14.91,14.188
651.125,15.57,12.865
651.042,15.19,10.785
650.958,14.28,12.013
650.875,12.96,14.129
650.792,11.63,16.649
650.708,11.02,17.696
650.625,11.55,16.378
650.542,12.42,15.717
650.458,13.33,14.091
650.375,14.54,12.375
650.292,15.2,11.023
650.208,15.41,10.197
650.125,15.49,9.3421
650.042,15.51,9.3394
649.958,16.16,9.6783
649.875,17.09,10.582
649.792,17.56,11.458
649.708,18.06,13.049
649.625,17.95,13.834
649.542,17.93,13.269
649.458,17.9,12.644
649.375,18.07,11.285
649.292,18.31,9.5972
649.208,18.91,8.01
649.125,18.97,7.6852
649.042,18.64,8.5953
648.958,17.81,9.7941
648.875,16.97,11.703
648.792,16.63,13.79
648.708,15.29,15.02
648.625,12.83,15.878
648.542,10.95,16.196
648.458,10.23,16.456
648.375,10.01,16.587
648.292,9.86,15.673
648.208,9.67,14.774
648.125,9.8,12.644
648.042,10.08,10.442
647.958,9.99,9.0913
647.875,9.65,8.4937
647.792,9.33,9.0437
647.708,9.3,9.9203
647.625,10.07,10.49
647.542,10.22,10.71
647.458,10.09,10.542
647.375,9.92,10.114
647.292,10.04,9.7132
647.208,10.06,9.3447
647.125,9.67,8.4607
647.042,9.31,7.933
646.958,9.18,8.2751
646.875,9.27,9.1425
646.792,9.98,10.497
646.708,11.3,11.899
646.625,12.6,12.57
646.542,13.72,12.624
646.458,14.67,12.036
646.375,14.93,11.022
646.292,14.78,10.188
646.208,14.21,9.344
646.125,13,9.3301
646.042,11.82,10.102
645.958,10.94,11.427
645.875,10.25,13.313
645.792,10.14,14.315
645.708,9.52,15.491
645.625,8.75,16.259
645.542,9.3,15.985
645.458,9.5,15.36
645.375,10.06,13.947
645.292,13.22,13.126
645.208,16.68,12.656
645.125,18.8,12.488
645.042,18.86,13.944
644.958,16.33,16.599
644.875,13.88,20.925
644.792,12.02,23.859
644.708,10.69,24.798
644.625,10.07,24.048
644.542,10.55,21.073
644.458,10.79,16.186
644.375,11.11,12.451
644.292,11.52,10.502
644.208,11.98,9.7473
644.125,11.91,9.8834
644.042,11.41,9.9213
643.958,10.57,9.4319
643.875,9.74,9.2364
643.792,9.64,9.3922
643.708,9.56,9.773
643.625,9.52,10.349
643.542,10.01,10.789
643.458,10.58,10.629
643.375,11.81,10.189
643.292,12.91,10.119
643.208,12.97,9.2762
643.125,12.5,8.8301
643.042,11.35,8.9285
642.958,10.2,9.2055
642.875,9.26,10.549
642.792,8.76,12.402
642.708,9.03,14.579
642.625,10.2,16.013
642.542,11.82,16.927
642.458,13.15,17.525
642.375,15.33,17.339
642.292,17.83,16.468
642.208,18.52,15.26
642.125,18.45,13.871
642.042,17.12,12.513
641.958,14.34,10.88
641.875,11.73,10.202
641.792,10.25,9.8436
641.708,10.37,9.695
641.625,10.71,11.801
641.542,10.83,13.564
641.458,11.33,14.372
641.375,12.1,13.738
641.292,12.89,15.051
641.208,13.42,15.145
641.125,13.07,14.502
640.958,10.12,14.097
640.875,9.24,13.077
640.792,8.79,11.831
640.708,8.85,13.592
640.625,9.27,18.795
640.542,9.35,17.199
640.458,9.8,17.078
640.375,10.74,17.902
640.292,11.97,17.795
640.208,12.58,16.705
640.125,12.37,15.087
640.042,11.38,13.961
639.958,10.42,12.836
639.875,9.62,11.945
639.792,9.06,11.993
639.708,9.12,12.718
639.625,9.83,14.282
639.542,10.33,16.427
639.458,10.77,19.187
639.375,11,21.307
639.292,11.3,20.627
639.208,11.73,18.163
639.125,11.84,13.896
639.042,11.92,9.9085
638.958,11.78,7.7638
638.875,11.58,7.6076
638.792,11.48,7.9682
638.708,11.4,8.5631
638.625,11.54,10.368
638.542,11.99,11.83
638.458,12.25,12.433
638.375,12.09,12.243
638.292,12.6,11.809
638.208,13.12,11.241
638.125,13.19,10.416
638.042,13.48,9.1111
637.958,14.01,8.3304
637.875,14.86,8.0417
637.792,15.64,7.8723
637.708,17.66,7.6111
637.625,20.08,8.372
637.542,23.19,9.4674
637.458,25.77,10.48
637.375,28.24,11.051
637.292,28.57,10.545
637.208,26.83,9.5816
637.125,24.51,8.523
637.042,22.16,8.3471
636.958,18.32,8.1191
636.875,13.51,8.0241
636.792,10.98,8.3627
636.708,9.62,9.1161
636.625,9.32,10.135
636.542,9.44,10.461
636.458,10.67,10.905
636.375,13.49,10.685
636.292,17.03,10.014
636.208,18.41,8.8501
636.125,16.23,7.4895
636.042,11.97,7.2015
635.958,9.85,6.8058
635.875,9.37,6.7367
635.792,9.28,6.979
635.708,9.45,7.4062
635.625,10.09,8.34
635.542,10.63,9.3171
635.458,11.65,10.672
635.375,12.83,11.995
635.292,13.52,12.068
635.208,13.72,11.254
635.125,13.33,10.657
635.042,12.94,9.6517
634.958,11.27,8.9652
634.875,8.97,8.1181
634.792,7.78,8.3207
634.292,9.23,8.8907
634.208,12.25,9.9911
634.125,16.34,10.763
634.042,18.33,12.412
633.958,17.89,14.624
633.875,16.38,16.474
633.792,14.18,16.68
633.708,12.44,15.809
633.625,11.81,14.658
633.542,12.28,13.469
633.458,13.01,13.034
633.375,13.98,13.307
633.292,15.08,14.352
633.208,17.56,16.161
633.125,21.47,18.621
633.042,26.41,18.812
632.958,31.73,18.015
632.875,35.77,17.6
632.792,37.39,16.684
632.708,36.49,16.014
632.625,33.63,15.01
632.542,30.18,13.811
632.458,27.56,12.503
632.375,27.59,12.118
632.292,28.78,11
632.208,29.16,11.668
632.125,28.73,13.18
632.042,27.75,14.697
631.958,26.02,16.38
631.875,23.96,17.167
631.792,21.21,16.557
631.708,18.58,14.223
631.625,16.45,11.273
631.542,15.47,9.4349
631.458,14.72,8.9853
631.375,13.89,9.1337
631.292,12.7,9.9918
631.208,11.74,11.273
631.125,11.04,13.505
631.042,9.8,15.621
630.958,9.29,16.697
630.875,9.85,18.455
630.792,10.64,18.823
630.708,11.69,18.383
630.625,12.66,18.157
630.542,13.31,17.978
630.458,13.54,17.408
630.375,13.93,17.39
630.292,15.14,17.539
630.208,16.14,18.561
630.125,16.02,19.778
630.042,14.46,20.14
629.958,13.01,19.762
629.875,11.92,13.783
629.792,11.11,12.007
629.708,11.18,9.8293
629.625,12.24,9.2947
629.542,13.47,9.8756
629.458,14.34,11.727
629.375,16.17,13.887
629.292,19.48,16.472
629.208,22.87,17.992
629.125,25.87,16.992
629.042,27.85,14.731
628.958,28.53,12.024
628.875,28.09,9.9763
628.792,26.68,9.6262
628.708,25.94,9.31
628.625,26.41,9.7474
628.542,29.56,10.834
628.458,34.99,13.047
628.375,42.02,15.082
628.292,50.52,15.644
628.208,58.56,15.13
628.125,65.85,13.826
628.042,74.63,11.772
627.958,86.84,10.378
627.875,101.97,10.222
627.792,118.34,10.46
627.708,135.53,10.567
627.625,148.46,10.898
627.542,155.22,11.556
627.458,157.21,12.199
627.375,156.92,13.215
627.292,150.63,15.178
627.208,136.62,15.673
627.125,118.42,15.277
627.042,94.7,14.554
626.958,70.97,13.671
626.875,51.03,12.902
626.792,43.05,12.545
626.708,37.41,12.604
626.625,32.44,12.008
626.542,33.11,11.336
626.458,34.42,10.347
626.375,34.89,9.7177
626.292,34.2,9.667
626.208,30.58,10.318
626.125,25.61,10.814
626.042,20.42,10.814
625.958,16.33,11.525
625.875,14.02,11.878
625.792,12.62,11.85
625.708,11.46,11.521
625.625,9.98,11.248
625.542,8.7,10.996
625.458,8.38,10.418
625.375,8.97,10.253
625.292,10.41,10.326
625.208,12.1,10.717
625.125,13.69,11.616
625.042,14.63,12.805
624.958,14.78,13.66
624.875,14.35,14.589
624.792,13.33,14.443
624.708,12.03,13.542
624.625,10.69,12.021
624.542,10.16,10.385
624.458,10.17,9.9586
624.375,10.86,9.7798
624.292,11.66,9.9805
624.208,12.36,10.14
624.125,12.31,10.425
624.042,12.04,11.534
623.958,10.93,13.235
623.875,9.5,14.559
623.792,9.04,16.078
623.708,9.9,16.276
623.625,11.39,14.524
623.542,13.78,13.02
623.458,16.99,11.506
623.375,20.08,9.9777
623.292,21.77,9.7346
623.208,21.48,10.499
623.125,18.38,11.745
623.042,13.99,12.273
622.958,9.55,13.579
622.875,6.45,15.803
622.792,5.23,15.863
622.708,5.51,15.458
622.625,6.43,15.116
622.542,7.53,13.768
622.458,8.84,11.654
622.375,10.67,10.763
622.292,12.64,10.103
622.208,14.47,9.9188
622.125,15.68,9.2755
622.042,15.12,9.5108
621.958,13.67,10.039
621.875,12.51,10.81
621.792,11.51,11.412
621.708,11.13,11.832
621.625,11.95,12.906
621.542,13.25,13.212
621.458,14.35,12.448
621.375,15.25,12.167
621.292,15.53,11.592
621.208,15.65,11.627
621.125,14.91,11.47
621.042,13.57,11.385
620.958,12.01,12.074
620.875,10.75,13.295
620.792,9.44,14.931
620.708,8.91,16.827
620.625,8.54,18.328
620.542,9.7,18.928
620.458,10.9,17.181
620.375,11.92,15.31
620.292,12.85,13.048
620.208,13.18,11.45
620.125,13.82,11.737
620.042,14.39,12.549
619.958,14.31,14.01
619.875,13.14,16.325
619.792,11.5,17.902
619.708,9.6,17.875
619.625,8.26,16.856
619.542,7.84,16.347
619.458,7.72,15.589
619.375,8.45,13.394
619.292,9.2,11.4
619.208,9.65,11.125
619.125,9.61,12.95
619.042,9.21,15.125
618.958,8.22,16.603
618.875,7.63,17.345
618.792,7.95,17.883
618.708,8.75,18.669
618.625,9.76,18.277
618.542,10.9,16.832
618.458,12.52,15.539
618.375,14.32,13.935
618.292,15.69,12.762
618.208,15.87,11.494
618.125,15.11,12.636
618.042,13.91,14.673
617.958,12.61,17.735
617.875,11.47,21.352
617.792,10.62,24.1
617.708,10.29,25.61
617.625,10.41,25.436
617.542,10.84,23.167
617.458,11.43,19.389
617.375,12.01,16.123
617.292,12.73,14.26
617.208,13.27,13.187
617.125,12.91,13.2
617.042,11.63,14.095
616.958,10.24,15.027
616.875,8.84,16.722
616.792,7.68,18.193
616.708,6.88,18.258
616.625,6.69,17.843
616.542,7.14,16.852
616.458,7.81,15.565
616.375,8.82,13.611
616.292,10.15,12.78
616.208,11.47,13.139
616.125,12.26,13.966
616.042,12.15,15.42
615.958,11.65,16.532
615.875,11.18,17.672
615.792,11.23,18.867
615.708,11.81,18.291
615.625,12.64,16.354
615.542,13.42,14.025
615.458,14.15,12.758
615.375,14.8,12.047
615.292,13.95,11.549
615.208,13.72,12.497
615.125,13.64,13.812
615.042,12.55,15.134
614.958,11.49,17.038
614.875,10.9,17.934
614.792,9.91,17.385
614.708,9.19,16.396
614.625,9.31,14.243
614.542,9.73,12.06
614.458,10.57,10.676
614.375,11.5,10.329
614.292,12.33,10.372
614.208,12.87,9.6955
614.125,12.93,7.5704
614.042,12.44,7.6404
613.958,11.59,7.437
613.875,10.88,8.0047
613.792,10.04,8.6267
613.708,9.43,9.136
613.625,9.34,10.096
613.542,9.79,11.102
613.458,10.26,13.181
613.375,10.78,15.681
613.292,12.05,16.373
613.208,13.02,15.545
613.125,13.04,13.248
613.042,12.38,11.226
612.958,11.46,10.295
612.208,10.25,9.6396
612.125,9.63,9.4993
612.042,8.41,9.7839
611.958,7.69,9.8349
611.875,7.46,10.476
611.792,7.49,11.57
611.708,8.07,12.578
611.625,9.44,13.804
611.542,11.4,15.649
611.458,14.03,16.84
611.375,16.86,16.119
611.292,18.78,13.878
611.208,20.2,11.572
611.125,20.4,10.609
611.042,19.05,10.786
610.958,17.4,11.744
610.875,15.79,12.135
610.792,13.88,12.521
610.708,12.43,15.256
610.625,11.59,17.753
610.542,11.44,20.128
610.458,11.29,21.104
610.375,11.55,19.731
610.292,12.12,18.126
610.208,12.92,16.677
610.125,13.38,14.97
610.042,13.11,15.07
609.958,12.3,15.528
609.875,11.43,16.933
609.792,10.93,18.124
609.708,10.34,20.412
609.625,10.08,21.898
609.542,10.47,23.526
609.458,11.13,24.579
609.375,12.48,21.98
609.292,14.26,19.737
609.208,15.67,16.978
609.125,16.74,14.675
