volcano_number,volcano_name,primary_volcano_type,last_eruption_year,country,region,subregion,latitude,longitude,elevation,tectonic_settings,evidence_category,major_rock_1,major_rock_2,major_rock_3,major_rock_4,major_rock_5,minor_rock_1,minor_rock_2,minor_rock_3,minor_rock_4,minor_rock_5,population_within_5_km,population_within_10_km,population_within_30_km,population_within_100_km
311190,Amukta,Stratovolcano,1997,United States,Alaska,Aleutian Islands,52.5,-171.252,1066,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
284200,Anatahan,Stratovolcano,2008,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",16.35,145.67,790,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,0,0,0,0
300390,Anaun,Stratovolcano,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,56.32,158.83,1828,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,2,4,56,5933
354004,Andahua-Orcopampa,Pyroclastic cone(s),1490,Peru,South America,Peru,-15.42,-72.33,4713,Subduction zone / Continental crust (>25 km),Eruption Dated,Trachyandesite / Basaltic Trachyandesite, , , , ,Trachyte / Trachydacite, , , , ,10317,10317,16541,171897
390023,Andrus,Shield(s),Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-75.8,-132.33,2978,Intraplate / Continental crust (>25 km),Evidence Uncertain,Trachyte / Trachydacite,Rhyolite,Trachyandesite / Basaltic Trachyandesite, , , , , , , ,0,0,0,0
257110,Aneityum,Stratovolcano(es),Unknown,Vanuatu,Melanesia and Australia,Vanuatu,-20.2,169.78,852,Subduction zone / Intermediate crust (15-25 km),Evidence Uncertain,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,176,692,703,22731
312090,Aniakchak,Caldera,1931,United States,Alaska,Alaska Peninsula,56.88,-158.17,1341,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt,Trachyte / Trachydacite,Trachyandesite / Basaltic Trachyandesite, , ,0,0,36,479
357153,Antillanca Volcanic Complex,Stratovolcano(es),-230,Chile,South America,Central Chile and Argentina,-40.783,-72.15,1979,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,87,521,5986,530586
352030,Antisana,Stratovolcano,1802,Ecuador,South America,Ecuador,-0.481,-78.141,5753,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,232,2220,56154,3314142
355180,Antofagasta Volcanic Field,Pyroclastic cone(s),Unknown,Argentina,South America,"Northern Chile, Bolivia and Argentina",-26.12,-67.4,3495,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite, , , , , , , , , ,188,188,257,4295
357080,Antuco,Stratovolcano,1869,Chile,South America,Central Chile and Argentina,-37.406,-71.349,2979,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,117,474,3872,381623
284060,Aogashima,Stratovolcano,1785,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",32.458,139.759,423,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,232,232,232,8559
358024,Apagado,Pyroclastic cone,-590,Chile,South America,Southern Chile and Argentina,-41.88,-72.58,1210,Subduction zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,5,44,4474,354002
343010,Apaneca Range,Stratovolcano(es),Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.891,-89.786,2036,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite,Trachyandesite / Basaltic Trachyandesite,Dacite,Rhyolite, , , , , ,11141,151502,1113282,6215853
343071,Apastepeque Field,Volcanic field,Unknown,El Salvador,México and Central America,El Salvador and Honduras,13.72,-88.77,700,Subduction zone / Continental crust (>25 km),Evidence Credible,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,377730,377730,687849,6372608
271030,Apo,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,6.989,125.269,2938,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,1355,5431,767800,7768291
344091,Apoyeque,Pyroclastic shield,-50,Nicaragua,México and Central America,Nicaragua,12.242,-86.342,518,Subduction zone / Continental crust (>25 km),Eruption Dated,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,2369,116718,1342581,3445854
355160,Aracar,Stratovolcano,Unknown,Argentina,South America,"Northern Chile, Bolivia and Argentina",-24.29,-67.783,6095,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,0,94,4803
214060,Aragats,Stratovolcano,Unknown,Armenia,Mediterranean and Western Asia,Western Asia,40.53,44.2,4095,Intraplate / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,0,163,150143,3046562
213040,Ararat,Stratovolcano,1840,Turkey,Mediterranean and Western Asia,Turkey,39.7,44.3,5165,Intraplate / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , ,25,1239,135563,2811646
273084,Arayat,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Luzon,15.2,120.742,1026,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , ,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , , ,7846,190674,2805269,27216491
221126,Ardoukoba,Fissure vent(s),1978,Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,11.58,42.47,298,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Rhyolite, , , , , , , ,2895,2895,6898,560146
345033,Arenal,Stratovolcano,2010,Costa Rica,México and Central America,Costa Rica,10.463,-84.703,1670,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,3429,15643,96512,3027485
231090,"Arhab, Harra of",Volcanic field,500,Yemen,Middle East and Indian Ocean,Middle East (southern),15.63,44.08,3100,Intraplate / Continental crust (>25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Trachyandesite / Basaltic Trachyandesite, , , , ,284443,284443,820695,6517834
263290,Arjuno-Welirang,Stratovolcano,1952,Indonesia,Indonesia,Java,-7.733,112.575,3339,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,2584,53983,4143137,25385433
305011,Arxan-Chaihe,Pyroclastic cone(s),0,China,Kamchatka and Mainland Asia,China (eastern),47.45,120.8,1677,Intraplate / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt, , , , , , , , , ,6435,6435,6435,188163
300058,Asacha,Complex,Unknown,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.355,157.827,1910,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , ,Dacite,Rhyolite, , , ,0,0,34,238467
283110,Asamayama,Complex,2019,Japan,"Japan, Taiwan, Marianas",Honshu,36.406,138.523,2568,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,583,22371,457576,7629353
385050,Ascension,Stratovolcano,1508,United Kingdom,Atlantic Ocean,Atlantic Ocean (central),-7.95,-14.37,858,Rift zone / Oceanic crust (< 15 km),Eruption Dated,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite,Trachyte / Trachydacite,Rhyolite, , , , , ,614,1149,1149,1149
373060,Askja,Stratovolcano,1961,Iceland,Iceland and Arctic Ocean,Iceland (northeastern),65.033,-16.783,1080,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Rhyolite, , , , ,0,0,0,13028
282110,Asosan,Caldera,2020,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,32.884,131.104,1592,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite,Basalt / Picro-Basalt, , , , , , ,75559,75559,234591,6507519
221125,Assab Volcanic Field,Volcanic field,Unknown,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,12.95,42.43,987,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,9,9,97,181952
284150,Asuncion,Stratovolcano,1906,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",19.671,145.406,857,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,0,0,0,0
282070,Ata,Caldera(s),885,Japan,"Japan, Taiwan, Marianas",Ryukyu Islands and Kyushu,31.22,130.57,924,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Rhyolite,Dacite,Basalt / Picro-Basalt, , , , , , ,93134,93134,171590,1891380
352021,Atacazo,Stratovolcano,-320,Ecuador,South America,Ecuador,-0.353,-78.617,4463,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,449,212988,1837303,3769593
311160,Atka,Stratovolcano(es),1812,United States,Alaska,Aleutian Islands,52.331,-174.139,1448,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Dacite,Andesite / Basaltic Andesite, , , , , , , ,0,0,207,207
320030,Atlin Volcanic Field,Pyroclastic cone(s),Unknown,Canada,Canada and Western USA,Canada,59.68,-133.32,1880,Intraplate / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt, , , ,Foidite, , , , ,0,0,94,956
357023,"Atuel, Caldera del",Caldera,Unknown,Argentina,South America,Central Chile and Argentina,-34.65,-70.05,5189,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt, , , , , , , ,297,297,1003,676916
241020,Auckland Volcanic Field,Volcanic field,1350,New Zealand,New Zealand to Fiji,New Zealand,-36.9,174.87,260,Subduction zone / Continental crust (>25 km),Eruption Dated,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Foidite, , , , , , , ,1049110,1049110,1222436,1446768
313010,Augustine,Lava dome(s),2006,United States,Alaska,Alaska (southwestern),59.363,-153.43,1252,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Rhyolite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , ,0,0,0,759
300100,Avachinsky,Stratovolcano,2001,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.256,158.836,2717,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,0,180016,270205
331021,Axial Seamount,Submarine,2015,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (northern),45.95,-130,-1410,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
302070,Azas Plateau,Volcanic field,Unknown,Russia,Kamchatka and Mainland Asia,Russia (southeastern),52.433,98.303,2765,Rift zone / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Phono-tephrite /  Tephri-phonolite, , , ,Basalt / Picro-Basalt, , , , ,142,142,142,4532
355061,"Azufre, Cerro del",Stratovolcano,Unknown,Chile,South America,"Northern Chile, Bolivia and Argentina",-21.787,-68.237,5846,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,0,58,1143,55567
353060,"Azul, Cerro",Shield,2008,Ecuador,South America,Galapagos Islands,-0.92,-91.408,1640,Rift zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,220,220,314,1936
357060,"Azul, Cerro",Stratovolcano,1967,Chile,South America,Central Chile and Argentina,-35.653,-70.761,3788,Subduction zone / Continental crust (>25 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite, , , ,Basalt / Picro-Basalt, , , , ,9,158,3832,720948
283180,Azumayama,Stratovolcano(es),1977,Japan,"Japan, Taiwan, Marianas",Honshu,37.735,140.244,1949,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,128,907,548195,4877648
274030,Babuyan Claro,Stratovolcano(es),1924,Philippines,Philippines and SE Asia,North of Luzon,19.523,121.94,1080,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,208,222,222,11819
322090,Bachelor,Stratovolcano,-5800,United States,Canada and Western USA,USA (Oregon),43.979,-121.688,2763,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,18,24,22514,231420
255020,Bagana,Lava cone,2020,Papua New Guinea,Melanesia and Australia,Bougainville and Solomon Islands,-6.137,155.196,1855,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,198,404,7861,115257
300123,Bakening,Stratovolcano,-550,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,53.905,158.07,2278,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Dacite,Basalt / Picro-Basalt,Rhyolite, , , , , , ,0,10,1583,87139
321010,Baker,Stratovolcano(es),1880,United States,Canada and Western USA,USA (Washington),48.777,-121.813,3285,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,0,46,8568,1990504
231170,"Bal Haf, Harra of",Volcanic field,Unknown,Yemen,Middle East and Indian Ocean,Middle East (southern),14.067,48.3,604,Intraplate / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,5690,5690,6643,177124
250020,Baluan,Stratovolcano,Unknown,Papua New Guinea,Melanesia and Australia,Admiralty Islands,-2.57,147.28,254,Subduction zone / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt, , , , , , , , , ,242,248,982,46898
271010,Balut,Stratovolcano,Unknown,Philippines,Philippines and SE Asia,Mindanao,5.4,125.375,862,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,1472,1901,10763,1286239
273050,Banahaw,Complex,Unknown,Philippines,Philippines and SE Asia,Luzon,14.07,121.48,2158,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,754,93134,1698285,23837289
265090,Banda Api,Caldera,1988,Indonesia,Indonesia,Banda Sea,-4.523,129.881,596,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , ,5682,5682,5810,5810
283160,Bandaisan,Stratovolcano,1888,Japan,"Japan, Taiwan, Marianas",Honshu,37.601,140.072,1816,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite, , , , , , , , , ,5923,17608,327454,4709782
