"","country","confederation","population_share","tv_audience_share","gdp_weighted_share"
"47","Hungary","UEFA",0.1,0.3,0.4
"48","Kazakhstan","UEFA",0.2,0.3,0.3
"49","Finland","UEFA",0.1,0.2,0.3
"50","Ireland","UEFA",0.1,0.1,0.3
"51","Algeria","CAF",0.5,0.4,0.3
"52","Cuba","CONCACAF",0.2,0.3,0.3
"53","Ecuador","CONMEBOL",0.2,0.5,0.3
"54","Slovakia","UEFA",0.1,0.2,0.3
"55","Qatar","AFC",0,0,0.2
"56","Kuwait","AFC",0,0.1,0.2
"57","Bulgaria","UEFA",0.1,0.2,0.2
"58","Serbia","UEFA",0.1,0.3,0.2
"59","Belarus","UEFA",0.1,0.2,0.2
"60","Hong Kong","AFC",0.1,0.1,0.2
"61","Croatia","UEFA",0.1,0.1,0.1
"62","Oman","AFC",0,0,0.1
"63","Dominica Republic","CONCACAF",0.1,0.2,0.1
"64","Azerbaijan","UEFA",0.1,0.1,0.1
"65","New Zealand","OFC",0.1,0.1,0.1
"66","Lithuania","UEFA",0,0.1,0.1
"67","Slovenia","UEFA",0,0.1,0.1
"68","Uruguay","CONMEBOL",0,0.1,0.1
"69","Costa Rica","CONCACAF",0.1,0.2,0.1
"70","Uzbekistan","AFC",0.4,0.5,0.1
"71","Yemen","CAF",0.3,0.4,0.1
"72","Israel","UEFA",0.1,0.1,0.1
"73","El Salvador","CONCACAF",0.1,0.2,0.1
"74","Syria","AFC",0.3,0.3,0.1
"75","Pakistan","AFC",2.5,0.4,0.1
"76","Guatemala","CONCACAF",0.2,0.2,0.1
"77","Paraguay","CONMEBOL",0.1,0.2,0.1
"78","Panama","CONCACAF",0.1,0.1,0.1
"79","Bosnia-Herzegovina","UEFA",0.1,0.1,0.1
"80","Cambodia","AFC",0.2,0.5,0.1
"81","Ivory Coast","CAF",0.3,0.4,0.1
"82","Macau","AFC",0,0,0.1
"83","Latvia","UEFA",0,0.1,0.1
"84","Lebanon","AFC",0.1,0.1,0.1
"85","Jordan","AFC",0.1,0.1,0.1
"86","Honduras","CONCACAF",0.1,0.3,0.1
"87","Brunei","AFC",0,0,0.1
"88","Albania","UEFA",0,0.1,0.1
"89","Turkmenistan","AFC",0.1,0.1,0.1
"90","Angola","CAF",0.3,0.1,0.1
"91","Estonia","UEFA",0,0,0
"92","Bahrain","AFC",0,0,0
"93","Nepal","AFC",0.4,0.4,0
"94","Cyprus","UEFA",0,0,0
"95","Ghana","CAF",0.4,0.2,0
"96","Mauritius","CAF",0,0,0
"97","Macedonia","UEFA",0,0.1,0
"98","Kenya","CAF",0.6,0.3,0
"99","Trinidad &Tobago","CONCACAF",0,0,0
"100","Philippines","AFC",1.4,0.1,0
"101","Bolivia","CONMEBOL",0.1,0.1,0
"102","Laos","AFC",0.1,0.2,0
"103","Armenia","UEFA",0,0.1,0
"104","Nicaragua","CONCACAF",0.1,0.1,0
"105","Afghanistan","AFC",0.4,0.3,0
"106","Kosovo","UEFA",0,0.1,0
"107","Cameroon","CAF",0.3,0.2,0
"108","Senegal","CAF",0.2,0.2,0
"109","Jamaica","CONCACAF",0,0.1,0
"110","Sri Lanka","AFC",0.3,0.1,0
"111","Myanmar","AFC",0.8,0.1,0
"112","Moldova","UEFA",0.1,0.1,0
"113","Malta","UEFA",0,0,0
"114","Bangladesh","AFC",2.2,0.1,0
"115","Zambia","CAF",0.2,0.1,0
"116","Morocco","CAF",0.5,0.1,0
"117","North Korea","AFC",0.4,0.2,0
"118","Botswana","CAF",0,0,0
"119","Tajikistan","AFC",0.1,0.1,0
"120","Iceland","UEFA",0,0,0
"121","Uganda","CAF",0.5,0.2,0
"122","Libya","CAF",0.1,0,0
"123","Palestine","AFC",0.1,0.1,0
"124","Kyrgyzstan","AFC",0.1,0.1,0
"125","Mongolia","AFC",0,0,0
"126","Montenegro","UEFA",0,0,0
"127","Tanzania","CAF",0.7,0.1,0
"128","Georgia","UEFA",0.1,0,0
"129","Suriname","CONCACAF",0,0,0
"130","Sudan","CAF",0.5,0.1,0
"131","Gabon","CAF",0,0,0
"132","Madagascar","CAF",0.3,0.1,0
"133","Tunisia","AFC",0.2,0,0
"134","Ethiopia","CAF",1.3,0.2,0
"135","Zimbabwe","CAF",0.2,0.1,0
"136","Namibia","CAF",0,0,0
"137","Bahamas","CONCACAF",0,0,0
"138","Papua New Guinea","OFC",0.1,0.1,0
"139","Guyana","CONCACAF",0,0,0
"140","Turks & Caicos","CONCACAF",0,0,0
"141","Congo DR","CAF",0.9,0.2,0
"142","Burkina Faso","CAF",0.2,0.1,0
"143","Guinea","CAF",0.2,0.1,0
"144","Haiti","CONCACAF",0.1,0.1,0
"145","Fiji","OFC",0,0,0
"146","Barbados","CONCACAF",0,0,0
"147","Mali","CAF",0.2,0,0
"148","Bermuda","CONCACAF",0,0,0
"149","St. Maarten","CONCACAF",0,0,0
"150","Equatorial Guinea","CAF",0,0,0
"151","Mozambique","CAF",0.3,0.1,0
"152","Seychelles","CAF",0,0,0
"153","Cape Verde","CAF",0,0,0
"154","Benin","CAF",0.1,0,0
"155","Swaziland","CAF",0,0,0
"156","Cayman Islands","CONCACAF",0,0,0
"157","Aruba","CONCACAF",0,0,0
"158","Maldives","AFC",0,0,0
"159","Niger","CAF",0.2,0.1,0
"160","Curacao","CONCACAF",0,0,0
"161","St. Lucia","CONCACAF",0,0,0
"162","Togo","CAF",0.1,0,0
"163","Burundi","CAF",0.1,0.1,0
"164","Congo, Rep.","CAF",0.1,0,0
"165","Antigua & Barbuda","CONCACAF",0,0,0
"166","Chad","CAF",0.2,0,0
"167","Eritrea","CAF",0.1,0,0
"168","Grenada","CONCACAF",0,0,0
"169","Lesotho","CAF",0,0,0
"170","St. Vincent","CONCACAF",0,0,0
"171","Malawi","CAF",0.2,0,0
"172","Sierra Leone","CAF",0.1,0,0
"173","Mauritania","CAF",0.1,0,0
"174","Solomon Islands","OFC",0,0,0
"175","Dominica","CONCACAF",0,0,0
"176","Timor","AFC",0,0,0
"177","St. Kitts","CONCACAF",0,0,0
"178","Rwanda","CAF",0.2,0,0
"179","Somalia","CAF",0.1,0,0
"180","Gambia","CAF",0,0,0
"181","Samoa","OFC",0,0,0
"182","Guinea-Bissau","CAF",0,0,0
"183","Central African Republic","CAF",0.1,0,0
"184","Vanuatu","OFC",0,0,0
"185","American Samoa","OFC",0,0,0
"186","Cook Islands","OFC",0,0,0
"187","Tonga","OFC",0,0,0
"188","Liberia","CAF",0.1,0,0
"189","Palau","OFC",0,0,0
"190","Nauru","OFC",0,0,0
"191","Niue","OFC",0,0,0
