Entity,Code,Year,Access to clean fuels and technologies for cooking (% of population),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,600,,,23483725,
Africa,,700,,,27061425,
Africa,,800,,,31602848,
Africa,,900,,,35593687,
Africa,,1000,,,39673660,
Africa,,1100,,,42223444,
Africa,,1200,,,45290408,
Africa,,1300,,,50658338,
Africa,,1400,,,54510504,
Africa,,1500,,,58251566,
Africa,,1600,,,68167009,
Africa,,1700,,,74806013,
Africa,,1710,,,74126796,
Africa,,1720,,,74594159,
Africa,,1730,,,75107068,
Africa,,1740,,,75667288,
Africa,,1750,,,76278068,
Africa,,1760,,,76942994,
Africa,,1770,,,77667543,
Africa,,1780,,,78459461,
Africa,,1790,,,79313374,
Africa,,1800,,,81271175,
Africa,,1801,,,81313551,
Africa,,1802,,,81418900,
Africa,,1803,,,81525621,
Africa,,1804,,,81633731,
Africa,,1805,,,81743247,
Africa,,1806,,,81854174,
Africa,,1807,,,81966528,
Africa,,1808,,,82080332,
Africa,,1809,,,82195596,
Africa,,1810,,,82385588,
Africa,,1811,,,82440934,
Africa,,1812,,,82579573,
Africa,,1813,,,82729616,
Africa,,1814,,,82891459,
Africa,,1815,,,83065241,
Africa,,1816,,,83251124,
Africa,,1817,,,83449261,
Africa,,1818,,,83659804,
Africa,,1819,,,83954434,
Africa,,1820,,,84416701,
Africa,,1821,,,84811641,
Africa,,1822,,,85376766,
Africa,,1823,,,86056105,
Africa,,1824,,,86755919,
Africa,,1825,,,87476538,
Africa,,1826,,,88218276,
Africa,,1827,,,88981474,
Africa,,1828,,,89766472,
Africa,,1829,,,90573904,
Africa,,1830,,,91494028,
Africa,,1831,,,92257560,
Africa,,1832,,,93125349,
Africa,,1833,,,94007792,
Africa,,1834,,,94904834,
Africa,,1835,,,95816766,
Africa,,1836,,,96743850,
Africa,,1837,,,97686357,
Africa,,1838,,,98644581,
Africa,,1839,,,99638115,
Africa,,1840,,,100772649,
Africa,,1841,,,101734515,
Africa,,1842,,,102839146,
Africa,,1843,,,103982621,
Africa,,1844,,,105146559,
Africa,,1845,,,106331394,
Africa,,1846,,,107537534,
Africa,,1847,,,108765412,
Africa,,1848,,,110015469,
Africa,,1849,,,111156406,
Africa,,1850,,,112295370,
Africa,,1851,,,112846162,
Africa,,1852,,,113385258,
Africa,,1853,,,113801930,
Africa,,1854,,,114222280,
Africa,,1855,,,114646381,
Africa,,1856,,,115074281,
Africa,,1857,,,115506066,
Africa,,1858,,,115941807,
Africa,,1859,,,116390242,
Africa,,1860,,,117016275,
Africa,,1861,,,117325088,
Africa,,1862,,,117811414,
Africa,,1863,,,118310277,
Africa,,1864,,,118812918,
Africa,,1865,,,119319375,
Africa,,1866,,,119829679,
Africa,,1867,,,120343860,
Africa,,1868,,,120861940,
Africa,,1869,,,121396213,
Africa,,1870,,,122130573,
Africa,,1871,,,122512483,
Africa,,1872,,,123096528,
Africa,,1873,,,123697570,
Africa,,1874,,,124303524,
Africa,,1875,,,124914434,
Africa,,1876,,,125530329,
Africa,,1877,,,126151259,
Africa,,1878,,,126777272,
Africa,,1879,,,127418579,
Africa,,1880,,,128257119,
Africa,,1881,,,128747572,
Africa,,1882,,,129435490,
Africa,,1883,,,130139177,
Africa,,1884,,,130848603,
Africa,,1885,,,131563803,
Africa,,1886,,,132284841,
Africa,,1887,,,133011765,
Africa,,1888,,,133744628,
Africa,,1889,,,134394419,
Africa,,1890,,,135129385,
Africa,,1891,,,135445399,
Africa,,1892,,,135846881,
Africa,,1893,,,136165893,
Africa,,1894,,,136491624,
Africa,,1895,,,136824118,
Africa,,1896,,,137163427,
Africa,,1897,,,137509591,
Africa,,1898,,,137862661,
Africa,,1899,,,138243556,
Africa,,1900,,,138827369,
Africa,,1901,,,139094637,
Africa,,1902,,,139567767,
Africa,,1903,,,140074606,
Africa,,1904,,,140595545,
Africa,,1905,,,141130711,
Africa,,1906,,,141680233,
Africa,,1907,,,142244256,
Africa,,1908,,,142822923,
Africa,,1909,,,143407172,
Africa,,1910,,,144170612,
Africa,,1911,,,144586985,
Africa,,1912,,,145180745,
Africa,,1913,,,145775225,
Africa,,1914,,,146378430,
Africa,,1915,,,146990451,
Africa,,1916,,,147611381,
Africa,,1917,,,148241306,
Africa,,1918,,,148852646,
Africa,,1919,,,149715052,
Africa,,1920,,,151007600,
Africa,,1921,,,152208708,
Africa,,1922,,,153847948,
Africa,,1923,,,155754237,
Africa,,1924,,,157688951,
Africa,,1925,,,159652537,
Africa,,1926,,,161645440,
Africa,,1927,,,163668127,
Africa,,1928,,,165721048,
Africa,,1929,,,167806256,
Africa,,1930,,,170123290,
Africa,,1931,,,172075410,
Africa,,1932,,,174260306,
Africa,,1933,,,176479403,
Africa,,1934,,,178731614,
Africa,,1935,,,181017458,
Africa,,1936,,,183337445,
Africa,,1937,,,185692116,
Africa,,1938,,,188081992,
Africa,,1939,,,190625616,
Africa,,1940,,,193553408,
Africa,,1941,,,196192789,
Africa,,1942,,,199225975,
Africa,,1943,,,202432183,
Africa,,1944,,,205698555,
Africa,,1945,,,209026260,
Africa,,1946,,,212416498,
Africa,,1947,,,215870471,
Africa,,1948,,,219389433,
Africa,,1949,,,223251064,
Africa,,1950,,,227794137,
Africa,,1951,,,232327854,
Africa,,1952,,,237096560,
Africa,,1953,,,242092455,
Africa,,1954,,,247310597,
Africa,,1955,,,252748917,
Africa,,1956,,,258408217,
Africa,,1957,,,264292214,
Africa,,1958,,,270407028,
Africa,,1959,,,276760722,
Africa,,1960,,,283361169,
Africa,,1961,,,290214463,
Africa,,1962,,,297322603,
Africa,,1963,,,304683363,
Africa,,1964,,,312291849,
Africa,,1965,,,320147295,
Africa,,1966,,,328256593,
Africa,,1967,,,336631176,
Africa,,1968,,,345280352,
Africa,,1969,,,354214821,
Africa,,1970,,,363447593,
Africa,,1971,,,372983506,
Africa,,1972,,,382837766,
Africa,,1973,,,393044438,
Africa,,1974,,,403645936,
Africa,,1975,,,414674675,
Africa,,1976,,,426144455,
Africa,,1977,,,438054806,
Africa,,1978,,,450403896,
Africa,,1979,,,463183559,
Africa,,1980,,,476386225,
Africa,,1981,,,490003904,
Africa,,1982,,,504034176,
Africa,,1983,,,518479759,
Africa,,1984,,,533345151,
Africa,,1985,,,548626140,
Africa,,1986,,,564327298,
Africa,,1987,,,580424290,
Africa,,1988,,,596849006,
Africa,,1989,,,613512108,
Africa,,1990,,,630349685,
Africa,,1991,,,647344041,
Africa,,1992,,,664512034,
Africa,,1993,,,681869333,
Africa,,1994,,,699445412,
Africa,,1995,,,717270112,
Africa,,1996,,,735361106,
Africa,,1997,,,753737584,
Africa,,1998,,,772437161,
Africa,,1999,,,791504165,
Africa,,2000,,,810984230,
Africa,,2001,,,830902539,
Africa,,2002,,,851298437,
Africa,,2003,,,872248336,
Africa,,2004,,,893842786,
Africa,,2005,,,916154285,
Africa,,2006,,,939210049,
Africa,,2007,,,963021837,
Africa,,2008,,,987623519,
Africa,,2009,,,1013045724,
Africa,,2010,,,1039304030,
Africa,,2011,,,1066409711,
Africa,,2012,,,1094343029,
Africa,,2013,,,1123045137,
Africa,,2014,,,1152433617,
Africa,,2015,,,1182438803,
Africa,,2016,,,1213040542,
Africa,,2017,,,1244222269,
Africa,,2018,,,1275921014,
Africa,,2019,,,1308064176,
Africa,,2020,,,1340598111,
Africa,,2021,,,1373486472,
Africa Eastern and Southern,,2000,12.205985334256,2654.76790045922,,
Africa Eastern and Southern,,2001,12.5493332143826,2678.70620140802,,
Africa Eastern and Southern,,2002,12.8877052744847,2707.90866643825,,
Africa Eastern and Southern,,2003,13.2263347774934,2718.73474712195,,
Africa Eastern and Southern,,2004,13.5755915831281,2797.85135649816,,
Africa Eastern and Southern,,2005,13.9243539706952,2901.69026290011,,
Africa Eastern and Southern,,2006,14.2660310520972,3023.41795179023,,
Africa Eastern and Southern,,2007,14.5962971181626,3159.88040695507,,
Africa Eastern and Southern,,2008,14.9552860566119,3229.27819768129,,
Africa Eastern and Southern,,2009,15.2810233296453,3192.54792304903,,
Africa Eastern and Southern,,2010,15.6312911024101,3273.44736967583,,
Africa Eastern and Southern,,2011,15.9812561302977,3338.58200706857,,
Africa Eastern and Southern,,2012,16.320474865037,3394.21233694266,,
Africa Eastern and Southern,,2013,16.6432428558172,3462.87789754429,,
Africa Eastern and Southern,,2014,16.9946949543723,3524.83293356316,,
Africa Eastern and Southern,,2015,17.3131682773135,3549.48056329573,,
Africa Eastern and Southern,,2016,17.6049500630141,3546.7112502054,,
Africa Eastern and Southern,,1990,,2867.19255379229,,
Africa Eastern and Southern,,1991,,2783.02852829267,,
Africa Eastern and Southern,,1992,,2642.47993721311,,
Africa Eastern and Southern,,1993,,2551.34296640363,,
Africa Eastern and Southern,,1994,,2528.41643454275,,
Africa Eastern and Southern,,1995,,2570.46218315209,,
Africa Eastern and Southern,,1996,,2642.46735142697,,
Africa Eastern and Southern,,1997,,2659.71403090533,,
Africa Eastern and Southern,,1998,,2637.93063815979,,
Africa Eastern and Southern,,1999,,2640.33649410258,,
Africa Eastern and Southern,,2017,,3569.66702838607,,
Africa Eastern and Southern,,2018,,3579.27191657852,,
Africa Eastern and Southern,,2019,,3568.59701698507,,
Africa Eastern and Southern,,2020,,3387.59467010415,,
Africa Western and Central,,2000,4.90964640300417,2676.80640762878,,
Africa Western and Central,,2001,5.06196096350256,2748.43190180746,,
Africa Western and Central,,2002,5.24557929773397,2929.1273544235,,
Africa Western and Central,,2003,5.40223734639705,3013.9962056001,,
Africa Western and Central,,2004,5.62554249285137,3159.38546581922,,
Africa Western and Central,,2005,5.85774153184073,3254.02283869136,,
Africa Western and Central,,2006,6.09499446493502,3332.79869722853,,
Africa Western and Central,,2007,6.33539757139376,3419.85988703438,,
Africa Western and Central,,2008,6.62588701077031,3530.74139022911,,
Africa Western and Central,,2009,6.90756668695701,3640.41807062482,,
Africa Western and Central,,2010,7.2287555528149,3773.01146069906,,
Africa Western and Central,,2011,7.55921110661372,3854.72059372725,,
Africa Western and Central,,2012,7.92848122699368,3953.02229397102,,
Africa Western and Central,,2013,8.29518563400425,4076.15155422383,,
Africa Western and Central,,2014,8.70836872392952,4197.74214587865,,
Africa Western and Central,,2015,9.15899826244474,4202.05792297522,,
Africa Western and Central,,2016,9.62951109641277,4106.96951137272,,
Africa Western and Central,,1990,,2810.7812036006,,
Africa Western and Central,,1991,,2771.22595817749,,
Africa Western and Central,,1992,,2765.52257116159,,
Africa Western and Central,,1993,,2665.86423718964,,
Africa Western and Central,,1994,,2594.50088704085,,
Africa Western and Central,,1995,,2582.23811523284,,
Africa Western and Central,,1996,,2633.38097050178,,
Africa Western and Central,,1997,,2661.79115188393,,
Africa Western and Central,,1998,,2685.4179102178,,
Africa Western and Central,,1999,,2658.74506274182,,
Africa Western and Central,,2017,,4099.55966564973,,
Africa Western and Central,,2018,,4115.2358007738,,
Africa Western and Central,,2019,,4142.39838164389,,
Africa Western and Central,,2020,,4003.1589131452,,
Akrotiri and Dhekelia,OWID_AKD,2015,,,,Asia
Albania,ALB,2000,39.8,5893.13623256329,3129246,
Albania,ALB,2001,42.7,6441.85345238676,3129701,
Albania,ALB,2002,45.23,6754.53600301332,3126183,
Albania,ALB,2003,47.62,7154.78482512179,3118017,
Albania,ALB,2004,50.53,7580.62909108667,3104893,
Albania,ALB,2005,53.25,8040.87871678112,3086810,
Albania,ALB,2006,55.57,8569.19111251045,3063021,
Albania,ALB,2007,58.14,9150.51874704368,3033993,
Albania,ALB,2008,60.75,9912.57724242974,3002683,
Albania,ALB,2009,63.24,10313.926441304,2973044,
Albania,ALB,2010,65.23,10749.4874481658,2948029,
Albania,ALB,2011,67.81,11052.7904635136,2928601,
Albania,ALB,2012,69.96,11227.9944871972,2914091,
Albania,ALB,2013,71.78,11361.2936763788,2903788,
Albania,ALB,2014,73.98,11586.8637666424,2896307,
Albania,ALB,2015,75.37,11878.4880933446,2890524,Europe
Albania,ALB,2016,77.42,12291.8733773928,2886427,
Albania,ALB,1990,,4827.31848375491,3286070,
Albania,ALB,1991,,3496.58024610028,3280397,
Albania,ALB,1992,,3265.01742857304,3245887,
Albania,ALB,1993,,3599.02705819638,3195196,
Albania,ALB,1994,,3921.85120713086,3146518,
Albania,ALB,1995,,4471.87106998715,3112923,
Albania,ALB,1996,,4909.22810492363,3098699,
Albania,ALB,1997,,4400.57782736551,3099747,
Albania,ALB,1998,,4819.38753360483,3110699,
Albania,ALB,1999,,5475.16913542593,3122700,
Albania,ALB,2017,,12770.9750370811,2884169,
Albania,ALB,2018,,13323.7533559132,2882735,
Albania,ALB,2019,,13671.4884222978,2880913,
Albania,ALB,2020,,13295.4108845409,2877800,
Albania,ALB,-10000,,,1199,
Albania,ALB,-9000,,,1999,
Albania,ALB,-8000,,,3332,
Albania,ALB,-7000,,,5554,
Albania,ALB,-6000,,,9256,
Albania,ALB,-5000,,,15428,
Albania,ALB,-4000,,,25713,
Albania,ALB,-3000,,,42855,
Albania,ALB,-2000,,,71426,
Albania,ALB,-1000,,,119043,
Albania,ALB,0,,,198405,
Albania,ALB,100,,,198604,
Albania,ALB,200,,,198803,
Albania,ALB,300,,,199001,
Albania,ALB,400,,,199201,
Albania,ALB,500,,,199400,
Albania,ALB,600,,,199600,
Albania,ALB,700,,,199799,
Albania,ALB,800,,,200000,
Albania,ALB,900,,,200000,
Albania,ALB,1000,,,200000,
Albania,ALB,1100,,,200000,
Albania,ALB,1200,,,200000,
Albania,ALB,1300,,,200000,
Albania,ALB,1400,,,200000,
Albania,ALB,1500,,,200000,
Albania,ALB,1600,,,200000,
Albania,ALB,1700,,,299999,
Albania,ALB,1710,,,311416,
Albania,ALB,1720,,,322833,
Albania,ALB,1730,,,334250,
Albania,ALB,1740,,,345666,
Albania,ALB,1750,,,357083,
Albania,ALB,1760,,,368499,
Albania,ALB,1770,,,379916,
Albania,ALB,1780,,,391333,
Albania,ALB,1790,,,402750,
Albania,ALB,1800,,,400000,
Albania,ALB,1801,,,401773,
Albania,ALB,1802,,,403554,
Albania,ALB,1803,,,405343,
Albania,ALB,1804,,,407140,
Albania,ALB,1805,,,408945,
Albania,ALB,1806,,,410758,
Albania,ALB,1807,,,412579,
Albania,ALB,1808,,,414408,
Albania,ALB,1809,,,416246,
Albania,ALB,1810,,,418099,
Albania,ALB,1811,,,419953,
Albania,ALB,1812,,,421814,
Albania,ALB,1813,,,423684,
Albania,ALB,1814,,,425563,
Albania,ALB,1815,,,427449,
Albania,ALB,1816,,,429344,
Albania,ALB,1817,,,431248,
Albania,ALB,1818,,,433159,
Albania,ALB,1819,,,435086,
Albania,ALB,1820,,,437026,
Albania,ALB,1821,,,438981,
Albania,ALB,1822,,,440950,
Albania,ALB,1823,,,442934,
Albania,ALB,1824,,,444927,
Albania,ALB,1825,,,446929,
Albania,ALB,1826,,,448940,
Albania,ALB,1827,,,450959,
Albania,ALB,1828,,,452988,
Albania,ALB,1829,,,455027,
Albania,ALB,1830,,,457074,
Albania,ALB,1831,,,459130,
Albania,ALB,1832,,,461196,
Albania,ALB,1833,,,463271,
Albania,ALB,1834,,,465356,
Albania,ALB,1835,,,467449,
Albania,ALB,1836,,,469552,
Albania,ALB,1837,,,471665,
Albania,ALB,1838,,,473787,
Albania,ALB,1839,,,475919,
Albania,ALB,1840,,,478060,
Albania,ALB,1841,,,480211,
Albania,ALB,1842,,,482372,
Albania,ALB,1843,,,484542,
Albania,ALB,1844,,,486722,
Albania,ALB,1845,,,488912,
Albania,ALB,1846,,,491112,
Albania,ALB,1847,,,493321,
Albania,ALB,1848,,,495541,
Albania,ALB,1849,,,498261,
Albania,ALB,1850,,,501490,
Albania,ALB,1851,,,505377,
Albania,ALB,1852,,,509789,
Albania,ALB,1853,,,514733,
Albania,ALB,1854,,,519724,
Albania,ALB,1855,,,524764,
Albania,ALB,1856,,,529853,
Albania,ALB,1857,,,534991,
Albania,ALB,1858,,,540179,
Albania,ALB,1859,,,545417,
