year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,city_dup,park_benches
2020,11,New York,1.1,3,21%,50,99%,99,$232,100,4.1,58,1.7,66,2.1,27,0.1,1,0.8,23,6.9,100,45.8,298,74.5,New York,NA
2020,12,Madison,4.7,21,14%,36,95%,93,$134,74,10.5,100,3,100,7,100,0.1,1,2.7,85,1.1,41,71.2,295,73.8,Madison,NA
2020,13,St. Louis,2.3,9,10%,23,98%,97,$199,100,2.8,34,1.9,78,2.9,45,0.6,41,2.4,73,2.6,97,61.3,290,72.6,St. Louis,NA
2020,14,Seattle,2.4,10,13%,32,96%,95,$320,100,3.3,43,1.9,78,2.1,26,0.7,47,2.4,73,1.2,45,52,289,72.3,Seattle,NA
2020,15,Pittsburgh,2.2,9,10%,26,92%,88,$142,79,6.1,95,2.3,94,3.9,68,1.7,100,0.6,14,9.1,100,78.5,281,70.1,Pittsburgh,NA
2020,15,Philadelphia,3,12,13%,33,95%,93,$138,77,4.9,73,0.5,10,2.8,43,2.3,100,2.2,66,5.8,100,65.3,280,70.1,Philadelphia,NA
2020,17,Plano,13.5,50,10%,25,75%,63,$226,100,7.1,100,1,34,2.3,32,0.3,19,1.5,45,0.7,22,42,280,70,Plano,NA
2020,18,San Diego,6.8,32,19%,50,81%,71,$153,86,2.8,35,1.2,44,2.4,33,1,65,1.5,44,0.1,2,37.2,276,69,San Diego,NA
2020,19,St. Petersburg,3.5,15,16%,40,75%,63,$148,83,4.1,58,2.3,94,3.4,58,1.2,82,4.7,100,1.1,40,72,273,68.3,St. Petersburg,NA
2020,20,New Orleans,2,8,26%,50,80%,70,$165,94,3.3,44,0.8,23,4.8,91,0.7,47,2.6,81,0.3,6,48.7,271,67.7,New Orleans,NA
2020,21,Boise,7.3,34,9%,23,69%,53,$172,98,2.2,23,6,100,3.4,56,1,66,2.8,87,0.9,31,60.5,269,67.1,Boise,NA
2020,22,Denver,6.7,31,8%,20,91%,86,$130,72,4.8,71,1.8,71,3.6,61,0.8,54,1.2,35,1.6,60,58.7,268,66.9,Denver,NA
2020,23,Long Beach,3.2,14,10%,25,84%,76,$180,100,1.6,13,2.1,85,1.4,10,1.3,88,3.7,100,0.2,4,50,265,66.3,Long Beach,NA
2020,24,Aurora,8,37,11%,27,88%,82,$149,84,1.6,13,1.1,37,2.2,28,0.2,11,1.7,51,1.3,48,31.3,261,65.3,Aurora,NA
2020,25,Lincoln,6.4,30,7%,16,92%,88,$108,58,8.7,100,1.4,52,4.6,85,0.6,39,4,100,0.7,23,66.5,259,64.6,Lincoln,NA
2020,26,Virginia Beach,5.2,24,18%,46,68%,51,$185,100,3.3,44,0.7,18,4.1,74,0.3,17,2.1,65,0.2,5,37.2,258,64.5,Virginia Beach,NA
2020,27,Henderson,5.8,26,13%,34,60%,38,$141,78,8.2,100,5.2,100,2.9,45,0.5,32,4.7,100,5.5,100,79.5,256,63.9,Henderson,NA
2020,28,Milwaukee,4.6,21,9%,23,90%,86,$112,61,5.7,89,0.5,11,3.9,68,0.9,61,5,100,1.5,56,64.2,255,63.8,Milwaukee,NA
2020,29,Cleveland,3.9,17,7%,15,83%,75,$137,76,6.1,96,0.8,24,3.7,64,1.2,79,1,29,10.6,100,65.3,248,62.1,Cleveland,NA
2020,30,Sacramento,5.4,25,9%,21,83%,75,$122,67,1.6,12,3,100,4.2,75,0.6,41,1.1,33,4.5,100,60.2,248,62,Sacramento,NA
2020,31,Raleigh,6.7,31,13%,33,58%,36,$157,88,5.2,80,1.3,47,2.2,29,1.6,100,2.1,63,1.1,38,59.5,248,61.9,Raleigh,NA
2020,32,Kansas City,11.7,50,9%,22,70%,54,$132,73,2.7,32,0.8,24,4.4,81,0.4,25,0.8,23,3,100,47.5,247,61.6,Kansas City,NA
2020,33,Fremont,6.4,30,49%,50,70%,54,$114,62,2.1,21,2.2,89,2.2,29,0.5,32,4.2,100,0.4,13,47.3,243,60.8,Fremont,NA
2020,34,Des Moines,11.2,50,13%,32,70%,55,$94,50,2.7,33,1.3,49,2.6,38,0.8,52,2.1,62,7.4,100,55.7,243,60.7,Des Moines,NA
2020,35,Albuquerque,4.3,19,23%,50,87%,81,$62,30,2.4,27,2.4,100,3.2,52,1.3,91,1.5,44,1.4,51,60.8,241,60.2,Albuquerque,NA
2020,36,San Jose,3,13,15%,40,82%,74,$108,58,1.8,15,1.3,46,3.1,50,1,65,1.1,32,2,75,47.2,232,58,San Jose,NA
2020,37,Austin,8.2,39,10%,25,60%,39,$147,82,2.5,28,1.3,50,1.6,14,0.6,35,1.2,34,2.7,100,43.5,229,57.1,Austin,NA
2020,38,Omaha,6.7,31,13%,33,81%,72,$79,40,5.1,77,0.4,6,4.1,73,0.6,40,1.2,35,1.7,61,48.7,225,56.2,Omaha,NA
2020,39,Anchorage,4.7,21,84%,50,75%,62,$93,49,1.7,14,3,100,2.9,46,0.3,19,1.6,48,0,0,37.8,220,55,Anchorage,NA
2020,40,Atlanta,2.9,12,6%,14,72%,58,$151,85,2.6,30,1,34,2.8,42,1.5,100,0.4,10,2.2,82,49.7,219,54.7,Atlanta,NA
2020,41,Honolulu,6.1,28,15%,39,79%,69,$77,39,3.7,52,0.5,10,1.6,14,1.6,100,2.1,65,0,0,40.2,215,53.8,Honolulu,NA
2020,42,Las Vegas,1.1,3,20%,50,75%,62,$84,43,1.2,5,3.8,100,3.1,51,0.7,46,1.2,34,5.2,100,56,214,53.5,Las Vegas,NA
2020,43,Buffalo,1.1,3,8%,18,90%,85,$86,44,6.3,100,0.8,23,2.3,32,0.7,45,2.3,72,4.2,100,62,212,53,Buffalo,NA
2020,44,Scottsdale,13.5,50,27%,50,40%,9,$109,59,1.4,8,1.2,43,1.5,12,0.7,47,3,92,1.6,58,43.3,211,52.8,Scottsdale,NA
2020,45,Anaheim,8.3,39,15%,37,67%,50,$115,63,1.4,8,0.8,26,1.6,15,0.2,11,1.7,50,0.6,18,21.3,210,52.6,Anaheim,NA
2020,46,Chesapeake,7.2,34,26%,50,43%,13,$100,53,12,100,2,82,3.6,62,1,65,1.1,32,0.4,12,58.8,209,52.2,Chesapeake,NA
2020,47,Jersey City,0.6,1,18%,47,94%,91,$32,11,2.7,32,2.1,88,1.2,5,0.9,62,0.5,13,3.9,100,50,200,50,Jersey City,NA
2020,48,Norfolk,1.6,6,5%,11,75%,63,$84,43,16.2,100,5.2,100,6.6,100,1.9,100,0.6,17,1.2,43,76.7,200,49.9,Norfolk,NA
2020,49,Columbus,7.7,36,8%,20,68%,51,$94,49,6.8,100,0.7,19,2.9,45,0.7,44,1,29,0.7,23,43.3,199,49.8,Columbus,NA
2020,49,Los Angeles,4.8,22,13%,32,62%,42,$132,73,3.5,47,0.3,2,1.1,4,1.1,77,1.3,40,0.4,12,30.3,199,49.8,Los Angeles,NA
2020,51,Oakland,2.1,8,12%,29,89%,83,$65,31,2.6,31,3.8,100,1.8,18,1.2,78,1.3,40,0,0,44.5,196,48.9,Oakland,NA
2020,52,Orlando,3.4,15,6%,14,64%,45,$119,65,5,75,1,35,2,24,1.4,98,4.2,100,0,0,55.3,194,48.6,Orlando,NA
2020,53,Colorado Springs,6.3,29,9%,23,74%,61,$80,41,2.8,35,1.7,66,3,47,0.3,16,1.3,39,0.8,29,38.7,193,48.2,Colorado Springs,NA
2020,54,Dallas,7.7,36,9%,23,71%,56,$108,58,2.4,26,0.3,1,1.7,17,0.6,40,0.1,1,0.8,27,18.7,192,47.9,Dallas,NA
2020,55,Tulsa,9.8,47,7%,16,60%,39,$93,49,1.7,13,0.5,10,2.4,33,0.4,23,1.3,37,8.3,100,36,187,46.8,Tulsa,NA
2020,56,Tampa,4.5,20,8%,17,63%,43,$48,21,5.9,92,3.9,100,2.3,32,1.8,100,2.8,85,2.6,97,84.3,185,46.3,Tampa,NA
2020,56,Phoenix,14.6,50,15%,38,49%,22,$89,47,1.8,16,0.7,22,1.7,17,0.4,23,2.4,72,0.6,18,28,185,46.3,Phoenix,NA
2020,58,Baltimore,0.8,2,10%,23,87%,81,$73,37,2.6,30,0.5,10,3.3,54,1.5,100,0.6,16,1,35,40.8,184,46,Baltimore,NA
2020,59,"Arlington, Texas",12.6,50,8%,18,58%,36,$102,55,1.7,14,0.5,11,1.5,14,0.3,17,1.2,36,1.3,46,23,182,45.5,"Arlington, Texas",NA
2020,60,North Las Vegas,7.1,33,26%,50,64%,45,$52,24,1.9,18,0.8,25,1.8,20,0.2,7,1,28,1.6,59,26.2,178,44.5,North Las Vegas,NA
2020,60,Riverside,10.5,50,7%,16,51%,26,$78,39,3,38,0.6,16,1.5,11,1.1,76,2.4,72,1.9,68,46.8,178,44.5,Riverside,NA
2020,62,Lexington,11.1,50,2%,3,54%,29,$79,40,3.9,56,1.8,74,3.1,49,0.5,30,2.4,73,1.2,44,54.3,176,44.1,Lexington,NA
2020,63,Bakersfield,9.1,43,6%,13,46%,18,$86,45,2.1,21,2.1,84,3,48,0.3,14,2.3,69,3.4,100,56,175,43.8,Bakersfield,NA
2020,64,Miami,2.6,11,7%,15,87%,81,$48,21,3.1,40,0.9,28,1.3,8,1.6,100,3.8,100,0,0,46,174,43.5,Miami,NA
2020,65,Chandler,8.4,39,4%,7,62%,43,$76,38,3.1,41,1.4,55,3.4,57,0.5,31,1.8,54,1.1,38,46,173,43.3,Chandler,NA
2020,66,El Paso,2.8,12,19%,50,59%,38,$56,26,4.4,65,0.7,21,4.1,73,0.8,53,0.6,17,1.3,46,45.8,172,43,El Paso,NA
2020,66,Greensboro,5,23,10%,25,63%,44,$67,33,1.5,11,1,35,3.6,62,0.8,54,2.7,83,1,36,46.8,172,43,Greensboro,NA
2020,68,Reno,5,23,5%,12,76%,63,$52,23,3.6,50,1.2,41,2,25,0.3,17,2.1,64,2.7,100,49.5,171,42.6,Reno,NA
2020,69,Newark,0.9,2,6%,13,94%,91,$53,24,2.6,31,0.4,3,1,1,0.8,56,1.1,32,3.5,100,37.2,167,41.8,Newark,NA
2020,70,Chula Vista,6.9,32,8%,18,67%,50,$43,18,2,19,2.6,100,3.5,60,0.7,42,1.5,45,0.7,25,48.5,167,41.6,Chula Vista,NA
2020,70,Nashville,16.7,50,11%,26,43%,13,$83,42,3.8,54,1.2,41,2.1,28,0.8,51,0.9,25,0.4,13,35.3,166,41.6,Nashville,NA
2020,72,Durham,8.3,39,4%,7,51%,26,$76,38,4.2,60,1.5,55,2,25,0.7,47,3,94,1.5,53,55.7,166,41.4,Durham,NA
2020,73,Detroit,2.4,9,6%,13,80%,70,$80,41,2.6,31,0.9,30,2.7,40,0.5,32,0.5,12,1.2,43,31.3,164,41.1,Detroit,NA
2020,74,Glendale,4.8,21,6%,12,75%,62,$43,18,4.9,73,1.2,44,3.9,69,0.6,41,0.7,19,1.6,59,50.8,164,41,Glendale,NA
2020,75,San Antonio,10,47,11%,28,43%,13,$89,46,1.7,13,1,32,1.8,20,0.8,51,1.5,45,0.5,15,29.3,163,40.8,San Antonio,NA
2020,76,Corpus Christi,3.3,14,9%,20,75%,63,$58,27,2.7,32,0.6,15,4.3,78,0.7,47,1.4,41,0.6,20,38.8,163,40.7,Corpus Christi,NA
2020,77,Toledo,5.5,25,6%,14,81%,72,$40,16,3.2,41,0.7,21,3.9,69,0.4,26,0.6,18,0.7,24,33.2,160,40,Toledo,NA
2020,78,Houston,4.7,21,12%,29,61%,40,$82,42,2.6,30,0.7,18,1.9,21,0.6,40,0.7,19,1.1,38,27.7,160,39.9,Houston,NA
2020,79,Jacksonville,5.8,27,14%,37,35%,1,$66,32,2.4,26,0.5,12,3.5,60,1.3,90,6,100,2.2,80,61.3,158,39.6,Jacksonville,NA
2020,80,Wichita,11.3,50,5%,11,54%,29,$67,33,1,1,1,34,2.2,28,0.4,24,2,62,1.5,55,34,157,39.3,Wichita,NA
2020,81,Louisville,7.5,35,8%,19,38%,6,$69,34,2.7,33,1.3,46,3.3,55,0.6,36,3.6,100,6,100,61.7,156,38.9,Louisville,NA
2020,82,Winston-Salem,9.2,43,5%,11,37%,4,$81,41,1.2,5,1.2,44,1.9,22,1.4,93,2.1,64,4.8,100,54.7,154,38.4,Winston-Salem,NA
2020,83,Garland,9.6,46,7%,17,63%,43,$57,26,2.2,23,0,0,1.4,10,0.6,41,1.2,34,0,0,18,150,37.5,Garland,NA
2020,84,Tucson,5.5,25,3%,5,63%,44,$53,24,4.9,73,1.4,55,2.7,41,0.8,55,1.8,54,0.7,24,50.3,148,37.1,Tucson,NA
2020,85,Santa Ana,6,28,4%,8,75%,63,$53,24,2.1,22,0,0,1.2,6,0.9,63,1.6,47,0,0,23,146,36.5,Santa Ana,NA
2020,86,Laredo,4.1,18,2%,2,54%,31,$59,28,9.4,100,1.5,57,2.6,38,0.8,54,1,28,4.5,100,62.8,142,35.5,Laredo,NA
2020,87,Stockton,6,28,3%,5,74%,60,$15,1,3.4,47,1,32,2.3,31,0.4,23,2.7,85,1.6,58,46,140,35,Stockton,NA
2020,88,Memphis,10,48,5%,9,46%,17,$76,38,2.9,37,0.6,16,1.8,20,0.9,63,0.1,1,0.5,14,25.2,137,34.3,Memphis,NA
2020,89,Irving,3.2,14,5%,11,64%,45,$72,36,1.1,3,1.2,44,3,48,0.8,53,0.2,5,0.8,28,30.2,136,34,Irving,NA
2020,90,Hialeah,4.4,20,2%,1,69%,52,$33,11,5.1,77,0,0,1,1,1.5,100,2.2,67,1.3,45,48.3,132,33.1,Hialeah,NA
2020,91,Baton Rouge,4.2,19,3%,5,54%,30,$44,19,8,100,0.8,27,2.6,39,2.9,100,1.2,36,0.8,29,55.2,128,32,Baton Rouge,NA
2020,92,Fresno,2.2,9,4%,8,67%,51,$42,17,4.6,68,1.3,49,2.6,38,0.6,38,0.9,26,0.9,33,42,127,31.8,Fresno,NA
2020,93,Lubbock,9.7,46,3%,4,56%,33,$35,13,4.8,71,0.8,23,2.2,28,0.4,22,1.3,38,0,0,30.3,126,31.6,Lubbock,NA
2020,94,Fort Worth,7.7,36,6%,13,61%,40,$56,26,1.2,5,0.3,2,2.3,31,0.3,17,0.2,3,0.1,1,9.8,125,31.2,Fort Worth,NA
2020,95,Charlotte/Mecklenburg County,16.5,50,6%,13,37%,3,$56,26,3.7,51,0.6,17,2.1,26,0.5,28,0.6,14,0.8,28,27.3,119,29.8,Charlotte,NA
2020,96,Mesa,2.8,12,4%,8,66%,48,$65,32,2.8,34,0.4,5,1.3,8,0.2,12,0.7,18,0.6,19,16,116,29,Mesa,NA
2020,97,Oklahoma City,5,22,5%,10,38%,5,$57,26,1.7,14,0.3,1,1.6,16,0.7,42,1.1,31,2.4,89,32.2,95,23.8,Oklahoma City,NA
2019,1,"Washington, D.C.",1.4,5,21%,50,98,97.5,$270,100,5.9,97.5,1.9,85,1.7,25,2.3,100,2.9,88,3.9,100,82.5,NA,83.8,"Washington, D.C.",NA
2019,2,St. Paul,3.2,15,15%,40,98%,97.5,$220,100,7.7,100,1.3,55,4,77.5,1.7,100,3.2,100,1.3,50,80.4,NA,83.2,St. Paul,NA
2019,3,Minneapolis,5.7,27.5,15%,37.5,96%,95,$299,100,3.5,52.5,1.7,75,4.1,77.5,2.3,100,3,90,0.2,8,67.1,NA,81.8,Minneapolis,NA
2019,4,"Arlington, Virginia",2.4,10,11%,27.5,98%,97.5,$267,100,7.8,100,3.5,100,4.4,87.5,1.1,73,3.1,95,2.2,85,90,NA,81.3,"Arlington, Virginia",NA
2019,5,Portland,4.9,22.5,18%,47.5,89%,85,$224,100,3.8,57.5,5.4,100,2.1,32.5,0.6,38,2,60,2.5,95,63.8,NA,79.7,Portland,NA
2019,6,Irvine,6.1,30,27%,50,80%,72.5,$252,100,17.7,100,0.4,5,4,77.5,1.8,100,3,90,0.4,13,64.2,NA,79.2,Irvine,NA
2019,7,San Francisco,1.3,5,20%,50,100%,100,$318,100,4.1,65,4.2,100,2.6,42.5,0.8,50,2.6,78,0.8,30,60.8,NA,79,San Francisco,NA
2019,8,Cincinnati,4.4,20,14%,35,77%,67.5,$193,100,8.9,100,1.3,52.5,5,100,1.5,98,3.1,95,4.5,100,90.8,NA,78.3,Cincinnati,NA
2019,9,New York,1.1,5,22%,50,99%,100,$198,100,4,62.5,1.7,75,2.1,32.5,0.1,3,0.8,23,6.8,100,49.2,NA,76,New York,NA
2019,10,Chicago,2.2,10,10%,25,98%,97.5,$171,95,4.6,72.5,0.9,35,3.6,67.5,1.7,100,2.4,70,8.7,100,74.2,NA,75.4,Chicago,NA
2019,11,Seattle,2.4,10,13%,32.5,96%,95,$279,100,3.3,47.5,2,90,2.1,32.5,0.8,48,2.4,73,1.3,48,56.3,NA,73.4,Seattle,NA
2019,12,Madison,4.7,22.5,14%,35,94%,92.5,$130,70,10.6,100,3.9,100,7,100,0.1,3,2.7,83,1.2,43,71.3,NA,72.8,Madison,NA
2019,13,Boston,1.4,5,17%,45,100%,100,$131,70,3.3,47.5,1.8,80,3.9,75,0.9,60,1,30,10.5,100,65.4,NA,71.4,Boston,NA
2019,14,St. Louis,2.3,10,9%,22.5,95%,95,$261,100,2.7,37.5,1.6,70,2.7,47.5,0.6,40,2.2,68,1.9,73,55.8,NA,70.8,St. Louis,NA
2019,15,Plano,13.5,50,10%,22.5,75%,65,$211,100,7.3,100,0.3,2.5,4.6,90,0.3,20,1.5,45,0.3,10,44.6,NA,70.5,Plano,NA
2019,16,San Diego,6.8,32.5,19%,50,79%,70,$154,85,2.8,37.5,1.1,45,2.2,35,1,60,1.5,43,0.1,3,37.1,NA,68.6,San Diego,NA
2019,17,St. Petersburg,3.5,15,16%,40,75%,65,$140,77.5,4.1,62.5,2.3,100,3.5,65,1.2,80,4.8,100,1.2,43,75,NA,68.1,St. Petersburg,NA
2019,19,Long Beach,3.2,15,10%,25,83%,77.5,$205,100,1.6,15,2.1,97.5,1.4,17.5,1.1,73,3.7,100,0,0,50.4,NA,67,Long Beach,NA
2019,18,Philadelphia,3,12.5,13%,35,95%,95,$123,65,4.8,77.5,0.4,7.5,1.6,22.5,2,100,1.6,48,5,100,59.2,NA,66.7,Philadelphia,NA
2019,21,New Orleans,2,7.5,26%,50,80%,72.5,$177,100,1.6,15,0.8,25,2.5,42.5,0.7,45,2.6,78,0.3,8,35.4,NA,66.4,New Orleans,NA
2019,20,Boise,7.3,35,9%,22.5,69%,55,$162,90,2.2,27.5,5.7,100,3.4,62.5,1,63,2.9,88,0.9,33,62.1,NA,66.1,Boise,NA
2019,22,Pittsburgh,2.2,10,10%,25,91%,87.5,$117,62.5,4.7,75,2.3,100,3.8,72.5,1.7,100,0.6,15,8.7,100,77.1,NA,65.5,Pittsburgh,NA
2019,23,Aurora,8,37.5,11%,25,88%,82.5,$145,80,1.6,15,1.1,42.5,2.2,35,0.2,10,1.7,50,1.3,50,33.8,NA,64.7,Aurora,NA
2019,24,Milwaukee,4.6,22.5,9%,22.5,90%,87.5,$124,65,5.7,95,0.5,12.5,2.8,47.5,0.9,58,4.5,100,1.2,45,59.6,NA,64.3,Milwaukee,NA
2019,25,Lincoln,6.4,30,7%,17.5,91%,87.5,$101,52.5,8.8,100,1.4,60,4.6,90,0.6,38,4,100,0.7,25,68.8,NA,64.1,Lincoln,NA
2019,26,Henderson,8,40,13%,35,52%,30,$136,75,3.7,57.5,5,100,2.9,52.5,0.5,33,5,100,5.7,100,73.8,NA,63.4,Henderson,NA
2019,27,Sacramento,5.4,25,7%,15,82%,75,$125,67.5,3.2,47.5,2.4,100,4.1,80,0.7,43,1.5,43,5.2,100,68.8,NA,62.8,Sacramento,NA
2019,30,Raleigh,4.4,20,11%,27.5,57%,37.5,$194,100,5.2,85,1.1,42.5,2.2,35,1.6,100,2.1,63,0.9,30,59.2,NA,61,Raleigh,NA
2019,28,Denver,6.7,32.5,8%,20,90%,87.5,$115,60,1.4,12.5,1.8,82.5,3.5,65,0.8,50,0.8,23,0.8,30,43.8,NA,60.9,Denver,NA
2019,29,Virginia Beach,3.9,17.5,16%,40,64%,47.5,$188,100,3.3,47.5,0.6,20,4.1,77.5,0.3,18,2.1,65,0.2,5,38.8,NA,60.9,Virginia Beach,NA
2019,33,Fremont,6.4,30,49%,50,68%,55,$112,57.5,2.1,25,2.6,100,2,30,0.5,30,2.3,70,0.4,15,45,NA,59.4,Fremont,NA
2019,32,Kansas City,11.7,50,9%,22.5,69%,55,$127,67.5,2.7,35,0.8,27.5,2.5,42.5,0.4,23,0.8,23,3,100,41.7,NA,59.2,Kansas City,NA
2019,31,San Jose,4,17.5,14%,35,78%,70,$124,67.5,2.2,27.5,1.1,40,3,55,1,60,0.7,20,1.8,70,45.4,NA,58.9,San Jose,NA
2019,34,Albuquerque,4.3,20,23%,50,87%,82.5,$65,27.5,2.2,25,2.4,100,3.2,57.5,1,68,1.2,38,0.7,25,52.1,NA,58,Albuquerque,NA
2019,38,Cleveland,3.9,17.5,7%,15,82%,75,$111,57.5,6,100,0.8,27.5,3.6,67.5,1.2,75,1.1,30,10.5,100,66.7,NA,57.9,Cleveland,NA
2019,35,Omaha,7.4,35,13%,32.5,80%,72.5,$81,37.5,5.2,85,0.4,7.5,4.3,85,0.7,40,1.2,38,1.6,60,52.5,NA,57.5,Omaha,NA
2019,36,Las Vegas,1.1,5,19%,50,74%,62.5,$99,50,1.3,10,3.9,100,3.9,75,0.7,45,1.2,35,4.1,100,60.8,NA,57.1,Las Vegas,NA
2019,37,Anchorage,4.7,22.5,84%,50,75%,65,$99,50,1.7,17.5,2.3,100,2.9,52.5,0.3,18,1.5,45,0,0,38.8,NA,56.6,Anchorage,NA
2019,39,Des Moines,11.2,50,12%,32.5,69%,55,$76,35,2.7,37.5,1.3,55,2.6,45,0.2,8,2,60,6.6,100,50.8,NA,55.8,Des Moines,NA
2019,40,Oakland,2.1,10,12%,30,87%,82.5,$103,52.5,2.6,35,3.8,100,1.7,25,1.1,73,1.3,40,0,0,45.4,NA,55.1,Oakland,NA
2019,41,Scottsdale,13.5,50,27%,50,40%,12.5,$111,57.5,1.4,12.5,1.2,50,1.5,20,0.7,45,3,93,1.2,45,44.2,NA,53.5,Scottsdale,NA
2019,41,Atlanta,2.9,12.5,6%,15,71%,57.5,$138,75,2.7,35,0.8,30,2.9,52.5,1.5,95,0.4,13,2.3,88,52.1,NA,53,Atlanta,NA
2019,43,Austin,8.7,42.5,10%,25,59%,40,$119,62.5,2.5,32.5,1.3,57.5,1.5,20,0.6,35,1.2,35,1.8,68,41.3,NA,52.8,Austin,NA
2019,44,Norfolk,1.6,7.5,5%,12.5,75%,65,$78,37.5,28.2,100,4.8,100,6.6,100,2,100,0.6,18,2,78,82.5,NA,51.3,Norfolk,NA
2019,45,Tampa,4.5,22.5,8%,17.5,62%,45,$71,32.5,6,100,4,100,2.3,40,1.8,100,2.8,85,2.6,100,87.5,NA,51.3,Tampa,NA
2019,46,Chesapeake,7.2,35,26%,50,42%,15,$91,45,3.7,55,2,92.5,4.9,97.5,1,63,1.1,33,0,0,56.7,NA,50.4,Chesapeake,NA
2019,47,Orlando,3.4,15,6%,15,63%,47.5,$121,65,5,80,1,40,2,32.5,1.5,95,4.2,100,0,0,57.9,NA,50.1,Orlando,NA
2019,48,Buffalo,1.1,5,8%,17.5,89%,85,$66,30,6.3,100,0.8,25,2.3,40,0.7,43,2.3,70,4.2,100,62.9,NA,50.1,Buffalo,NA
2019,50,Honolulu,6.1,30,17%,45,69%,55,$63,27.5,3.7,55,0.5,10,1.5,20,1.6,100,2.4,73,0,0,42.9,NA,50.1,Honolulu,NA
2019,49,Colorado Springs,6.3,30,9%,22.5,74%,62.5,$86,42.5,2.9,40,1.7,75,2.9,50,0.3,15,1.4,40,0.8,30,41.7,NA,49.8,Colorado Springs,NA
2019,51,Jersey City,0.6,2.5,18%,47.5,93%,90,$27,2.5,2.5,32.5,2.5,100,1.3,15,0.9,60,0.9,25,3.6,100,55.4,NA,49.5,Jersey City,NA
2019,52,Columbus,7.7,37.5,9%,22.5,59%,40,$101,50,6.9,100,0.7,20,2.9,50,0.7,43,1,30,0.7,25,44.6,NA,48.6,Columbus,NA
2019,53,Dallas,7.7,37.5,9%,22.5,69%,55,$110,57.5,2.4,30,0.4,5,1.7,25,0.6,40,0.1,3,0.8,30,22.1,NA,48.6,Dallas,NA
2019,54,Miami,2.6,12.5,7%,15,86%,80,$77,35,3.1,45,0.9,32.5,1.3,15,1.6,100,3.8,100,0,0,48.8,NA,47.8,Miami,NA
2019,55,Los Angeles,4.8,22.5,13%,32.5,61%,45,$119,62.5,3.5,50,0.3,2.5,1.1,10,1.1,70,0.8,20,0.4,13,27.5,NA,47.5,Los Angeles,NA
2019,56,Phoenix,14.6,50,15%,40,49%,27.5,$87,42.5,0.9,2.5,0.7,25,1.6,22.5,0.4,23,2.5,75,0.6,23,28.3,NA,47.1,Phoenix,NA
2019,59,Anaheim,8.3,40,8%,20,66%,52.5,$99,50,1.4,10,0.6,15,1.6,22.5,0.2,10,1.8,55,0.6,20,22.1,NA,46.1,Anaheim,NA
2019,60,North Las Vegas,7.1,35,26%,50,63%,47.5,$53,20,1.9,22.5,0.8,27.5,2.3,37.5,0.2,8,1,28,1.6,63,30.8,NA,45.8,North Las Vegas,NA
2019,57,Nashville,16.7,50,11%,27.5,42%,15,$98,50,3.8,57.5,1.2,47.5,2.1,35,0.8,50,0.8,23,0.4,15,37.9,NA,45.1,Nashville,NA
