"season","episode","line","raw_text","stage_direction","dialogue","start_time","end_time"
1,1,81,"[grunts] See you tomorrow.","[grunts]","See you tomorrow.","00:04:42","00:04:44"
1,1,82,"[Lucas] Good night, ladies. [Dustin] Kiss your mom 'night for me.","[Lucas] [Dustin]","Good night, ladies. Kiss your mom 'night for me.","00:04:59","00:05:02"
1,1,83,"Race you back to my place? Winner gets a comic.","","Race you back to my place? Winner gets a comic.","00:05:04","00:05:06"
1,1,84,"-Any comic? -Yeah.","","Any comic? Yeah.","00:05:06","00:05:08"
1,1,85,"[Dustin] Hey! Hey!","[Dustin]","Hey! Hey!","00:05:08","00:05:11"
1,1,86,"I didn't say ""go""!","","I didn't say ""go""!","00:05:11","00:05:13"
1,1,87,"Get back here!","","Get back here!","00:05:15","00:05:17"
1,1,88,"I'm gonna kill you!","","I'm gonna kill you!","00:05:17","00:05:19"
1,1,89,"[Will] I'll take your X-Men 134!","[Will]","I'll take your XMen 134!","00:05:19","00:05:21"
1,1,90,"Son of a bitch.","","Son of a bitch.","00:05:28","00:05:29"
1,1,91,"[gasps]","[gasps]","","00:05:54","00:05:55"
1,1,92,"[grunts]","[grunts]","","00:05:57","00:05:59"
1,1,93,"[whimpers]","[whimpers]","","00:06:00","00:06:01"
1,1,94,"[indistinct growling]","[indistinct growling]","","00:06:05","00:06:06"
1,1,95,"[gasps]","[gasps]","","00:06:07","00:06:09"
1,1,96,"[Will panting]","[Will panting]","","00:06:16","00:06:18"
1,1,97,"[dog barking]","[dog barking]","","00:06:23","00:06:25"
1,1,98,"Mom?","","Mom?","00:06:28","00:06:30"
1,1,99,"-Jonathan? Mom? -[barking continues]","[barking continues]","Jonathan? Mom? ","00:06:30","00:06:32"
1,1,100,"[indistinct screeching]","[indistinct screeching]","","00:06:41","00:06:44"
1,1,101,"[line ringing]","[line ringing]","","00:06:50","00:06:51"
1,1,102,"-Hello? Hello? -[static crackling]","[static crackling]","Hello? Hello? ","00:06:54","00:06:57"
1,1,103,"[indistinct screeching]","[indistinct screeching]","","00:06:57","00:06:59"
1,1,104,"[barking]","[barking]","","00:06:59","00:07:00"
1,1,105,"[whimpering]","[whimpering]","","00:07:02","00:07:04"
1,1,106,"[growling]","[growling]","","00:07:05","00:07:07"
1,1,107,"-[dial tone] -[barking continues]","[dial tone] [barking continues]"," ","00:07:13","00:07:15"
1,1,108,"[panting]","[panting]","","00:07:29","00:07:31"
1,1,109,"[breathing shakily]","[breathing shakily]","","00:07:48","00:07:50"
1,1,110,"[growling]","[growling]","","00:07:56","00:07:59"
1,1,111,"[indistinct screeching]","[indistinct screeching]","","00:08:01","00:08:03"
1,1,112,"[screeching intensifies]","[screeching intensifies]","","00:08:07","00:08:08"
1,1,113,"[screeching stops]","[screeching stops]","","00:08:12","00:08:14"
1,1,114,"[theme music playing]","[theme music playing]","","00:08:25","00:08:27"
1,1,115,"[indistinct chatter on TV]","[indistinct chatter on TV]","","00:09:27","00:09:30"
1,1,116,"[woman on TV] And that's it for News Center this morning.","[woman on TV]","And that's it for News Center this morning.","00:09:30","00:09:32"
1,1,117,"Thanks for joining us.","","Thanks for joining us.","00:09:32","00:09:33"
1,1,118,"Let's hand off now to Liz at the news desk.","","Let's hand off now to Liz at the news desk.","00:09:33","00:09:36"
1,1,119,"[Liz] All right, thank you, Donna.","[Liz]","All right, thank you, Donna.","00:09:36","00:09:37"
1,1,120,"Turning now to local news,","","Turning now to local news,","00:09:37","00:09:38"
1,1,121,"we're getting reports of surges and power outages all across the county.","","we're getting reports of surges and power outages all across the county.","00:09:38","00:09:42"
1,1,122,"Last night, hundreds of homes in East Hawkins were affected,","","Last night, hundreds of homes in East Hawkins were affected,","00:09:42","00:09:45"
1,1,123,"leaving many residents in the dark.","","leaving many residents in the dark.","00:09:45","00:09:47"
1,1,124,"The cause of the outage is still unknown.","","The cause of the outage is still unknown.","00:09:47","00:09:50"
1,1,125,"We reached out to Roane County Water and Electric,","","We reached out to Roane County Water and Electric,","00:09:50","00:09:52"
1,1,126,"and a spokesperson says that they are confident","","and a spokesperson says that they are confident","00:09:52","00:09:55"
1,1,127,"power will be restored to all remaining homes","","power will be restored to all remaining homes","00:09:55","00:09:57"
1,1,128,"within the next several hours.","","within the next several hours.","00:09:57","00:09:59"
1,1,129,"[news continues indistinctly]","[news continues indistinctly]","","00:09:59","00:10:01"
1,1,130,"-[dog barking] -[snorts]","[dog barking] [snorts]"," ","00:10:01","00:10:02"
1,1,131,"[sighs]","[sighs]","","00:10:03","00:10:05"
1,1,132,"-[groans] -[watch beeps]","[groans] [watch beeps]"," ","00:10:08","00:10:09"
1,1,133,"[lighter flicks]","[lighter flicks]","","00:10:16","00:10:17"
1,1,134,"[inhales and exhales deeply]","[inhales and exhales deeply]","","00:10:20","00:10:23"
1,1,135,"Mmm.","","Mmm.","00:10:25","00:10:27"
1,1,136,"[groans]","[groans]","","00:10:33","00:10:34"
1,1,137,"[exhales]","[exhales]","","00:10:46","00:10:47"
1,1,138,"[sighs]","[sighs]","","00:10:47","00:10:48"
1,1,139,"In other news, you might wanna stay home tonight","","In other news, you might wanna stay home tonight","00:10:58","00:11:00"
1,1,140,"or at least pack an umbrella.","","or at least pack an umbrella.","00:11:00","00:11:02"
1,1,141,"We turn to everybody's favorite morning weather guy, Charles.","","We turn to everybody's favorite morning weather guy, Charles.","00:11:02","00:11:04"
1,1,142,"[birds chirping]","[birds chirping]","","00:11:04","00:11:06"
1,1,143,"[Joyce] Where the hell are they?","[Joyce]","Where the hell are they?","00:11:09","00:11:11"
1,1,144,"-Jonathan? -Check the couch!","","Jonathan? Check the couch!","00:11:11","00:11:13"
1,1,145,"Ugh, I did.","","Ugh, I did.","00:11:13","00:11:14"
1,1,146,"Oh... Got them.","","Oh... Got them.","00:11:15","00:11:18"
1,1,147,"Okay, sweetie, I will see you tonight.","","Okay, sweetie, I will see you tonight.","00:11:19","00:11:21"
1,1,148,"-Yeah, see you later. -Where's Will?","","Yeah, see you later. Where's Will?","00:11:21","00:11:23"
1,1,149,"Oh, I didn't get him up yet.","","Oh, I didn't get him up yet.","00:11:23","00:11:24"
1,1,150,"-He's probably still sleeping. -[sighs]","[sighs]","He's probably still sleeping. ","00:11:25","00:11:26"
1,1,151,"-Jonathan, you have to make sure he's up! -Mom, I'm making breakfast.","","Jonathan, you have to make sure he's up! Mom, I'm making breakfast.","00:11:26","00:11:29"
1,1,152,"I told you this a thousand times.","","I told you this a thousand times.","00:11:29","00:11:31"
1,1,153,"Will! Come on, honey. It's time to get up.","","Will! Come on, honey. It's time to get up.","00:11:31","00:11:34"
1,1,154,"-He came home last night, right? -He's not in his room?","","He came home last night, right? He's not in his room?","00:11:38","00:11:41"
1,1,155,"-Did he come home or not? -I don't know.","","Did he come home or not? I don't know.","00:11:41","00:11:44"
1,1,156,"-You don't know? -No.","","You don't know? No.","00:11:44","00:11:45"
1,1,157,"[stammering] I got home late. I was working.","[stammering]","I got home late. I was working.","00:11:45","00:11:47"
1,1,158,"You were working?","","You were working?","00:11:47","00:11:48"
1,1,159,"Eric asked if I could cover. I said yeah.","","Eric asked if I could cover. I said yeah.","00:11:48","00:11:50"
1,1,160,"I just thought we could use the extra cash.","","I just thought we could use the extra cash.","00:11:50","00:11:52"
1,1,161,"-Jonathan, we've talked about this. -I know, I know.","","Jonathan, we've talked about this. I know, I know.","00:11:52","00:11:55"
1,1,162,"You can't take shifts when I'm working.","","You can't take shifts when I'm working.","00:11:55","00:11:57"
1,1,163,"Mom, it's not a big deal. Look, he was at the Wheelers' all day.","","Mom, it's not a big deal. Look, he was at the Wheelers' all day.","00:11:57","00:11:59"
1,1,164,"-I'm sure he just stayed over. -[sighs] I can't believe you.","[sighs]","I'm sure he just stayed over. I can't believe you.","00:11:59","00:12:02"
1,1,165,"I can't believe you sometimes.","","I can't believe you sometimes.","00:12:02","00:12:04"
1,1,166,"-[phone ringing] -That's disgusting.","[phone ringing]"," That's disgusting.","00:12:07","00:12:11"
1,1,167,"-[Mike] You're disgusting! -Hello?","[Mike]","You're disgusting! Hello?","00:12:11","00:12:13"
1,1,168,"Hi, Karen. It's Joyce.","","Hi, Karen. It's Joyce.","00:12:13","00:12:15"
1,1,169,"-[Karen] Oh, Joyce, hi. -What the hell, Mike?","[Karen]","Oh, Joyce, hi. What the hell, Mike?","00:12:15","00:12:17"
1,1,170,"-[Ted] Hey! -Quiet!","[Ted]","Hey! Quiet!","00:12:17","00:12:18"
1,1,171,"-Language. -Are you kidding?","","Language. Are you kidding?","00:12:18","00:12:20"
1,1,172,"Was that Will I heard back there?","","Was that Will I heard back there?","00:12:20","00:12:22"
1,1,173,"Will? No, no, no, it's just Mike.","","Will? No, no, no, it's just Mike.","00:12:22","00:12:23"
1,1,174,"Will didn't spend the night?","","Will didn't spend the night?","00:12:23","00:12:25"
1,1,175,"[Karen] No, he left here a little bit after 8:00.","[Karen]","No, he left here a little bit after 8:00.","00:12:25","00:12:27"
1,1,176,"Why? He's not home?","","Why? He's not home?","00:12:27","00:12:29"
1,1,177,"Um, you know what? I think he just left early for... for school.","","Um, you know what? I think he just left early for... for school.","00:12:29","00:12:32"
1,1,178,"-Thank you so much. Bye. -Okay. Bye.","","Thank you so much. Bye. Okay. Bye.","00:12:33","00:12:35"
1,1,179,"[school bell ringing]","[school bell ringing]","","00:12:52","00:12:54"
1,1,180,"That's weird. I don't see him.","","That's weird. I don't see him.","00:12:57","00:12:59"
1,1,181,"[Lucas] I'm telling you, his mom's right.","[Lucas]","I'm telling you, his mom's right.","00:12:59","00:13:01"
1,1,182,"He probably just went to class early again.","","He probably just went to class early again.","00:13:01","00:13:03"
1,1,183,"Yeah, he's always paranoid Gursky's gonna give him another pop quiz.","","Yeah, he's always paranoid Gursky's gonna give him another pop quiz.","00:13:03","00:13:06"
1,1,184,"Step right up, ladies and gentlemen.","","Step right up, ladies and gentlemen.","00:13:06","00:13:08"
1,1,185,"Step right up and get your tickets for the freak show.","","Step right up and get your tickets for the freak show.","00:13:08","00:13:11"
1,1,186,"Who do you think would make more money in a freak show?","","Who do you think would make more money in a freak show?","00:13:11","00:13:14"
1,1,187,"Midnight, Frogface, or Toothless?","","Midnight, Frogface, or Toothless?","00:13:15","00:13:19"
1,1,188,"[sighs]","[sighs]","","00:13:20","00:13:22"
1,1,189,"[mimicking Dustin] I'd go with Toothless.","[mimicking Dustin]"," I'd go with Toothless.","00:13:23","00:13:25"
1,1,190,"I told you a million times, my teeth are coming in.","","I told you a million times, my teeth are coming in.","00:13:25","00:13:28"
1,1,191,"It's called cleidocranial dysplasia.","","It's called cleidocranial dysplasia.","00:13:28","00:13:30"
1,1,192,"[mimicking Dustin] ""I told you a million times.""","[mimicking Dustin]"," ""I told you a million times.""","00:13:30","00:13:32"
1,1,193,"-[chuckles] -Do the arm thing.","[chuckles]"," Do the arm thing.","00:13:32","00:13:34"
1,1,194,"Do it, freak!","","Do it, freak!","00:13:35","00:13:37"
1,1,195,"-[bones cracking] -[both groaning]","[bones cracking] [both groaning]"," ","00:13:40","00:13:43"
1,1,196,"[Troy] God, it gets me every time.","[Troy]","God, it gets me every time.","00:13:43","00:13:45"
1,1,197,"-Assholes. -[Mike] I think it's kinda cool.","[Mike]","Assholes. I think it's kinda cool.","00:13:46","00:13:49"
1,1,198,"It's like you have superpowers or something.","","It's like you have superpowers or something.","00:13:49","00:13:52"
1,1,199,"Like Mr. Fantastic.","","Like Mr. Fantastic.","00:13:52","00:13:54"
1,1,200,"[Dustin] Yeah, except I can't fight evil with it.","[Dustin]","Yeah, except I can't fight evil with it.","00:13:54","00:13:56"
1,1,201,"[bell ringing]","[bell ringing]","","00:14:00","00:14:03"
1,1,202,"[Barbara] So, did he call?","[Barbara]","So, did he call?","00:14:04","00:14:06"
1,1,203,"Keep your voice down.","","Keep your voice down.","00:14:06","00:14:09"
1,1,204,"Did he?","","Did he?","00:14:09","00:14:10"
1,1,205,"I told you, it's not like that.","","I told you, it's not like that.","00:14:10","00:14:12"
1,1,206,"Okay, I mean, yes, he likes me, but not like that.","","Okay, I mean, yes, he likes me, but not like that.","00:14:13","00:14:16"
1,1,207,"We just...","","We just...","00:14:17","00:14:18"
1,1,208,"made out a couple times.","","made out a couple times.","00:14:20","00:14:21"
1,1,209,"""We just... made out a couple times.""","","""We just... made out a couple times.""","00:14:21","00:14:25"
1,1,210,"Nance, seriously,","","Nance, seriously,","00:14:25","00:14:26"
1,1,211,"you're gonna be so cool now, it's ridiculous.","","you're gonna be so cool now, it's ridiculous.","00:14:26","00:14:28"
1,1,212,"No, I'm not.","","No, I'm not.","00:14:28","00:14:30"
1,1,213,"You better still hang out with me, that's all I'm saying.","","You better still hang out with me, that's all I'm saying.","00:14:30","00:14:33"
1,1,214,"If you become friends with Tommy H. or Carol--","","If you become friends with Tommy H. or Carol","00:14:33","00:14:36"
1,1,215,"Oh, that's gross!","","Oh, that's gross!","00:14:36","00:14:38"
1,1,216,"Okay, I'm telling you, it was a one-time...","","Okay, I'm telling you, it was a onetime...","00:14:38","00:14:40"
1,1,217,"-Two-time thing. -[chuckles]","[chuckles]","Twotime thing. ","00:14:41","00:14:43"
1,1,218,"You were saying?","","You were saying?","00:14:48","00:14:49"
1,1,219,"-Steve... -Mmm-hmm?","","Steve... Mmmhmm?","00:14:59","00:15:01"
1,1,220,"-I have to go. -In a minute.","","I have to go. In a minute.","00:15:01","00:15:03"
1,1,221,"[bell ringing]","[bell ringing]","","00:15:03","00:15:04"
1,1,222,"Steve. I really, like...","","Steve. I really, like...","00:15:04","00:15:06"
1,1,223,"Seriously, I have to go.","","Seriously, I have to go.","00:15:06","00:15:08"
1,1,224,"Wait, wait, wait. Let's...","","Wait, wait, wait. Let's...","00:15:08","00:15:10"
1,1,225,"Come on, let's do something tonight, yeah?","","Come on, let's do something tonight, yeah?","00:15:10","00:15:12"
1,1,226,"Uh... No, I can't. I have to study for Kaminsky's test.","","Uh... No, I can't. I have to study for Kaminsky's test.","00:15:12","00:15:15"
1,1,227,"Oh, come on. What's your GPA again? 3.999...","","Oh, come on. What's your GPA again? 3.999...","00:15:15","00:15:17"
1,1,228,"Kaminsky's tests are impossible.","","Kaminsky's tests are impossible.","00:15:17","00:15:19"
1,1,229,"-Well, then, just let me help. -You failed chem.","","Well, then, just let me help. You failed chem.","00:15:19","00:15:21"
1,1,230,"-C-minus. -Well, in that case...","","Cminus. Well, in that case...","00:15:21","00:15:23"
1,1,231,"So I'll be over around, say, like, 8:00?","","So I'll be over around, say, like, 8:00?","00:15:23","00:15:26"
1,1,232,"-Are you crazy? My mom would not-- -I'll climb through your window.","","Are you crazy? My mom would not I'll climb through your window.","00:15:26","00:15:29"
1,1,233,"She won't even know I'm there. I'm stealthy, like a ninja.","","She won't even know I'm there. I'm stealthy, like a ninja.","00:15:29","00:15:31"
1,1,234,"You are crazy.","","You are crazy.","00:15:31","00:15:32"
1,1,235,"Wait, wait, wait. Just... Okay, forget about that.","","Wait, wait, wait. Just... Okay, forget about that.","00:15:32","00:15:34"
1,1,236,"We can just...","","We can just...","00:15:34","00:15:36"
1,1,237,"We can just, like, chill in my car.","","We can just, like, chill in my car.","00:15:36","00:15:38"
1,1,238,"We can find a nice quiet place to park, and...","","We can find a nice quiet place to park, and...","00:15:38","00:15:41"
1,1,239,"Steve... I have to study.","","Steve... I have to study.","00:15:41","00:15:44"
1,1,240,"I'm not kidding.","","I'm not kidding.","00:15:44","00:15:46"
1,1,241,"Well, why do you think I want it to be nice and quiet?","","Well, why do you think I want it to be nice and quiet?","00:15:46","00:15:48"
1,1,242,"You're an idiot, Steve Harrington.","","You're an idiot, Steve Harrington.","00:15:50","00:15:52"
1,1,243,"[sighs]","[sighs]","","00:15:52","00:15:54"
1,1,244,"Meet me at Dearborn and Maple at 8:00.","","Meet me at Dearborn and Maple at 8:00.","00:15:58","00:16:01"
1,1,245,"To study.","","To study.","00:16:01","00:16:03"
1,1,246,"[bell ringing]","[bell ringing]","","00:16:06","00:16:08"
1,1,247,"Good of you to show.","","Good of you to show.","00:16:16","00:16:17"
1,1,248,"[Hopper slurring] Oh, hey, morning, Flo. Morning, everybody.","[Hopper slurring]","Oh, hey, morning, Flo. Morning, everybody.","00:16:17","00:16:21"
1,1,249,"-Hey, Chief. -Damn! You look like hell, Chief.","","Hey, Chief. Damn! You look like hell, Chief.","00:16:21","00:16:25"
1,1,250,"-Oh, yeah? -[chuckles] Yeah.","[chuckles]","Oh, yeah? Yeah.","00:16:25","00:16:26"
1,1,251,"Well, I looked better than your wife when I left her this morning.","","Well, I looked better than your wife when I left her this morning.","00:16:26","00:16:28"
1,1,252,"[officers laughing]","[officers laughing]","","00:16:29","00:16:30"
1,1,253,"While you were drinking or sleeping,","","While you were drinking or sleeping,","00:16:30","00:16:31"
1,1,254,"or whatever it is you deemed so necessary on Monday morning,","","or whatever it is you deemed so necessary on Monday morning,","00:16:31","00:16:34"
1,1,255,"Phil Larson called.","","Phil Larson called.","00:16:34","00:16:35"
1,1,256,"Said some kids are stealing the gnomes out of his garden again.","","Said some kids are stealing the gnomes out of his garden again.","00:16:35","00:16:38"
1,1,257,"Oh, those garden gnomes again.","","Oh, those garden gnomes again.","00:16:38","00:16:40"
1,1,258,"Well, I'll tell you what, I'm gonna get right on that.","","Well, I'll tell you what, I'm gonna get right on that.","00:16:40","00:16:42"
1,1,259,"On a more pressing matter,","","On a more pressing matter,","00:16:42","00:16:44"
1,1,260,"Joyce Byers can't find her son this morning.","","Joyce Byers can't find her son this morning.","00:16:44","00:16:46"
1,1,261,"[muffled] Mmm. Okay, I'm gonna get on that.","[muffled]","Mmm. Okay, I'm gonna get on that.","00:16:46","00:16:49"
1,1,262,"-Just give me a minute. -Joyce is very upset.","","Just give me a minute. Joyce is very upset.","00:16:49","00:16:51"
1,1,263,"Well, Flo, Flo, we've discussed this.","","Well, Flo, Flo, we've discussed this.","00:16:51","00:16:53"
1,1,264,"Mornings are for coffee and contemplation.","","Mornings are for coffee and contemplation.","00:16:53","00:16:55"
1,1,265,"-Chief, she's already in your-- -Coffee and contemplation, Flo!","","Chief, she's already in your Coffee and contemplation, Flo!","00:16:55","00:16:59"
1,1,266,"I have been waiting here over an hour, Hopper.","","I have been waiting here over an hour, Hopper.","00:17:10","00:17:12"
1,1,267,"[sighs deeply] And I apologize again.","[sighs deeply]","And I apologize again.","00:17:13","00:17:15"
1,1,268,"I'm going out of my mind!","","I'm going out of my mind!","00:17:15","00:17:17"
1,1,269,"Look, boy his age, he's probably just playing hookie, okay?","","Look, boy his age, he's probably just playing hookie, okay?","00:17:17","00:17:20"
1,1,270,"No, not my Will. He's not like that.","","No, not my Will. He's not like that.","00:17:20","00:17:22"
1,1,271,"-He wouldn't do that. -Well, you never know.","","He wouldn't do that. Well, you never know.","00:17:22","00:17:24"
1,1,272,"I mean, my mom thought I was on the debate team,","","I mean, my mom thought I was on the debate team,","00:17:24","00:17:26"
1,1,273,"when really I was just screwing Chrissy Carpenter","","when really I was just screwing Chrissy Carpenter","00:17:26","00:17:27"
1,1,274,"in the back of my dad's Oldsmobile, so...","","in the back of my dad's Oldsmobile, so...","00:17:28","00:17:29"
