Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
02/20/2019 07:00:00 AM,43,5,7,24,7
02/20/2019 06:00:00 AM,11,2,3,2,4
02/20/2019 05:00:00 AM,5,1,2,2,0
02/20/2019 04:00:00 AM,1,0,0,1,0
02/20/2019 03:00:00 AM,2,0,0,1,1
02/20/2019 02:00:00 AM,0,0,0,0,0
02/20/2019 01:00:00 AM,0,0,0,0,0
02/20/2019 12:00:00 AM,0,0,0,0,0
02/19/2019 11:00:00 PM,2,0,0,0,2
02/19/2019 10:00:00 PM,1,0,1,0,0
02/19/2019 09:00:00 PM,3,0,0,1,2
02/19/2019 08:00:00 PM,4,0,1,0,3
02/19/2019 07:00:00 PM,10,1,0,3,6
02/19/2019 06:00:00 PM,25,2,4,5,14
02/19/2019 05:00:00 PM,52,7,7,11,27
02/19/2019 04:00:00 PM,54,13,17,9,15
02/19/2019 03:00:00 PM,28,10,6,7,5
02/19/2019 02:00:00 PM,23,6,9,3,5
02/19/2019 01:00:00 PM,25,9,6,3,7
02/19/2019 12:00:00 PM,30,6,12,5,7
02/19/2019 11:00:00 AM,19,6,7,5,1
02/19/2019 10:00:00 AM,35,4,7,15,9
02/19/2019 09:00:00 AM,61,16,17,18,10
02/19/2019 08:00:00 AM,35,6,5,20,4
02/19/2019 07:00:00 AM,36,5,8,18,5
02/19/2019 06:00:00 AM,11,3,3,2,3
02/19/2019 05:00:00 AM,0,0,0,0,0
02/19/2019 04:00:00 AM,0,0,0,0,0
02/19/2019 03:00:00 AM,1,0,0,1,0
02/19/2019 02:00:00 AM,0,0,0,0,0
02/19/2019 01:00:00 AM,0,0,0,0,0
02/19/2019 12:00:00 AM,0,0,0,0,0
02/18/2019 11:00:00 PM,0,0,0,0,0
02/18/2019 10:00:00 PM,0,0,0,0,0
02/18/2019 09:00:00 PM,8,1,3,3,1
02/18/2019 08:00:00 PM,2,0,0,1,1
02/18/2019 07:00:00 PM,5,3,0,0,2
02/18/2019 06:00:00 PM,17,2,2,5,8
02/18/2019 05:00:00 PM,39,11,13,7,8
02/18/2019 04:00:00 PM,51,13,16,11,11
02/18/2019 03:00:00 PM,70,20,12,17,21
02/18/2019 02:00:00 PM,48,6,13,18,11
02/18/2019 01:00:00 PM,53,11,15,10,17
02/18/2019 12:00:00 PM,41,17,10,4,10
02/18/2019 11:00:00 AM,55,18,15,10,12
02/18/2019 10:00:00 AM,47,10,12,11,14
02/18/2019 09:00:00 AM,45,10,12,13,10
02/18/2019 08:00:00 AM,28,9,5,9,5
02/18/2019 07:00:00 AM,9,3,2,2,2
02/18/2019 06:00:00 AM,5,0,0,2,3
02/18/2019 05:00:00 AM,1,0,0,0,1
02/18/2019 04:00:00 AM,1,0,0,0,1
02/18/2019 03:00:00 AM,1,0,0,1,0
02/18/2019 02:00:00 AM,0,0,0,0,0
02/18/2019 01:00:00 AM,2,1,1,0,0
02/18/2019 12:00:00 AM,0,0,0,0,0
02/17/2019 11:00:00 PM,0,0,0,0,0
02/17/2019 10:00:00 PM,1,0,0,0,1
02/17/2019 09:00:00 PM,0,0,0,0,0
02/17/2019 08:00:00 PM,1,0,1,0,0
02/17/2019 07:00:00 PM,4,0,0,2,2
02/17/2019 06:00:00 PM,7,0,2,5,0
02/17/2019 05:00:00 PM,26,8,10,4,4
02/17/2019 04:00:00 PM,50,12,16,11,11
02/17/2019 03:00:00 PM,57,18,15,10,14
02/17/2019 02:00:00 PM,75,19,22,13,21
02/17/2019 01:00:00 PM,89,26,23,13,27
02/17/2019 12:00:00 PM,66,20,20,17,9
02/17/2019 11:00:00 AM,49,15,16,5,13
02/17/2019 10:00:00 AM,61,16,17,8,20
02/17/2019 09:00:00 AM,51,16,20,0,15
02/17/2019 08:00:00 AM,39,20,12,4,3
02/17/2019 07:00:00 AM,17,8,6,0,3
02/17/2019 06:00:00 AM,0,0,0,0,0
02/17/2019 05:00:00 AM,0,0,0,0,0
02/17/2019 04:00:00 AM,0,0,0,0,0
02/17/2019 03:00:00 AM,0,0,0,0,0
02/17/2019 02:00:00 AM,1,1,0,0,0
02/17/2019 01:00:00 AM,0,0,0,0,0
02/17/2019 12:00:00 AM,0,0,0,0,0
02/16/2019 11:00:00 PM,0,0,0,0,0
02/16/2019 10:00:00 PM,0,0,0,0,0
02/16/2019 09:00:00 PM,1,0,0,0,1
02/16/2019 08:00:00 PM,1,0,1,0,0
02/16/2019 07:00:00 PM,0,0,0,0,0
02/16/2019 06:00:00 PM,1,0,1,0,0
02/16/2019 05:00:00 PM,17,5,8,4,0
02/16/2019 04:00:00 PM,27,10,15,0,2
02/16/2019 03:00:00 PM,40,18,11,5,6
02/16/2019 02:00:00 PM,33,13,9,5,6
02/16/2019 01:00:00 PM,24,11,9,0,4
02/16/2019 12:00:00 PM,17,7,6,0,4
02/16/2019 11:00:00 AM,28,14,13,1,0
02/16/2019 10:00:00 AM,25,11,13,0,1
02/16/2019 09:00:00 AM,38,18,16,3,1
02/16/2019 08:00:00 AM,25,9,9,3,4
02/16/2019 07:00:00 AM,10,4,4,1,1
02/16/2019 06:00:00 AM,0,0,0,0,0
02/16/2019 05:00:00 AM,0,0,0,0,0
02/16/2019 04:00:00 AM,0,0,0,0,0
02/16/2019 03:00:00 AM,0,0,0,0,0
02/16/2019 02:00:00 AM,0,0,0,0,0
02/16/2019 01:00:00 AM,0,0,0,0,0
02/16/2019 12:00:00 AM,0,0,0,0,0
02/15/2019 11:00:00 PM,0,0,0,0,0
02/15/2019 10:00:00 PM,0,0,0,0,0
02/15/2019 09:00:00 PM,2,0,0,1,1
02/15/2019 08:00:00 PM,1,0,1,0,0
02/15/2019 07:00:00 PM,0,0,0,0,0
02/15/2019 06:00:00 PM,3,2,0,0,1
02/15/2019 05:00:00 PM,25,7,12,2,4
02/15/2019 04:00:00 PM,25,12,12,0,1
02/15/2019 03:00:00 PM,11,5,3,1,2
02/15/2019 02:00:00 PM,19,9,8,1,1
02/15/2019 01:00:00 PM,8,5,2,1,0
02/15/2019 12:00:00 PM,17,6,10,0,1
02/15/2019 11:00:00 AM,4,2,2,0,0
02/15/2019 10:00:00 AM,8,5,3,0,0
02/15/2019 09:00:00 AM,6,1,4,1,0
02/15/2019 08:00:00 AM,4,3,1,0,0
02/15/2019 07:00:00 AM,3,1,2,0,0
02/15/2019 06:00:00 AM,1,1,0,0,0
02/15/2019 05:00:00 AM,0,0,0,0,0
02/15/2019 04:00:00 AM,0,0,0,0,0
02/15/2019 03:00:00 AM,1,0,0,1,0
02/15/2019 02:00:00 AM,0,0,0,0,0
02/15/2019 01:00:00 AM,0,0,0,0,0
02/15/2019 12:00:00 AM,0,0,0,0,0
02/14/2019 11:00:00 PM,0,0,0,0,0
02/14/2019 10:00:00 PM,1,0,1,0,0
02/14/2019 09:00:00 PM,1,0,1,0,0
02/14/2019 08:00:00 PM,0,0,0,0,0
02/14/2019 07:00:00 PM,0,0,0,0,0
02/14/2019 06:00:00 PM,2,2,0,0,0
02/14/2019 05:00:00 PM,7,2,5,0,0
02/14/2019 04:00:00 PM,7,4,2,0,1
02/14/2019 03:00:00 PM,2,1,1,0,0
02/14/2019 02:00:00 PM,3,2,1,0,0
02/14/2019 01:00:00 PM,10,4,5,1,0
02/14/2019 12:00:00 PM,9,5,4,0,0
02/14/2019 11:00:00 AM,1,1,0,0,0
02/14/2019 10:00:00 AM,8,6,2,0,0
02/14/2019 09:00:00 AM,3,0,3,0,0
02/14/2019 08:00:00 AM,4,2,1,1,0
02/14/2019 07:00:00 AM,3,1,2,0,0
02/14/2019 06:00:00 AM,0,0,0,0,0
02/14/2019 05:00:00 AM,0,0,0,0,0
02/14/2019 04:00:00 AM,0,0,0,0,0
02/14/2019 03:00:00 AM,0,0,0,0,0
02/14/2019 02:00:00 AM,0,0,0,0,0
02/14/2019 01:00:00 AM,0,0,0,0,0
02/14/2019 12:00:00 AM,0,0,0,0,0
02/13/2019 11:00:00 PM,1,0,1,0,0
02/13/2019 10:00:00 PM,0,0,0,0,0
02/13/2019 09:00:00 PM,3,2,1,0,0
02/13/2019 08:00:00 PM,0,0,0,0,0
02/13/2019 07:00:00 PM,2,0,2,0,0
02/13/2019 06:00:00 PM,3,1,2,0,0
02/13/2019 05:00:00 PM,6,3,3,0,0
02/13/2019 04:00:00 PM,17,7,10,0,0
02/13/2019 03:00:00 PM,20,12,8,0,0
02/13/2019 02:00:00 PM,4,2,2,0,0
02/13/2019 01:00:00 PM,6,2,3,0,1
02/13/2019 12:00:00 PM,6,2,4,0,0
02/13/2019 11:00:00 AM,3,0,3,0,0
02/13/2019 10:00:00 AM,2,2,0,0,0
02/13/2019 09:00:00 AM,4,2,2,0,0
02/13/2019 08:00:00 AM,6,3,3,0,0
02/13/2019 07:00:00 AM,3,2,1,0,0
02/13/2019 06:00:00 AM,1,0,1,0,0
02/13/2019 05:00:00 AM,0,0,0,0,0
02/13/2019 04:00:00 AM,0,0,0,0,0
02/13/2019 03:00:00 AM,0,0,0,0,0
02/13/2019 02:00:00 AM,0,0,0,0,0
02/13/2019 01:00:00 AM,0,0,0,0,0
02/13/2019 12:00:00 AM,0,0,0,0,0
02/12/2019 11:00:00 PM,0,0,0,0,0
02/12/2019 10:00:00 PM,0,0,0,0,0
02/12/2019 09:00:00 PM,0,0,0,0,0
02/12/2019 08:00:00 PM,0,0,0,0,0
02/12/2019 07:00:00 PM,2,0,2,0,0
02/12/2019 06:00:00 PM,5,2,3,0,0
02/12/2019 05:00:00 PM,18,7,11,0,0
02/12/2019 04:00:00 PM,14,10,4,0,0
02/12/2019 03:00:00 PM,8,2,6,0,0
02/12/2019 02:00:00 PM,11,7,4,0,0
02/12/2019 01:00:00 PM,7,3,4,0,0
02/12/2019 12:00:00 PM,9,3,6,0,0
02/12/2019 11:00:00 AM,7,0,7,0,0
02/12/2019 10:00:00 AM,20,14,6,0,0
02/12/2019 09:00:00 AM,7,4,3,0,0
02/12/2019 08:00:00 AM,8,3,5,0,0
02/12/2019 07:00:00 AM,4,2,2,0,0
02/12/2019 06:00:00 AM,2,1,1,0,0
02/12/2019 05:00:00 AM,0,0,0,0,0
02/12/2019 04:00:00 AM,0,0,0,0,0
02/12/2019 03:00:00 AM,0,0,0,0,0
02/12/2019 02:00:00 AM,0,0,0,0,0
02/12/2019 01:00:00 AM,0,0,0,0,0
02/12/2019 12:00:00 AM,0,0,0,0,0
02/11/2019 11:00:00 PM,1,0,1,0,0
02/11/2019 10:00:00 PM,1,1,0,0,0
02/11/2019 09:00:00 PM,1,0,1,0,0
02/11/2019 08:00:00 PM,3,3,0,0,0
02/11/2019 07:00:00 PM,10,5,4,0,1
02/11/2019 06:00:00 PM,10,3,7,0,0
02/11/2019 05:00:00 PM,21,7,14,0,0
02/11/2019 04:00:00 PM,35,20,15,0,0
02/11/2019 03:00:00 PM,26,14,12,0,0
02/11/2019 02:00:00 PM,25,14,10,1,0
02/11/2019 01:00:00 PM,13,6,6,0,1
02/11/2019 12:00:00 PM,20,6,14,0,0
02/11/2019 11:00:00 AM,42,21,20,0,1
02/11/2019 10:00:00 AM,40,22,17,0,1
02/11/2019 09:00:00 AM,21,10,10,0,1
02/11/2019 08:00:00 AM,13,4,7,1,1
02/11/2019 07:00:00 AM,6,4,2,0,0
02/11/2019 06:00:00 AM,1,0,1,0,0
02/11/2019 05:00:00 AM,1,0,0,1,0
02/11/2019 04:00:00 AM,0,0,0,0,0
02/11/2019 03:00:00 AM,0,0,0,0,0
02/11/2019 02:00:00 AM,0,0,0,0,0
02/11/2019 01:00:00 AM,0,0,0,0,0
02/11/2019 12:00:00 AM,0,0,0,0,0
02/10/2019 11:00:00 PM,0,0,0,0,0
02/10/2019 10:00:00 PM,0,0,0,0,0
02/10/2019 09:00:00 PM,0,0,0,0,0
02/10/2019 08:00:00 PM,7,5,0,2,0
02/10/2019 07:00:00 PM,3,2,1,0,0
02/10/2019 06:00:00 PM,3,1,1,1,0
02/10/2019 05:00:00 PM,12,6,6,0,0
02/10/2019 04:00:00 PM,29,14,14,0,1
02/10/2019 03:00:00 PM,39,21,17,0,1
02/10/2019 02:00:00 PM,23,10,13,0,0
02/10/2019 01:00:00 PM,26,12,12,0,2
02/10/2019 12:00:00 PM,41,24,14,2,1
02/10/2019 11:00:00 AM,23,11,12,0,0
02/10/2019 10:00:00 AM,22,12,10,0,0
02/10/2019 09:00:00 AM,18,8,10,0,0
02/10/2019 08:00:00 AM,7,3,4,0,0
02/10/2019 07:00:00 AM,3,3,0,0,0
02/10/2019 06:00:00 AM,0,0,0,0,0
02/10/2019 05:00:00 AM,0,0,0,0,0
02/10/2019 04:00:00 AM,0,0,0,0,0
02/10/2019 03:00:00 AM,0,0,0,0,0
02/10/2019 02:00:00 AM,1,0,1,0,0
02/10/2019 01:00:00 AM,0,0,0,0,0
02/10/2019 12:00:00 AM,0,0,0,0,0
02/09/2019 11:00:00 PM,0,0,0,0,0
02/09/2019 10:00:00 PM,0,0,0,0,0
02/09/2019 09:00:00 PM,3,2,1,0,0
02/09/2019 08:00:00 PM,0,0,0,0,0
02/09/2019 07:00:00 PM,3,0,3,0,0
02/09/2019 06:00:00 PM,1,1,0,0,0
02/09/2019 05:00:00 PM,16,6,10,0,0
02/09/2019 04:00:00 PM,25,13,8,1,3
02/09/2019 03:00:00 PM,34,15,19,0,0
02/09/2019 02:00:00 PM,52,28,21,3,0
02/09/2019 01:00:00 PM,47,13,31,3,0
02/09/2019 12:00:00 PM,57,30,25,0,2
02/09/2019 11:00:00 AM,64,34,25,2,3
02/09/2019 10:00:00 AM,36,15,18,2,1
02/09/2019 09:00:00 AM,33,9,23,0,1
02/09/2019 08:00:00 AM,20,14,6,0,0
02/09/2019 07:00:00 AM,3,1,2,0,0
02/09/2019 06:00:00 AM,1,1,0,0,0
02/09/2019 05:00:00 AM,0,0,0,0,0
02/09/2019 04:00:00 AM,0,0,0,0,0
02/09/2019 03:00:00 AM,0,0,0,0,0
02/09/2019 02:00:00 AM,0,0,0,0,0
02/09/2019 01:00:00 AM,0,0,0,0,0
02/09/2019 12:00:00 AM,1,0,1,0,0
02/08/2019 11:00:00 PM,5,3,2,0,0
02/08/2019 10:00:00 PM,3,0,0,2,1
02/08/2019 09:00:00 PM,2,1,1,0,0
02/08/2019 08:00:00 PM,4,0,4,0,0
02/08/2019 07:00:00 PM,6,4,2,0,0
02/08/2019 06:00:00 PM,6,3,0,0,3
02/08/2019 05:00:00 PM,15,3,8,2,2
02/08/2019 04:00:00 PM,26,14,9,0,3
02/08/2019 03:00:00 PM,19,8,7,0,4
02/08/2019 02:00:00 PM,15,9,2,0,4
02/08/2019 01:00:00 PM,23,10,10,1,2
02/08/2019 12:00:00 PM,30,11,10,4,5
02/08/2019 11:00:00 AM,21,9,11,1,0
02/08/2019 10:00:00 AM,24,12,10,2,0
02/08/2019 09:00:00 AM,12,3,4,3,2
02/08/2019 08:00:00 AM,22,9,7,4,2
02/08/2019 07:00:00 AM,7,2,2,3,0
02/08/2019 06:00:00 AM,5,2,2,1,0
02/08/2019 05:00:00 AM,1,0,0,1,0
02/08/2019 04:00:00 AM,0,0,0,0,0
02/08/2019 03:00:00 AM,1,0,0,1,0
02/08/2019 02:00:00 AM,0,0,0,0,0
02/08/2019 01:00:00 AM,0,0,0,0,0
02/08/2019 12:00:00 AM,0,0,0,0,0
02/07/2019 11:00:00 PM,0,0,0,0,0
02/07/2019 10:00:00 PM,0,0,0,0,0
02/07/2019 09:00:00 PM,2,1,1,0,0
02/07/2019 08:00:00 PM,2,0,0,0,2
02/07/2019 07:00:00 PM,3,1,0,1,1
02/07/2019 06:00:00 PM,8,1,1,0,6
02/07/2019 05:00:00 PM,19,5,6,4,4
02/07/2019 04:00:00 PM,30,8,8,3,11
02/07/2019 03:00:00 PM,20,9,4,0,7
02/07/2019 02:00:00 PM,18,9,8,1,0
02/07/2019 01:00:00 PM,17,9,8,0,0
02/07/2019 12:00:00 PM,20,13,6,1,0
02/07/2019 11:00:00 AM,11,4,5,2,0
02/07/2019 10:00:00 AM,9,3,3,2,1
02/07/2019 09:00:00 AM,19,6,7,4,2
02/07/2019 08:00:00 AM,20,8,7,3,2
02/07/2019 07:00:00 AM,15,3,7,5,0
02/07/2019 06:00:00 AM,10,4,3,3,0
02/07/2019 05:00:00 AM,0,0,0,0,0
02/07/2019 04:00:00 AM,0,0,0,0,0
02/07/2019 03:00:00 AM,1,0,0,1,0
02/07/2019 02:00:00 AM,0,0,0,0,0
02/07/2019 01:00:00 AM,0,0,0,0,0
02/07/2019 12:00:00 AM,0,0,0,0,0
02/06/2019 11:00:00 PM,0,0,0,0,0
02/06/2019 10:00:00 PM,0,0,0,0,0
02/06/2019 09:00:00 PM,0,0,0,0,0
02/06/2019 08:00:00 PM,2,1,1,0,0
02/06/2019 07:00:00 PM,8,2,3,1,2
02/06/2019 06:00:00 PM,11,4,4,0,3
02/06/2019 05:00:00 PM,17,6,6,1,4
