Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
02/26/2019 06:00:00 AM,107,34,30,19,24
02/26/2019 05:00:00 AM,18,5,3,7,3
02/26/2019 04:00:00 AM,2,0,1,0,1
02/26/2019 03:00:00 AM,2,1,1,0,0
02/26/2019 02:00:00 AM,1,0,0,1,0
02/26/2019 01:00:00 AM,3,0,0,2,1
02/26/2019 12:00:00 AM,3,1,1,0,1
02/25/2019 11:00:00 PM,4,1,0,3,0
02/25/2019 10:00:00 PM,10,1,0,7,2
02/25/2019 09:00:00 PM,26,6,15,3,2
02/25/2019 08:00:00 PM,13,4,2,6,1
02/25/2019 07:00:00 PM,50,13,11,19,7
02/25/2019 06:00:00 PM,149,37,40,61,11
02/25/2019 05:00:00 PM,305,76,88,111,30
02/25/2019 04:00:00 PM,223,59,66,61,37
02/25/2019 03:00:00 PM,340,237,63,16,24
02/25/2019 02:00:00 PM,938,840,67,19,12
02/25/2019 01:00:00 PM,482,379,78,9,16
02/25/2019 12:00:00 PM,261,128,107,15,11
02/25/2019 11:00:00 AM,169,77,77,6,9
02/25/2019 10:00:00 AM,108,43,38,14,13
02/25/2019 09:00:00 AM,133,31,31,20,51
02/25/2019 08:00:00 AM,221,35,48,39,99
02/25/2019 07:00:00 AM,174,43,35,30,66
02/25/2019 06:00:00 AM,93,24,22,21,26
02/25/2019 05:00:00 AM,16,7,5,1,3
02/25/2019 04:00:00 AM,5,2,1,0,2
02/25/2019 03:00:00 AM,5,2,3,0,0
02/25/2019 02:00:00 AM,2,0,0,2,0
02/25/2019 01:00:00 AM,2,0,0,0,2
02/25/2019 12:00:00 AM,2,1,1,0,0
02/24/2019 11:00:00 PM,6,4,2,0,0
02/24/2019 10:00:00 PM,5,1,4,0,0
02/24/2019 09:00:00 PM,6,3,1,1,1
02/24/2019 08:00:00 PM,8,3,3,2,0
02/24/2019 07:00:00 PM,34,8,14,6,6
02/24/2019 06:00:00 PM,78,28,35,7,8
02/24/2019 05:00:00 PM,165,71,71,14,9
02/24/2019 04:00:00 PM,197,63,95,32,7
02/24/2019 03:00:00 PM,211,92,68,41,10
02/24/2019 02:00:00 PM,198,66,75,42,15
02/24/2019 01:00:00 PM,250,95,92,40,23
02/24/2019 12:00:00 PM,246,81,90,52,23
02/24/2019 11:00:00 AM,202,74,96,21,11
02/24/2019 10:00:00 AM,229,110,90,11,18
02/24/2019 09:00:00 AM,148,67,62,1,18
02/24/2019 08:00:00 AM,127,41,41,6,39
02/24/2019 07:00:00 AM,68,15,18,1,34
02/24/2019 06:00:00 AM,26,9,6,0,11
02/24/2019 05:00:00 AM,8,2,1,1,4
02/24/2019 04:00:00 AM,5,1,2,2,0
02/24/2019 03:00:00 AM,4,1,2,1,0
02/24/2019 02:00:00 AM,2,1,1,0,0
02/24/2019 01:00:00 AM,0,0,0,0,0
02/24/2019 12:00:00 AM,3,1,2,0,0
02/23/2019 11:00:00 PM,7,3,4,0,0
02/23/2019 10:00:00 PM,8,4,3,0,1
02/23/2019 09:00:00 PM,7,2,2,2,1
02/23/2019 08:00:00 PM,14,4,4,3,3
02/23/2019 07:00:00 PM,8,1,6,1,0
02/23/2019 06:00:00 PM,48,14,23,6,5
02/23/2019 05:00:00 PM,155,56,69,13,17
02/23/2019 04:00:00 PM,201,90,86,13,12
02/23/2019 03:00:00 PM,187,77,79,19,12
02/23/2019 02:00:00 PM,154,53,76,13,12
02/23/2019 01:00:00 PM,166,66,58,22,20
02/23/2019 12:00:00 PM,210,89,83,19,19
02/23/2019 11:00:00 AM,212,82,81,26,23
02/23/2019 10:00:00 AM,227,92,96,16,23
02/23/2019 09:00:00 AM,181,88,76,10,7
02/23/2019 08:00:00 AM,127,57,56,7,7
02/23/2019 07:00:00 AM,56,29,23,2,2
02/23/2019 06:00:00 AM,19,11,6,1,1
02/23/2019 05:00:00 AM,2,0,0,2,0
02/23/2019 04:00:00 AM,1,0,1,0,0
02/23/2019 03:00:00 AM,1,1,0,0,0
02/23/2019 02:00:00 AM,0,0,0,0,0
02/23/2019 01:00:00 AM,2,1,1,0,0
02/23/2019 12:00:00 AM,2,0,0,1,1
02/22/2019 11:00:00 PM,3,2,1,0,0
02/22/2019 10:00:00 PM,6,3,3,0,0
02/22/2019 09:00:00 PM,6,3,0,2,1
02/22/2019 08:00:00 PM,18,7,6,4,1
02/22/2019 07:00:00 PM,36,10,11,9,6
02/22/2019 06:00:00 PM,86,14,28,36,8
02/22/2019 05:00:00 PM,139,30,28,64,17
02/22/2019 04:00:00 PM,118,33,31,39,15
02/22/2019 03:00:00 PM,94,24,34,18,18
02/22/2019 02:00:00 PM,49,15,19,10,5
02/22/2019 01:00:00 PM,54,26,23,4,1
02/22/2019 12:00:00 PM,35,20,11,4,0
02/22/2019 11:00:00 AM,38,15,18,3,2
02/22/2019 10:00:00 AM,41,14,16,3,8
02/22/2019 09:00:00 AM,62,14,22,8,18
02/22/2019 08:00:00 AM,169,36,50,15,68
02/22/2019 07:00:00 AM,152,47,51,18,36
02/22/2019 06:00:00 AM,71,21,20,13,17
02/22/2019 05:00:00 AM,16,2,5,2,7
02/22/2019 04:00:00 AM,4,2,1,0,1
02/22/2019 03:00:00 AM,0,0,0,0,0
02/22/2019 02:00:00 AM,0,0,0,0,0
02/22/2019 01:00:00 AM,4,1,2,0,1
02/22/2019 12:00:00 AM,1,0,0,0,1
02/21/2019 11:00:00 PM,14,1,2,6,5
02/21/2019 10:00:00 PM,11,2,3,3,3
02/21/2019 09:00:00 PM,22,6,7,8,1
02/21/2019 08:00:00 PM,22,7,7,6,2
02/21/2019 07:00:00 PM,57,16,15,17,9
02/21/2019 06:00:00 PM,156,40,47,55,14
02/21/2019 05:00:00 PM,410,145,124,104,37
02/21/2019 04:00:00 PM,590,382,104,64,40
02/21/2019 03:00:00 PM,700,542,101,26,31
02/21/2019 02:00:00 PM,881,727,101,24,29
02/21/2019 01:00:00 PM,394,260,97,17,20
02/21/2019 12:00:00 PM,341,132,160,19,30
02/21/2019 11:00:00 AM,173,74,71,19,9
02/21/2019 10:00:00 AM,100,31,37,13,19
02/21/2019 09:00:00 AM,154,46,45,21,42
02/21/2019 08:00:00 AM,222,54,59,21,88
02/21/2019 07:00:00 AM,175,44,44,30,57
02/21/2019 06:00:00 AM,98,33,24,22,19
02/21/2019 05:00:00 AM,24,6,5,4,9
02/21/2019 04:00:00 AM,5,2,2,0,1
02/21/2019 03:00:00 AM,1,1,0,0,0
02/21/2019 02:00:00 AM,1,0,0,0,1
02/21/2019 01:00:00 AM,2,0,0,1,1
02/21/2019 12:00:00 AM,3,1,0,0,2
02/20/2019 11:00:00 PM,4,1,3,0,0
02/20/2019 10:00:00 PM,14,7,2,3,2
02/20/2019 09:00:00 PM,16,2,3,9,2
02/20/2019 08:00:00 PM,27,11,6,9,1
02/20/2019 07:00:00 PM,59,18,18,17,6
02/20/2019 06:00:00 PM,140,27,47,46,20
02/20/2019 05:00:00 PM,271,74,79,86,32
02/20/2019 04:00:00 PM,217,61,69,49,38
02/20/2019 03:00:00 PM,141,54,52,18,17
02/20/2019 02:00:00 PM,115,40,45,13,17
02/20/2019 01:00:00 PM,93,36,43,9,5
02/20/2019 12:00:00 PM,206,96,97,7,6
02/20/2019 11:00:00 AM,92,47,37,4,4
02/20/2019 10:00:00 AM,88,42,33,9,4
02/20/2019 09:00:00 AM,118,35,33,14,36
02/20/2019 08:00:00 AM,216,44,61,24,87
02/20/2019 07:00:00 AM,170,44,44,31,51
02/20/2019 06:00:00 AM,74,22,23,14,15
02/20/2019 05:00:00 AM,12,3,1,3,5
02/20/2019 04:00:00 AM,4,1,1,0,2
02/20/2019 03:00:00 AM,2,1,1,0,0
02/20/2019 02:00:00 AM,2,1,1,0,0
02/20/2019 01:00:00 AM,1,0,0,0,1
02/20/2019 12:00:00 AM,1,0,0,1,0
02/19/2019 11:00:00 PM,0,0,0,0,0
02/19/2019 10:00:00 PM,7,4,1,1,1
02/19/2019 09:00:00 PM,13,6,6,1,0
02/19/2019 08:00:00 PM,27,9,11,6,1
02/19/2019 07:00:00 PM,30,12,8,7,3
02/19/2019 06:00:00 PM,100,19,20,51,10
02/19/2019 05:00:00 PM,211,43,52,91,25
02/19/2019 04:00:00 PM,130,35,33,37,25
02/19/2019 03:00:00 PM,82,27,26,16,13
02/19/2019 02:00:00 PM,58,21,25,3,9
02/19/2019 01:00:00 PM,90,38,41,6,5
02/19/2019 12:00:00 PM,171,76,73,13,9
02/19/2019 11:00:00 AM,124,65,44,9,6
02/19/2019 10:00:00 AM,54,21,20,9,4
02/19/2019 09:00:00 AM,111,25,35,18,33
02/19/2019 08:00:00 AM,197,53,50,15,79
02/19/2019 07:00:00 AM,177,55,50,26,46
02/19/2019 06:00:00 AM,75,23,20,14,18
02/19/2019 05:00:00 AM,17,6,4,4,3
02/19/2019 04:00:00 AM,1,0,0,0,1
02/19/2019 03:00:00 AM,2,2,0,0,0
02/19/2019 02:00:00 AM,2,0,1,1,0
02/19/2019 01:00:00 AM,2,1,0,0,1
02/19/2019 12:00:00 AM,5,2,2,0,1
02/18/2019 11:00:00 PM,3,1,1,1,0
02/18/2019 10:00:00 PM,12,3,3,4,2
02/18/2019 09:00:00 PM,5,3,1,1,0
02/18/2019 08:00:00 PM,14,6,6,1,1
02/18/2019 07:00:00 PM,35,13,14,6,2
02/18/2019 06:00:00 PM,74,22,25,19,8
02/18/2019 05:00:00 PM,213,72,74,50,17
02/18/2019 04:00:00 PM,211,89,68,31,23
02/18/2019 03:00:00 PM,192,61,81,26,24
02/18/2019 02:00:00 PM,180,86,67,17,10
02/18/2019 01:00:00 PM,140,64,57,11,8
02/18/2019 12:00:00 PM,136,47,66,10,13
02/18/2019 11:00:00 AM,65,27,27,8,3
02/18/2019 10:00:00 AM,104,41,45,10,8
02/18/2019 09:00:00 AM,107,39,31,12,25
02/18/2019 08:00:00 AM,112,36,26,11,39
02/18/2019 07:00:00 AM,77,21,19,14,23
02/18/2019 06:00:00 AM,26,6,8,5,7
02/18/2019 05:00:00 AM,13,4,3,5,1
02/18/2019 04:00:00 AM,0,0,0,0,0
02/18/2019 03:00:00 AM,2,1,0,1,0
02/18/2019 02:00:00 AM,1,1,0,0,0
02/18/2019 01:00:00 AM,0,0,0,0,0
02/18/2019 12:00:00 AM,3,2,1,0,0
02/17/2019 11:00:00 PM,6,3,2,1,0
02/17/2019 10:00:00 PM,5,2,3,0,0
02/17/2019 09:00:00 PM,11,6,5,0,0
02/17/2019 08:00:00 PM,11,6,3,1,1
02/17/2019 07:00:00 PM,24,6,13,3,2
02/17/2019 06:00:00 PM,83,19,46,10,8
02/17/2019 05:00:00 PM,336,136,136,30,34
02/17/2019 04:00:00 PM,283,109,132,28,14
02/17/2019 03:00:00 PM,229,88,95,22,24
02/17/2019 02:00:00 PM,225,100,92,21,12
02/17/2019 01:00:00 PM,211,75,116,9,11
02/17/2019 12:00:00 PM,194,77,86,18,13
02/17/2019 11:00:00 AM,174,58,78,14,24
02/17/2019 10:00:00 AM,201,82,89,18,12
02/17/2019 09:00:00 AM,138,73,49,8,8
02/17/2019 08:00:00 AM,96,45,48,2,1
02/17/2019 07:00:00 AM,69,34,30,1,4
02/17/2019 06:00:00 AM,12,8,4,0,0
02/17/2019 05:00:00 AM,5,3,2,0,0
02/17/2019 04:00:00 AM,2,0,0,1,1
02/17/2019 03:00:00 AM,3,1,1,1,0
02/17/2019 02:00:00 AM,2,1,1,0,0
02/17/2019 01:00:00 AM,2,2,0,0,0
02/17/2019 12:00:00 AM,5,1,2,0,2
02/16/2019 11:00:00 PM,2,1,1,0,0
02/16/2019 10:00:00 PM,0,0,0,0,0
02/16/2019 09:00:00 PM,4,2,1,0,1
02/16/2019 08:00:00 PM,10,3,2,2,3
02/16/2019 07:00:00 PM,18,4,6,2,6
02/16/2019 06:00:00 PM,17,6,5,3,3
02/16/2019 05:00:00 PM,37,17,17,0,3
02/16/2019 04:00:00 PM,85,26,51,6,2
02/16/2019 03:00:00 PM,98,42,39,10,7
02/16/2019 02:00:00 PM,112,53,41,11,7
02/16/2019 01:00:00 PM,131,41,68,11,11
02/16/2019 12:00:00 PM,111,45,47,11,8
02/16/2019 11:00:00 AM,78,33,31,6,8
02/16/2019 10:00:00 AM,98,45,47,4,2
02/16/2019 09:00:00 AM,77,34,33,6,4
02/16/2019 08:00:00 AM,98,42,44,7,5
02/16/2019 07:00:00 AM,61,33,27,0,1
02/16/2019 06:00:00 AM,13,6,7,0,0
02/16/2019 05:00:00 AM,4,2,1,0,1
02/16/2019 04:00:00 AM,3,2,1,0,0
02/16/2019 03:00:00 AM,0,0,0,0,0
02/16/2019 02:00:00 AM,2,1,1,0,0
02/16/2019 01:00:00 AM,4,2,2,0,0
02/16/2019 12:00:00 AM,5,2,1,1,1
02/15/2019 11:00:00 PM,12,2,4,3,3
02/15/2019 10:00:00 PM,13,4,5,3,1
02/15/2019 09:00:00 PM,14,4,5,2,3
02/15/2019 08:00:00 PM,18,9,4,2,3
02/15/2019 07:00:00 PM,30,9,11,9,1
02/15/2019 06:00:00 PM,106,32,42,24,8
02/15/2019 05:00:00 PM,334,121,129,68,16
02/15/2019 04:00:00 PM,857,663,112,41,41
02/15/2019 03:00:00 PM,953,853,66,20,14
02/15/2019 02:00:00 PM,558,475,56,12,15
02/15/2019 01:00:00 PM,184,122,47,11,4
02/15/2019 12:00:00 PM,183,91,80,7,5
02/15/2019 11:00:00 AM,108,49,51,4,4
02/15/2019 10:00:00 AM,87,36,35,8,8
02/15/2019 09:00:00 AM,104,43,37,8,16
02/15/2019 08:00:00 AM,143,36,48,12,47
02/15/2019 07:00:00 AM,124,42,33,20,29
02/15/2019 06:00:00 AM,49,16,14,10,9
02/15/2019 05:00:00 AM,11,2,3,3,3
02/15/2019 04:00:00 AM,2,1,1,0,0
02/15/2019 03:00:00 AM,0,0,0,0,0
02/15/2019 02:00:00 AM,1,0,1,0,0
02/15/2019 01:00:00 AM,6,3,2,0,1
02/15/2019 12:00:00 AM,2,1,0,0,1
02/14/2019 11:00:00 PM,1,0,1,0,0
02/14/2019 10:00:00 PM,1,1,0,0,0
02/14/2019 09:00:00 PM,7,2,1,1,3
02/14/2019 08:00:00 PM,13,5,4,4,0
02/14/2019 07:00:00 PM,17,7,4,5,1
02/14/2019 06:00:00 PM,40,10,8,20,2
02/14/2019 05:00:00 PM,102,25,27,39,11
02/14/2019 04:00:00 PM,77,26,24,14,13
02/14/2019 03:00:00 PM,34,9,12,4,9
02/14/2019 02:00:00 PM,57,21,23,4,9
02/14/2019 01:00:00 PM,108,48,50,5,5
02/14/2019 12:00:00 PM,173,78,88,2,5
02/14/2019 11:00:00 AM,107,65,35,1,6
02/14/2019 10:00:00 AM,63,21,30,5,7
02/14/2019 09:00:00 AM,60,25,18,7,10
02/14/2019 08:00:00 AM,123,33,37,19,34
02/14/2019 07:00:00 AM,94,35,29,12,18
02/14/2019 06:00:00 AM,47,21,13,8,5
02/14/2019 05:00:00 AM,15,5,7,1,2
02/14/2019 04:00:00 AM,1,1,0,0,0
02/14/2019 03:00:00 AM,1,0,0,1,0
02/14/2019 02:00:00 AM,1,0,0,1,0
02/14/2019 01:00:00 AM,3,0,1,0,2
02/14/2019 12:00:00 AM,1,0,0,0,1
02/13/2019 11:00:00 PM,1,1,0,0,0
02/13/2019 10:00:00 PM,1,1,0,0,0
02/13/2019 09:00:00 PM,7,4,1,1,1
02/13/2019 08:00:00 PM,13,2,8,2,1
02/13/2019 07:00:00 PM,29,12,9,7,1
02/13/2019 06:00:00 PM,53,17,23,12,1
02/13/2019 05:00:00 PM,176,57,85,21,13
02/13/2019 04:00:00 PM,136,62,51,12,11
02/13/2019 03:00:00 PM,125,57,60,2,6
02/13/2019 02:00:00 PM,78,44,28,3,3
02/13/2019 01:00:00 PM,67,28,35,2,2
02/13/2019 12:00:00 PM,128,60,64,3,1
02/13/2019 11:00:00 AM,77,42,33,1,1
02/13/2019 10:00:00 AM,51,23,15,6,7
02/13/2019 09:00:00 AM,63,23,27,4,9
02/13/2019 08:00:00 AM,72,21,25,12,14
02/13/2019 07:00:00 AM,83,27,38,9,9
02/13/2019 06:00:00 AM,30,15,11,3,1
02/13/2019 05:00:00 AM,3,1,2,0,0
02/13/2019 04:00:00 AM,4,2,1,0,1
02/13/2019 03:00:00 AM,2,0,1,0,1
02/13/2019 02:00:00 AM,0,0,0,0,0
02/13/2019 01:00:00 AM,0,0,0,0,0
02/13/2019 12:00:00 AM,3,1,2,0,0
02/12/2019 11:00:00 PM,4,2,2,0,0
02/12/2019 10:00:00 PM,3,1,2,0,0
02/12/2019 09:00:00 PM,3,1,2,0,0
02/12/2019 08:00:00 PM,9,5,3,1,0
02/12/2019 07:00:00 PM,12,6,3,3,0
02/12/2019 06:00:00 PM,27,12,12,2,1
02/12/2019 05:00:00 PM,100,42,50,6,2
02/12/2019 04:00:00 PM,80,40,35,5,0
02/12/2019 03:00:00 PM,63,32,30,1,0
02/12/2019 02:00:00 PM,27,18,9,0,0
02/12/2019 01:00:00 PM,21,9,10,1,1
02/12/2019 12:00:00 PM,32,18,11,3,0
02/12/2019 11:00:00 AM,27,11,16,0,0
02/12/2019 10:00:00 AM,4,4,0,0,0
02/12/2019 09:00:00 AM,11,5,5,0,1
02/12/2019 08:00:00 AM,19,7,8,0,4
02/12/2019 07:00:00 AM,26,11,12,2,1
02/12/2019 06:00:00 AM,6,2,3,0,1
02/12/2019 05:00:00 AM,2,1,1,0,0
02/12/2019 04:00:00 AM,0,0,0,0,0
02/12/2019 03:00:00 AM,0,0,0,0,0
02/12/2019 02:00:00 AM,0,0,0,0,0
02/12/2019 01:00:00 AM,0,0,0,0,0
02/12/2019 12:00:00 AM,0,0,0,0,0
02/11/2019 11:00:00 PM,0,0,0,0,0
02/11/2019 10:00:00 PM,0,0,0,0,0
02/11/2019 09:00:00 PM,2,0,2,0,0
02/11/2019 08:00:00 PM,1,0,1,0,0
02/11/2019 07:00:00 PM,7,3,3,1,0
02/11/2019 06:00:00 PM,7,3,2,2,0
02/11/2019 05:00:00 PM,26,15,9,2,0
02/11/2019 04:00:00 PM,41,16,21,3,1
02/11/2019 03:00:00 PM,27,17,8,0,2
02/11/2019 02:00:00 PM,22,7,14,1,0
02/11/2019 01:00:00 PM,26,11,12,3,0
02/11/2019 12:00:00 PM,42,16,26,0,0
02/11/2019 11:00:00 AM,29,18,11,0,0
02/11/2019 10:00:00 AM,33,12,20,0,1
02/11/2019 09:00:00 AM,29,15,13,0,1
02/11/2019 08:00:00 AM,35,11,20,1,3
02/11/2019 07:00:00 AM,27,9,15,1,2
02/11/2019 06:00:00 AM,7,2,5,0,0
02/11/2019 05:00:00 AM,5,3,1,1,0
02/11/2019 04:00:00 AM,0,0,0,0,0
02/11/2019 03:00:00 AM,0,0,0,0,0
02/11/2019 02:00:00 AM,0,0,0,0,0
02/11/2019 01:00:00 AM,0,0,0,0,0
02/11/2019 12:00:00 AM,4,2,2,0,0
02/10/2019 11:00:00 PM,0,0,0,0,0
02/10/2019 10:00:00 PM,4,2,2,0,0
02/10/2019 09:00:00 PM,1,0,1,0,0
02/10/2019 08:00:00 PM,4,1,1,1,1
02/10/2019 07:00:00 PM,7,4,3,0,0
02/10/2019 06:00:00 PM,15,6,8,1,0
02/10/2019 05:00:00 PM,27,15,11,0,1
02/10/2019 04:00:00 PM,31,17,12,1,1
02/10/2019 03:00:00 PM,47,23,23,1,0
02/10/2019 02:00:00 PM,46,19,27,0,0
02/10/2019 01:00:00 PM,55,21,33,0,1
02/10/2019 12:00:00 PM,65,34,31,0,0
02/10/2019 11:00:00 AM,52,24,28,0,0
02/10/2019 10:00:00 AM,60,23,31,4,2
02/10/2019 09:00:00 AM,39,20,19,0,0
02/10/2019 08:00:00 AM,29,14,15,0,0
02/10/2019 07:00:00 AM,10,6,3,0,1
02/10/2019 06:00:00 AM,5,3,2,0,0
02/10/2019 05:00:00 AM,1,0,1,0,0
02/10/2019 04:00:00 AM,1,0,1,0,0
02/10/2019 03:00:00 AM,0,0,0,0,0
02/10/2019 02:00:00 AM,3,2,1,0,0
02/10/2019 01:00:00 AM,0,0,0,0,0
02/10/2019 12:00:00 AM,3,2,1,0,0
02/09/2019 11:00:00 PM,0,0,0,0,0
02/09/2019 10:00:00 PM,2,1,1,0,0
02/09/2019 09:00:00 PM,4,3,1,0,0
02/09/2019 08:00:00 PM,1,0,0,1,0
02/09/2019 07:00:00 PM,3,0,3,0,0
02/09/2019 06:00:00 PM,7,2,5,0,0
02/09/2019 05:00:00 PM,102,41,57,0,4
02/09/2019 04:00:00 PM,260,152,107,1,0
02/09/2019 03:00:00 PM,157,70,86,1,0
02/09/2019 02:00:00 PM,163,63,100,0,0
02/09/2019 01:00:00 PM,151,74,76,1,0
02/09/2019 12:00:00 PM,151,65,84,1,1
02/09/2019 11:00:00 AM,168,73,93,2,0
02/09/2019 10:00:00 AM,126,49,74,2,1
02/09/2019 09:00:00 AM,138,64,74,0,0
02/09/2019 08:00:00 AM,70,36,34,0,0
02/09/2019 07:00:00 AM,10,5,4,0,1
02/09/2019 06:00:00 AM,4,2,2,0,0
02/09/2019 05:00:00 AM,1,1,0,0,0
02/09/2019 04:00:00 AM,2,0,2,0,0
02/09/2019 03:00:00 AM,2,0,2,0,0
02/09/2019 02:00:00 AM,1,1,0,0,0
02/09/2019 01:00:00 AM,4,1,3,0,0
02/09/2019 12:00:00 AM,5,1,3,0,1
02/08/2019 11:00:00 PM,9,6,3,0,0
02/08/2019 10:00:00 PM,18,5,11,1,1
02/08/2019 09:00:00 PM,11,3,5,2,1
02/08/2019 08:00:00 PM,7,3,4,0,0
02/08/2019 07:00:00 PM,8,3,5,0,0
02/08/2019 06:00:00 PM,20,8,11,1,0
02/08/2019 05:00:00 PM,48,18,21,4,5
02/08/2019 04:00:00 PM,60,24,23,11,2
02/08/2019 03:00:00 PM,61,30,20,8,3
02/08/2019 02:00:00 PM,71,30,19,14,8
02/08/2019 01:00:00 PM,81,30,22,22,7
02/08/2019 12:00:00 PM,91,32,39,14,6
02/08/2019 11:00:00 AM,66,31,32,2,1
02/08/2019 10:00:00 AM,76,30,37,3,6
02/08/2019 09:00:00 AM,55,20,18,4,13
02/08/2019 08:00:00 AM,98,22,34,17,25
02/08/2019 07:00:00 AM,69,23,20,11,15
02/08/2019 06:00:00 AM,29,8,10,4,7
02/08/2019 05:00:00 AM,10,3,4,1,2
02/08/2019 04:00:00 AM,3,1,2,0,0
02/08/2019 03:00:00 AM,2,0,1,0,1
02/08/2019 02:00:00 AM,0,0,0,0,0
02/08/2019 01:00:00 AM,5,1,2,1,1
02/08/2019 12:00:00 AM,2,0,1,0,1
02/07/2019 11:00:00 PM,9,3,4,2,0
02/07/2019 10:00:00 PM,10,5,3,1,1
02/07/2019 09:00:00 PM,8,4,3,0,1
02/07/2019 08:00:00 PM,17,2,8,5,2
02/07/2019 07:00:00 PM,28,12,9,7,0
02/07/2019 06:00:00 PM,70,22,22,18,8
02/07/2019 05:00:00 PM,168,54,50,40,24
02/07/2019 04:00:00 PM,156,59,56,22,19
02/07/2019 03:00:00 PM,155,83,57,8,7
02/07/2019 02:00:00 PM,136,59,49,9,19
02/07/2019 01:00:00 PM,122,53,61,4,4
02/07/2019 12:00:00 PM,180,93,76,8,3
02/07/2019 11:00:00 AM,79,37,34,3,5
02/07/2019 10:00:00 AM,70,32,31,4,3
02/07/2019 09:00:00 AM,90,30,32,9,19
02/07/2019 08:00:00 AM,119,21,40,24,34
02/07/2019 07:00:00 AM,96,28,31,17,20
02/07/2019 06:00:00 AM,56,23,12,13,8
02/07/2019 05:00:00 AM,22,9,7,1,5
02/07/2019 04:00:00 AM,0,0,0,0,0
02/07/2019 03:00:00 AM,1,0,0,0,1
02/07/2019 02:00:00 AM,1,0,1,0,0
02/07/2019 01:00:00 AM,1,0,0,0,1
02/07/2019 12:00:00 AM,4,0,2,1,1
02/06/2019 11:00:00 PM,1,1,0,0,0
02/06/2019 10:00:00 PM,2,1,0,1,0
02/06/2019 09:00:00 PM,9,3,4,1,1
02/06/2019 08:00:00 PM,13,4,5,4,0
02/06/2019 07:00:00 PM,32,13,13,5,1
02/06/2019 06:00:00 PM,51,12,19,17,3
