Date,MTS Trail West of I-90 Bridge Total,Ped East,Ped West,Bike East,Bike West
02/15/2019 04:00:00 PM,,,,4,6
02/15/2019 03:00:00 PM,,,,1,1
02/15/2019 02:00:00 PM,,,,1,2
02/15/2019 01:00:00 PM,,,,2,1
02/15/2019 12:00:00 PM,,,,0,0
02/15/2019 11:00:00 AM,,,,1,2
02/15/2019 10:00:00 AM,,,,0,0
02/15/2019 09:00:00 AM,,,,1,1
02/15/2019 08:00:00 AM,,,,0,0
02/15/2019 07:00:00 AM,,,,0,0
02/15/2019 06:00:00 AM,,,,0,0
02/15/2019 05:00:00 AM,,,,0,0
02/15/2019 04:00:00 AM,,,,0,0
02/15/2019 03:00:00 AM,,,,0,0
02/15/2019 02:00:00 AM,,,,0,0
02/15/2019 01:00:00 AM,,,,0,0
02/15/2019 12:00:00 AM,,,,0,0
02/14/2019 11:00:00 PM,,,,0,0
02/14/2019 10:00:00 PM,,,,0,0
02/14/2019 09:00:00 PM,,,,0,0
02/14/2019 08:00:00 PM,,,,0,0
02/14/2019 07:00:00 PM,,,,0,0
02/14/2019 06:00:00 PM,,,,0,0
02/14/2019 05:00:00 PM,,,,0,0
02/14/2019 04:00:00 PM,,,,0,0
02/14/2019 03:00:00 PM,,,,0,0
02/14/2019 02:00:00 PM,,,,0,0
02/14/2019 01:00:00 PM,,,,0,0
02/14/2019 12:00:00 PM,,,,0,0
02/14/2019 11:00:00 AM,,,,0,0
02/14/2019 10:00:00 AM,,,,0,0
02/14/2019 09:00:00 AM,,,,0,0
02/14/2019 08:00:00 AM,,,,2,3
02/14/2019 07:00:00 AM,,,,0,0
02/14/2019 06:00:00 AM,,,,0,0
02/14/2019 05:00:00 AM,,,,0,0
02/14/2019 04:00:00 AM,,,,0,0
02/14/2019 03:00:00 AM,,,,0,0
02/14/2019 02:00:00 AM,,,,0,0
02/14/2019 01:00:00 AM,,,,0,0
02/14/2019 12:00:00 AM,,,,0,0
02/13/2019 11:00:00 PM,,,,0,0
02/13/2019 10:00:00 PM,,,,0,0
02/13/2019 09:00:00 PM,,,,0,0
02/13/2019 08:00:00 PM,,,,0,0
02/13/2019 07:00:00 PM,,,,0,0
02/13/2019 06:00:00 PM,,,,0,0
02/13/2019 05:00:00 PM,,,,0,0
02/13/2019 04:00:00 PM,,,,0,0
02/13/2019 03:00:00 PM,,,,0,0
02/13/2019 02:00:00 PM,,,,0,0
02/13/2019 01:00:00 PM,,,,0,0
02/13/2019 12:00:00 PM,,,,0,0
02/13/2019 11:00:00 AM,,,,0,0
02/13/2019 10:00:00 AM,,,,0,0
02/13/2019 09:00:00 AM,,,,0,0
02/13/2019 08:00:00 AM,,,,0,0
02/13/2019 07:00:00 AM,,,,0,0
02/13/2019 06:00:00 AM,,,,0,0
02/13/2019 05:00:00 AM,,,,0,0
02/13/2019 04:00:00 AM,,,,0,0
02/13/2019 03:00:00 AM,,,,0,0
02/13/2019 02:00:00 AM,,,,0,0
02/13/2019 01:00:00 AM,,,,0,0
02/13/2019 12:00:00 AM,,,,0,0
02/12/2019 11:00:00 PM,,,,0,0
02/12/2019 10:00:00 PM,,,,0,0
02/12/2019 09:00:00 PM,,,,0,0
02/12/2019 08:00:00 PM,,,,0,0
02/12/2019 07:00:00 PM,,,,0,0
02/12/2019 06:00:00 PM,,,,0,0
02/12/2019 05:00:00 PM,,,,0,0
02/12/2019 04:00:00 PM,,,,0,0
02/12/2019 03:00:00 PM,,,,0,0
02/12/2019 02:00:00 PM,,,,0,0
02/12/2019 01:00:00 PM,,,,0,0
02/12/2019 12:00:00 PM,,,,0,0
02/12/2019 11:00:00 AM,,,,0,0
02/12/2019 10:00:00 AM,,,,0,0
02/12/2019 09:00:00 AM,,,,0,0
02/12/2019 08:00:00 AM,,,,0,0
02/12/2019 07:00:00 AM,,,,0,0
02/12/2019 06:00:00 AM,,,,0,0
02/12/2019 05:00:00 AM,,,,0,0
02/12/2019 04:00:00 AM,,,,0,0
02/12/2019 03:00:00 AM,,,,0,0
02/12/2019 02:00:00 AM,,,,0,0
02/12/2019 01:00:00 AM,,,,0,0
02/12/2019 12:00:00 AM,,,,0,0
02/11/2019 11:00:00 PM,,,,0,0
02/11/2019 10:00:00 PM,,,,0,0
02/11/2019 09:00:00 PM,,,,0,0
02/11/2019 08:00:00 PM,,,,0,0
02/11/2019 07:00:00 PM,,,,0,0
02/11/2019 06:00:00 PM,,,,0,0
02/11/2019 05:00:00 PM,,,,0,0
02/11/2019 04:00:00 PM,,,,0,0
02/11/2019 03:00:00 PM,,,,0,0
02/11/2019 02:00:00 PM,,,,0,0
02/11/2019 01:00:00 PM,,,,0,0
02/11/2019 12:00:00 PM,,,,0,0
02/11/2019 11:00:00 AM,,,,0,0
02/11/2019 10:00:00 AM,,,,0,0
02/11/2019 09:00:00 AM,,,,0,0
02/11/2019 08:00:00 AM,,,,0,0
02/11/2019 07:00:00 AM,,,,0,0
02/11/2019 06:00:00 AM,,,,0,0
02/11/2019 05:00:00 AM,,,,0,0
02/11/2019 04:00:00 AM,,,,0,0
02/11/2019 03:00:00 AM,,,,0,0
02/11/2019 02:00:00 AM,,,,0,0
02/11/2019 01:00:00 AM,,,,0,0
02/11/2019 12:00:00 AM,,,,0,0
02/10/2019 11:00:00 PM,,,,0,0
02/10/2019 10:00:00 PM,,,,0,0
02/10/2019 09:00:00 PM,,,,0,0
02/10/2019 08:00:00 PM,,,,0,0
02/10/2019 07:00:00 PM,,,,0,0
02/10/2019 06:00:00 PM,,,,0,0
02/10/2019 05:00:00 PM,,,,0,0
02/10/2019 04:00:00 PM,,,,0,0
02/10/2019 03:00:00 PM,,,,0,0
02/10/2019 02:00:00 PM,,,,0,0
02/10/2019 01:00:00 PM,,,,0,0
02/10/2019 12:00:00 PM,,,,0,0
02/10/2019 11:00:00 AM,,,,0,0
02/10/2019 10:00:00 AM,,,,0,0
02/10/2019 09:00:00 AM,,,,0,0
02/10/2019 08:00:00 AM,,,,0,0
02/10/2019 07:00:00 AM,,,,0,0
02/10/2019 06:00:00 AM,,,,0,0
02/10/2019 05:00:00 AM,,,,0,0
02/10/2019 04:00:00 AM,,,,0,0
02/10/2019 03:00:00 AM,,,,0,0
02/10/2019 02:00:00 AM,,,,0,0
02/10/2019 01:00:00 AM,,,,0,0
02/10/2019 12:00:00 AM,,,,0,0
02/09/2019 11:00:00 PM,,,,0,0
02/09/2019 10:00:00 PM,,,,0,0
02/09/2019 09:00:00 PM,,,,0,0
02/09/2019 08:00:00 PM,,,,0,0
02/09/2019 07:00:00 PM,,,,0,0
02/09/2019 06:00:00 PM,,,,0,0
02/09/2019 05:00:00 PM,,,,0,0
02/09/2019 04:00:00 PM,,,,0,0
02/09/2019 03:00:00 PM,,,,0,0
02/09/2019 02:00:00 PM,,,,0,0
02/09/2019 01:00:00 PM,,,,0,0
02/09/2019 12:00:00 PM,,,,0,0
02/09/2019 11:00:00 AM,,,,0,0
02/09/2019 10:00:00 AM,,,,0,0
02/09/2019 09:00:00 AM,,,,0,0
02/09/2019 08:00:00 AM,,,,0,0
02/09/2019 07:00:00 AM,,,,0,0
02/09/2019 06:00:00 AM,,,,0,0
02/09/2019 05:00:00 AM,,,,0,1
02/09/2019 04:00:00 AM,,,,0,0
02/09/2019 03:00:00 AM,,,,0,0
02/09/2019 02:00:00 AM,,,,0,0
02/09/2019 01:00:00 AM,,,,0,0
02/09/2019 12:00:00 AM,,,,0,0
02/08/2019 11:00:00 PM,,,,0,0
02/08/2019 10:00:00 PM,,,,0,0
02/08/2019 09:00:00 PM,,,,0,0
02/08/2019 08:00:00 PM,,,,0,0
02/08/2019 07:00:00 PM,,,,0,0
02/08/2019 06:00:00 PM,,,,0,0
02/08/2019 05:00:00 PM,,,,0,0
02/08/2019 04:00:00 PM,,,,0,2
02/08/2019 03:00:00 PM,,,,0,3
02/08/2019 02:00:00 PM,,,,2,1
02/08/2019 01:00:00 PM,,,,2,3
02/08/2019 12:00:00 PM,,,,0,2
02/08/2019 11:00:00 AM,,,,0,0
02/08/2019 10:00:00 AM,,,,0,0
02/08/2019 09:00:00 AM,,,,0,0
02/08/2019 08:00:00 AM,,,,0,0
02/08/2019 07:00:00 AM,,,,2,1
02/08/2019 06:00:00 AM,,,,0,0
02/08/2019 05:00:00 AM,,,,0,0
02/08/2019 04:00:00 AM,,,,0,0
02/08/2019 03:00:00 AM,,,,0,0
02/08/2019 02:00:00 AM,,,,0,0
02/08/2019 01:00:00 AM,,,,0,0
02/08/2019 12:00:00 AM,,,,0,0
02/07/2019 11:00:00 PM,,,,0,0
02/07/2019 10:00:00 PM,,,,0,0
02/07/2019 09:00:00 PM,,,,0,0
02/07/2019 08:00:00 PM,,,,0,0
02/07/2019 07:00:00 PM,,,,0,0
02/07/2019 06:00:00 PM,,,,0,0
02/07/2019 05:00:00 PM,,,,0,1
02/07/2019 04:00:00 PM,,,,5,2
02/07/2019 03:00:00 PM,,,,1,2
02/07/2019 02:00:00 PM,,,,2,1
02/07/2019 01:00:00 PM,,,,2,1
02/07/2019 12:00:00 PM,,,,0,0
02/07/2019 11:00:00 AM,,,,0,0
02/07/2019 10:00:00 AM,,,,2,2
02/07/2019 09:00:00 AM,,,,2,1
02/07/2019 08:00:00 AM,,,,4,2
02/07/2019 07:00:00 AM,,,,1,0
02/07/2019 06:00:00 AM,,,,0,0
02/07/2019 05:00:00 AM,,,,0,0
02/07/2019 04:00:00 AM,,,,0,0
02/07/2019 03:00:00 AM,,,,0,0
02/07/2019 02:00:00 AM,,,,0,0
02/07/2019 01:00:00 AM,,,,0,0
02/07/2019 12:00:00 AM,,,,0,0
02/06/2019 11:00:00 PM,,,,0,0
02/06/2019 10:00:00 PM,,,,0,0
02/06/2019 09:00:00 PM,,,,0,0
02/06/2019 08:00:00 PM,,,,0,0
02/06/2019 07:00:00 PM,,,,1,0
02/06/2019 06:00:00 PM,,,,0,0
02/06/2019 05:00:00 PM,,,,2,1
02/06/2019 04:00:00 PM,,,,1,1
02/06/2019 03:00:00 PM,,,,1,0
02/06/2019 02:00:00 PM,,,,0,1
02/06/2019 01:00:00 PM,,,,0,0
02/06/2019 12:00:00 PM,,,,0,0
02/06/2019 11:00:00 AM,,,,1,1
02/06/2019 10:00:00 AM,,,,1,1
02/06/2019 09:00:00 AM,,,,0,1
02/06/2019 08:00:00 AM,,,,1,1
02/06/2019 07:00:00 AM,,,,1,1
02/06/2019 06:00:00 AM,,,,0,1
02/06/2019 05:00:00 AM,,,,0,1
02/06/2019 04:00:00 AM,,,,0,0
02/06/2019 03:00:00 AM,,,,0,0
02/06/2019 02:00:00 AM,,,,0,0
02/06/2019 01:00:00 AM,,,,0,0
02/06/2019 12:00:00 AM,,,,0,0
02/05/2019 11:00:00 PM,,,,0,0
02/05/2019 10:00:00 PM,,,,0,0
02/05/2019 09:00:00 PM,,,,0,0
02/05/2019 08:00:00 PM,,,,0,1
02/05/2019 07:00:00 PM,,,,0,0
02/05/2019 06:00:00 PM,,,,1,0
02/05/2019 05:00:00 PM,,,,1,0
02/05/2019 04:00:00 PM,,,,1,1
02/05/2019 03:00:00 PM,,,,0,0
02/05/2019 02:00:00 PM,,,,0,0
02/05/2019 01:00:00 PM,,,,0,0
02/05/2019 12:00:00 PM,,,,0,1
02/05/2019 11:00:00 AM,,,,0,0
02/05/2019 10:00:00 AM,,,,1,0
02/05/2019 09:00:00 AM,,,,0,0
02/05/2019 08:00:00 AM,,,,0,0
02/05/2019 07:00:00 AM,,,,0,0
02/05/2019 06:00:00 AM,,,,0,1
02/05/2019 05:00:00 AM,,,,0,1
02/05/2019 04:00:00 AM,,,,0,0
02/05/2019 03:00:00 AM,,,,0,0
02/05/2019 02:00:00 AM,,,,0,0
02/05/2019 01:00:00 AM,,,,0,0
02/05/2019 12:00:00 AM,,,,0,0
02/04/2019 11:00:00 PM,,,,0,0
02/04/2019 10:00:00 PM,,,,0,0
02/04/2019 09:00:00 PM,,,,0,0
02/04/2019 08:00:00 PM,,,,0,0
02/04/2019 07:00:00 PM,,,,0,0
02/04/2019 06:00:00 PM,,,,0,0
02/04/2019 05:00:00 PM,,,,0,1
02/04/2019 04:00:00 PM,,,,0,1
02/04/2019 03:00:00 PM,,,,2,0
02/04/2019 02:00:00 PM,,,,0,0
02/04/2019 01:00:00 PM,,,,0,0
02/04/2019 12:00:00 PM,,,,1,0
02/04/2019 11:00:00 AM,,,,0,0
02/04/2019 10:00:00 AM,,,,0,1
02/04/2019 09:00:00 AM,,,,1,0
02/04/2019 08:00:00 AM,,,,0,0
02/04/2019 07:00:00 AM,,,,2,0
02/04/2019 06:00:00 AM,,,,0,0
02/04/2019 05:00:00 AM,,,,0,1
02/04/2019 04:00:00 AM,,,,0,0
02/04/2019 03:00:00 AM,,,,0,0
02/04/2019 02:00:00 AM,,,,0,0
02/04/2019 01:00:00 AM,,,,0,0
02/04/2019 12:00:00 AM,,,,0,0
02/03/2019 11:00:00 PM,,,,0,0
02/03/2019 10:00:00 PM,,,,0,0
02/03/2019 09:00:00 PM,,,,0,0
02/03/2019 08:00:00 PM,,,,0,0
02/03/2019 07:00:00 PM,,,,0,0
