observed_month,prod_type,prod_process,n_hens,n_eggs,source
2016-10-31,table eggs,all,305852000,7534700000,ChicEggs-12-23-2016.pdf
2016-11-30,table eggs,all,310728000,7468500000,ChicEggs-01-24-2017.pdf
2016-12-31,table eggs,all,318820000,7950400000,ChicEggs-02-28-2017.pdf
2017-01-31,table eggs,all,318109000,7903500000,ChicEggs-03-21-2017.pdf
2017-02-28,table eggs,all,316807000,7079800000,ChicEggs-04-21-2017.pdf
2017-03-31,table eggs,all,316147000,7842000000,ChicEggs-05-22-2017.pdf
2017-04-30,table eggs,all,314918000,7545900000,ChicEggs-06-23-2017.pdf
2017-05-31,table eggs,all,312321000,7730900000,ChicEggs-07-21-2017.pdf
2017-06-30,table eggs,all,310798000,7475700000,ChicEggs-08-22-2017.pdf
2017-07-31,table eggs,all,310552000,7730100000,ChicEggs-09-22-2017.pdf
2017-08-31,table eggs,all,311301000,7686200000,ChicEggs-10-23-2017.pdf
2017-09-30,table eggs,all,312364000,7376500000,ChicEggs-11-21-2017.pdf
2017-10-31,table eggs,all,314692000,7683700000,ChicEggs-12-22-2017.pdf
2017-11-30,table eggs,all,319506000,7635400000,ChicEggs-01-23-2018.pdf
2017-12-31,table eggs,all,322059000,7963900000,ChicEggs-02-27-2018.pdf
2018-01-31,table eggs,all,321410000,7841800000,ChicEggs-03-23-2018.pdf
2018-02-28,table eggs,all,322690000,7099800000,ChicEggs-04-23-2018.pdf
2018-03-31,table eggs,all,324545000,7932000000,ChicEggs-05-22-2018.pdf
2018-04-30,table eggs,all,324098000,7665000000,ChicEggs-06-22-2018.pdf
2018-05-31,table eggs,all,323536000,7932600000,ChicEggs-07-23-2018.pdf
2018-06-30,table eggs,all,323472000,7670400000,ChicEggs-08-21-2018.pdf
2018-07-31,table eggs,all,323170000,7900700000,ChicEggs-09-21-2018.pdf
2018-08-31,table eggs,all,323806000,7967900000,ChicEggs-10-22-2018.pdf
2018-09-30,table eggs,all,324913000,7759800000,ChicEggs-11-20-2018.pdf
2018-10-31,table eggs,all,326632000,8066500000,ChicEggs-12-21-2018.pdf
2018-11-30,table eggs,all,329614000,7922600000,ChicEggs-12-21-2018.pdf
2018-12-31,table eggs,all,331277000,8259100000,ChicEggs-02-26-2019.pdf
2019-01-31,table eggs,all,332613000,8275400000,ChicEggs-03-27-2019.pdf
2019-02-28,table eggs,all,336802000,7516500000,ChicEggs-04-22-2019.pdf
2019-03-31,table eggs,all,340855000,8424299999.999999,ChicEggs-05-21-2019.pdf
2019-04-30,table eggs,all,339589000,8160000000,ChicEggs-06-21-2019.pdf
2019-05-31,table eggs,all,334526000,8346299999.999999,ChicEggs-07-23-2019.pdf
2019-06-30,table eggs,all,329705000,7990800000,ChicEggs-08-23-2019.pdf
2019-07-31,table eggs,all,328072000,8200400000,ChicEggs-09-23-2019.pdf
2019-08-31,table eggs,all,329933000,8253900000,ChicEggs-10-22-2019.pdf
2019-09-30,table eggs,all,332574000,8034700000,ChicEggs-11-22-2019.pdf
2019-10-31,table eggs,all,335707000,8446600000,ChicEggs-12-23-2019.pdf
2019-11-30,table eggs,all,339123000,8328200000.000001,ChicEggs-01-21-2020.pdf
2019-12-31,table eggs,all,341166000,8601000000,ChicEggs-02-28-2020.pdf
2020-01-31,table eggs,all,338062000,8486600000,ChicEggs-03-23-2020.pdf
2020-02-29,table eggs,all,332433000,7790900000,ChicEggs-04-21-2020.pdf
2020-03-31,table eggs,all,330713000,8294299999.999999,ChicEggs-05-22-2020.pdf
2020-04-30,table eggs,all,327264000,7881800000,ChicEggs-06-22-2020.pdf
2020-05-31,table eggs,all,321698000,7860200000,ChicEggs-07-21-2020.pdf
2020-06-30,table eggs,all,317846000,7597800000,ChicEggs-08-21-2020.pdf
2020-07-31,table eggs,all,314852000,8014500000,ChicEggs-09-22-2020.pdf
2020-08-31,table eggs,all,315875000,8040500000,ChicEggs-10-23-2020.pdf
2020-09-30,table eggs,all,319593000,7810800000,ChicEggs-11-23-2020.pdf
2020-10-31,table eggs,all,322758000,8246900000,ChicEggs-12-22-2020.pdf
2020-11-30,table eggs,all,325239000,8114100000,ChicEggs-01-21-2021.pdf
2020-12-31,table eggs,all,326897000,8356400000,ChicEggs-02-26-2021.pdf
2021-01-31,table eggs,all,327138000,8262900000,ChicEggs-02-26-2021.pdf
2016-08-31,table eggs,cage-free (non-organic),17000000,397884291.42857146,PY20160919MCAGEFREE.PDF
2016-09-30,table eggs,cage-free (non-organic),17000000,383774914.28571427,PY20161004MCAGEFREE.PDF
2016-10-31,table eggs,cage-free (non-organic),23500000,546374468.5714287,PY20161102MCAGEFREE.PDF
2016-11-30,table eggs,cage-free (non-organic),23500000,530864742.85714287,PY20161205MCAGEFREE.PDF
2016-12-31,table eggs,cage-free (non-organic),23500000,542733120,PY20170109MCAGEFREE.PDF
2017-01-31,table eggs,cage-free (non-organic),23500000,550017411.4285715,PY20170206MCAGEFREE.PDF
2017-02-28,table eggs,cage-free (non-organic),24400000,515816640,PY20170306MCAGEFREE.PDF
2017-03-31,table eggs,cage-free (non-organic),26100000,600757148.5714287,PY20170403MCAGEFREE.PDF
2017-04-30,table eggs,cage-free (non-organic),26600000,602490342.8571428,PY20170503MCAGEFREE.PDF
2017-05-31,table eggs,cage-free (non-organic),27300000,636840617.1428572,PY20170605MCAGEFREE.PDF
2017-06-30,table eggs,cage-free (non-organic),27300000,618344742.8571428,PY20170630MCAGEFREE.PDF
2017-07-31,table eggs,cage-free (non-organic),27500000,643637057.1428572,PY20170808MCAGEFREE.PDF
2017-08-31,table eggs,cage-free (non-organic),31700000,744395914.2857144,PY20170905MCAGEFREE.PDF
2017-09-30,table eggs,cage-free (non-organic),33500000,753750514.2857143,PY20171002MCAGEFREE.PDF
2017-10-31,table eggs,cage-free (non-organic),34700000,804085971.4285715,PY20171107MCAGEFREE.PDF
2017-11-30,table eggs,cage-free (non-organic),34700000,780750514.2857143,PY20171204MCAGEFREE.PDF
2017-12-31,table eggs,cage-free (non-organic),35000000,813750531.4285715,PY20180103MCAGEFREE.PDF
2018-01-31,table eggs,cage-free (non-organic),35680000,826794977.1428572,PY20180206MCAGEFREE.PDF
2018-02-28,table eggs,cage-free (non-organic),36861000,771500160,PY20180305MCAGEFREE.PDF
2018-03-31,table eggs,cage-free (non-organic),36861000,857017851.4285715,PY20180402MCAGEFREE.PDF
2018-04-30,table eggs,cage-free (non-organic),38896000,875159485.7142857,PY20180507MCAGEFREE.PDF
2018-05-31,table eggs,cage-free (non-organic),38896000,904331468.5714287,PY20180604MCAGEFREE.PDF
2018-06-30,table eggs,cage-free (non-organic),39083000,882298285.7142857,PY20180629MCAGEFREE.PDF
2018-07-31,table eggs,cage-free (non-organic),39083000,908679085.7142857,PY20180731MCAGEFREE.PDF
2018-08-31,table eggs,cage-free (non-organic),39083000,908679085.7142857,PY20180904MCAGEFREE.PDF
2018-09-30,table eggs,cage-free (non-organic),41437000,935440457.1428571,PY20181001MCAGEFREE.PDF
2018-10-31,table eggs,cage-free (non-organic),41470000,967391845.7142857,PY20181102MCAGEFREE.PDF
2018-11-30,table eggs,cage-free (non-organic),41470000,939296057.1428571,PY20181203MCAGEFREE.PDF
2018-12-31,table eggs,cage-free (non-organic),41470000,973820005.7142857,PY20190107MCAGEFREE.PDF
2019-01-31,table eggs,cage-free (non-organic),41470000,973820005.7142857,PY20190205MCAGEFREE.PDF
2019-02-28,table eggs,cage-free (non-organic),41613000,879698880,PY20190304MCAGEFREE.PDF
2019-03-31,table eggs,cage-free (non-organic),46849000,1092870102.857143,PY20190401MCAGEFREE.PDF
2019-04-30,table eggs,cage-free (non-organic),50669000,1147652742.857143,PY20190506MCAGEFREE.PDF
2019-05-31,table eggs,cage-free (non-organic),50897000,1191243908.5714285,PY20190603MCAGEFREE.PDF
2019-06-30,table eggs,cage-free (non-organic),51337000,1170483942.857143,PY20190628MCAGEFREE.PDF
2019-07-31,table eggs,cage-free (non-organic),51337000,1209500074.2857144,PY20190805MCAGEFREE.PDF
2019-08-31,table eggs,cage-free (non-organic),51337000,1209500074.2857144,PY20190903MCAGEFREE.PDF
2019-09-30,table eggs,cage-free (non-organic),52734000,1198380342.857143,PY20191001MCAGEFREE.PDF
2019-10-31,table eggs,cage-free (non-organic),54208000,1272939891.4285715,PY20191105MCAGEFREE.PDF
2019-11-30,table eggs,cage-free (non-organic),54593000,1248814800,PY20191202MCAGEFREE.PDF
2019-12-31,table eggs,cage-free (non-organic),54593000,1290441960,PY20200106MCAGEFREE.PDF
2020-01-31,table eggs,cage-free (non-organic),53966000,1271439668.5714285,PY20200203MCAGEFREE.PDF
2020-02-29,table eggs,cage-free (non-organic),53966000,1189411302.857143,PY20200302MCAGEFREE.PDF
2020-03-31,table eggs,cage-free (non-organic),61204000,1437223062.857143,PY20200406MCAGEFREE.PDF
2020-04-30,table eggs,cage-free (non-organic),60896000,1388429485.7142856,PY20200504MCAGEFREE.PDF
2020-05-31,table eggs,cage-free (non-organic),61061000,1466989971.4285715,PY20200601MCAGEFREE.PDF
2020-06-30,table eggs,cage-free (non-organic),62590000,1473994800,PY20200706MCAGEFREE.PDF
2020-07-31,table eggs,cage-free (non-organic),63030000,1533835182.857143,PY20200803MCAGEFREE.PDF
2020-08-31,table eggs,cage-free (non-organic),63030000,1577799205.7142859,PY20200908MCAGEFREE.PDF
2020-09-30,table eggs,cage-free (non-organic),62832000,1479694114.2857141,PY20201005MCAGEFREE.PDF
2020-10-31,table eggs,cage-free (non-organic),62909000,1550391840,PY20201102MCAGEFREE.PDF
2020-11-30,table eggs,cage-free (non-organic),62909000,1519252971.4285715,PY20201207MCAGEFREE.PDF
2020-12-31,table eggs,cage-free (non-organic),62634000,1567885937.1428573,PY20210104MCAGEFREE.PDF
2021-01-31,table eggs,cage-free (non-organic),64955000,1590747994.2857144,PY20210201MCAGEFREE.PDF
2021-02-28,table eggs,cage-free (non-organic),67496000,1493012160,PY20210301MCAGEFREE.PDF
2016-08-31,table eggs,cage-free (organic),13500000,315968297.14285713,PY20160919MCAGEFREE.PDF
2016-09-30,table eggs,cage-free (organic),13500000,304762114.28571427,PY20161004MCAGEFREE.PDF
2016-10-31,table eggs,cage-free (organic),14100000,327825000,PY20161102MCAGEFREE.PDF
2016-11-30,table eggs,cage-free (organic),14100000,318519771.4285714,PY20161205MCAGEFREE.PDF
2016-12-31,table eggs,cage-free (organic),14100000,325639234.2857143,PY20170109MCAGEFREE.PDF
2017-01-31,table eggs,cage-free (organic),14100000,330010765.71428573,PY20170206MCAGEFREE.PDF
2017-02-28,table eggs,cage-free (organic),14100000,298074240,PY20170306MCAGEFREE.PDF
2017-03-31,table eggs,cage-free (organic),14500000,333754148.5714286,PY20170403MCAGEFREE.PDF
2017-04-30,table eggs,cage-free (organic),14600000,330689828.57142854,PY20170503MCAGEFREE.PDF
2017-05-31,table eggs,cage-free (organic),14600000,340580880,PY20170605MCAGEFREE.PDF
2017-06-30,table eggs,cage-free (organic),14600000,330689828.57142854,PY20170630MCAGEFREE.PDF
2017-07-31,table eggs,cage-free (organic),14600000,341712822.85714287,PY20170808MCAGEFREE.PDF
2017-08-31,table eggs,cage-free (organic),14100000,331102851.42857146,PY20170905MCAGEFREE.PDF
2017-09-30,table eggs,cage-free (organic),14300000,321750514.28571427,PY20171002MCAGEFREE.PDF
2017-10-31,table eggs,cage-free (organic),14700000,340635085.71428573,PY20171107MCAGEFREE.PDF
2017-11-30,table eggs,cage-free (organic),14700000,330750000,PY20171204MCAGEFREE.PDF
2017-12-31,table eggs,cage-free (organic),14700000,341775000,PY20180103MCAGEFREE.PDF
2018-01-31,table eggs,cage-free (organic),14550000,337159542.85714287,PY20180206MCAGEFREE.PDF
2018-02-28,table eggs,cage-free (organic),14996000,313866720,PY20180305MCAGEFREE.PDF
2018-03-31,table eggs,cage-free (organic),14996000,348657531.42857146,PY20180402MCAGEFREE.PDF
2018-04-30,table eggs,cage-free (organic),15559000,350077371.4285714,PY20180507MCAGEFREE.PDF
2018-05-31,table eggs,cage-free (organic),15559000,361746617.14285713,PY20180604MCAGEFREE.PDF
2018-06-30,table eggs,cage-free (organic),15617000,352553657.14285713,PY20180629MCAGEFREE.PDF
2018-07-31,table eggs,cage-free (organic),15617000,363095382.85714287,PY20180731MCAGEFREE.PDF
2018-08-31,table eggs,cage-free (organic),15617000,363095382.85714287,PY20180904MCAGEFREE.PDF
2018-09-30,table eggs,cage-free (organic),15675000,353863542.85714287,PY20181001MCAGEFREE.PDF
2018-10-31,table eggs,cage-free (organic),15686000,365915674.2857143,PY20181102MCAGEFREE.PDF
2018-11-30,table eggs,cage-free (organic),15686000,355287600,PY20181203MCAGEFREE.PDF
2018-12-31,table eggs,cage-free (organic),15686000,368346960,PY20190107MCAGEFREE.PDF
2019-01-31,table eggs,cage-free (organic),15686000,368346960,PY20190205MCAGEFREE.PDF
2019-02-28,table eggs,cage-free (organic),15686000,331601760,PY20190304MCAGEFREE.PDF
2019-03-31,table eggs,cage-free (organic),15007500,350087605.71428573,PY20190401MCAGEFREE.PDF
2019-04-30,table eggs,cage-free (organic),15686000,355287600,PY20190506MCAGEFREE.PDF
2019-05-31,table eggs,cage-free (organic),15778000,369284400,PY20190603MCAGEFREE.PDF
2019-06-30,table eggs,cage-free (organic),15778000,359738742.85714287,PY20190628MCAGEFREE.PDF
2019-07-31,table eggs,cage-free (organic),15755000,371187977.14285713,PY20190805MCAGEFREE.PDF
2019-08-31,table eggs,cage-free (organic),15755000,371187977.14285713,PY20190903MCAGEFREE.PDF
2019-09-30,table eggs,cage-free (organic),15755000,358032342.85714287,PY20191001MCAGEFREE.PDF
2019-10-31,table eggs,cage-free (organic),16111500,378338348.5714286,PY20191105MCAGEFREE.PDF
2019-11-30,table eggs,cage-free (organic),16226500,371180571.4285714,PY20191202MCAGEFREE.PDF
2019-12-31,table eggs,cage-free (organic),16226500,383553257.1428572,PY20200106MCAGEFREE.PDF
2020-01-31,table eggs,cage-free (organic),15651500,368748720,PY20200203MCAGEFREE.PDF
2020-02-29,table eggs,cage-free (organic),15651500,344958480.00000006,PY20200302MCAGEFREE.PDF
2020-03-31,table eggs,cage-free (organic),15720500,369156857.14285713,PY20200406MCAGEFREE.PDF
2020-04-30,table eggs,cage-free (organic),15720500,358427314.28571427,PY20200504MCAGEFREE.PDF
2020-05-31,table eggs,cage-free (organic),15720500,377684691.42857146,PY20200601MCAGEFREE.PDF
2020-06-30,table eggs,cage-free (organic),15812500,372384000,PY20200706MCAGEFREE.PDF
2020-07-31,table eggs,cage-free (organic),15812500,384796800,PY20200803MCAGEFREE.PDF
2020-08-31,table eggs,cage-free (organic),15812500,395826068.5714286,PY20200908MCAGEFREE.PDF
2020-09-30,table eggs,cage-free (organic),17146500,403799657.14285713,PY20201005MCAGEFREE.PDF
2020-10-31,table eggs,cage-free (organic),17146500,422574994.2857143,PY20201102MCAGEFREE.PDF
2020-11-30,table eggs,cage-free (organic),17146500,414087428.57142854,PY20201207MCAGEFREE.PDF
2020-12-31,table eggs,cage-free (organic),17146500,429219977.1428572,PY20210104MCAGEFREE.PDF
2021-01-31,table eggs,cage-free (organic),17330500,424424365.71428573,PY20210201MCAGEFREE.PDF
2021-02-28,table eggs,cage-free (organic),17491500,386912160,PY20210301MCAGEFREE.PDF
