tconst,title_type,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes,christmas,hanukkah,kwanzaa,holiday
tt0068708,tvMovie,Home for the Holidays,Home for the Holidays,1972,73,"Drama,Horror,Mystery",home for the holidays,6.2,1265,FALSE,FALSE,FALSE,TRUE
tt0068720,tvMovie,The House Without a Christmas Tree,The House Without a Christmas Tree,1972,75,"Drama,Family",the house without a christmas tree,8,874,TRUE,FALSE,FALSE,FALSE
tt0070004,tvMovie,A Dream for Christmas,A Dream for Christmas,1973,100,Drama,a dream for christmas,6.7,112,TRUE,FALSE,FALSE,FALSE
tt0071222,movie,Black Christmas,Black Christmas,1974,98,"Horror,Mystery,Thriller",black christmas,7.1,46105,TRUE,FALSE,FALSE,FALSE
tt0071613,movie,Holiday on the Buses,Holiday on the Buses,1973,87,Comedy,holiday on the buses,5.8,2020,FALSE,FALSE,FALSE,TRUE
tt0073751,tvMovie,The First Christmas: The Story of the First Christmas Snow,The First Christmas: The Story of the First Christmas Snow,1975,22,"Animation,Family,Fantasy",the first christmas the story of the first christmas snow,6.8,579,TRUE,FALSE,FALSE,FALSE
tt0074813,movie,Olympian Holiday,Loma,1976,113,"Comedy,Romance",olympian holiday,6.5,413,FALSE,FALSE,FALSE,TRUE
tt0075128,movie,Journey to the Christmas Star,Reisen til julestjernen,1976,92,"Adventure,Family,Fantasy",journey to the christmas star,6.5,1355,TRUE,FALSE,FALSE,FALSE
tt0075449,tvMovie,Young Pioneers' Christmas,Young Pioneers' Christmas,1976,100,"Drama,Western",young pioneers christmas,6.9,86,TRUE,FALSE,FALSE,FALSE
tt0075846,tvMovie,"Christmas Miracle in Caufield, U.S.A.","Christmas Miracle in Caufield, U.S.A.",1977,97,Drama,christmas miracle in caufield usa,5.8,171,TRUE,FALSE,FALSE,FALSE
tt0075875,movie,Confessions from a Holiday Camp,Confessions from a Holiday Camp,1977,88,Comedy,confessions from a holiday camp,4.2,1030,FALSE,FALSE,FALSE,TRUE
tt0075988,tvMovie,Emmet Otter's Jug-Band Christmas,Emmet Otter's Jug-Band Christmas,1977,48,"Comedy,Drama,Family",emmet otters jugband christmas,8.2,4460,TRUE,FALSE,FALSE,FALSE
tt0076213,tvMovie,It Happened One Christmas,It Happened One Christmas,1977,109,"Comedy,Fantasy",it happened one christmas,6,969,TRUE,FALSE,FALSE,FALSE
tt0076448,tvMovie,"Nestor, the Long-Eared Christmas Donkey","Nestor, the Long-Eared Christmas Donkey",1977,24,"Animation,Drama,Family",nestor the longeared christmas donkey,6.9,2335,TRUE,FALSE,FALSE,FALSE
tt0076783,tvMovie,Sunshine Christmas,Sunshine Christmas,1977,120,Drama,sunshine christmas,7.8,93,TRUE,FALSE,FALSE,FALSE
tt0077281,movie,Blue Christmas,Burû Kurisumasu,1978,133,Sci-Fi,blue christmas,6.2,124,TRUE,FALSE,FALSE,FALSE
tt0077333,tvMovie,A Christmas to Remember,A Christmas to Remember,1978,100,"Drama,Family",a christmas to remember,6.4,171,TRUE,FALSE,FALSE,FALSE
tt0077465,movie,Where Are You Going on Holiday?,Dove vai in vacanza?,1978,127,Comedy,where are you going on holiday,6.3,563,FALSE,FALSE,FALSE,TRUE
tt0077710,movie,Holiday Hotel,L'Hôtel de la plage,1978,110,Comedy,holiday hotel,6,347,FALSE,FALSE,FALSE,TRUE
tt0078132,movie,The Night Before Christmas,Questo si che è amore,1978,100,"Drama,Horror",the night before christmas,6.1,71,TRUE,FALSE,FALSE,FALSE
tt0078764,tvMovie,An American Christmas Carol,An American Christmas Carol,1979,98,"Drama,Fantasy",an american christmas carol,6.8,1616,TRUE,FALSE,FALSE,FALSE
tt0078968,tvMovie,Christmas Lilies of the Field,Christmas Lilies of the Field,1979,120,Drama,christmas lilies of the field,6.5,107,TRUE,FALSE,FALSE,FALSE
tt0079828,tvMovie,Rudolph and Frosty's Christmas in July,Rudolph and Frosty's Christmas in July,1979,97,"Adventure,Animation,Comedy",rudolph and frostys christmas in july,6.3,2547,TRUE,FALSE,FALSE,FALSE
tt0080531,movie,Christmas Mountain,Christmas Mountain,1981,90,"Adventure,Drama,Family",christmas mountain,6.5,148,TRUE,FALSE,FALSE,FALSE
tt0080532,tvMovie,A Christmas Without Snow,A Christmas Without Snow,1980,120,"Drama,Music",a christmas without snow,5.7,401,TRUE,FALSE,FALSE,FALSE
tt0080822,movie,Crazy Swedish Holidays in Paris,Gräsänkor på skandalsemester,1980,94,Comedy,crazy swedish holidays in paris,4.7,31,FALSE,FALSE,FALSE,TRUE
tt0081190,tvMovie,Mr. Krueger's Christmas,Mr. Krueger's Christmas,1980,26,"Drama,Family,Fantasy",mr kruegers christmas,7.9,1092,TRUE,FALSE,FALSE,FALSE
tt0081340,tvMovie,Pinocchio's Christmas,Pinocchio's Christmas,1980,49,"Animation,Comedy,Family",pinocchios christmas,6.4,752,TRUE,FALSE,FALSE,FALSE
tt0081793,movie,Christmas Evil,You Better Watch Out,1980,100,"Horror,Thriller",christmas evil,5.5,8110,TRUE,FALSE,FALSE,FALSE
tt0085231,tvMovie,The Best Christmas Pageant Ever,The Best Christmas Pageant Ever,1983,48,"Comedy,Family",the best christmas pageant ever,7.2,789,TRUE,FALSE,FALSE,FALSE
tt0085282,movie,Bush Christmas,Bush Christmas,1983,91,"Drama,Family",bush christmas,5.2,384,TRUE,FALSE,FALSE,FALSE
tt0085334,movie,A Christmas Story,A Christmas Story,1983,93,"Comedy,Family",a christmas story,7.9,163273,TRUE,FALSE,FALSE,FALSE
tt0085593,tvMovie,The Gift of Love: A Christmas Story,The Gift of Love: A Christmas Story,1983,96,Drama,the gift of love a christmas story,6.7,357,TRUE,FALSE,FALSE,FALSE
tt0085933,movie,Merry Christmas Mr. Lawrence,"Merry Christmas, Mr. Lawrence",1983,123,"Drama,War",merry christmas mr lawrence,7.2,19475,TRUE,FALSE,FALSE,FALSE
tt0087056,tvMovie,A Christmas Carol,A Christmas Carol,1984,100,"Drama,Family,Fantasy",a christmas carol,7.8,17146,TRUE,FALSE,FALSE,FALSE
tt0087548,tvMovie,Kenny & Dolly: A Christmas to Remember,Kenny & Dolly: A Christmas to Remember,1984,60,Music,kenny  dolly a christmas to remember,8.3,139,TRUE,FALSE,FALSE,FALSE
tt0087797,tvMovie,The Night They Saved Christmas,The Night They Saved Christmas,1984,92,"Drama,Family,Fantasy",the night they saved christmas,6.5,1605,TRUE,FALSE,FALSE,FALSE
tt0088106,movie,Merry Christmas,Sing dan fai lok,1984,96,"Comedy,Romance",merry christmas,6.6,170,TRUE,FALSE,FALSE,FALSE
tt0089038,movie,Don't Open Till Christmas,Dont Open Till Christmas,1984,86,"Horror,Mystery",dont open till christmas,4.7,2804,TRUE,FALSE,FALSE,FALSE
tt0089285,movie,Holidays in Amsterdam,Wakacje w Amsterdamie,1986,87,Drama,holidays in amsterdam,5.3,11,FALSE,FALSE,FALSE,TRUE
tt0089731,movie,One Magic Christmas,One Magic Christmas,1985,89,"Family,Fantasy",one magic christmas,6.4,4233,TRUE,FALSE,FALSE,FALSE
tt0090838,tvMovie,Christmas Eve,Christmas Eve,1986,93,Drama,christmas eve,7.3,427,TRUE,FALSE,FALSE,FALSE
tt0090839,tvMovie,The Christmas Gift,The Christmas Gift,1986,120,Drama,the christmas gift,6.5,768,TRUE,FALSE,FALSE,FALSE
tt0090840,movie,The Christmas Star,The Christmas Star,1986,94,"Drama,Family",the christmas star,6.1,770,TRUE,FALSE,FALSE,FALSE
tt0091975,tvMovie,A Smoky Mountain Christmas,A Smoky Mountain Christmas,1986,94,"Fantasy,Music",a smoky mountain christmas,6.9,1290,TRUE,FALSE,FALSE,FALSE
tt0092167,movie,Merry Christmas Octopus,Veselé vánoce prejí chobotnice,1987,92,"Comedy,Family,Sci-Fi",merry christmas octopus,6.8,191,TRUE,FALSE,FALSE,FALSE
tt0092756,tvMovie,Christmas Comes to Willow Creek,Christmas Comes to Willow Creek,1987,93,"Drama,Family,Fantasy",christmas comes to willow creek,6.4,619,TRUE,FALSE,FALSE,FALSE
tt0093198,tvMovie,A Hobo's Christmas,A Hobo's Christmas,1987,100,Drama,a hobos christmas,6.4,427,TRUE,FALSE,FALSE,FALSE
tt0093877,tvMovie,Roman Holiday,Roman Holiday,1987,100,"Comedy,Drama,Romance",roman holiday,5,156,FALSE,FALSE,FALSE,TRUE
tt0094754,tvMovie,Blackadder's Christmas Carol,Blackadder's Christmas Carol,1988,43,"Comedy,History",blackadders christmas carol,7.9,13712,TRUE,FALSE,FALSE,FALSE
tt0094873,tvMovie,The Christmas Wife,The Christmas Wife,1988,73,Drama,the christmas wife,6.2,408,TRUE,FALSE,FALSE,FALSE
tt0095107,movie,Ernest Saves Christmas,Ernest Saves Christmas,1988,95,"Comedy,Family,Fantasy",ernest saves christmas,5.7,12392,TRUE,FALSE,FALSE,FALSE
tt0095347,tvMovie,I'll Be Home for Christmas,I'll Be Home for Christmas,1988,96,Drama,ill be home for christmas,6.5,292,TRUE,FALSE,FALSE,FALSE
tt0095416,tvMovie,Julie Andrews: The Sound of Christmas,Julie Andrews: The Sound of Christmas,1987,48,"Family,Music",julie andrews the sound of christmas,8.9,125,TRUE,FALSE,FALSE,FALSE
tt0095589,tvMovie,"Marcus Welby, M.D.: A Holiday Affair","Marcus Welby, M.D.: A Holiday Affair",1988,100,Drama,marcus welby md a holiday affair,6,49,FALSE,FALSE,FALSE,TRUE
tt0096376,tvMovie,A Very Brady Christmas,A Very Brady Christmas,1988,100,"Comedy,Drama,Family",a very brady christmas,5.9,2120,TRUE,FALSE,FALSE,FALSE
tt0097126,movie,Cripples Go Christmas,Das Mädchen mit den Feuerzeugen,1987,100,Drama,cripples go christmas,6.6,14,TRUE,FALSE,FALSE,FALSE
tt0097157,tvMovie,Dark Holiday,Dark Holiday,1989,100,"Drama,Thriller",dark holiday,5.4,183,FALSE,FALSE,FALSE,TRUE
tt0097601,tvMovie,It Nearly Wasn't Christmas,It Nearly Wasn't Christmas,1989,100,"Adventure,Comedy",it nearly wasnt christmas,5.7,246,TRUE,FALSE,FALSE,FALSE
tt0097958,movie,National Lampoon's Christmas Vacation,National Lampoon's Christmas Vacation,1989,97,Comedy,national lampoons christmas vacation,7.5,209533,TRUE,FALSE,FALSE,FALSE
tt0099263,tvMovie,The Christmas Toy,The Christmas Toy,1986,50,"Family,Fantasy,Musical",the christmas toy,7.8,1404,TRUE,FALSE,FALSE,FALSE
tt0099711,tvMovie,Guess Who's Coming for Christmas?,Guess Who's Coming for Christmas?,1990,95,"Comedy,Fantasy,Sci-Fi",guess whos coming for christmas,5.1,105,TRUE,FALSE,FALSE,FALSE
tt0099780,movie,Holidays on the River Yarra,Holidays on the River Yarra,1991,88,Drama,holidays on the river yarra,6,56,FALSE,FALSE,FALSE,TRUE
tt0099787,tvMovie,Home for Christmas,Home for Christmas,1990,95,"Drama,Family",home for christmas,5.7,223,TRUE,FALSE,FALSE,FALSE
tt0099930,tvMovie,The Kid Who Loved Christmas,The Kid Who Loved Christmas,1990,118,Drama,the kid who loved christmas,6.3,304,TRUE,FALSE,FALSE,FALSE
tt0100173,tvMovie,A Mom for Christmas,A Mom for Christmas,1990,96,"Comedy,Family,Fantasy",a mom for christmas,6.5,1209,TRUE,FALSE,FALSE,FALSE
tt0101301,movie,All I Want for Christmas,All I Want for Christmas,1991,92,"Comedy,Family,Romance",all i want for christmas,5.9,5420,TRUE,FALSE,FALSE,FALSE
tt0101348,movie,The Comic Book Christmas Caper,Angel Square,1990,104,"Adventure,Crime,Family",the comic book christmas caper,6.6,60,TRUE,FALSE,FALSE,FALSE
tt0101580,tvMovie,Christmas on Division Street,Christmas on Division Street,1991,120,"Drama,Romance",christmas on division street,6.7,567,TRUE,FALSE,FALSE,FALSE
tt0102285,movie,Lena's Holiday,Lena's Holiday,1991,100,"Comedy,Romance,Thriller",lenas holiday,5.5,314,FALSE,FALSE,FALSE,TRUE
tt0102821,movie,Russian Holiday,Russian Holiday,1993,89,"Crime,Drama,Thriller",russian holiday,3.5,267,FALSE,FALSE,FALSE,TRUE
tt0103960,tvMovie,The Christmas Stallion,The Christmas Stallion,1992,95,Drama,the christmas stallion,5.7,118,TRUE,FALSE,FALSE,FALSE
tt0103961,tvMovie,Christmas in Connecticut,Christmas in Connecticut,1992,93,"Comedy,Romance",christmas in connecticut,4.8,1565,TRUE,FALSE,FALSE,FALSE
tt0104940,movie,The Muppet Christmas Carol,The Muppet Christmas Carol,1992,85,"Comedy,Drama,Family",the muppet christmas carol,7.7,66015,TRUE,FALSE,FALSE,FALSE
tt0105694,movie,Unforgetful Holiday,III Chat yat ching,1992,94,"Comedy,Drama",unforgetful holiday,5.3,24,FALSE,FALSE,FALSE,TRUE
tt0107688,movie,The Nightmare Before Christmas,The Nightmare Before Christmas,1993,76,"Animation,Family,Fantasy",the nightmare before christmas,7.9,367288,TRUE,FALSE,FALSE,FALSE
tt0109425,tvMovie,A Christmas Romance,A Christmas Romance,1994,94,"Comedy,Drama,Family",a christmas romance,6.1,867,TRUE,FALSE,FALSE,FALSE
tt0110732,tvMovie,One Christmas,One Christmas,1994,90,"Drama,Family",one christmas,6,751,TRUE,FALSE,FALSE,FALSE
tt0112509,movie,Billy's Holiday,Billy's Holiday,1995,92,Musical,billys holiday,5.1,164,FALSE,FALSE,FALSE,TRUE
tt0112667,tvMovie,The Christmas Box,The Christmas Box,1995,100,"Drama,Fantasy",the christmas box,7,1270,TRUE,FALSE,FALSE,FALSE
tt0112668,video,A Christmas Carol,A Christmas Carol,1997,72,"Adventure,Animation,Drama",a christmas carol,5.9,886,TRUE,FALSE,FALSE,FALSE
tt0113321,movie,Home for the Holidays,Home for the Holidays,1995,103,"Comedy,Drama,Romance",home for the holidays,6.6,14315,FALSE,FALSE,FALSE,TRUE
tt0115891,tvMovie,Christmas Every Day,Christmas Every Day,1996,95,"Comedy,Fantasy",christmas every day,6.2,1128,TRUE,FALSE,FALSE,FALSE
tt0115892,tvMovie,The Christmas Tree,The Christmas Tree,1996,93,"Drama,Family",the christmas tree,6.9,437,TRUE,FALSE,FALSE,FALSE
tt0115893,video,Christmas in Oz,Christmas in Oz,1996,40,"Animation,Fantasy,Short",christmas in oz,7.7,38,TRUE,FALSE,FALSE,FALSE
tt0116092,movie,The Devil Takes a Holiday,The Devil Takes a Holiday,1996,102,"Comedy,Fantasy",the devil takes a holiday,6.1,34,FALSE,FALSE,FALSE,TRUE
tt0116189,video,Sesame Street: Elmo Saves Christmas,Elmo Saves Christmas,1996,60,Family,sesame street elmo saves christmas,6.5,416,TRUE,FALSE,FALSE,FALSE
tt0116321,video,The Flintstones Christmas in Bedrock,The Flintstones Christmas in Bedrock,1996,30,"Animation,Short",the flintstones christmas in bedrock,7,197,TRUE,FALSE,FALSE,FALSE
tt0116544,tvMovie,Holiday Affair,Holiday Affair,1996,87,"Comedy,Romance",holiday affair,6.3,420,FALSE,FALSE,FALSE,TRUE
tt0116717,movie,The Christmas Party,Joulubileet,1996,84,Comedy,the christmas party,7,451,TRUE,FALSE,FALSE,FALSE
tt0116984,video,Mannheim Steamroller: Christmas Live,Mannheim Steamroller: Christmas Live,1997,55,"Documentary,Music",mannheim steamroller christmas live,6.9,57,TRUE,FALSE,FALSE,FALSE
tt0117109,tvMovie,The Munsters' Scary Little Christmas,The Munsters' Scary Little Christmas,1996,91,"Comedy,Family,Horror",the munsters scary little christmas,4.9,654,TRUE,FALSE,FALSE,FALSE
tt0118201,movie,Will It Snow for Christmas?,Y'aura t'il de la neige à Noël?,1996,90,Drama,will it snow for christmas,7,881,TRUE,FALSE,FALSE,FALSE
tt0118692,video,Beauty and the Beast: The Enchanted Christmas,Beauty and the Beast: The Enchanted Christmas,1997,72,"Animation,Family,Fantasy",beauty and the beast the enchanted christmas,5.9,11705,TRUE,FALSE,FALSE,FALSE
tt0120489,movie,Christmas Fever,Weihnachtsfieber,1997,90,"Comedy,Romance",christmas fever,6.5,65,TRUE,FALSE,FALSE,FALSE
