tag_id,animal_id,animal_taxon,deploy_on_date,deploy_off_date,hunt,prey_p_month,animal_reproductive_condition,animal_sex,hrs_indoors,n_cats,food_dry,food_wet,food_other,study_site,age_years
Sid-Tag,Sid,Felis catus,2017-07-22T01:04:12Z,2017-07-29T10:23:55Z,TRUE,17.5,Spayed,f,7.5,1,TRUE,FALSE,FALSE,UK,4
Binky-Tag,Binky,Felis catus,2017-07-22T01:06:16Z,2017-07-28T15:28:57Z,FALSE,0,Neutered,m,17.5,4,TRUE,TRUE,FALSE,UK,4
Amber-Tag,Amber,Felis catus,2017-07-28T01:03:24Z,2017-08-04T00:07:52Z,TRUE,3,NA,f,7.5,4,TRUE,TRUE,TRUE,UK,4
Ernie-Tag,Ernie,Felis catus,2017-07-28T01:05:56Z,2017-08-04T02:03:41Z,TRUE,3,Neutered,m,7.5,4,TRUE,TRUE,TRUE,UK,1
Bits-Tag,Bits,Felis catus,2017-07-29T01:02:11Z,2017-07-31T00:44:00Z,TRUE,3,Spayed,f,2.5,3,TRUE,FALSE,TRUE,UK,13
Maxwell-Tag,Maxwell,Felis catus,2017-07-29T01:02:12Z,2017-08-08T03:58:11Z,TRUE,17.5,Neutered,m,7.5,1,TRUE,TRUE,TRUE,UK,6
Lightening Bugg-Tag,Lightening Bugg,Felis catus,2017-07-29T01:02:49Z,2017-08-03T03:57:58Z,NA,0,Neutered,m,12.5,2,TRUE,FALSE,FALSE,UK,0
Bobs-Tag,Bobs,Felis catus,2017-07-29T05:36:35Z,2017-08-05T09:25:34Z,TRUE,3,Spayed,f,7.5,3,TRUE,FALSE,TRUE,UK,13
Carrots-Tag,Carrots,Felis catus,2017-08-25T01:01:32Z,2017-09-01T19:04:26Z,TRUE,17.5,Neutered,m,7.5,4,TRUE,TRUE,FALSE,UK,3
Smudge-Tag,Smudge,Felis catus,2017-08-25T01:01:47Z,2017-09-01T03:03:32Z,TRUE,3,Neutered,m,7.5,1,TRUE,TRUE,TRUE,UK,3
Magic-Tag,Magic,Felis catus,2017-08-25T01:02:00Z,2017-08-25T17:06:00Z,TRUE,3,Spayed,f,12.5,3,TRUE,FALSE,FALSE,UK,3
Spike-Tag,Spike,Felis catus,2017-08-25T01:02:29Z,2017-09-01T07:59:53Z,TRUE,7.5,Neutered,m,12.5,1,TRUE,FALSE,TRUE,UK,0
Dory-Tag,Dory,Felis catus,2017-08-25T01:03:23Z,2017-09-01T00:05:31Z,TRUE,0.5,Not fixed,f,7.5,2,TRUE,TRUE,TRUE,UK,1
Tigger-Tag,Tigger,Felis catus,2017-08-25T01:04:55Z,2017-09-01T01:46:12Z,TRUE,0.5,Neutered,m,7.5,1,TRUE,TRUE,FALSE,UK,3
Jago2-Tag,Jago2,Felis catus,2017-08-25T01:05:18Z,2017-09-01T18:46:54Z,FALSE,0,Neutered,m,12.5,1,TRUE,TRUE,NA,UK,2
Frank-Tag,Frank,Felis catus,2017-08-25T01:05:44Z,2017-09-01T00:08:15Z,TRUE,3,Neutered,m,7.5,1,TRUE,TRUE,TRUE,UK,4
Skye-Tag,Skye,Felis catus,2017-08-25T01:22:22Z,2017-09-01T08:15:26Z,TRUE,0.5,Neutered,m,12.5,4,TRUE,TRUE,FALSE,UK,5
Jezebel-Tag,Jezebel,Felis catus,2017-08-25T01:50:01Z,2017-09-01T07:58:22Z,NA,0,Spayed,f,17.5,4,TRUE,TRUE,TRUE,UK,14
Boots-Tag,Boots,Felis catus,2017-08-25T02:00:08Z,2017-08-31T04:48:28Z,FALSE,0,Spayed,f,22.5,4,TRUE,TRUE,TRUE,UK,16
Smudge_2-Tag,Smudge_2,Felis catus,2017-08-25T06:15:27Z,2017-09-01T06:45:20Z,TRUE,0.5,Neutered,m,17.5,3,TRUE,FALSE,FALSE,UK,7
Frank_2-Tag,Frank_2,Felis catus,2017-08-26T01:03:01Z,2017-09-02T08:21:37Z,FALSE,0,Neutered,m,7.5,4,TRUE,TRUE,FALSE,UK,7
Freya-Tag,Freya,Felis catus,2017-08-27T01:45:09Z,2017-09-03T02:08:49Z,TRUE,0.5,Spayed,f,12.5,3,TRUE,TRUE,FALSE,UK,4
Spot-Tag,Spot,Felis catus,2017-08-27T02:19:45Z,2017-09-02T06:37:17Z,TRUE,17.5,Neutered,m,7.5,4,TRUE,TRUE,TRUE,UK,2
Tipsy-Tag,Tipsy,Felis catus,2017-08-28T15:39:12Z,2017-09-04T09:49:38Z,NA,0,Spayed,f,17.5,1,TRUE,FALSE,FALSE,UK,0
Flash-Tag,Flash,Felis catus,2017-08-28T23:51:55Z,2017-09-04T10:28:59Z,TRUE,3,Spayed,f,17.5,2,TRUE,TRUE,TRUE,UK,3
Gracie-Tag,Gracie,Felis catus,2017-09-07T05:02:00Z,2017-09-12T15:32:00Z,FALSE,0,Spayed,f,22.5,1,TRUE,FALSE,FALSE,UK,2
Teddy-Tag,Teddy,Felis catus,2017-09-10T01:46:42Z,2017-09-13T07:46:11Z,TRUE,0.5,Spayed,f,12.5,3,TRUE,TRUE,FALSE,UK,9
Marley-Tag,Marley,Felis catus,2017-09-10T11:02:26Z,2017-09-15T19:54:44Z,TRUE,0.5,Neutered,m,7.5,1,TRUE,TRUE,FALSE,UK,1
Guinness-Tag,Guinness,Felis catus,2017-09-13T18:02:02Z,2017-09-18T00:05:25Z,TRUE,3,Neutered,m,17.5,1,TRUE,TRUE,TRUE,UK,7
Reggie-Tag,Reggie,Felis catus,2017-09-17T01:02:50Z,2017-09-24T00:52:32Z,TRUE,7.5,Spayed,f,12.5,3,TRUE,TRUE,TRUE,UK,8
Jessie-Tag,Jessie,Felis catus,2017-09-17T01:04:18Z,2017-10-16T00:05:36Z,TRUE,3,Spayed,f,7.5,1,TRUE,TRUE,FALSE,UK,5
Roger-Tag,Roger,Felis catus,2017-09-17T01:05:12Z,2017-09-23T23:57:00Z,TRUE,0.5,Neutered,m,17.5,2,TRUE,TRUE,NA,UK,6
Gracie_2-Tag,Gracie_2,Felis catus,2017-09-17T01:21:38Z,2017-09-22T16:15:14Z,TRUE,0.5,Spayed,f,17.5,2,TRUE,TRUE,NA,UK,6
Dexter-Tag,Dexter,Felis catus,2017-09-17T01:34:47Z,2017-09-24T07:35:18Z,TRUE,3,Neutered,m,12.5,1,TRUE,TRUE,FALSE,UK,3
Tilly-Tag,Tilly,Felis catus,2017-09-17T02:53:42Z,2017-09-24T04:27:01Z,TRUE,3,Spayed,f,12.5,3,TRUE,FALSE,FALSE,UK,5
Balu-Tag,Balu,Felis catus,2017-09-18T01:03:13Z,2017-09-25T05:39:45Z,TRUE,3,Spayed,f,2.5,1,TRUE,FALSE,TRUE,UK,7
Missy-Tag,Missy,Felis catus,2017-09-18T06:57:14Z,2017-09-25T06:46:02Z,TRUE,3,Spayed,f,7.5,2,TRUE,TRUE,FALSE,UK,3
Dexter2-Tag,Dexter2,Felis catus,2017-09-23T17:31:52Z,2017-09-29T05:09:59Z,FALSE,0,Neutered,m,2.5,1,TRUE,TRUE,FALSE,UK,1
Fairclough-Tag,Fairclough,Felis catus,2017-09-24T01:02:32Z,2017-10-01T00:31:25Z,FALSE,0,Neutered,m,17.5,2,TRUE,TRUE,FALSE,UK,4
Keegan-Tag,Keegan,Felis catus,2017-09-24T01:03:02Z,2017-09-30T14:41:30Z,TRUE,3,Not fixed,m,7.5,2,TRUE,TRUE,FALSE,UK,3
Maggie-Tag,Maggie,Felis catus,2017-09-25T01:03:24Z,2017-10-02T17:22:57Z,NA,0,Spayed,f,22.5,2,TRUE,FALSE,FALSE,UK,3
Lily-Tag,Lily,Felis catus,2017-09-25T01:03:54Z,2017-10-02T14:57:31Z,NA,0,Spayed,f,22.5,2,TRUE,FALSE,FALSE,UK,9
Abba-Tag,Abba,Felis catus,2017-09-25T01:19:26Z,2017-10-02T11:04:58Z,TRUE,3,Spayed,f,7.5,2,TRUE,FALSE,FALSE,UK,3
Worf-Tag,Worf,Felis catus,2017-09-25T01:20:25Z,2017-09-30T13:12:47Z,TRUE,7.5,Spayed,f,2.5,2,TRUE,TRUE,TRUE,UK,8
Pants-Tag,Pants,Felis catus,2017-09-28T01:02:00Z,2017-10-03T10:45:33Z,NA,0,Neutered,m,12.5,3,TRUE,FALSE,TRUE,UK,8
Jim-Tag,Jim,Felis catus,2017-09-28T01:02:04Z,2017-10-04T13:42:17Z,TRUE,3,Spayed,f,12.5,3,TRUE,FALSE,TRUE,UK,8
Lucy-Tag,Lucy,Felis catus,2017-09-29T00:01:13Z,2017-10-06T00:44:55Z,TRUE,0.5,Spayed,f,17.5,1,TRUE,TRUE,TRUE,UK,5
Macaulay Mccat-Tag,Macaulay Mccat,Felis catus,2017-09-29T07:01:28Z,2017-10-26T16:51:39Z,TRUE,17.5,Spayed,f,2.5,2,TRUE,TRUE,FALSE,UK,6
Neil-Tag,Neil,Felis catus,2017-09-30T04:28:02Z,2017-10-07T00:04:54Z,NA,0,Neutered,m,7.5,1,TRUE,TRUE,FALSE,UK,7
Siberia-Tag,Siberia,Felis catus,2017-10-09T01:01:51Z,2017-10-16T00:06:01Z,TRUE,3,Neutered,m,7.5,2,TRUE,TRUE,FALSE,UK,8
Moscow-Tag,Moscow,Felis catus,2017-10-23T01:02:09Z,2017-10-30T02:21:44Z,TRUE,0.5,Neutered,m,12.5,2,TRUE,FALSE,TRUE,UK,1
Neva-Tag,Neva,Felis catus,2017-10-23T01:03:54Z,2017-10-31T00:09:51Z,FALSE,0,Spayed,f,17.5,2,TRUE,FALSE,TRUE,UK,4
Alfie-Tag,Alfie,Felis catus,2017-10-23T01:03:54Z,2017-10-30T10:20:43Z,TRUE,3,Neutered,m,7.5,2,TRUE,TRUE,TRUE,UK,3
Casper-Tag,Casper,Felis catus,2017-10-30T01:02:13Z,2017-11-06T05:08:45Z,TRUE,0.5,Neutered,m,12.5,4,TRUE,TRUE,FALSE,UK,6
Ginge-Tag,Ginge,Felis catus,2017-10-30T01:05:07Z,2017-11-07T19:55:30Z,TRUE,17.5,Neutered,m,2.5,2,TRUE,FALSE,TRUE,UK,3
Jasper-Tag,Jasper,Felis catus,2017-11-18T01:46:24Z,2017-11-25T01:11:30Z,TRUE,12.5,Neutered,m,7.5,1,TRUE,FALSE,FALSE,UK,2
Charlie3-Tag,Charlie3,Felis catus,2017-11-20T01:16:41Z,2017-11-26T00:38:20Z,TRUE,7.5,NA,m,12.5,2,FALSE,TRUE,TRUE,UK,5
Millie-Tag,Millie,Felis catus,2017-11-20T01:38:55Z,2017-11-27T00:09:29Z,TRUE,7.5,Spayed,f,12.5,2,FALSE,TRUE,TRUE,UK,3
SmokeyLongnose-Tag,SmokeyLongnose,Felis catus,2017-11-20T01:47:42Z,2017-11-27T02:53:41Z,TRUE,0.5,Spayed,f,7.5,2,TRUE,TRUE,TRUE,UK,9
CJ-Tag,CJ,Felis catus,2017-11-24T06:48:32Z,2017-11-29T03:44:48Z,TRUE,0.5,Neutered,m,22.5,2,TRUE,TRUE,FALSE,UK,5
Seb-Tag,Seb,Felis catus,2017-11-24T09:43:09Z,2017-11-30T00:52:55Z,TRUE,3,Neutered,m,12.5,2,TRUE,FALSE,FALSE,UK,3
