campus_name,campus_location,public,private,doctoral,masters,baccalaureate,community,residential,nonresidential,liberal_arts,technical,religious,military,hbcu,hispanic_serving,aapi_serving,other_minority_serving
University of Kentucky,"Lexington, KY",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin - Oshkosh,"Oshkosh, WI",TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon State University,"Corvallis, OR",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota State University,"Fargo, ND",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University at Albany - SUNY,"Albany, NY",TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan Technological University,"Houghton, MI",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colby College,"Waterville, ME",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Northern Kentucky University,"Highland Heights, KY",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
Eckerd College,"St. Petersburg, FL",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Guilford College,"Greensboro, NC",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
University of North Dakota,"Grand Forks, ND",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin - Green Bay,"Green Bay, WI",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Georgia College & State University,"Milledgeville, GA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Pittsburgh at Bradford,"Bradford, PA",NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Kansas,"Lawrence, KS",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baldwin Wallace University,"Berea, OH",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rochester Institute of Technology,"Rochester, NY",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA
University of Maine at Machias,"Machias, ME",TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin - Whitewater,"Whitewater, WI",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Francisco State University,"San Francisco, CA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA
Swarthmore College,"Swarrthmore, PA",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Texas at Dallas,"Richardson, TX",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Rocks Community College,"Lakewood, CO",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colgate University,"Hamilton, NY",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Bard College at Simon's Rock,"Great Barrington, MA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Kent State University,"Kent, OH",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue University,"West Lafayette, IN",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kenyon College,"Gambier, OH",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Widener University,"Chester, PA",NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
College of Wooster,"Wooster, OH",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin - Milwaukee,"Milwaukee, WI, WI",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Maine at Farmington,"Farmington, ME",TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
"St. John's College, Annapolis","Annapolis, MD",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Drexel University,"Philadelphia, PA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Southern Methodist University,"DALLAS, TX",NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
Earlham College,"Richmond, IN",NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Southern Illinois University Carbondale,"Carbondale, IL",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Louisville,"Louisville, KY",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wichita State University,"Wichita, KS",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUNY ROCKLAND COMMUNITY COLLEGE,"SUFFERN, NY",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi University,"Garden City, NY",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hobart and William Smith Colleges,"Geneva, NY",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Illinois Chicago,"Chicago, IL",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA
Metropolitan State University of Denver,"Denver, CO",TRUE,NA,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,NA,NA
Montserrat College of Art,"Beverly, MA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Harvard College,"Cambridge, MA",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Cleveland State University,"Cleveland, OH",TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Mount Union,"Alliance, OH",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
University of Virginia,"Charlottesville, VA",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga University,"Spokane, WA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
James Madison University,"Harrisonburg, VA",TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of the Arts,"Philadelphia, PA",NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stevens Institute of Technology,"Hoboken, NJ",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Towson University,"Towson, MD",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida International University,"Miami, FL",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
Antioch College,"Yellow Springs, OH",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Millersville University of Pennsylvania,"Millersville, PA",TRUE,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mars Hill University,"Mars Hill, NC",NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Kean University,"Union, NJ",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
The University of Findlay,"Findlay, OH",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Fort Lewis College,"Durango, CO",TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE
Southwestern University,"Georgetown, TX",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA
Lebanon Valley College,"Annville, PA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
University of New Hampshire-Main Campus,"Durham, NH",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mohawk Valley Community College,"Utica, NY",TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryant University,"Smithfield, RI",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emerson College,"Boston, MA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Manhattan School of Music,"New York, NY",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eastern Mennonite University,"Harrisonburg, VA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Tidewater Community College,"Norfolk, VA",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Art Academy of Cincinnati,"Cincinnati, OH",NA,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joliet Junior College,"Joliet, IL",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Mary Washington,"Fredericksburg, VA",TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Gwynedd Mercy University,"Gwynedd Valley, PA",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
Colorado College,"Colorado Springs, CO",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
University of Puget Sound,"Tacoma, WA",NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Virginia Wesleyan University,"Virginia Beach, VA",NA,TRUE,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE
Fitchburg State University,"FITCHBURG, MA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,TRUE,NA,NA,NA,NA
Juniata College,"Huntingdon, PA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
University of Michigan-Ann Arbor,"Ann Arbor, MI",TRUE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Worcester State University,"Worcester, MA",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regis College,"Weston, MA",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
West Chester University of Pennsylvania,"West Chester, PA",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
William Paterson University of New Jersey,"Wayne, NJ",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
Gallaudet University,"Washington, DC",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,TRUE
Whitman College,"Walla Walla, WA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
University of Wisconsin-Stevens Point,"Stevens Point, WI",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
Georgia Southern University,"Statesboro, GA",TRUE,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
Susquehanna University,"Selinsgrove, PA",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Dominican University of California,"San Rafael, CA",NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Texas State University,"San Marcos, TX",NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA
Skyline College,"San Bruno, CA",TRUE,NA,NA,NA,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,TRUE,TRUE,NA
Salt Lake Community College,"Salt Lake City, UT",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Catawba College,"Salisbury, NC",NA,TRUE,NA,NA,TRUE,NA,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA
Nazareth College,"Rochester, NY",NA,TRUE,TRUE,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
Rhode Island College,"Providence, RI",TRUE,NA,NA,TRUE,TRUE,NA,TRUE,NA,TRUE,NA,NA,NA,NA,TRUE,NA,TRUE
Big Sandy Community and Technical College,"Prestonsburg, KY",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
