language_iso_code,tweet,label,intended_use
amh,የሚገድል መርዝ በሚያመነጩ አንደበቶች /ፓስተር ጌትነት ተፈሪ /VICTORY FAMILY CHURCH,negative,dev
amh,ይህ እጅግ አሳዛኝ ነው! ዝም ብሎ አደጋ አይደለም::እዚህ ሁሉ ምስቅልቅ እንዴት ገባን?! በልጆች የትምህርት እድል ላይ የሚፈርድ የጥፋት ፖለቲካ መወገዝ አለበት:: የወላጅ ሀዘን ይሰ…,negative,dev
amh,አንተ ቆሻሻ! 86 ሰው ሲያልቅ የት አባህ ነበርክ? እሁን በብርሃን ፍጥነት ታወግዛለህ:: ቆሻሻ,negative,dev
amh,ድንጋይ ራስ ነህ!! ምንም የማይጠቅም ድንጋይ that’s all ከቻልክ ከድንጋይነት ወደ ሰውነት ለመቀየር ሞክር!!,negative,dev
amh,አንተም ሰው ሰው ሸተትክ? እከካም ዘረኛ!,negative,dev
amh,ለዛ ነዉ 17 ሴት ተማሪዎች አሳግተህ ባልሰማ ዝም ያልከዉ? ለነገሩ ደቡብ አፍሪካ ስለነበርክ አይሰማ ይሆናል,negative,dev
amh,ይስሀቅ ባንጃው ወይስ ሺሻ ባንጃው? ስሙ ለእኔ አዲስ ነው።,negative,dev
amh,ስትዳከም የሚመጡ ነገሮች አለመገንዘብ ነው። መግገጫ አያስፈልገውም ነበር ለዚህ ድርድር። መደራደር ማለት በልክህና ባቅምህ መስማማት ማለት ከሆነ፣ ስንዳከም ሚዛኑ ወደ ግብፅ ጥቅም ያዘነብላል።,negative,dev
amh,እነዚ ደንቆሮዎች ሰው በላ የኤርትራን ህዝብ ይቅርታ  ያላሉ ከሀዲ,negative,dev
amh,«ከፓርቲ ውህደት በፊት .. .. የፌደራል ስርዓቱ እና የህገመንግስቱ መሸርሸር ጉዳይ ቅድሚያ ሊሰጠው ይገባል»  . .  በማለት አለቃቅሷል  .. .. ፍሬንዳችን … የጉስቁልና ፓርቲ ሊቀመንበር,negative,dev
amh,ምሽት በምዕራብ ጎንደር ዞን መተማ ወረዳ አንድ የመከላከያ ተሽከርካሪ ተገልብጦ ሶስት የሰራዊቱ አባላት ህይወት አለፈ።,negative,dev
amh,የትግሬን ጋላ መግዛት ጥላቻ የሚያካትት ሰው ነበር። ችሎታ ቶረኛ እና ፣ ተንኮለኛ የፖለቲካ ሰው ነበር፣ ጋላን ለማዳከም እና ለማጥፋት ለምንም አይመለስም  1970 ኽ ዳርካው,negative,dev
amh,ምነኛ ሞኝ ሲሆኑ ነው ግን እንደዚህ የሚሉት??,negative,dev
amh,ግራ የተጋባው የአማራ ብሄርተኝነት እና እና የሸኔ-ኦነግ መደናበር።,negative,dev
amh,በአዲስ አበባ ከተማ እና በደቡብ ክልል የእምነቱ ተከታዮች በግዢ፣ በስጦታ እና በምሪት ባገኟቸው የመገልገያ ቦታዎች «የይዞታ ማካለል እና የግንባታ ፈቃድ የመስጠት ችግር» መከሰቱን የ…,negative,dev
amh,የቀረችውን የአገር ሃብት ሊዘርፉና፤ የዜጎችን መብት ሊደፈጥጡ፤ በድህነት ያደቀቋቸው ወገኖቻችንን መልሰው ሊግጡና፤ በብድር እስከ አንገቷ ያሰጠሟት አገራችንን፤ ከነ አካቴው ደፍቀው በማስመጥ፤ 2/3,negative,dev
amh,እሱ አደል ልዩነታችን እዚ አገር ምታድጉ ልጆች ስለ ሽሮ የሆረር ታሪክ ምታውቁት ነገር  የለም,negative,dev
amh,ድንቁ፡ ለምንድን ነው አብይ አሕመድ ህሊናውንና ልቦናውን የማያዳምጠው?   ሊቁ ፡ ምን ነካህ? አብይ አሕመድ ከማያውቃቸው ከማያውቁት እንግዶች ምክር መቀበል አይወድም፡፡,negative,dev
amh,አብን እነ ክርስቲያን ላይ ያለው  አቋም  ምንድን ነዉ  ምነው ዝም አላችሁ,negative,dev
amh,ነቅተኸዋል ፡፡ እናትህ በሥቃይ እና በጭንቀት ትጮኻለች ፡፡ የአባትህ አንጀት ግድግዳው ላይ ተበታትነው ይገኛሉ። መጪውን አደጋ ሳያውቅ በፍርሀት…,negative,dev
amh,ሲጀመርም አላማው ኢትዮጵያውያንን ለመጥቀም ሳይሆን ከፋፍሎ መዝረፍ ነበርና ዛሬም ጎሳን መሰረት ባደረገ ከፋፋይ ፖለቲካ መቀጠል የምትሻው ወያኔ ፍላጎቷ ከፋፍሎ መ…,negative,dev
amh,ታምራት ነገራ በጠራራ ጸሃይ ህልም ማየት መብቱ ነው። እንዲህ ኣይነቶቹን መርዳት ያስቸግራል።,negative,dev
amh,ተስፋዬ ኡርጌ ጉዳይ ምን ሆነ? ክስ ተመሰረተበት ወይስ ማዕከላዊ ማሰቃያ ውስጥ ምርመራ አልተጠናቀቀም? Teme Lapiso ምን አዲስ አለ?,negative,dev
amh,ምን አይነት ደነዝ ነው ??,negative,dev
amh,በካፊር ዘመን መለወጫ  እንኳን አደረሳቹህ ማለት  ሃራም መሆኑን አታውቂም እንዴ,negative,dev
amh,እራስን እድል በራስ መወሰን የሚለው መብት ሲጀመር ለግለሰብ እንጂ ለቡድን የሚሰጥ መብት አይደለም፡፡ ቅድም ኢዜማ በፌዴራል…,negative,dev
amh,እንደምትቃጠል ተስፋ አደርጋለሁ,negative,dev
amh,ደሙን አፍሶ አጥንቱን ከስክሶ የገነባትና ከብት አየነዳ ድንገት ያረፈባት ብትፈርስ እኩል አይሰማውም ዳመነ በላይነህ,negative,dev
amh,ምንድን ነኝ ነው ምትለው?,negative,dev
amh,አሁንም የአማራ ክልል መንግስት መግለጫው አይነፋም ብለህ ሰልፍ እንዳጠራኝ እኔ እጄን አንስቻለሁ !!! ትግል በልመና አይሆንም ዛሬ ታይተን ነገ ለምትጠፋ ነፍስ እባክህ ፈርተህ አታስፈራኝ!!!,negative,dev
amh,እስክንድር በLTV በገባው ቃል መሰረት በቄሮዎች እጃቸውና ጡታቸው ለተቆረጡ አማራዎች የአኖሌ ሃውልትን በጎንደር ከተማ ለመገንባት ዝግጅቱን አጠናቋል  ??????,negative,dev
amh,እኔ ወያኔ አልነበርኩ (የድሮዎቹ እብዶች) ... ብልፅግናም አይደለሁ (የዛሬዎቹ እብዶች)!,negative,dev
amh,ይቺን ተላላኪ የምትል ቃል ስትወዷት  ያኔ መንግስት እያላችሁ  የግንቦት 7,negative,dev
amh,በሞጣ በተከሰተው ነገር አልገረምም እስካሁን ከበቂ በላይ ለፍልፌ ነበር ሕወሓት ከጎጃም ምድር ጥሏቸው የሄደ አማረኛ ተናጋሪ አሉ ብለን አበክረን ተናግረናል በዛሬው ዕለት የሆነው እንበለ መረክንያት አይደለም,negative,dev
amh,እውነት ብሎ ከሆነ እየሰመጠ ያለ ሰው አረፋ ይጨብጣል ከማለት ውጭ ምን ይባላል ::ቧ!,negative,dev
amh,ሞጣዎች የአውስትራልያውን እሳት እንደ እሁድ መዝናኛ ነው የሚያዩት ??,negative,dev
amh,ሐሳቡ እራስን በራስ ማስተዳደር ብቻ እንዳልሆነ ሳይገባህ ቀርቶ ነው? ስለሱ ብዙ ጥያቄ አለኝ ልመለስበት።ማሽሙዋጠጡን ቀንስና የራስን እድል በራስ መወሰን ወይም ስለመገጠል ያለውን አቋም ንገረኝ,negative,dev
amh,11ዱ የአፄ ኃይለሥላሴ ፀረ-ሙስሊም ስትራቴጂዎች,negative,dev
amh,አይመስለኝም ይሄ የሚያስከብር ሳይሆን አደገኛ ጨዋታ ነው። ካላባረሩኝ አማርኛ ሌላ ነገር ነው የሚያመለክተው,negative,dev
amh,ከቁብ ቆጥረሃት?!   በቀደም በእንግሊዘኛ የሆነ በሸታ ያለባቸው ሴቶች የእግር ኳስ በጀት እያሉ ሲዘባርቁ የግብር ከፋይ ብር ነው እንዴ አልክ... ደቡብ…,negative,dev
amh,???? ወያኔ የገንዘብ ነገር መች ይሆንላታል! ከአክሱም ባንክ መዝረፍ ጀምሮ የተጠናወታት ክፉ አመል..... ውይይኡይ?????♂️⚰️,negative,dev
amh,ድብድብ በአዋቂ ተብዬ መሀል አሳፋሪ ቢሆንም፣ በፓርላማ ብቻ ከተወሰነ፣ የጦር መሳሪያና ገጀራ በሕዝብ መሀል እስካላስነሳ በጭራሽ የባሰ አይመስለኝም??,negative,dev
amh,ይኸው ነው ሌላ ቅጂ የለም።የ55 ቱም ቢሆን ከዚህ የተሻለ እንጂ ያነሰ አይደለም።ስለ ህገ መንግስት ስንማር ም እንዲህ የሚል አልተማርነም።,negative,dev
amh,በዚ ድንዛዜ ላይ ትዊተር መጠቀም ግን ከባድ ነው,negative,dev
amh,መታገታቸው ያልዘገብ ሚዲያ ስለ መለቀቃቸው ሲዘግብ ሰምተህ እውነት ነው ካልክ የአለም ቁጥር አንዱ ድንጋይ ራስ አንተ ነህ ።,negative,dev
amh,በፍጹም እውነት አይመስልም,negative,dev
amh,በያስኳላው ይሞታል ወጣቱ መማር ሁኖ ሳለ አብይ ፍላጎቱ ምርቃት ነበረ የናት ያባት ፀጋ ሙሾ ማውረድ ሆነ ጊዜው እያሰጋ ይበጃል መፃፉ ጥበብን በቀለም የተማረ በብዕሩ አያበጀው የለም ያገሬ ወጣቶች…,negative,dev
amh,ይህ መግለጫ ሰምቶ በቸልታ ማለፍ ሽብርተኝነትን በተግባር መደገፍ ነው!,negative,dev
amh,ሕውሃት ከነጁዋር ጋር ከተቀላቀሉ!  ስልጣን ላይ ከወጡ ሁሉንም የብልጽግና ሰዎችን ነው በየእስር ቤት የሚስቀምጡትና የሚገድሉት።  ብልጽግና ንቃ ሳትበላ ብላ ነው የምልክ።  እነዚህን…,negative,dev
amh,ሀሀሀሀሀሀሀሀሀሀሀሀሀሀሆሆሆሆሆሆሆሆሆሆሆሆሆ አሉ አዛውቱ አቦይ ሽበት,negative,dev
amh,ህወሓት ከዚህ በኃላ ቤተመንግሥት የሚገባው 200 ብር ከፍሎ ነው የሚል አንብቤ ፈገግ ብያለሁ። ዛሬ ደግሞ ተዘርፈናል ሲሉ ሰምቼ ፈገግታዬ ወደ ሳቅ ተቀየረ። እነ…,negative,dev
amh,?? ክፉ አታሳስበኝ . . የፈረንጅኛው ቨርዥን ብዙው ጋር ሳይደርስ አይቀርም ባክሽ,negative,dev
amh,Naty...ወያኔ ሰፍቶ የሰጠህን ጠባብ የአማራ የከረፋ ዘረኝነትን እና ብሄርትኝነትን ስታኝክ ዘመን አልፎ ዘመን ተተካ :: አንተ አሁን ከጀዋር የከ…,negative,dev
amh,ኦቦ ለማ እሄይ ያክል በፅንፈኞች ይጠለፋል ብዬ አላስብም ነበር ስለ ኢትዮ አንድነት እንደዛ ሲለፈልፍ የነበረ ሰውዬ ዛሬላይ ተመልሶ ግለኛ ሆኖ የ፩ብሄር ጥያቄን ብቻ ሚያነሳ ከሆነ ከዚ…,negative,dev
amh,አቡነ ማትያስ ትግራይ ብቻ ነው ሠላም ያለ እያሉ ነው!!✍...,negative,dev
amh,በደመወዝ ስኬል ሽግግር ላይ ሲቪል ሰርቪስ ኮሚሽን በቂ ግንዛቤ ባለመፍጠሩ እንደ ደመወዝ ጭማሪ ተወስዶ የመንግስት ሰራተኛ ኑሮ እንደ ከበደ የህዝብ ተወካዮች ምክር ቤት ገለፀ፡፡,negative,dev
amh,ነፍስህን ወደ ሰይጣን እልክላለሁ,negative,dev
amh,ዛሬ እንኳን አፈር ድሜ አስበሏቸው!,negative,dev
amh,መሰረታዊ አላማው በቡዲስት ትምርት ከችግር ነጻነትን ማግኘት ነው አለምን እንደሆነችው በማየት  የተጣመሙ አመለካከቶችን ከሃሳብ እና ስሜት የሚመነጩ እነሱን መተው ነው  በጣም ወሳኝ መ…,negative,dev
amh,መሳሪያ ገዝታችዉ የዘር እልቂት ልታስነሡበት ነዉ $$ኦነግን ማስታጠቂያ ነዉ,negative,dev
amh,ስለዚህ የእናንተ ኢዜማ እና ብልፅግና ከመዋሃዳቸው በፊት እራሳቸውን ያጥፉ፤ መቼም ኑረውም አይጠቅሙም። ሌላው ደግሞ እጅህን ወደ አይናችን አብን አትጠቁም።,negative,dev
amh,Interesting Read   ዘመኑን ያልዋጀው የአበል መመሪያ  በወር 75 ብር የትራንስፖርት አበል የሚለው መመሪያ የወጣው ‹‹በጃንሆይ›› ዘመነ መንግስት መሆን አለበት ስትል ተሳ…,negative,dev
amh,ፎቶህ ማንነትህን መስክሮልኛል እንዲህ ከማለት ውጭ ምንም አቅም የለህም።,negative,dev
amh,አርቆ አስተዋይነት አንለዉም መቸስ ????ኦነግም መንግስት ተብዬዉም ምን የተለየ ነገር አላቸዉ ሲጀምር የአንድ ሳንቲም ሁለት ገፅታ!,negative,dev
amh,አቶ ለማን በተመለከተ ከፈነዳው የወሬ ቦምብ በኋላ ምን ተገነዘብን? በኦሮሚያ ውስጥ የአክራሪ ጎሰኞች አቋም ብዙ ተከታይ እንደሌለው ነው ከ ምሁር  ነን ባዮቹ በተቀር! ሌላውን ወገ…,negative,dev
amh,ተደራጅተህ አትታገልና ኢዜማ ኢዜማ፤ብርሀኑ ብርሀኑ ስትል ክረም! ራስህን ማብቃት ሲያቅትህ በሌሎች ኪሳራ ለመወጣጣት መሞከር ግብዝነት ነው። 360 ም ሆንክ ርእዮት ከሞራል ወለል በታች ነህ፣ ናችሁ!,negative,dev
amh,አውነትሕን ነው? ተው ባክሕ ! እሱ ገና አሳማዎች ተነስተው ሰማይ ላይ መብር ሲጀምሩ ነው። እሺ ጊንጦ !,negative,dev
amh,ውሻ የሆነ ሰው ምሳሌዎቹ ሁሉ ውሻ ነው ????????,negative,dev
amh,ዶ/ር ሄኖክ ገቢሳ እንደተናገረው ሁሉም ፓርቲ commodity ነው። የተሻለውን ያለምንም ግፊት መርጦ የሚገዛው ህዝብ መሆን አለበት። አደራ እንግዲህ አንዱን commodity ብቻ ነጥሎ…,negative,dev
amh,ነፍጠኛ ኦሮምያ ውስጥ ያለው ንብረት አብይ አህመድና የሚኒሊክ ሃውልት ነው።,negative,dev
amh,በለው!!! አብይ ፎግሮ ያገኘው ሽልማት አደገኛ ጠላት አስነሳበት??????????,negative,dev
amh,በርግጥ አለ ማለት ነው:: ደሞ የራስ መተማመን ጥግ እኮ የሌለ ነው ?????♀️,negative,dev
amh,ዳቆኑ በቅጽበት ከተረት ተረት ወደ ዲፕሎማትነት። ሰላም እንዲሰፍን መላ ስላመጣችው የቢቸና ጦጣ እየተረከላቸው ይሆን?,negative,dev
amh,ከሀገሬው ይልቅ ለቻይናዉያን ምቹ የሆነች ሀገር ??...,negative,dev
amh,በኋላ በሚመጣበት ጊዜ ዲያቢሎስን ይያዙ; በፊትህ ሲመጣ ዲያቢሎስን ምታ,negative,dev
amh,እሷ ደግሞ ደህና ሁን ልበልህ በሚለው ትለይሀለች።,negative,dev
amh,በብድር አለቅን: ችግሩ ግን ተበድረው ያንን ብድር የሚከፍል ኢንቨስትመንት ቢሰራ ነበር:: ሁሌ ፕሮጀክቶች በእንጥልጥል እየቀሩ ከዛ ህዝቡን ብዙ ግብር ክፈል ብሎ ማጨናነቅ,negative,dev
amh,ማንም አይቀየምህም አንተ ዝም ብለህ ተቀደድ እስኬ,negative,dev
amh,ከፍተኛ ትምህርት ሚኒስቴር ሂሩት እና ቃል አቀባያቸው አቶ ደቻሳ ጉሩሙ መቼ ነው ስልጣን የሚለቁት? መቼም ስራ እየሰራን ነው እንደማይሉ ተስፋ አደርጋለሁ,negative,dev
amh,አይ ጎንደር ሰው ማረድ ጀመራችሁ መቶ ሺ ካላመጣችሁ ተብሎ ሰው መግደል ደመቀ መኮነን ደጉ የናንት ልጆች ግን ውጭ ናቸው አይ አማራ ክልል አሳፉሪዎች ነውረኞች አረ ንቁ 21 ክ/ዘመን ነን ያለነው እንደ ሰው አስቡ,negative,dev
amh,ሸርሙጣ,negative,dev
amh,ሥራው የሚፈልገው ኣዋቂዎችን እንጂ በትዊተር ወይም ፌስቡክ ታዋቂዎችን ኣይመስለኝም,negative,dev
amh,ኢራን አስፋሪ የአፀፋ ምላሽ ልትሰጥ እንደምትችል እየተነገረ ይገኛል። ግድያው በትራምፕ ትዕዛዝ መፈፀሙን ፔንታጎን አስታውቋል። 2/2,negative,dev
amh,stop me from usin የኢትዮጵያን ጽሑፍ በመጠቀም ፡፡ ከእንግዲህ አስቂኝ አይደለም። የአንተ አካል. ይጠፋል ፡፡ ወደፊት ደም ፡፡ መፍሰስ። በተስፋ መቁረጥዎ ውስጥ አንድ ድ…,negative,dev
amh,ሲሳይ አጌና ጠጅ ቤት ከተሄደ የሚገኘው ትርፍ ይህ ነው::,negative,dev
amh,አንተ የራስህን ደስታ ብቻ የምታዳምጥ ነፍሰ በላ  ከሀዲ ነህ የአማራ ልጆች በየዩኒቨርስቲው እየተሰቃዩ ዝም እግዚኦ ጌታ ይፍረድብህ,negative,dev
amh,ጨቀጨቅሺኝ ነው ያለው ሰሊ ጨከጨኩሽ አይደለም??,negative,dev
amh,ሳስበው ሳስበው… አሁንም ደግሜ ሳስበው… እስክንድር ነጋ… ከሁሉ ነገር እስርቤት ነው የሚያምርበት።   አትቀየሙኝ።,negative,dev
amh,አብይ  አህመድ  ጀዎር  እዝቄል  እና  የቀራችሁት  እንስሶች  ሰማችሁ! ጎንደር=ቅማንት=አማራ=ኢትዮዺያ,negative,dev
amh,መዥገር ትላለህ አንተ ዝንጅብል እራስ ድንቁርናህ አይንህን ጋርዶት እንጂ ይህ ስድብ የዘመዶች መጠሪያ ነው ሃያ ሰባት ዓመት ኢትዮጵያ ላይ ተጣብቀው ደም ሲመጡ የነበሩት ተውሳኮች!!,negative,dev
amh,ውሻ ምን አገባሽ እርሻ የሚሉት አይነት ማለት ነው። ስለ ብፓ ምን አገባው? የእርጎ ዝንብ ነገር...,negative,dev
amh,የበለጠ አሽቃባጭ ነው እንጂ የሆኑት! ??,negative,dev
amh,ብዙዎቹ የአህመዲን ተቺዎች ዑስታዝ አህመዲን ጀበል የሚለውን ሲሰሙ ከስሙ በፊት ያለውን ዑስታዝ የሚለውን በማየት ብቻ እንኳንስ የተማረ በትምህርት ቤት ደጃፍ ያለፈ አይመስላቸውም።,negative,dev
amh,በትክክል ።  ዎናውን የተፈጥሮ ህግ ሳያሞላ ስለ ሌላ ህግ ይቀባጥራል እንዴ,negative,dev
amh,እና በህዝቧ ላይገና ያልተቋጨ መከራ አለ) የዶክተር አቢይ ብልፅግና የሰሜን ኢትዮጵያ ፖለቲከኞችን ርስ በርስ ካና ከሰ ብኋላ ኢትዮጵያውያንን ለማሸማቀቅ ኢትዮጵያን ቀጥቅጦ ለመግ…,negative,dev
amh,ዶ/ር አብርሃም ምን አለ? ወንጀለኛ መደበቅ አይቻልም:: ?????? መላላክ::,negative,dev
amh,ኤልያስን የወሰደብንስ አመት እንኳን ሄደ ።,negative,dev
amh,ይህ ሥዩመ እግዚአብሔ ዘንጉሠነገሥት ኢትዮጵያ ከእኔ በላይ ላሳር ማለቱን በገሃድ እወጃ ጀምሯል:: ያለኔ ኢትዮጵያ አትኖርም ዝም ብላችሁ አትድከሙ እያለን ነው::  ወይጊዜ ስንቱን ያሳ…,negative,dev
amh,ምን አቃጠለህ ይልቅ ኢዜማ የተባለ አጎብዳጅ ፓርቲ ምን እየሰራ ነው ለካደው ለአዲስ አበባ ሕዝብ መቼም ምርጡኝ አይለም አደል,negative,dev
amh,ባለፈው ማክሰኞ ባግዳድ በሚገኘው የአሜሪካ ኤምባሲ ላይ ጥቃት ከደረሰ ወዲህ በቀጠናው የፀጥታ መደፍረስ እየተስተዋለ ሲሆን አሜሪካም ወደ ስፍራው 750 የሚደርሱ ኮማንዶዎችን ልካለች።,negative,dev
amh,Huh?......ናቸው ብሎ ያስባልን?... ደመቀ መኮንን አስቦ ያውቃል እንዴ ለመሆኑ?,negative,dev
amh,ይህ ዓለም በአማርኛ በጣም ጨካኝ ይመስላል። በጣም አዝኛለሁ,negative,dev
amh,እምነት የሚቀጣጠል እሳት እያየ ለማጥፋት አንድ ባልዲ ውሀ እንኳን እንዳያቀብል ባለየ ዳር ዳሩን እሚሄድ እና ልክ እሳቱ ከጠፋ በሗላ ሀዘኑን እሚገልፅ የአስመሳይ ስብስብ ቢኖር ኢዜማ ነው ሀና…,negative,dev
amh,ቄራ የገባ በሬና ሰሜን የሄደ ወታደር ኢይመለስም እንደተባለ ኣያውም ? ??????,negative,dev
amh,እኔ ደግሞ በጣም እሰጋለው።,negative,dev
amh,ገዳይ እስስት!! የድሀው ደም እንደፈስሰ አይቀርም????,negative,dev
