medal,beer_name,brewery,city,state,category,year
Silver,English Pale Mild Ale,Wallenpaupack Brewing Co.,Hawley,PA,English Mild or Bitter,2020
Bronze,MSB (McFleshman's Special Bitter),McFleshman's Brewing Co.,Appleton,WI,English Mild or Bitter,2020
Gold,Get Up Offa That Brown,Golden Road Brewing,Anaheim,CA,English-Style Brown Ale,2020
Silver,Bloodhound Brown Ale,Attic Brewing Co.,Philadelphia,PA,English-Style Brown Ale,2020
Gold,Barrel Aged Coco PiC3=B1a,Coastal Empire Beer Co.,Savannah,GA,Experimental Beer,2020
Silver,Choco Tuesday,Lone Pine Brewing Co. - Gorham Tasting Room,Gorham,ME,Experimental Beer,2020
Bronze,Get Artistic,Creature Comforts Brewing Co.,Athens,GA,Experimental Beer,2020
Gold,Pepper & Peaches,Claremont Craft Ales,Claremont,CA,Experimental India Pale Ale,2020
Silver,Lazy Tiger,Lamplighter Brewing Co.,Cambridge,MA,Experimental India Pale Ale,2020
Gold,Wicket Awesome,Eureka Heights Brew Co.,Houston,TX,Extra Special Bitter,2020
Silver,Extra Special StormBreaker,StormBreaker Brewing,Portland,OR,Extra Special Bitter,2020
Bronze,English Sporting Beer,Midwest Coast Brewing Co.,Chicago,IL,Extra Special Bitter,2020
Gold,Lime Cucumber Gose,Urban South Brewery - New Orleans,New Orleans,LA,Field Beer,2020
Silver,Coconut Bligh's Barleywine,Dry Dock Brewing Co.- North Dock,Aurora,CO,Field Beer,2020
Gold,Conelick'r,Three Creeks Brewing Co.,Sisters,OR,Fresh Hop Beer,2020
Bronze,Fresh Hop Hazealicious,Reuben's Brews - Production Brewery,Seattle,WA,Fresh Hop Beer,2020
Gold,Liliko'i Kepolo,Avery Brewing Co.,Boulder,CO,Fruit Wheat Beer,2020
Silver,Grandma's Favorite Recipe,Silver Harbor Brewing Co.,Saint Joseph,MI,Fruit Wheat Beer,2020
Bronze,Afternoon Delight,Storm Peak Brewing Co.,Steamboat Springs,CO,Fruit Wheat Beer,2020
Gold,Guava Dreams,Del Cielo Brewing Co.,Martinez,CA,Fruited American-Style Sour Ale,2020
Bronze,Summer Sun,Stereo Brewing Co.,Placentia,CA,Fruited American-Style Sour Ale,2020
Gold,The Many Lives of Our Lives,Big aLICe Brewing Co.,Long Island City,NY,Fruited Wood- and Barrel-Aged Sour Beer,2020
Bronze,Cherry Busey,Sun King Brewery - Indianapolis,Indianapolis,IN,Fruited Wood- and Barrel-Aged Sour Beer,2020
Gold,Maximilian,La Reforma,Albuquerque,NM,German Dark Lager,2020
Silver,Dozer Line,Topa Topa Brewing Co.,Ventura,CA,German Dark Lager,2020
Gold,Howitzer Amber,Red Leg Brewing Co.,Colorado Springs,CO,German-Style Altbier,2020
Silver,Control ALT,Devil's Logic Brewing,Charlotte,NC,German-Style Altbier,2020
Bronze,Altitude Alt,Altitude Chophouse & Brewery,Laramie,WY,German-Style Altbier,2020
Gold,Agent Provocator,Clandestine Brewing,San Jose,CA,German-Style Doppelbock or Eisbock,2020
Silver,Duck-Rabbit Duck-Rabbator,Duck-Rabbit Craft Brewery,Farmville,NC,German-Style Doppelbock or Eisbock,2020
Bronze,Kolsch Money,Jack's Abby Craft Lagers,Framingham,MA,German-Style Koelsch,2020
Gold,Amber's Lager-Amber Lager,Irwin Brewing Co.,Crested Butte,CO,German-Style Maerzen,2020
Silver,White Rocktoberfest,White Rock Alehouse & Brewery,Dallas,TX,German-Style Maerzen,2020
Bronze,Big Grove Oktoberfest,Big Grove Brewery,Iowa City,IA,German-Style Maerzen,2020
Gold,Sprockets,Gravely Brewing Co.,Louisville,KY,German-Style Pilsener,2020
Bronze,Pils,Kansas City Bier Co.,Kansas City,MO,German-Style Pilsener,2020
Silver,Hefeweizen,Kansas City Bier Co.,Kansas City,MO,German-Style Wheat Ale,2020
Bronze,Doc's Dunkel,Gravely Brewing Co.,Louisville,KY,German-Style Wheat Ale,2020
Gold,Aurochs Hazy IPA,Aurochs Brewing Co.,Emsworth,PA,Gluten-Free Beer,2020
Silver,1808,ALT Brew,Madison,WI,Gluten-Free Beer,2020
Gold,Carolinian,Columbia Craft Brewing Co.,Columbia,SC,Golden or Blonde Ale,2020
Bronze,Sunlight Cream Ale,Sun King Brewery - Indianapolis,Indianapolis,IN,Golden or Blonde Ale,2020
Gold,Allergeez,Panther Island Brewing,Fort Worth,TX,Herb and Spice Beer,2020
Bronze,Powder Run,Living the Dream Brewing Co.,Littleton,CO,Herb and Spice Beer,2020
Gold,Decorah Nordic Gruit,PIVO Brewery,Calmar,IA,Historical Beer,2020
Silver,Seedstock Gratzer,Seedstock Brewery,Denver,CO,Historical Beer,2020
Bronze,Fr. Bernard's Grodziskie,New Magnolia Brewing Co.,Houston,TX,Historical Beer,2020
Gold,Honey Please,Armadillo Ale Works,Denton,TX,Honey Beer,2020
Silver,Tra La La,Grimm Artisanal Ales,Brooklyn,NY,Honey Beer,2020
Gold,Hammerland DIPA,El Segundo Brewing Co.,El Segundo,CA,Imperial India Pale Ale,2020
Silver,Double Cone,Alvarado Street Brewery & Tasting Room,Salinas,CA,Imperial India Pale Ale,2020
Bronze,Freak of Nature Double IPA,Wicked Weed Brewing,Asheville,NC,Imperial India Pale Ale,2020
Gold,The Snow,Community Beer Works,Buffalo,NY,Imperial Stout,2020
Bronze,Stoutacus,Shoe Tree Brewing Co.,Carson City,NV,Imperial Stout,2020
Gold,Baltic Porter,Skipping Rock Beer Co.,Staunton,VA,International Dark Lager,2020
Silver,Murder Ballads,Noble Beast Brewing Co.,Cleveland,OH,International Dark Lager,2020
Bronze,Public Enemy Baltic Porter,Dust Bowl Brewing Co.,Turlock,CA,International Dark Lager,2020
Gold,Locals Only,Pizza Port Carlsbad,Carlsbad,CA,International Pale Ale,2020
Silver,Carlsbad Crush,Burgeon Beer Co.,Carlsbad,CA,International Pale Ale,2020
Bronze,Inner Light,Our Mutual Friend Brewing,Denver,CO,International Pale Ale,2020
Gold,Japanese Lager,pFriem Family Brewers,Hood River,OR,International Pilsener,2020
Silver,Rioveza,Kern River Brewing Co. - The Backyard,Kernville,CA,International Pilsener,2020
Bronze,Little Wing,Horse Thief Hollow Brewing Co.,Chicago,IL,International Pilsener,2020
Gold,Balefire Irish Red,Mirror Image Brewing Co.,Frederick,CO,Irish-Style Red Ale,2020
Silver,Crimson Lass,Quarter Celtic Brewpub,Albuquerque,NM,Irish-Style Red Ale,2020
Bronze,Vixen,Old Bust Head Brewing Co.,Vint Hill,VA,Irish-Style Red Ale,2020
Gold,The Hopsplainer,Burke-Gilman Brewing Co.,Seattle,WA,Juicy or Hazy Imperial India Pale Ale,2020
Silver,Not A Scientist,Cloudburst Brewing,Seattle,WA,Juicy or Hazy Imperial India Pale Ale,2020
Gold,Spellbinder,Wren House Brewing Co.,Phoenix,AZ,Juicy or Hazy India Pale Ale,2020
Silver,Yojo,Moonraker Brewing Co.,Auburn,CA,Juicy or Hazy India Pale Ale,2020
Bronze,Wicked Pawesome,Metazoa Brewing Co. - Stringtown Production Facility,Indianapolis,IN,Juicy or Hazy India Pale Ale,2020
Gold,Moon Haze,Blue Moon Brewing Co.,Denver,CO,Juicy or Hazy Pale Ale,2020
Silver,Hazy L IPA,Bale Breaker Brewing Co.,Yakima,WA,Juicy or Hazy Pale Ale,2020
Bronze,Mosaic Pale Ale,Random Row Brewing Co.,Charlottesville,VA,Juicy or Hazy Pale Ale,2020
Gold,Goofy Boots,Penrose Brewing Co.,Geneva,IL,Juicy or Hazy Strong Pale Ale,2020
Silver,Reuben's Crush,Reuben's Brews - The Taproom,Seattle,WA,Juicy or Hazy Strong Pale Ale,2020
Gold,Safety Dance,Smartmouth Brewing Co.,Norfolk,VA,Kellerbier or Zwickelbier,2020
Silver,Royal Bohemian Pilsner,Earth Rider Brewery,Superior,WI,Kellerbier or Zwickelbier,2020
Bronze,TF Brewing Granary Keller Bier,Templin Family Brewing,Salt Lake City,UT,Kellerbier or Zwickelbier,2020
Gold,Wander Litely,Wander Brewing,Bellingham,WA,Light Lager,2020
Silver,Chuckanut Chuck Lite,Chuckanut Brewery - North Nut,Bellingham,WA,Light Lager,2020
Bronze,Pachanga,Sun King Brewery - Indianapolis,Indianapolis,IN,Light Lager,2020
Silver,D=C3=A9luge,Sanitas Brewing Co.,Boulder,CO,Mixed-Culture Brett Beer,2020
Bronze,Gathering Red Currants & Peaches,Grimm Artisanal Ales,Brooklyn,NY,Mixed-Culture Brett Beer,2020
Gold,Augenblick Light Lager,Masthead Brewing Co.,Cleveland,OH,Munich-Style Helles,2020
Gold,Settlers' Oatmeal Stout,Vallensons' Brewing Co.,Pearland,TX,Oatmeal Stout,2020
Silver,North Tower Stout,Earth Rider Brewery,Superior,WI,Oatmeal Stout,2020
Bronze,Stagecoach Stout,Figueroa Mountain Brewing Co.,Buellton,CA,Oatmeal Stout,2020
Gold,Miss Cleo's Barkleywine,Sanford Brewing Co.,Sanford,FL,Old Ale or Strong Ale or Barley Wine-Style Ale,2020
Silver,Baby Maker,Triple C Brewing Co.,Charlotte,NC,Old Ale or Strong Ale or Barley Wine-Style Ale,2020
Gold,Rico,Chihuahua Cerveza,Costa Mesa,CA,Other Strong Beer,2020
Silver,Krimson King,Accomplice Beer Co.,Cheyenne,WY,Other Strong Beer,2020
Bronze,"Hello, Sabro!",Danville Brewing Co.,Danville,CA,Other Strong Beer,2020
Gold,Gordgeous,NoDa Brewing Co. - NE,Charlotte,NC,Pumpkin Beer,2020
Silver,5 Phantoms 2018,Philipsburg Brewing Co.,Philipsburg,MT,Pumpkin Beer,2020
Gold,Tabula Rasa,Second Chance Beer Co.,San Diego,CA,Robust Porter,2020
Silver,Porter,Founders Brewing Co.,Grand Rapids,MI,Robust Porter,2020
Bronze,Thriller Pillar Porter,Bron Yr Aur Brewing Co.,Naches,WA,Robust Porter,2020
Silver,Hugzilla,Gezellig Brewing Co.,Newton,IA,Rye Beer,2020
Bronze,Chuckanut Rye,Chuckanut Brewery - North Nut,Bellingham,WA,Rye Beer,2020
Gold,No. 17 Scotch Ale,The Freehouse,Minneapolis,MN,Scotch Ale,2020
Bronze,Wee Heavy HINDER,H.H. Hinder Brewing Co.,Waupaca,WI,Scotch Ale,2020
Gold,Back Country,Lewis & Clark Brewing Co.,Helena,MT,Scottish-Style Ale,2020
Silver,It Takes a Tribe Red Ale,Goat Patch Brewing Co.,Colorado Springs,CO,Scottish-Style Ale,2020
Bronze,Taildragger Clan-Destine,Saddle Mountain Brewing Co.,Goodyear,AZ,Scottish-Style Ale,2020
Gold,Tip the Calf,SingleSpeed Brewing,Waterloo,IA,Session Beer or Non-Alcohol Beer,2020
Silver,Guillaume,Pizza Port Ocean Beach,San Diego,CA,Session Beer or Non-Alcohol Beer,2020
Gold,Hefty Fee,Docent Brewing,San Juan Capistrano,CA,Session India Pale Ale,2020
Silver,Pedal Pounder,LazyG Brewhouse,Prescott,AZ,Session India Pale Ale,2020
Silver,Holy Smokes!,Santa Maria Brewing Co.,Atascadero,CA,Smoke Beer,2020
Gold,Coco Burrito Porter,Shoe Tree Brewing Co.,Carson City,NV,Specialty Beer,2020
Silver,Cookies &amp; Cream Milk Stout,Waconia Brewing Co.,Waconia,MN,Specialty Beer,2020
Bronze,Cactus Warrior,Toltec Brewing Co.,Albuquerque,NM,Specialty Beer,2020
Gold,Razzle Fo Shazzle,Great Basin Brewing Co. - Reno,Reno,NV,Specialty Berliner-Style Weisse,2020
Silver,Glitz & Glam,Eppig Brewing,Vista,CA,Specialty Berliner-Style Weisse,2020
Bronze,Plumpricot,Beale's,Bedford,VA,Specialty Berliner-Style Weisse,2020
Gold,Farmhouse CuvC3==A9e,Alesong Brewing & Tasting Room,Eugene,OR,Specialty Saison,2020
Silver,Seeds of Infinity,Coldfire Brewing,Eugene,OR,Specialty Saison,2020
Gold,ODIS,O'Connor Brewing Co.,Norfolk,VA,Stout,2020
Silver,Void of Light,Gun Hill Brewing Co.,Bronx,NY,Stout,2020
Bronze,Dry Stout,The Post Brewing Co.,Lafayette,CO,Stout,2020
Gold,Happy Days,Claremont Craft Ales,Claremont,CA,Strong Red Ale,2020
Silver,Side Hike,Kern River Brewing Co.,Kernville,CA,Strong Red Ale,2020
Gold,Moozie Milk Stout,Brink Brewing Co.,Cincinnati,OH,Sweet Stout or Cream Stout,2020
Bronze,Irish Prenup,Barley Naked Brewing Co.,Stafford,VA,Sweet Stout or Cream Stout,2020
Gold,RhinO'fest,Lost Rhino Brewing Co.,Ashburn,VA,Vienna-Style Lager,2020
Silver,Vienna Lager,East Rock Brewing Co.,New Haven,CT,Vienna-Style Lager,2020
Gold,Afternoon Delight,Sun King Brewery - Indianapolis,Indianapolis,IN,Wood- and Barrel-Aged Beer,2020
Silver,Amburana Graham Cracker Porter,Denver Beer Co.,Denver,CO,Wood- and Barrel-Aged Beer,2020
Gold,Cuvee De Funk,Lone Pine Brewing Co.,Portland,ME,Wood- and Barrel-Aged Sour Beer,2020
Silver,Triad Blanc,IMBIB Custom Brews,Reno,NV,Wood- and Barrel-Aged Sour Beer,2020
Bronze,Freedom 7,True Anomaly Brewing Co.,Houston,TX,Wood- and Barrel-Aged Sour Beer,2020
Gold,Amburana Dream,Denver Beer Co. - Olde Town Arvada,Arvada,CO,Wood- and Barrel-Aged Strong Beer,2020
Silver,Bourbon B.A. Big Game,Bravery Brewing,Lancaster,CA,Wood- and Barrel-Aged Strong Beer,2020
Gold,A Night to End All Dawns,Kane Brewing Co.,Ocean,NJ,Wood- and Barrel-Aged Strong Stout,2020
Silver,Ruckus,Melvin Brewing - Thai Me Up,Jackson,WY,Wood- and Barrel-Aged Strong Stout,2020
Bronze,Grasp of Oak,Moksa Brewing Co.,Rocklin,CA,Wood- and Barrel-Aged Strong Stout,2020
Bronze,Mob Barley,Meadowlark Brewing,Sidney,MT,Aged Beer,2019
Silver,Tank 7 Farmhouse Ale,Boulevard Brewing Co.,Kansas City,MO,American-Belgo-Style Ale,2019
Bronze,White Rainbow,Red Rock Brewery - Production,Salt Lake City,UT,American-Belgo-Style Ale,2019
Gold,MC3=A4rzen,Sudwerk Brewing Co.,Davis,CA,American-Style Amber Lager,2019
Silver,Oktoberfest,Huss Brewing Co.,Tempe,AZ,American-Style Amber Lager,2019
Bronze,Grist Maerzen,Grist Brewing Co.,Highlands Ranch,CO,American-Style Amber Lager,2019
Bronze,Red Alert,Aftershock Brewing Co.,Temecula,CA,American-Style Amber/Red Ale,2019
Gold,Alpha Force Double Tap,C3=9Cberbrew,Billings,MT,American-Style Black Ale,2019
Silver,Bowie Knife,Thunderhawk Alements,San Diego,CA,American-Style Black Ale,2019
Bronze,Turmoil,Barley Brown's Beer,Baker City,OR,American-Style Black Ale,2019
Silver,Bull Creek Brown Ale,Springfield Brewing Co.,Springfield,MO,American-Style Brown Ale,2019
Bronze,Browner Than Ivan,Chula Vista Brewery,Chula Vista,CA,American-Style Brown Ale,2019
Gold,Sea SeC3=B1or! Mex Lager,SouthNorte Beer Co.,San Diego,CA,American-Style Cream Ale,2019
Silver,Los DudesE2=80=99 Cerveza Lager Mexic=ana,The Dudes' Brewing Co.,Torrance,CA,American-Style Cream Ale,2019
Bronze,Gold Style,Ballast Point Brewing Co. - Chicago,Chicago,IL,American-Style Cream Ale,2019
Gold,Salt River,Historic Brewing Co.,Flagstaff,AZ,American-Style Fruit Beer,2019
Silver,Quat,Tampa Bay Brewing Co. - Ybor City,Tampa,FL,American-Style Fruit Beer,2019
Bronze,Boom Dynamite,O.H.S.O. Brewery + Distillery,Phoenix,AZ,American-Style Fruit Beer,2019
Gold,More Dodge Less RAM,Comrade Brewing Co.,Denver,CO,American-Style India Pale Ale,2019
Gold,Lite Thinking,Pollyanna Brewing Co.,Lemont,IL,American-Style Lager or American-Style Pilsener,2019
Silver,Valley Beer,Wren House Brewing Co.,Phoenix,AZ,American-Style Lager or American-Style Pilsener,2019
Bronze,Schaben's,Thunderhead Brewing Co.,Kearney,NE,American-Style Lager or American-Style Pilsener,2019
Gold,Johnny Utah,Georgetown Brewing Co.,Seattle,WA,American-Style Pale Ale,2019
Silver,Acclimated APA,La Cumbre Brewing Co.,Albuquerque,NM,American-Style Pale Ale,2019
Bronze,Breakside Woodlawn Pale Ale,Breakside Brewery,Portland,OR,American-Style Pale Ale,2019
Gold,Low pHunk,MobCraft Beer,Milwaukee,WI,American-Style Sour Ale,2019
Silver,Alegria,Millersburg Brewing,Millersburg,OH,American-Style Sour Ale,2019
Gold,Black Cliffs,Boise Brewing,Boise,ID,American-Style Stout,2019
Gold,Superpower IPA,Comrade Brewing Co.,Denver,CO,American-Style Strong Pale Ale,2019
Silver,NoPac IPA,Crossbuck Brewing,Walla Walla,WA,American-Style Strong Pale Ale,2019
Bronze,JAF IPA,JAFB Wooster Brewery,Wooster,OH,American-Style Strong Pale Ale,2019
Bronze,Termes Beer,Spearfish Brewing Co.,Spearfish,SD,American-Style Wheat Beer,2019
Gold,Australian For Pale,Green Cheek Beer Co.,Orange,CA,Australian-Style Pale Ale,2019
Silver,Mountain Standard IPA,Odell Brewing Co.,Fort Collins,CO,Australian-Style Pale Ale,2019
Bronze,Pete's Stash,Vail Brewing Co. - Vail Village Pilot,Vail,CO,Australian-Style Pale Ale,2019
Gold,Snap Yo' Baltics,Freetail Brewing Co. - Brewpub,San Antonio,TX,Baltic-Style Porter,2019
Gold,Old Diablo,Morgan Territory Brewing,Tracy,CA,Barley Wine-Style Ale,2019
Silver,Freebooter Barleywine,Coronado Brewing Co.,Coronado,CA,Barley Wine-Style Ale,2019
Bronze,Three Ryes Men,Reuben's Brews - The Taproom,Seattle,WA,Barley Wine-Style Ale,2019
Gold,Junebug,Echo Brewing Co.,Erie,CO,Belgian- and French-Style Ale,2019
Silver,Swingin' Single,Piece Brewery,Chicago,IL,Belgian- and French-Style Ale,2019
Bronze,Industrial Gris,Resident Brewing Co.,San Diego,CA,Belgian- and French-Style Ale,2019
Silver,Hell's Keep,Squatters Craft Beers,Salt Lake City,UT,Belgian-Style Blonde Ale or Pale Ale,2019
Bronze,Suddenly a Saint,Moonraker Brewing Co.,Auburn,CA,Belgian-Style Blonde Ale or Pale Ale,2019
Gold,Quad Damn It,Chicago Brewing Co. - Las Vegas,Las Vegas,NV,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019
Silver,SC3=A9r=C3=A9net=C3=A9 Grand Cru,Bruz Beers,Denver,CO,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019
Bronze,Sisters Quad,Bitter Sisters Brewing Co.,Addison,TX,Belgian-Style Dark Strong Ale or Belgian-Style Quadrupel,2019
Bronze,OB Bubble Dubbel,Kilowatt Brewing,San Diego,CA,Belgian-Style Dubbel,2019
Gold,Foxy Lady,Silver City Brewery,Bremerton,WA,Belgian-Style Fruit Beer,2019
Silver,All the Goodness,Gezellig Brewing Co.,Newton,IA,Belgian-Style Fruit Beer,2019
Bronze,Cherry Valley Farmhouse,Heritage Hill Brewhouse & Kitchen,Pompey,NY,Belgian-Style Fruit Beer,2019
Gold,Get The Funk Out,Crooked Stave Artisan Beer Project,Denver,CO,Belgian-Style Lambic or Sour Ale,2019
Silver,Olly,Free Will Brewing Co.,Perkasie,PA,Belgian-Style Lambic or Sour Ale,2019
Bronze,Saison ApothC4=93ca<=/,Yeast of Eden,Carmel-By-The-Sea,CA,Belgian-Style Lambic or Sour Ale,2019
Gold,Fu Fighter,Good River Beer,Denver,CO,Belgian-Style Pale Strong Ale,2019
Silver,Sandy Dunes Saison,River Bluff Brewing,St. Joseph,MO,Belgian-Style Pale Strong Ale,2019
Bronze,Stay Gold,Bluebird Brasserie,Sherman Oaks,CA,Belgian-Style Pale Strong Ale,2019
Gold,Princeps Pacis,Save The World Brewing Co.,Marble Falls,TX,Belgian-Style Tripel,2019
Silver,Marvella,Red Rock Brewery - Production,Salt Lake City,UT,Belgian-Style Tripel,2019
