talk_title,speaker_name,track,description,yt_url
Empowering Decisions: Advanced Portfolio Analysis and Management through Shiny,Lovekumar Patel,Innovating with Shiny,"This talk explores the creation of an advanced portfolio analysis system using Shiny and Plumber API. Focused on delivering real-time insights and interactive tools, the system transforms financial analysis with user-centric design and reusable Shiny modules. The talk will delve into how complex financial data is made dynamic and interactive via an internal R package integrating with an ag-grid javascript library to enhance user engagement and decision-making efficiency. A highlight is the Plumber API's dual role: powering the current system and hosting other enterprise applications in other languages (python), demonstrating remarkable cross-platform integration. This system exemplifies the innovative potential of R in financial analytics.",https://youtu.be/59ztetVfmjg
"""Please Let Me Merge Before I Start Crying"": And Other Things I've Said at The Git Terminal",Meghan Harris,Is It Supposed To Hurt This Much?,"This talk is geared towards those who may feel comfortable working independently with Git but need some confidence when working collaboratively. Just like novice drivers can learn to confidently (and safely!) merge onto (seemingly) intimidating highways, those new to collaborating with Git can also conquer Git merges with some exposure and preparation. 

 This talk will go over: 

 - Different ways R users can interact with Git - What Git merges and Git merge conflicts are - Real-life examples of Git merges - Advice on resolving Git merges - Suggestions for cleaner workflows to promote better Git merges",https://youtu.be/y2qdvYKKVdc
Easing the pain of connecting to databases,Edgar Ruiz,Is It Supposed To Hurt This Much?,"Overview of the current and planned work to make it easier to connect to databases. We will review packages such as odbc, dbplyr, as well as the documentation found on our Solutions site (https://solutions.posit.co/connections/db/databases/), which will soon include the best practices we find on how to connect to these vendors via Python.",https://youtu.be/NCFG88m9ZSs
Saving time (and pain) with Posit Public Package Manager,Joe Roberts,Is It Supposed To Hurt This Much?,"CRAN, Bioconductor, and PyPI are incredible resources for packages that make performing data science in R and Python better. But there’s also a better way to obtain those packages! Companies like Databricks are leveraging Posit Public Package Manager to make their users’ package installation faster and more reproducible. Learn why, and how anyone – anywhere – can easily get started using Public Package Manager.",https://youtu.be/NwZ4sVjNKlI
"Auth is the product, making data access simple with Posit Workbench",Aaron Jacobs,Is It Supposed To Hurt This Much?,"Accessing data is a critical early step in data science projects, but is often complicated by security and technical challenges in enterprises. This talk will explore how Posit Workbench facilitates secure data access in IDEs like RStudio, JupyterLab, and VS Code through authentication and authorization aligned with existing data governance frameworks. Workbench manages and refreshes short-lived credentials on behalf of users for AWS, Azure, Databricks, and Snowflake, simplifying secure data access for open-source data science teams. Attendees will gain insights into overcoming data access challenges and leveraging Posit Workbench for secure, efficient data science workflows in an enterprise environment.",https://youtu.be/A1Mg4culzZs
Balancing Global Infrastructure and Local Autonomy: Lessons from R-Ladies Global,Shannon Pileggi,It Takes A Village: Building And Sustaining Communities,"As a global non-profit established in 2016, R-Ladies has more than 100k members from 233 chapters in 63 countries to support the mission of increasing gender diversity in the R community. Empowering local chapters is challenging as accessibility and awareness of communication methods, software choices, social platforms, and support avenues vary internationally. Join us for insights into our journey of developing a global, technical, and social infrastructure while fostering collaboration and growth and granting chapters the freedom to tailor their activities to local contexts. Walk away with practical, technical, and social strategies to empower and diversify your own data science communities based on learning from continuous feedback.",https://youtu.be/Baoa9Yr6TaM
bRewing code: Ingredients for successful tribal collaboration,Alena Reynolds,It Takes A Village: Building And Sustaining Communities,"Everyone will have their own recipe for bRewing a great collaboration, but we wanted to share ours. Ingredients: equal parts learner and teacher, 90 kg of supportive management, 1 whole database, complete or incomplete, a dash of creativity, 60 hours of time (recipe included in the main presentation), fun to taste. First, make sure your ingredients are organized, and the prep area is tidy. Sift data into a central database and simmer and stir into separate R scripts. In a large cauldron, combine scripts and narrative into one giant Rmarkdown. Lubridate your pan and knit into the desired format. We want to share the rest of our recipe to make a delicious report that builds confidence in the learner, new and strong friendships, and lifelong skills.",https://youtu.be/SUTucSJFfXw
Art of R Packages: Forging Community with Hex Stickers,Hubert Halun,It Takes A Village: Building And Sustaining Communities,"Hex logotypes in the R community are not just for show. They represent identity, unity, and the collaborative nature of open-source projects. This talk will explore how these stickers blend design and visual storytelling, turning R packages into symbols of community. I'll cover the hex sticker creation process, from idea to design, and their impact on brand recognition and user pride. Using examples from the Tidyverse, Rhinoverse, Nest, and others, I'll highlight how hex stickers unite the R community. The aim is to show how mixing design with data science in creating R packages can build a strong community, highlighting the importance of both looks and usefulness.",https://youtu.be/Pw-wvDYD0Ks
Converting Posit-Enthusiasm into Posit-Action,Tyler McInnes,It Takes A Village: Building And Sustaining Communities,"How did posit::conf(2023) influence my role as coordinator of a nationwide bioinformatics training programme in Aotearoa New Zealand? Inspired by the talks and workshops I attended at last year's conference, I set myself 17 tasks that would strengthen the local data science community, showcase Posit tools, and improve my own skill set. Post-conference enthusiasm was at an all-time high. Could I translate this enthusiasm into action to improve the data science training community? This talk will demonstrate how I was able to implement skills and tools from posit::conf to improve my community and highlight the current state of training in New Zealand, including the methods used to connect a small but widely dispersed group of researchers.",https://youtu.be/8pYRrGZWsEY
"Mixing R, Python, and Quarto: Crafting the Perfect Open Source Cocktail",Alenka Frim and Nic Crane,"It's R And Python, Not R Or Python","Collaborating effectively on a cross-language open-source project like Apache Arrow has a lot in common with data science teams, where the most productivity is seen when people are given the right tools to enable them to contribute to the programming language they are most familiar with. In this talk, we share a project we created to combine information from different sources to simplify project maintenance and monitor important metrics for tracking project sustainability, using Quarto dashboards with both R and Python components. We'll share the lessons we learned collaborating on this project - what was easy, where things got tougher, and concrete principles we discovered were key to effective cross-language collaboration.",https://youtu.be/8174mk6SGcU
Python Rgonomics,Emily Riederer,"It's R And Python, Not R Or Python","Data science languages are increasingly interoperable with advances like Arrow, Quarto, and Posit Connect. But data scientists are not. Learning the basic syntax of a new language is easy, but relearning the ergonomics that help us be hyperproductive is hard. In this talk, I will explore the influential ergonomics of R's tidyverse. Next, I will recommend a curated stack that mirrors these ergonomics while also being genuinely truly Pythonic. In particular, we will explore packages (polars, seaborn objects, greattables), frameworks (Shiny, Quarto), dev tools (pyenv, ruff, and pdm), and IDEs (VS Code extensions). The audience should leave feeling inspired to try Python while benefiting from their current knowledge and expertise.",https://youtu.be/ILxK92HDtvU
Empowering Reproducible Finance through Tidy Finance with R and Python,Christoph Scheuch,"It's R And Python, Not R Or Python","Tidy Finance merges cutting-edge research in financial economics with the principles of transparency and reproducibility, providing a novel, open-source toolkit available in both R and Python. This multi-language approach simplifies financial data analysis while teaching best practices for reproducible research, integrating narrative with clean, easy-to-read code and replicable results. By promoting transparent code, public sharing, and multi-language support, Tidy Finance equips researchers, educators, and students with critical tools that foster a more reproducible academic environment. This talk will explore the development and impact of Tidy Finance, offering inspiration for attendees from various fields to advance open-source and reproducibility in their own work.",https://youtu.be/vV7JECvFXNE
CI madness with Ibis: testing 20 query engines on every commit,Phillip Cloud,"It's R And Python, Not R Or Python","Tidy Finance merges financial economics research with the principles of transparency and reproducibility, offering a novel open-source toolkit in R and Python. Our multi-language approach simplifies empirical studies in finance and teaches reproducible research with clean, understandable code. In my talk, I'll showcase how Tidy Finance improves finance research and education, aiding finance professionals in applying its principles for better teaching and research. Attendees from diverse backgrounds will learn about fostering open-source initiatives in their fields. Join us to support a transparent, reproducible research environment.",https://youtu.be/4joDJDVzm0M
Level up! Empowering industry R users with different levels of experience,Seth Colbert-Pollack,Level Up Your Data Science Skills,"How can we level up the R skills of a team with varied backgrounds and levels of experience in R? At PicnicHealth, a health tech company that collects and abstracts patient medical records for use in research, we've come up with a number of strategies to share. We'll discuss building internal packages that assist with common tasks and distributing them with Posit Package Manager, hosting dashboards on Posit Connect and integrating them with other internal apps, maintaining a wiki, and holding regular Office HouRs to give folks a place to ask for advice. We'll share examples and show some projects that have benefited from this approach. This talk is suitable for anyone who has at least one coworker using R.",https://youtu.be/3AjR_3w5e3s
Partnering with Posit for progress on Environmental Stewardship,Saumiitha Leelakrishnan,Level Up Your Data Science Skills,"Do you know R helps reduce tailpipe emissions like Carbon, NOX and other emissions. 

 I am Saumiitha Leelakrishnan, mom of 3 kids who cares for our environment, Technical Specialist leading Diagnostics and Emissions Data Analysis projects in Cummins - A 100+ year Engine Manufacturing company. In this talk, I will be sharing how R helps meet global product compliance and deliver solutions that lead to a cleaner environment. You will learn the transition from MATLAB to R and Python, how I utilized R's seamless integration, statistical capabilities, advanced modeling techniques, Quarto, ML algorithms to develop and maintain web applications in Posit Connect. This talk will benefit the Data Science Community with examples of harnessing the power of R.",https://youtu.be/p5yLfENkiyw
Coding in a Cyclone: open-source and the public sector in the birthplace of R,Lee Durbin,Level Up Your Data Science Skills,"When I started working at Te Kaunihera o Tāmaki Makaurau Auckland Council, I knew that R had been invented at the University of Auckland, and I knew that using R for data wrangling was a better way than using Excel. So I set about learning how to code with R, supported by the generosity of the R community and a plethora of freely-available online resources. During my journey, I discovered that a mature data culture is underpinned by three components, but when I was asked to use my data skills to help out during a cyclone, I realised that I was missing one of the three. In this talk I discuss how I reached that point, and what I did about it.",https://youtu.be/PNee28jFRfY
