name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size
Montreal Club Bouncer,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Anisette,,,,,,,,,Pour into old-fashioned glass over ice cubes. Stir.,Old-Fashioned Glass,6 to 8 ounces
Monte Carlo Imperial Highball,Cocktail Classics,2 oz, Gin,1/2 oz, White creme de menthe,1/4 oz, Juice of a Lemon,, Chilled Champagne,,,,,Shake with ice and strain into highball glass over ice cubes. Fill glass with champagne and stir.,Highball Glass,7 to 10 ounces
Irish Shillelagh,Whiskies,1 1/2 oz, Irish Whiskey,1 oz, Light Rum,1/2 oz, Sloe gin,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1," Fresh raspberries and strawberries, 2 peach slices, maraschino cherry","Shake with ice and strain into ice-filled Irish coffee glass. Garnish with berries, peach slices, and cherry.",Irish Coffee Glass,8 to 9 ounces
Melon Cocktail,Cocktail Classics,2 oz, Gin,1/4 oz, Lemon Juice,1/4 oz, Maraschino,,,,,,,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
Martini (Medium),Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,,,,,,,Follow directions for Martini preparation.,,
Martini (Dry) (5-to-1),Cocktail Classics,1 2/3 oz, Gin,1/3 oz, Dry Vermouth,,,,,,,,,Follow directions for Martini preparation.,,
Mamie's Sister,Cocktail Classics,1 oz, Juice of a Lime,2 oz, Gin,, Ginger ale,,,,,,,"Put the juice of one lime and a lime twist into collins glass, and add gin. Fill glass with ginger ale and ice. Stir.",Collins Glass,14 to 16 ounces
Irish Rickey,Whiskies,1 1/2 oz, Irish Whiskey,1/2 oz, Fresh Lime Juice,1 oz, Soda water,1 oz, Lime wedge,,,,,Pour whiskey and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with lime.,Highball Glass,7 to 10 ounces
Maiden's Prayer,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Triple Sec,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Lone Tree Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
London Buck,Cocktail Classics,2 oz, Gin,1/2 oz, Juice of a Lemon,, Ginger ale,,,,,,,Pour gin and lemon juice over ice cubes in highball glass. Fill with ginger ale and stir.,Highball Glass,7 to 10 ounces
Leap Frog Highball,Cocktail Classics,1/2 oz, Juice of a Lemon,2 oz, Gin,, Ginger ale,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces
Incider Cocktail,Whiskies,1 1/2 oz, Rye or bourbon whiskey,4 oz, Apple cider,1 oz, Apple slice,,,,,,,Stir whiskey and apple cider in ice-filled old-fashioned glass. Garnish with apple.,Old-Fashioned Glass,6 to 8 ounces
Kup's Indispensable Cocktail,Cocktail Classics,1/2 oz, Light Vermouth,1/2 oz, Dry Vermouth,1 1/2 oz, Gin,1 oz, Bitters,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Knock-Out Cocktail,Cocktail Classics,1/2 oz, Anisette,3/4 oz, Gin,3/4 oz, Dry Vermouth,1 oz, Creme de Menthe (White),,,,,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
K. G. B. Cocktail,Cocktail Classics,1/2 oz, Kummel,1 1/2 oz, Gin,1/4 oz, Apricot Flavored Brandy,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Imperial Fizz,Whiskies,1 1/2 oz, Bourbon or Rye Whiskey,1/2 oz, Light Rum,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Soda water,,,Shake first four ingredients with ice and strain into ice-filled highball glass. Fill with soda water and stir.,Highball Glass,7 to 10 ounces
Jeyplak Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Sweet Vermouth,1/4 oz, Anisette,,,,,,,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
H. P. W. Cocktail,Cocktail Classics,1 1/2 oz, Dry Vermouth,1 1/2 oz, Sweet Vermouth,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of orange peel.,Cocktail Glass,6 or more ounces
I.A.P.,Whiskies,2 oz, Tennessee whiskey,1/4 oz, Fernet-Branca,3 oz, Cola,,,,,,,Build in ice-filled Collins glass.,Collins Glass,14 to 16 ounces
Hotel Plaza Cocktail,Cocktail Classics,3/4 oz, Sweet Vermouth,3/4 oz, Dry Vermouth,3/4 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass. Decorate with a slice of pineapple.,Cocktail Glass,6 or more ounces
Hoffman House Cocktail,Cocktail Classics,3/4 oz, Dry Vermouth,1 1/2 oz, Gin,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with an olive.,Cocktail Glass,6 or more ounces
Hawaiin Cocktail,Cocktail Classics,2 oz, Gin,1 oz, Pineapple Juice,1/2 oz, Triple Sec,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
White Russian,Vodka,2 oz, Vodka,1 oz, Coffee liqueur,, Milk or half-and-half,,,,,,,Pour vodka and coffee liqueur into ice-filled old-fashioned glass. Fill with milk or half-and-half.,Old-Fashioned Glass,6 to 8 ounces
Greyhound,Cocktail Classics,1 1/2 oz, Gin,5 oz, Grapefruit Juice,,,,,,,,,Pour into highball glass over ice cubes. Stir well.,Highball Glass,7 to 10 ounces
Green Devil,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Green creme de menthe,1 oz, Lime Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with mint leaves.,Old-Fashioned Glass,6 to 8 ounces
Greenback,Cocktail Classics,1 1/2 oz, Gin,1 oz, Green creme de menthe,1 oz, Lemon Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Grapefruit Cocktail,Cocktail Classics,1 oz, Grapefruit Juice,1 oz, Gin,1 oz, Maraschino,,,,,,,Shake with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
Hotel D'alsace,Whiskies,1 oz, Fresh rosemary sprig,2 oz, Irish Whiskey,1/2 oz, Benedictine,1/2 oz, Triple Sec,,,,,Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with remaining half-sprig of rosemary.,Old-Fashioned Glass,6 to 8 ounces
Jamaica Granito,Brandy,1 1/2 oz, Brandy,1 oz, Triple Sec,1 oz, Lemon or Orange Sherbet, Soda water,, Freshly grated nutmeg,,,,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.,Collins Glass,14 to 16 ounces
Gin Sling,Cocktail Classics,1 oz, Powdered Sugar,1 oz, Water,1/2 oz, Juice of a Lemon,2 oz, Gin,,,,,Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Add a twist of orange peel.,Old-Fashioned Glass,6 to 8 ounces
Gin Milk Punch,Cocktail Classics,1 oz, Powdered Sugar,2 oz, Gin,1 oz, Milk,,,,,,,"Shake with ice, strain into collins glass, and sprinkle nutmeg on top.",Collins Glass,14 to 16 ounces
Horse's Neck (With A Kick),Whiskies,1 oz, Wide spiral of lemon zest,2 oz, Bourbon whiskey,1 oz, Ginger ale,,,,,,,Insert the lemon spiral in Collins glass with one end hanging over the rim. Fill glass with ice cubes. Add whiskey. Fill with ginger ale and stir well.,Collins Glass,14 to 16 ounces
Gin and It,Cocktail Classics,2 oz, Gin,1 oz, Sweet Vermouth,,,,,,,,,Stir ingredients in cocktail glass. (No ice is used in this drink.),Cocktail Glass,6 or more ounces
Gin Cocktail,Cocktail Classics,2 oz, Gin,2 oz, Bitters,,,,,,,,,Stir with ice and strain into cocktail glass. Serve with a twist of lemon peel.,Cocktail Glass,6 or more ounces
West Side,Vodka,1 1/2 oz, lemon-flavored vodka,3/4 oz, Fresh lemon juice,1/2 oz, Simple Syrup,6, Fresh mint leaves, Soda water,,,,Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.,Cocktail Glass,6 or more ounces
Gimlet ,Cocktail Classics,1 oz, Lime Juice,1 oz, Powdered Sugar,1 1/2 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Free Silver,Cocktail Classics,1/4 oz, Juice of a Lemon,1/2 oz, Powdered Sugar,1 1/2 oz, Gin,1/2 oz, Dark rum,1 oz, Milk,, Club Soda,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.,Collins Glass,14 to 16 ounces
Frankenjack Cocktail,Cocktail Classics,1 oz, Gin,3/4 oz, Dry Vermouth,1/2 oz, Apricot Flavored Brandy,1 oz, Triple Sec,1/2 oz, Juice of a Lime,1 1/2 oz, Gin & ginger ale,Stir with ice and strain into cocktail glass. Serve with a cherry.,Cocktail Glass,6 or more ounces
Fog Horn,Cocktail Classics,1/2 oz, Juice of a Lime,1 1/2 oz, Gin & ginger ale,2 oz, Gin,1 oz, Triple Sec,,,,,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Add a slice of lime.,Highball Glass,7 to 10 ounces
Flying Dutchman,Cocktail Classics,2 oz, Gin,1 oz, Triple Sec,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6 to 8 ounces
Hoot Mon Cocktail,Whiskies,1 1/2 oz, Blended Scotch Whiskey,3/4 oz, Sweet Vermouth,1 oz, Benedictine,, Lemon twist,,,,,Stir with ice and strain into chilled cocktail glass. Add lemon twist.,Cocktail Glass,6 or more ounces
Fifty-Fifty Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Dry Vermouth,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Favorite Cocktail,Cocktail Classics,3/4 oz, Apricot Flavored Brandy,3/4 oz, Dry Vermouth,3/4 oz, Gin,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Farmer's Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,2 oz, Bitters,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Warsaw Cocktail,Vodka,1 1/2 oz, Vodka,1/2 oz, Blackberry-flavored brandy,1/2 oz, Dry Vermouth,1 oz, Fresh lemon juice,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Emerald Isle Cocktail,Cocktail Classics,2 oz, Gin,1 oz, Green creme de menthe,3 oz, Bitters,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Du Barry Cocktail,Cocktail Classics,1 oz, Bitters,3/4 oz, Dry Vermouth,1/2 oz, Anisette,1 1/2 oz, Gin,,,,,Stir with ice and strain into cocktail glass. Add a slice of orange.,Cocktail Glass,6 or more ounces
Dry Martini (5-to-1),Cocktail Classics,1 2/3 oz, Gin,1/3 oz, Dry Vermouth,,,,,,,,,"Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Serve with a twist of lemon peel or olive, if desired.",Cocktail Glass,6 or more ounces
Dixie Cocktail,Cocktail Classics,1/4 oz, Juice of Orange,1 oz, Anisette,1/2 oz, Dry Vermouth,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Delmonico No. 2,Cocktail Classics,1 oz, Orange Bitters,1 oz, Dry Vermouth,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass. Add a twist of lemon peel.,Cocktail Glass,6 or more ounces
Hole-In-One,Whiskies,1 3/4 oz,Blended Scotch Whiskey,3/4 oz, Dry Vermouth,1/4 oz, Fresh lemon juice,1 oz, Orange Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Vodka Stinger,Vodka,1 oz, Vodka,1 oz, White creme de menthe,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6 or more ounces
Caruso,Cocktail Classics,1 1/2 oz, Gin,1 oz, Dry Vermouth,1/2 oz, Green creme de menthe,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Bulldog Highball,Cocktail Classics,1/2 oz, Juice of Orange,2 oz, Gin,, Ginger ale,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7 to 10 ounces
Brown Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Light Rum,3/4 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Bronx Terrace Cocktail,Cocktail Classics,1 1/2 oz, Gin,1 1/2 oz, Dry Vermouth,1/2 oz, Juice of a Lime,,,,,,,Shake with  ice and strain into cocktail glass. Add a cherry.,Cocktail Glass,6 or more ounces
Bronx Cocktail (Dry),Cocktail Classics,1 oz, Gin,1 oz, Dry Vermouth,1/4 oz, Juice of Orange,,,,,,,Shake with ice and strain into cocktail glass. Serve with a slice of orange.,Cocktail Glass,6 or more ounces
Hill Dog,Whiskies,1 1/2 oz, White whiskey,1/2 oz, Grand Marnier,1/2 oz, Dry Sherry,1/2 oz, Lavender Syrup, Orange twist,,,,Stir with ice and strain into chilled cocktail glass. Add orange twist.,Cocktail Glass,6 or more ounces
Blue Devil Cocktail,Cocktail Classics,1 oz, Gin,1/2 or 1 ,Juice of Lemon or Lime,1 oz, Maraschino,1/2 oz, Blue curacao,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Blue Canary,Cocktail Classics,3/4 oz, Gin,3 oz, Grapefruit Juice,1 oz, Blue curacao,,,,,,,Combine ingredients with ice in mixing glass and stir gently. Strain into chilled cocktail glass filled with crushed ice. Garnish with a mint sprig.,Cocktail Glass,6 or more ounces
Blue Bird,Cocktail Classics,1 1/2 oz, Gin,1/2 oz, Triple Sec,1 oz, Bitters,,,,,,,Stir with ice cubes and strain into cocktail glass. Add a twist of lemon peel and a cherry.,Cocktail Glass,6 or more ounces
Bloodhound Cocktail,Cocktail Classics,1/2 oz, Dry Vermouth,1/2 oz, Sweet Vermouth,1 oz, Gin,,,,,,,Shake with ice and strain into cocktail glass. Decorate with two or three crushed strawberries.,Cocktail Glass,6 or more ounces
Billy Taylor,Cocktail Classics,1/2 oz, Juice of a Lime,2 oz, Gin,, Club Soda,,,,,,,Fill collins glass with club soda and ice cubes. Stir in lime juice and gin.,Collins Glass,14 to 16 ounces
Bijou Cocktail,Cocktail Classics,3/4 oz, Gin,3/4 oz, Green Chartreuse,3/4 oz, Sweet Vermouth,1 oz, Orange Bitters,,,,,Stir with ice and strain into cocktail glass. Add a cherry on top.,Cocktail Glass,6 or more ounces
Bermuda Rose ,Cocktail Classics,1 1/4 oz, Gin,1 1/2 oz, Apricot Flavored Brandy,1 1/2 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6 or more ounces
Vodka Sour,Vodka,2 oz, Vodka,2 oz, Vodka,3/4 oz, Fresh lemon juice,3/4 oz, Simple Syrup," Lemon half-wheel, maraschino cherry",,,,Shake with ice and strain into chilled cocktail glass. Garnish with lemon and cherry.,Cocktail Glass,6 or more ounces
