name,category,row_id,ingredient_number,ingredient,measure
Why Not?,Cocktail Classics,16,2,Apricot Flavored Brandy,1 oz
Why Not?,Cocktail Classics,16,3,Dry Vermouth,1/2 oz
Why Not?,Cocktail Classics,16,4,Lemon Juice,1 oz
Amaretto Stinger,Cordials and Liqueurs,17,1,Amaretto,1 1/2 oz
Amaretto Stinger,Cordials and Liqueurs,17,2,White creme de menthe,3/4 oz
What The Hell,Cocktail Classics,18,1,Gin,1 oz
What The Hell,Cocktail Classics,18,2,Dry Vermouth,1 oz
What The Hell,Cocktail Classics,18,3,Apricot Flavored Brandy,1 oz
What The Hell,Cocktail Classics,18,4,Lemon Juice,1 oz
Webster Cocktail,Cocktail Classics,19,1,Juice of a Lime,1/2 oz
Webster Cocktail,Cocktail Classics,19,2,Apricot Flavored Brandy,1 1/2 oz
Webster Cocktail,Cocktail Classics,19,3,Dry Vermouth,1/2 oz
Webster Cocktail,Cocktail Classics,19,4,Gin,1 oz
Union Jack Cocktail,Cocktail Classics,20,1,Sloe gin,3/4 oz
Union Jack Cocktail,Cocktail Classics,20,2,Gin,1 1/2 oz
Union Jack Cocktail,Cocktail Classics,20,3,Grenadine,1/2 oz
Jocose Julep,Whiskies,21,1,Bourbon whiskey,2 1/2 oz
Jocose Julep,Whiskies,21,2,Green creme de menthe,1/2 oz
Jocose Julep,Whiskies,21,3,Fresh Lime Juice,1 oz
Jocose Julep,Whiskies,21,4,Simple Syrup,1/2 oz
Jocose Julep,Whiskies,21,5,Fresh mint leaves,5 oz
Trinity Cocktail,Cocktail Classics,22,1,Sweet Vermouth,3/4 oz
Trinity Cocktail,Cocktail Classics,22,2,Dry Vermouth,3/4 oz
Trinity Cocktail,Cocktail Classics,22,3,Gin,3/4 oz
Three Stripes Cocktail,Cocktail Classics,23,1,Gin,1 oz
Three Stripes Cocktail,Cocktail Classics,23,2,Dry Vermouth,1/2 oz
Three Stripes Cocktail,Cocktail Classics,23,3,Orange Juice,1 oz
Tanq-A-Rita,Cocktail Classics,24,1,Tanqueray gin,1 1/2 oz
Tanq-A-Rita,Cocktail Classics,24,2,Margarita Mix,3 oz
Tanq-A-Rita,Cocktail Classics,24,3,Triple Sec,1 oz
Amaretto Sour,Cordials and Liqueurs,25,1,Amaretto,1 1/2 oz
Amaretto Sour,Cordials and Liqueurs,25,2,Fresh lemon juice,3/4 oz
Amaretto Sour,Cordials and Liqueurs,25,3,Simple Syrup,1/2 oz
Amaretto Sour,Cordials and Liqueurs,25,4,Orange half-wheel,1
Tailspin Cocktail,Cocktail Classics,26,1,Gin,3/4 oz
Tailspin Cocktail,Cocktail Classics,26,2,Sweet Vermouth,3/4 oz
Tailspin Cocktail,Cocktail Classics,26,3,Green Chartreuse,3/4 oz
Tailspin Cocktail,Cocktail Classics,26,4,Orange Bitters,1 oz
Sweet Patootie Cocktail,Cocktail Classics,27,1,Gin,1 oz
Sweet Patootie Cocktail,Cocktail Classics,27,2,Triple Sec,1/2 oz
Sweet Patootie Cocktail,Cocktail Classics,27,3,Orange Juice,1 oz
Sunshine Cocktail,Cocktail Classics,28,1,Sweet Vermouth,3/4 oz
Sunshine Cocktail,Cocktail Classics,28,2,Gin,1 1/2 oz
Sunshine Cocktail,Cocktail Classics,28,3,Bitters,1 oz
Spring Feeling Cocktail,Cocktail Classics,29,1,Lemon Juice,1 oz
Spring Feeling Cocktail,Cocktail Classics,29,2,Green Chartreuse,1/2 oz
Spring Feeling Cocktail,Cocktail Classics,29,3,Gin,1 oz
Sphinx Cocktail,Cocktail Classics,30,1,Gin,1 1/2 oz
Sphinx Cocktail,Cocktail Classics,30,2,Sweet Vermouth,1 1/2 oz
Sphinx Cocktail,Cocktail Classics,30,3,Dry Vermouth,1 1/2 oz
Jitterbug Sour,Whiskies,31,1,Straight rye whiskey,2 oz
Jitterbug Sour,Whiskies,31,2,Benedictine,1/2 oz
Jitterbug Sour,Whiskies,31,3,Fresh lemon juice,3/4 oz
Jitterbug Sour,Whiskies,31,4,Honey Syrup,1/2 oz
Jitterbug Sour,Whiskies,31,5,Egg White,1 oz
Jitterbug Sour,Whiskies,31,6,Angostura Bitters,1 dash
Southern Gin Cocktail,Cocktail Classics,32,1,Gin,2 oz
Southern Gin Cocktail,Cocktail Classics,32,2,Orange Bitters,2 oz
Southern Gin Cocktail,Cocktail Classics,32,3,Triple Sec,1/2 oz
Society Cocktail,Cocktail Classics,33,1,Gin,1 1/2 oz
Society Cocktail,Cocktail Classics,33,2,Dry Vermouth,3/4 oz
Society Cocktail,Cocktail Classics,33,3,Grenadine,1/4 oz
Snyder,Cocktail Classics,34,1,Gin,1 1/2 oz
Snyder,Cocktail Classics,34,2,Dry Vermouth,1/2 oz
Snyder,Cocktail Classics,34,3,Triple Sec,1/2 oz
Smiler Cocktail,Cocktail Classics,35,1,Sweet Vermouth,1/2 oz
Smiler Cocktail,Cocktail Classics,35,2,Dry Vermouth,1/2 oz
Smiler Cocktail,Cocktail Classics,35,3,Gin,1 oz
Smiler Cocktail,Cocktail Classics,35,4,Bitters,1 oz
Smiler Cocktail,Cocktail Classics,35,5,Orange Juice,1/4 oz
Smile Cocktail,Cocktail Classics,36,1,Grenadine,1 oz
Smile Cocktail,Cocktail Classics,36,2,Gin,1 oz
Smile Cocktail,Cocktail Classics,36,3,Lemon Juice,1/2 oz
Amaretto Rose,Cordials and Liqueurs,37,1,Amaretto,1 1/2 oz
Amaretto Rose,Cordials and Liqueurs,37,2,Fresh lemon juice,1/2 oz
Amaretto Rose,Cordials and Liqueurs,37,3,Simple Syrup,1/2 oz
Sand-Martin Cocktail,Cocktail Classics,38,1,Green Chartreuse,1 oz
Sand-Martin Cocktail,Cocktail Classics,38,2,Sweet Vermouth,1 1/2 oz
Sand-Martin Cocktail,Cocktail Classics,38,3,Gin,1 1/2 oz
Irish Whiskey Highball,Whiskies,39,1,Irish Whiskey,2 oz
Irish Whiskey Highball,Whiskies,39,2,Ginger ale or soda water,1 oz
Irish Whiskey Highball,Whiskies,39,3,Lemon twist (optional),1 oz
Japanese,Brandy,40,1,Brandy,2 oz
Japanese,Brandy,40,2,orgeat or almond syrup,1/2 oz
Japanese,Brandy,40,3,Angostura Bitters,2 oz
Roselyn Cocktail,Cocktail Classics,41,1,Dry Vermouth,3/4 oz
Roselyn Cocktail,Cocktail Classics,41,2,Gin,1 1/2 oz
Roselyn Cocktail,Cocktail Classics,41,3,Grenadine,1/2 oz
Resolute Cocktail,Cocktail Classics,42,1,Juice of a Lemon,1/4 oz
Resolute Cocktail,Cocktail Classics,42,2,Apricot Flavored Brandy,1/2 oz
Resolute Cocktail,Cocktail Classics,42,3,Gin,1 oz
Racquet Club Cocktail,Cocktail Classics,43,1,Gin,1 1/2 oz
Racquet Club Cocktail,Cocktail Classics,43,2,Dry Vermouth,3/4 oz
Racquet Club Cocktail,Cocktail Classics,43,3,Orange Bitters,1 oz
Amaretto And Cream,Cordials and Liqueurs,44,1,Amaretto,1 1/2 oz
Amaretto And Cream,Cordials and Liqueurs,44,2,half-and-half,1 1/2 oz
Pollyanna Cocktai,Cocktail Classics,45,1,Orange,3 oz
Pollyanna Cocktai,Cocktail Classics,45,2,Pineapple,3 oz
Pollyanna Cocktai,Cocktail Classics,45,3,Gin,2 oz
Pollyanna Cocktai,Cocktail Classics,45,4,Sweet Vermouth,1/2 oz
Pollyanna Cocktai,Cocktail Classics,45,5,Grenadine,1/2 oz
Plaza Cocktail,Cocktail Classics,46,1,Sweet Vermouth,3/4 oz
Plaza Cocktail,Cocktail Classics,46,2,Dry Vermouth,3/4 oz
Plaza Cocktail,Cocktail Classics,46,3,Gin,3/4 oz
Irish Whiskey Cocktail,Whiskies,47,1,Irish Whiskey,2 oz
Irish Whiskey Cocktail,Whiskies,47,2,Triple Sec,1/2 oz
Irish Whiskey Cocktail,Whiskies,47,3,Anisette,1/2 oz
Irish Whiskey Cocktail,Whiskies,47,4,Maraschino liqueur,1/4 oz
Irish Whiskey Cocktail,Whiskies,47,5,Angostura Bitters,1 oz
Irish Whiskey Cocktail,Whiskies,47,6,Green olive,1
Absinthe Special Cocktail,Cordials and Liqueurs,48,1,Absinthe,1 1/2 oz
Absinthe Special Cocktail,Cordials and Liqueurs,48,2,Simple Syrup,1/4 oz
Absinthe Special Cocktail,Cordials and Liqueurs,48,3,Orange Bitters,1 oz
Nineteenth Hole,Cocktail Classics,49,1,Gin,1 1/2 oz
Nineteenth Hole,Cocktail Classics,49,2,Dry Vermouth,1 oz
Nineteenth Hole,Cocktail Classics,49,3,Sweet Vermouth,1 oz
Nineteenth Hole,Cocktail Classics,49,4,Bitters,1 oz
Montreal Club Bouncer,Cocktail Classics,50,1,Gin,1 1/2 oz
Montreal Club Bouncer,Cocktail Classics,50,2,Anisette,1/2 oz
Monte Carlo Imperial Highball,Cocktail Classics,51,1,Gin,2 oz
Monte Carlo Imperial Highball,Cocktail Classics,51,2,White creme de menthe,1/2 oz
Monte Carlo Imperial Highball,Cocktail Classics,51,3,Juice of a Lemon,1/4 oz
Irish Shillelagh,Whiskies,52,1,Irish Whiskey,1 1/2 oz
Irish Shillelagh,Whiskies,52,2,Light Rum,1 oz
Irish Shillelagh,Whiskies,52,3,Sloe gin,1/2 oz
Irish Shillelagh,Whiskies,52,4,Fresh lemon juice,1 oz
Irish Shillelagh,Whiskies,52,5,Simple Syrup,1/2 oz
Irish Shillelagh,Whiskies,52,6,"Fresh raspberries and strawberries, 2 peach slices, maraschino cherry",1
Melon Cocktail,Cocktail Classics,53,1,Gin,2 oz
Melon Cocktail,Cocktail Classics,53,2,Lemon Juice,1/4 oz
Melon Cocktail,Cocktail Classics,53,3,Maraschino,1/4 oz
Martini (Medium),Cocktail Classics,54,1,Gin,1 1/2 oz
Martini (Medium),Cocktail Classics,54,2,Dry Vermouth,1/2 oz
Martini (Medium),Cocktail Classics,54,3,Sweet Vermouth,1/2 oz
Martini (Dry) (5-to-1),Cocktail Classics,55,1,Gin,1 2/3 oz
Martini (Dry) (5-to-1),Cocktail Classics,55,2,Dry Vermouth,1/3 oz
Mamie's Sister,Cocktail Classics,56,1,Juice of a Lime,1 oz
Mamie's Sister,Cocktail Classics,56,2,Gin,2 oz
Irish Rickey,Whiskies,57,1,Irish Whiskey,1 1/2 oz
Irish Rickey,Whiskies,57,2,Fresh Lime Juice,1/2 oz
Irish Rickey,Whiskies,57,3,Soda water,1 oz
Irish Rickey,Whiskies,57,4,Lime wedge,1 oz
Maiden's Prayer,Cocktail Classics,58,1,Gin,1 1/2 oz
Maiden's Prayer,Cocktail Classics,58,2,Triple Sec,1/2 oz
Maiden's Prayer,Cocktail Classics,58,3,Lemon Juice,1 oz
Lone Tree Cocktail,Cocktail Classics,59,1,Sweet Vermouth,3/4 oz
Lone Tree Cocktail,Cocktail Classics,59,2,Gin,1 1/2 oz
London Buck,Cocktail Classics,60,1,Gin,2 oz
London Buck,Cocktail Classics,60,2,Juice of a Lemon,1/2 oz
Leap Frog Highball,Cocktail Classics,61,1,Juice of a Lemon,1/2 oz
Leap Frog Highball,Cocktail Classics,61,2,Gin,2 oz
Incider Cocktail,Whiskies,62,1,Rye or bourbon whiskey,1 1/2 oz
Incider Cocktail,Whiskies,62,2,Apple cider,4 oz
Incider Cocktail,Whiskies,62,3,Apple slice,1 oz
Kup's Indispensable Cocktail,Cocktail Classics,63,1,Light Vermouth,1/2 oz
Kup's Indispensable Cocktail,Cocktail Classics,63,2,Dry Vermouth,1/2 oz
Kup's Indispensable Cocktail,Cocktail Classics,63,3,Gin,1 1/2 oz
Kup's Indispensable Cocktail,Cocktail Classics,63,4,Bitters,1 oz
Knock-Out Cocktail,Cocktail Classics,64,1,Anisette,1/2 oz
Knock-Out Cocktail,Cocktail Classics,64,2,Gin,3/4 oz
Knock-Out Cocktail,Cocktail Classics,64,3,Dry Vermouth,3/4 oz
Knock-Out Cocktail,Cocktail Classics,64,4,Creme de Menthe (White),1 oz
K. G. B. Cocktail,Cocktail Classics,65,1,Kummel,1/2 oz
K. G. B. Cocktail,Cocktail Classics,65,2,Gin,1 1/2 oz
K. G. B. Cocktail,Cocktail Classics,65,3,Apricot Flavored Brandy,1/4 oz
K. G. B. Cocktail,Cocktail Classics,65,4,Lemon Juice,1/4 oz
Imperial Fizz,Whiskies,66,1,Bourbon or Rye Whiskey,1 1/2 oz
Imperial Fizz,Whiskies,66,2,Light Rum,1/2 oz
Imperial Fizz,Whiskies,66,3,Fresh lemon juice,1 oz
Imperial Fizz,Whiskies,66,4,Simple Syrup,1/2 oz
Imperial Fizz,Whiskies,66,5,Soda water,1 oz
Jeyplak Cocktail,Cocktail Classics,67,1,Gin,1 1/2 oz
Jeyplak Cocktail,Cocktail Classics,67,2,Sweet Vermouth,3/4 oz
Jeyplak Cocktail,Cocktail Classics,67,3,Anisette,1/4 oz
H. P. W. Cocktail,Cocktail Classics,68,1,Dry Vermouth,1 1/2 oz
H. P. W. Cocktail,Cocktail Classics,68,2,Sweet Vermouth,1 1/2 oz
H. P. W. Cocktail,Cocktail Classics,68,3,Gin,1 1/2 oz
I.A.P.,Whiskies,69,1,Tennessee whiskey,2 oz
I.A.P.,Whiskies,69,2,Fernet-Branca,1/4 oz
I.A.P.,Whiskies,69,3,Cola,3 oz
Hotel Plaza Cocktail,Cocktail Classics,70,1,Sweet Vermouth,3/4 oz
Hotel Plaza Cocktail,Cocktail Classics,70,2,Dry Vermouth,3/4 oz
Hotel Plaza Cocktail,Cocktail Classics,70,3,Gin,3/4 oz
Hoffman House Cocktail,Cocktail Classics,71,1,Dry Vermouth,3/4 oz
Hoffman House Cocktail,Cocktail Classics,71,2,Gin,1 1/2 oz
Hawaiin Cocktail,Cocktail Classics,72,1,Gin,2 oz
Hawaiin Cocktail,Cocktail Classics,72,2,Pineapple Juice,1 oz
Hawaiin Cocktail,Cocktail Classics,72,3,Triple Sec,1/2 oz
White Russian,Vodka,73,1,Vodka,2 oz
White Russian,Vodka,73,2,Coffee liqueur,1 oz
Greyhound,Cocktail Classics,74,1,Gin,1 1/2 oz
Greyhound,Cocktail Classics,74,2,Grapefruit Juice,5 oz
Green Devil,Cocktail Classics,75,1,Gin,1 1/2 oz
Green Devil,Cocktail Classics,75,2,Green creme de menthe,1 1/2 oz
Green Devil,Cocktail Classics,75,3,Lime Juice,1 oz
Greenback,Cocktail Classics,76,1,Gin,1 1/2 oz
Greenback,Cocktail Classics,76,2,Green creme de menthe,1 oz
Greenback,Cocktail Classics,76,3,Lemon Juice,1 oz
Grapefruit Cocktail,Cocktail Classics,77,1,Grapefruit Juice,1 oz
Grapefruit Cocktail,Cocktail Classics,77,2,Gin,1 oz
Grapefruit Cocktail,Cocktail Classics,77,3,Maraschino,1 oz
Hotel D'alsace,Whiskies,78,1,Fresh rosemary sprig,1 oz
Hotel D'alsace,Whiskies,78,2,Irish Whiskey,2 oz
Hotel D'alsace,Whiskies,78,3,Benedictine,1/2 oz
Hotel D'alsace,Whiskies,78,4,Triple Sec,1/2 oz
Jamaica Granito,Brandy,79,1,Brandy,1 1/2 oz
Jamaica Granito,Brandy,79,2,Triple Sec,1 oz
Jamaica Granito,Brandy,79,3,Lemon or Orange Sherbet,1 oz
Gin Sling,Cocktail Classics,80,1,Powdered Sugar,1 oz
Gin Sling,Cocktail Classics,80,2,Water,1 oz
Gin Sling,Cocktail Classics,80,3,Juice of a Lemon,1/2 oz
Gin Sling,Cocktail Classics,80,4,Gin,2 oz
Gin Milk Punch,Cocktail Classics,81,1,Powdered Sugar,1 oz
Gin Milk Punch,Cocktail Classics,81,2,Gin,2 oz
Gin Milk Punch,Cocktail Classics,81,3,Milk,1 oz
Horse's Neck (With A Kick),Whiskies,82,1,Wide spiral of lemon zest,1 oz
Horse's Neck (With A Kick),Whiskies,82,2,Bourbon whiskey,2 oz
Horse's Neck (With A Kick),Whiskies,82,3,Ginger ale,1 oz
Gin and It,Cocktail Classics,83,1,Gin,2 oz
Gin and It,Cocktail Classics,83,2,Sweet Vermouth,1 oz
Gin Cocktail,Cocktail Classics,84,1,Gin,2 oz
Gin Cocktail,Cocktail Classics,84,2,Bitters,2 oz
West Side,Vodka,85,1,lemon-flavored vodka,1 1/2 oz
West Side,Vodka,85,2,Fresh lemon juice,3/4 oz
West Side,Vodka,85,3,Simple Syrup,1/2 oz
West Side,Vodka,85,4,Fresh mint leaves,6
Gimlet,Cocktail Classics,86,1,Lime Juice,1 oz
Gimlet,Cocktail Classics,86,2,Powdered Sugar,1 oz
Gimlet,Cocktail Classics,86,3,Gin,1 1/2 oz
Free Silver,Cocktail Classics,87,1,Juice of a Lemon,1/4 oz
Free Silver,Cocktail Classics,87,2,Powdered Sugar,1/2 oz
Free Silver,Cocktail Classics,87,3,Gin,1 1/2 oz
Free Silver,Cocktail Classics,87,4,Dark rum,1/2 oz
Free Silver,Cocktail Classics,87,5,Milk,1 oz
Frankenjack Cocktail,Cocktail Classics,88,1,Gin,1 oz
Frankenjack Cocktail,Cocktail Classics,88,2,Dry Vermouth,3/4 oz
Frankenjack Cocktail,Cocktail Classics,88,3,Apricot Flavored Brandy,1/2 oz
Frankenjack Cocktail,Cocktail Classics,88,4,Triple Sec,1 oz
Frankenjack Cocktail,Cocktail Classics,88,5,Juice of a Lime,1/2 oz
Frankenjack Cocktail,Cocktail Classics,88,6,Gin & ginger ale,1 1/2 oz
Fog Horn,Cocktail Classics,89,1,Juice of a Lime,1/2 oz
Fog Horn,Cocktail Classics,89,2,Gin & ginger ale,1 1/2 oz
Fog Horn,Cocktail Classics,89,3,Gin,2 oz
Fog Horn,Cocktail Classics,89,4,Triple Sec,1 oz
Flying Dutchman,Cocktail Classics,90,1,Gin,2 oz
Flying Dutchman,Cocktail Classics,90,2,Triple Sec,1 oz
Hoot Mon Cocktail,Whiskies,91,1,Blended Scotch Whiskey,1 1/2 oz
Hoot Mon Cocktail,Whiskies,91,2,Sweet Vermouth,3/4 oz
Hoot Mon Cocktail,Whiskies,91,3,Benedictine,1 oz
Fifty-Fifty Cocktail,Cocktail Classics,92,1,Gin,1 1/2 oz
Fifty-Fifty Cocktail,Cocktail Classics,92,2,Dry Vermouth,1 1/2 oz
Favorite Cocktail,Cocktail Classics,93,1,Apricot Flavored Brandy,3/4 oz
Favorite Cocktail,Cocktail Classics,93,2,Dry Vermouth,3/4 oz
Favorite Cocktail,Cocktail Classics,93,3,Gin,3/4 oz
Favorite Cocktail,Cocktail Classics,93,4,Lemon Juice,1/4 oz
Farmer's Cocktail,Cocktail Classics,94,1,Gin,1 oz
Farmer's Cocktail,Cocktail Classics,94,2,Dry Vermouth,1/2 oz
Farmer's Cocktail,Cocktail Classics,94,3,Sweet Vermouth,1/2 oz
Farmer's Cocktail,Cocktail Classics,94,4,Bitters,2 oz
Warsaw Cocktail,Vodka,95,1,Vodka,1 1/2 oz
Warsaw Cocktail,Vodka,95,2,Blackberry-flavored brandy,1/2 oz
Warsaw Cocktail,Vodka,95,3,Dry Vermouth,1/2 oz
Warsaw Cocktail,Vodka,95,4,Fresh lemon juice,1 oz
Emerald Isle Cocktail,Cocktail Classics,96,1,Gin,2 oz
Emerald Isle Cocktail,Cocktail Classics,96,2,Green creme de menthe,1 oz
Emerald Isle Cocktail,Cocktail Classics,96,3,Bitters,3 oz
Du Barry Cocktail,Cocktail Classics,97,1,Bitters,1 oz
Du Barry Cocktail,Cocktail Classics,97,2,Dry Vermouth,3/4 oz
Du Barry Cocktail,Cocktail Classics,97,3,Anisette,1/2 oz
Du Barry Cocktail,Cocktail Classics,97,4,Gin,1 1/2 oz
Dry Martini (5-to-1),Cocktail Classics,98,1,Gin,1 2/3 oz
Dry Martini (5-to-1),Cocktail Classics,98,2,Dry Vermouth,1/3 oz
Dixie Cocktail,Cocktail Classics,99,1,Juice of Orange,1/4 oz
Dixie Cocktail,Cocktail Classics,99,2,Anisette,1 oz
Dixie Cocktail,Cocktail Classics,99,3,Dry Vermouth,1/2 oz
Dixie Cocktail,Cocktail Classics,99,4,Gin,1 oz
Delmonico No. 2,Cocktail Classics,100,1,Orange Bitters,1 oz
Delmonico No. 2,Cocktail Classics,100,2,Dry Vermouth,1 oz
Delmonico No. 2,Cocktail Classics,100,3,Gin,1 1/2 oz
Hole-In-One,Whiskies,101,1,Blended Scotch Whiskey,1 3/4 oz
Hole-In-One,Whiskies,101,2,Dry Vermouth,3/4 oz
Hole-In-One,Whiskies,101,3,Fresh lemon juice,1/4 oz
Hole-In-One,Whiskies,101,4,Orange Bitters,1 oz
Vodka Stinger,Vodka,102,1,Vodka,1 oz
Vodka Stinger,Vodka,102,2,White creme de menthe,1 oz
Caruso,Cocktail Classics,103,1,Gin,1 1/2 oz
Caruso,Cocktail Classics,103,2,Dry Vermouth,1 oz
Caruso,Cocktail Classics,103,3,Green creme de menthe,1/2 oz
Bulldog Highball,Cocktail Classics,104,1,Juice of Orange,1/2 oz
Bulldog Highball,Cocktail Classics,104,2,Gin,2 oz
Brown Cocktail,Cocktail Classics,105,1,Gin,3/4 oz
Brown Cocktail,Cocktail Classics,105,2,Light Rum,3/4 oz
Brown Cocktail,Cocktail Classics,105,3,Dry Vermouth,3/4 oz
Bronx Terrace Cocktail,Cocktail Classics,106,1,Gin,1 1/2 oz
Bronx Terrace Cocktail,Cocktail Classics,106,2,Dry Vermouth,1 1/2 oz
Bronx Terrace Cocktail,Cocktail Classics,106,3,Juice of a Lime,1/2 oz
Bronx Cocktail (Dry),Cocktail Classics,107,1,Gin,1 oz
Bronx Cocktail (Dry),Cocktail Classics,107,2,Dry Vermouth,1 oz
Bronx Cocktail (Dry),Cocktail Classics,107,3,Juice of Orange,1/4 oz
Hill Dog,Whiskies,108,1,White whiskey,1 1/2 oz
Hill Dog,Whiskies,108,2,Grand Marnier,1/2 oz
Hill Dog,Whiskies,108,3,Dry Sherry,1/2 oz
Hill Dog,Whiskies,108,4,Lavender Syrup,1/2 oz
Blue Devil Cocktail,Cocktail Classics,109,1,Gin,1 oz
Blue Devil Cocktail,Cocktail Classics,109,2,Juice of Lemon or Lime,1/2 or 1
Blue Devil Cocktail,Cocktail Classics,109,3,Maraschino,1 oz
Blue Devil Cocktail,Cocktail Classics,109,4,Blue curacao,1/2 oz
Blue Canary,Cocktail Classics,110,1,Gin,3/4 oz
Blue Canary,Cocktail Classics,110,2,Grapefruit Juice,3 oz
Blue Canary,Cocktail Classics,110,3,Blue curacao,1 oz
Blue Bird,Cocktail Classics,111,1,Gin,1 1/2 oz
Blue Bird,Cocktail Classics,111,2,Triple Sec,1/2 oz
Blue Bird,Cocktail Classics,111,3,Bitters,1 oz
Bloodhound Cocktail,Cocktail Classics,112,1,Dry Vermouth,1/2 oz
Bloodhound Cocktail,Cocktail Classics,112,2,Sweet Vermouth,1/2 oz
Bloodhound Cocktail,Cocktail Classics,112,3,Gin,1 oz
Billy Taylor,Cocktail Classics,113,1,Juice of a Lime,1/2 oz
Billy Taylor,Cocktail Classics,113,2,Gin,2 oz
Bijou Cocktail,Cocktail Classics,114,1,Gin,3/4 oz
Bijou Cocktail,Cocktail Classics,114,2,Green Chartreuse,3/4 oz
Bijou Cocktail,Cocktail Classics,114,3,Sweet Vermouth,3/4 oz
Bijou Cocktail,Cocktail Classics,114,4,Orange Bitters,1 oz
Bermuda Rose,Cocktail Classics,115,1,Gin,1 1/4 oz
Bermuda Rose,Cocktail Classics,115,2,Apricot Flavored Brandy,1 1/2 oz
Bermuda Rose,Cocktail Classics,115,3,Grenadine,1 1/2 oz
Vodka Sour,Vodka,116,1,Vodka,2 oz
Vodka Sour,Vodka,116,2,Vodka,2 oz
Vodka Sour,Vodka,116,3,Fresh lemon juice,3/4 oz
