,strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
22,A midsummernight dream,2016-04-28 19:14:52,15675,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,,Vodka,,,,,,,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",2 oz ,"
",,,,,,1 oz ,1 tsp ,5 ,"
","
","
","
","
",
23,A. J.,2016-09-02 11:16:58,11002,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Cocktail glass,,Applejack,,,,,,,Grapefruit juice,,,,,,,,"Shake ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 oz , , , , , ,,,
24,A.D.M. (After Dinner Mint),2016-08-31 19:53:20,14560,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,,White Creme de Menthe,,,,,,,Southern Comfort,Vodka,Hot chocolate,,,,,,shake vigorously,1/2 oz ,,,,,,,3/4 oz ,1/2 oz ,Fill with , , , , , ,
25,A1,2017-09-07 21:42:09,17222,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,,Gin,,,,,,,Grand Marnier,Lemon Juice,Grenadine,,,,,,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",1 3/4 shot ,,,,,,,1 Shot ,1/4 Shot,1/8 Shot,"
","
","
",,,
26,ABC,2016-08-31 19:32:08,13501,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot glass,,Amaretto,,,,,,,Bailey's irish cream,Cognac,,,,,,,Layered in a shot glass.,1/3 ,,,,,,,1/3 ,1/3 , , , , , ,,
27,ACID,2016-11-15 11:28:37,14610,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot glass,,151 proof rum,,,,,,,Wild Turkey,,,,,,,,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,1 oz Bacardi ,,,,,,,1 oz , , , , , ,,,
28,AT&T,2017-04-24 22:00:19,13938,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,,Absolut Vodka,,,,,,,Gin,Tonic water,,,,,,,"Pour Vodka and Gin over ice, add Tonic and Stir",1 oz ,,,,,,,1 oz ,4 oz , , , , , ,,
29,Abbey Cocktail,2016-09-02 11:19:28,11003,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Cocktail glass,,Gin,,,,,,,Orange bitters,Orange,Cherry,,,,,,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,1 1/2 oz ,,,,,,,1 dash ,Juice of 1/4 ,1 , , , , , ,
30,Abbey Martini,2017-09-07 21:50:03,17223,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail glass,,Gin,,,,,,,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",2 shots ,,,,,,,1 shot ,1 shot ,3 dashes ,"
","
","
",,,
31,Abilene,2016-04-29 09:44:25,11004,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Highball glass,,Dark rum,,,,,,,Peach nectar,Orange juice,,,,,,,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,1 1/2 oz ,,,,,,,2 oz ,3 oz , , , , , ,,
32,Absinthe #2,2016-08-31 19:13:17,12790,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,,Vodka,,,,,,,Sugar,Anise,Licorice root,Wormwood,,,,,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",1 bottle , ,,,,,,50 gr ,50 ml pure ,1 tblsp ,1 , , , , ,
33,Absolut Evergreen,2016-09-02 11:36:49,14374,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,,Absolut Citron,,,,,,,Pisang Ambon,Ice,Bitter lemon,,,,,,"Mix, pour over ice and top up with Bitter Lemon.",2/3 part ,,,,,,,1/3 part ," cubes
","
","
","
","
","
","
",
34,Absolut Sex,2016-08-31 19:33:56,14360,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Old-fashioned glass,,Absolut Kurant,,,,,,,Midori melon liqueur,Cranberry juice,Sprite,,,,,,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",3/4 oz ,,,,,,,3/4 oz ,1 oz ,1 splash , , , , , ,
35,Absolut Stress #2,2016-09-02 11:23:45,15597,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,,Absolut Vodka,,,,,,,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,Mix well. Garnish with Orange and Cherry. Enjoy,1 1/2 oz , ,,,,,,1/2 oz ,1/2 oz ,1 1/2 oz ,1 1/2 oz , , , , ,
36,Absolut Summertime,2016-08-31 19:54:22,14107,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,,Absolut Citron,,,,,,,Sweet and sour,Sprite,Soda water,Lemon,,,,,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,1 1/2 oz , ,,,,,,3/4 oz ,1/2 oz ,3 oz ,1 slice , , , , ,
37,Absolut limousine,2016-09-01 09:50:44,14372,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,,Absolut Citron,,,,,,,Lime juice,Ice,Tonic water,,,,,,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,2/3 ,,,,,,,1/3 ,Fill with ,Top it up with , , , , , ,
38,Absolutely Cranberry Smash,2016-09-02 11:24:44,15024,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Cocktail glass,,Absolut Vodka,,,,,,,Cranberry juice,Ginger ale,Ice,,,,,,Stir ingredients together. Serve over ice.,2 oz ,,,,,,,4 oz ,2 oz ,Add , , , , , ,
39,Absolutely Fabulous,2017-09-07 21:55:34,17224,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,,Vodka,,,,,,,Cranberry Juice,Champagne,,,,,,,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,1 shot ,,,,,,,2 shots ,Top up with,"
","
","
","
",,,
40,Absolutly Screwed Up,2016-08-31 19:55:28,16134,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Collins glass,,Absolut Citron,,,,,,,Orange juice,Triple sec,Ginger ale,,,,,,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",1 shot ,,,,,,,1 shot ,1 shot ,Fill to top , , , , , ,
41,Acapulco,2016-09-02 11:26:16,11005,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned glass,,Light rum,,,,,,,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,1 1/2 oz , , ,,,,,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 , , , ,
42,Ace,2017-09-07 22:05:06,17225,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,,Gin,,,,,,,Grenadine,Heavy cream,Milk,Egg White,,,,,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,2 shots ,,,,,,,1/2 shot ,1/2 shot ,1/2 shot ,1/2 Fresh,"
","
",,,
43,Adam,2016-09-02 11:29:29,11006,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Cocktail glass,,Dark rum,,,,,,,Lemon juice,Grenadine,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",2 oz ,,,,,,,1 oz ,1 tsp , , , , , ,,
44,Adam & Eve,2017-09-07 22:17:58,17226,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Cocktail glass,,Gin,,,,,,,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,1 shot ,1 shot ,1/8 shot ,,,,,,
45,Adam Bomb,2016-02-03 15:23:36,16333,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,,Rum,,,,,,,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",1 part , , , ,,,,1 part ,1 part ,1/2 part ,"
","
",1-3 pint , , ,
46,Adam Sunrise,2016-09-02 11:28:32,15567,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,,Vodka,,,,,,,Lemonade,Water,Sugar,,,,,,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",1/2 ,,,,,,,1/2 can ,1/2 ,10 tsp , , , , , ,
47,Addington,2017-09-07 22:15:25,17227,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Dry Vermouth,Soda Water,,,,,,,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,2 shots ,,,,,,,1 shot ,"Top up with
","
","
","
","
",,,
48,Addison,2017-09-07 22:38:20,17228,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,,Gin,,,,,,,Vermouth,,,,,,,,Shake together all the ingredients and strain into a cold glass.,1 1/2 shot ,,,,,,,1 1/2 shot ,"
","
","
","
","
",,,
49,Addison Special,2017-04-24 22:14:53,14272,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned glass,,Vodka,,,,,,,Grenadine,Orange juice,,,,,,,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,1 shot ,,,,,,,1 tblsp ,Fill with , , , , , ,,
50,Adios Amigos Cocktail,2017-09-07 22:31:33,17229,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,,Rum,,,,,,,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,Shake together all the ingredients and strain into a cold glass.,1 shot ,,,,,,,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,
51,Adonis Cocktail,2016-09-02 11:27:11,11007,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Cocktail glass,,Sweet Vermouth,,,,,,,Sherry,Orange bitters,,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",3/4 oz ,,,,,,,1 1/2 oz dry ,1 dash , , , , , ,,
52,Affair,2016-09-01 10:05:34,11008,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,Highball glass,,Strawberry schnapps,,,,,,,Orange juice,Cranberry juice,Club soda,,,,,,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",2 oz ,,,,,,,2 oz ,2 oz ,"
","
","
","
","
","
",
53,Affinity,2017-09-07 21:44:05,11009,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,Cocktail glass,,Scotch,,,,,,,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1 oz ,1 oz ,2 dashes , , , , , ,
54,After Dinner Cocktail,2017-01-02 20:06:18,11010,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Cocktail glass,,Apricot brandy,,,,,,,Triple sec,Lime,Lime,,,,,,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,1 oz ,,,,,,,1 oz ,Juice of 1 ,1 , , , , , ,
55,After Five,2017-04-24 22:16:35,13807,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Shot glass,,Peppermint schnapps,,,,,,,Kahlua,Bailey's irish cream,,,,,,,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled","
",,,,,,,"
","
","
","
","
","
",,,
56,After Supper Cocktail,2017-01-02 20:06:50,11011,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Cocktail glass,,Triple sec,,,,,,,Apricot brandy,Lemon juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 oz ,,,,,,,1 oz ,1/2 tsp , , , , , ,,
57,After sex,2017-04-24 22:18:22,15182,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Highball glass,,Vodka,,,,,,,Creme de Banane,Orange juice,,,,,,,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,2 cl ,,,,,,,1 cl ,"
","
","
","
","
","
",,
58,Afterglow,2016-07-18 22:07:32,12560,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,,Grenadine,,,,,,,Orange juice,Pineapple juice,,,,,,,Mix. Serve over ice.,1 part ,,,,,,,4 parts ,4 parts , , , , , ,,
59,Afternoon,2016-08-31 19:22:57,13162,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,,Kahlua,,,,,,,Bailey's irish cream,Frangelico,Coffee,Cream,,,,,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",1 cl ,"
",,,,,,1 cl ,1 1/2 ,4 cl hot ,"
","
","
","
","
",
60,Alabama Slammer,2017-01-02 20:07:27,11012,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Highball glass,,Southern Comfort,,,,,,,Amaretto,Sloe gin,Lemon juice,,,,,,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",1 oz ,,,,,,,1 oz ,1/2 oz ,1 dash , , , , , ,
61,Alaska Cocktail,2017-01-02 20:08:40,11013,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Cocktail glass,,Orange bitters,,,,,,,Gin,Yellow Chartreuse,Lemon peel,,,,,,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",2 dashes ,,,,,,,1 1/2 oz ,3/4 oz ,Twist of , , , , , ,
62,Alexander,2016-11-04 09:50:39,11014,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Cocktail glass,Unforgettables,Gin,,,,,,,Creme de Cacao,Light cream,Nutmeg,,,,,,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,1/2 oz ,,,,,,,1/2 oz white ,2 oz ,,,,,,,
63,Alfie Cocktail,2017-01-02 20:10:29,11019,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail glass,,Lemon vodka,,,,,,,Triple sec,Pineapple juice,,,,,,,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 dash ,1 tblsp , , , , , ,,
64,Algonquin,2017-01-02 20:11:13,11020,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail glass,,Blended whiskey,,,,,,,Dry Vermouth,Pineapple juice,,,,,,,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
65,Alice Cocktail,2016-07-18 22:09:04,12562,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Cocktail glass,,Grenadine,,,,,,,Orange juice,Pineapple juice,Cream,,,,,,"Shake well, strain into a large cocktail glass.",1 cl ,,,,,,,1 cl ,2 cl ,4 cl , , , , , ,
