season_name,season,castaway,finalist,vote
Survivor: Edge of Extinction,38,Ron,Gavin,0
Survivor: Edge of Extinction,38,Ron,Chris,1
Survivor: Edge of Extinction,38,Wardog,Julie,0
Survivor: Edge of Extinction,38,Wardog,Gavin,0
Survivor: Edge of Extinction,38,Wardog,Chris,1
Survivor: Edge of Extinction,38,Kelley,Julie,0
Survivor: Edge of Extinction,38,Kelley,Gavin,1
Survivor: Edge of Extinction,38,Kelley,Chris,0
Survivor: Edge of Extinction,38,David,Julie,0
Survivor: Edge of Extinction,38,David,Gavin,0
Survivor: Edge of Extinction,38,David,Chris,1
Survivor: Edge of Extinction,38,Julia,Julie,0
Survivor: Edge of Extinction,38,Julia,Gavin,0
Survivor: Edge of Extinction,38,Julia,Chris,1
Survivor: Edge of Extinction,38,Eric,Julie,0
Survivor: Edge of Extinction,38,Eric,Gavin,0
Survivor: Edge of Extinction,38,Eric,Chris,1
Survivor: Edge of Extinction,38,Joe,Julie,0
Survivor: Edge of Extinction,38,Joe,Gavin,0
Survivor: Edge of Extinction,38,Joe,Chris,1
Survivor: Edge of Extinction,38,Aubry,Julie,0
Survivor: Edge of Extinction,38,Aubry,Gavin,0
Survivor: Edge of Extinction,38,Aubry,Chris,1
Survivor: Edge of Extinction,38,Reem,Julie,0
Survivor: Edge of Extinction,38,Reem,Gavin,0
Survivor: Edge of Extinction,38,Reem,Chris,1
Survivor: David vs. Goliath,37,Kara,Angelina,0
Survivor: David vs. Goliath,37,Kara,Mike,1
Survivor: David vs. Goliath,37,Kara,Nick,0
Survivor: David vs. Goliath,37,Alison,Angelina,0
Survivor: David vs. Goliath,37,Alison,Mike,1
Survivor: David vs. Goliath,37,Alison,Nick,0
Survivor: David vs. Goliath,37,Davie,Angelina,0
Survivor: David vs. Goliath,37,Davie,Mike,0
Survivor: David vs. Goliath,37,Davie,Nick,1
Survivor: David vs. Goliath,37,Christian,Angelina,0
Survivor: David vs. Goliath,37,Christian,Mike,1
Survivor: David vs. Goliath,37,Christian,Nick,0
Survivor: David vs. Goliath,37,Gabby,Angelina,0
Survivor: David vs. Goliath,37,Gabby,Mike,0
Survivor: David vs. Goliath,37,Gabby,Nick,1
Survivor: David vs. Goliath,37,Carl,Angelina,0
Survivor: David vs. Goliath,37,Carl,Mike,0
Survivor: David vs. Goliath,37,Carl,Nick,1
Survivor: David vs. Goliath,37,Alec,Angelina,0
Survivor: David vs. Goliath,37,Alec,Mike,0
Survivor: David vs. Goliath,37,Alec,Nick,1
Survivor: David vs. Goliath,37,Dan,Angelina,0
Survivor: David vs. Goliath,37,Dan,Mike,0
Survivor: David vs. Goliath,37,Dan,Nick,1
Survivor: David vs. Goliath,37,John,Angelina,0
Survivor: David vs. Goliath,37,John,Mike,0
Survivor: David vs. Goliath,37,John,Nick,1
Survivor: David vs. Goliath,37,Elizabeth,Angelina,0
Survivor: David vs. Goliath,37,Elizabeth,Mike,0
Survivor: David vs. Goliath,37,Elizabeth,Nick,1
Survivor: Ghost Island,36,Laurel,Laurel,0
Survivor: Ghost Island,36,Laurel,Domenick,0
Survivor: Ghost Island,36,Laurel,Wendell,1
Survivor: Ghost Island,36,Angela,Laurel,0
Survivor: Ghost Island,36,Angela,Domenick,0
Survivor: Ghost Island,36,Angela,Wendell,1
Survivor: Ghost Island,36,Donathan,Laurel,0
Survivor: Ghost Island,36,Donathan,Domenick,0
Survivor: Ghost Island,36,Donathan,Wendell,1
Survivor: Ghost Island,36,Sebastian,Laurel,0
Survivor: Ghost Island,36,Sebastian,Domenick,0
Survivor: Ghost Island,36,Sebastian,Wendell,1
Survivor: Ghost Island,36,Kellyn,Laurel,0
Survivor: Ghost Island,36,Kellyn,Domenick,0
Survivor: Ghost Island,36,Kellyn,Wendell,1
Survivor: Ghost Island,36,Chelsea,Laurel,0
Survivor: Ghost Island,36,Chelsea,Domenick,0
Survivor: Ghost Island,36,Chelsea,Wendell,1
Survivor: Ghost Island,36,Michael,Laurel,0
Survivor: Ghost Island,36,Michael,Domenick,1
Survivor: Ghost Island,36,Michael,Wendell,0
Survivor: Ghost Island,36,Jenna,Laurel,0
Survivor: Ghost Island,36,Jenna,Domenick,1
Survivor: Ghost Island,36,Jenna,Wendell,0
Survivor: Ghost Island,36,Desiree,Laurel,0
Survivor: Ghost Island,36,Desiree,Domenick,1
Survivor: Ghost Island,36,Desiree,Wendell,0
Survivor: Ghost Island,36,Libby,Laurel,0
Survivor: Ghost Island,36,Libby,Domenick,1
Survivor: Ghost Island,36,Libby,Wendell,0
Survivor: Ghost Island,36,Chris,Laurel,0
Survivor: Ghost Island,36,Chris,Domenick,1
Survivor: Ghost Island,36,Chris,Wendell,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Devon,Ryan,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Devon,Chrissy,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Devon,Ben,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Mike,Ryan,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Mike,Chrissy,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Mike,Ben,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Ashley,Ryan,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Ashley,Chrissy,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Ashley,Ben,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Lauren,Ryan,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Lauren,Chrissy,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Lauren,Ben,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Joe,Ryan,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Joe,Chrissy,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Joe,Ben,1
Survivor: Heroes vs. Healers vs. Hustlers,35,JP,Ryan,0
Survivor: Heroes vs. Healers vs. Hustlers,35,JP,Chrissy,0
Survivor: Heroes vs. Healers vs. Hustlers,35,JP,Ben,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Cole,Ryan,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Cole,Chrissy,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Cole,Ben,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Desi,Ryan,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Desi,Chrissy,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Desi,Ben,1
Survivor: Game Changers,34,Tai,Troyzan,0
Survivor: Game Changers,34,Tai,Brad,0
Survivor: Game Changers,34,Tai,Sarah,1
Survivor: Game Changers,34,Aubry,Troyzan,0
Survivor: Game Changers,34,Aubry,Brad,0
Survivor: Game Changers,34,Aubry,Sarah,1
Survivor: Game Changers,34,Cirie,Troyzan,0
Survivor: Game Changers,34,Cirie,Brad,0
Survivor: Game Changers,34,Cirie,Sarah,1
Survivor: Game Changers,34,Michaela,Troyzan,0
Survivor: Game Changers,34,Michaela,Brad,0
Survivor: Game Changers,34,Michaela,Sarah,1
Survivor: Game Changers,34,Andrea,Troyzan,0
Survivor: Game Changers,34,Andrea,Brad,0
Survivor: Game Changers,34,Andrea,Sarah,1
Survivor: Game Changers,34,Sierra,Troyzan,0
Survivor: Game Changers,34,Sierra,Brad,1
Survivor: Game Changers,34,Sierra,Sarah,0
Survivor: Game Changers,34,Zeke,Troyzan,0
Survivor: Game Changers,34,Zeke,Brad,0
Survivor: Game Changers,34,Zeke,Sarah,1
Survivor: Game Changers,34,Debbie,Troyzan,0
Survivor: Game Changers,34,Debbie,Brad,1
Survivor: Game Changers,34,Debbie,Sarah,0
Survivor: Game Changers,34,Ozzy,Troyzan,0
Survivor: Game Changers,34,Ozzy,Brad,1
Survivor: Game Changers,34,Ozzy,Sarah,0
Survivor: Game Changers,34,Hali,Troyzan,0
Survivor: Game Changers,34,Hali,Brad,0
Survivor: Game Changers,34,Hali,Sarah,1
Survivor: Millennials vs. Gen X,33,David,Hannah,0
Survivor: Millennials vs. Gen X,33,David,Ken,0
Survivor: Millennials vs. Gen X,33,David,Adam,1
Survivor: Millennials vs. Gen X,33,Bret,Hannah,0
Survivor: Millennials vs. Gen X,33,Bret,Ken,0
Survivor: Millennials vs. Gen X,33,Bret,Adam,1
Survivor: Millennials vs. Gen X,33,Jay,Hannah,0
Survivor: Millennials vs. Gen X,33,Jay,Ken,0
Survivor: Millennials vs. Gen X,33,Jay,Adam,1
Survivor: Millennials vs. Gen X,33,Sunday,Hannah,0
Survivor: Millennials vs. Gen X,33,Sunday,Ken,0
Survivor: Millennials vs. Gen X,33,Sunday,Adam,1
Survivor: Millennials vs. Gen X,33,Will,Hannah,0
Survivor: Millennials vs. Gen X,33,Will,Ken,0
Survivor: Millennials vs. Gen X,33,Will,Adam,1
Survivor: Millennials vs. Gen X,33,Zeke,Hannah,0
Survivor: Millennials vs. Gen X,33,Zeke,Ken,0
Survivor: Millennials vs. Gen X,33,Zeke,Adam,1
Survivor: Millennials vs. Gen X,33,Jessica,Hannah,0
Survivor: Millennials vs. Gen X,33,Jessica,Ken,0
Survivor: Millennials vs. Gen X,33,Jessica,Adam,1
Survivor: Millennials vs. Gen X,33,Chris,Hannah,0
Survivor: Millennials vs. Gen X,33,Chris,Ken,0
Survivor: Millennials vs. Gen X,33,Chris,Adam,1
Survivor: Millennials vs. Gen X,33,Taylor,Hannah,0
Survivor: Millennials vs. Gen X,33,Taylor,Ken,0
Survivor: Millennials vs. Gen X,33,Taylor,Adam,1
Survivor: Millennials vs. Gen X,33,Michelle,Hannah,0
Survivor: Millennials vs. Gen X,33,Michelle,Ken,0
Survivor: Millennials vs. Gen X,33,Michelle,Adam,1
Survivor: Kaoh Rong,32,Cydney,Tai,0
Survivor: Kaoh Rong,32,Cydney,Aubry,0
Survivor: Kaoh Rong,32,Cydney,Michele,1
Survivor: Kaoh Rong,32,Joe,Tai,0
Survivor: Kaoh Rong,32,Joe,Aubry,1
Survivor: Kaoh Rong,32,Joe,Michele,0
Survivor: Kaoh Rong,32,Jason,Tai,0
Survivor: Kaoh Rong,32,Jason,Aubry,0
Survivor: Kaoh Rong,32,Jason,Michele,1
Survivor: Kaoh Rong,32,Julia,Tai,0
Survivor: Kaoh Rong,32,Julia,Aubry,0
Survivor: Kaoh Rong,32,Julia,Michele,1
Survivor: Kaoh Rong,32,Scot,Tai,0
Survivor: Kaoh Rong,32,Scot,Aubry,0
Survivor: Kaoh Rong,32,Scot,Michele,1
Survivor: Kaoh Rong,32,Debbie,Tai,0
Survivor: Kaoh Rong,32,Debbie,Aubry,0
Survivor: Kaoh Rong,32,Debbie,Michele,1
Survivor: Kaoh Rong,32,Nick,Tai,0
Survivor: Kaoh Rong,32,Nick,Aubry,1
Survivor: Kaoh Rong,32,Nick,Michele,0
Survivor: Cambodia,31,Kelley,Spencer,0
Survivor: Cambodia,31,Kelley,Tasha,0
Survivor: Cambodia,31,Kelley,Jeremy,1
Survivor: Cambodia,31,Keith,Spencer,0
Survivor: Cambodia,31,Keith,Tasha,0
Survivor: Cambodia,31,Keith,Jeremy,1
Survivor: Cambodia,31,Kimmi,Spencer,0
Survivor: Cambodia,31,Kimmi,Tasha,0
Survivor: Cambodia,31,Kimmi,Jeremy,1
Survivor: Cambodia,31,Abi-Maria,Spencer,0
Survivor: Cambodia,31,Abi-Maria,Tasha,0
Survivor: Cambodia,31,Abi-Maria,Jeremy,1
Survivor: Cambodia,31,Joe,Spencer,0
Survivor: Cambodia,31,Joe,Tasha,0
Survivor: Cambodia,31,Joe,Jeremy,1
Survivor: Cambodia,31,Stephen,Spencer,0
Survivor: Cambodia,31,Stephen,Tasha,0
Survivor: Cambodia,31,Stephen,Jeremy,1
Survivor: Cambodia,31,Ciera,Spencer,0
Survivor: Cambodia,31,Ciera,Tasha,0
Survivor: Cambodia,31,Ciera,Jeremy,1
Survivor: Cambodia,31,Kelly,Spencer,0
Survivor: Cambodia,31,Kelly,Tasha,0
Survivor: Cambodia,31,Kelly,Jeremy,1
Survivor: Cambodia,31,Andrew,Spencer,0
Survivor: Cambodia,31,Andrew,Tasha,0
Survivor: Cambodia,31,Andrew,Jeremy,1
Survivor: Cambodia,31,Kass,Spencer,0
Survivor: Cambodia,31,Kass,Tasha,0
Survivor: Cambodia,31,Kass,Jeremy,1
Survivor: Worlds Apart,30,Rodney,Will,1
Survivor: Worlds Apart,30,Rodney,Carolyn,0
Survivor: Worlds Apart,30,Rodney,Mike,0
Survivor: Worlds Apart,30,Sierra,Will,0
Survivor: Worlds Apart,30,Sierra,Carolyn,1
Survivor: Worlds Apart,30,Sierra,Mike,0
Survivor: Worlds Apart,30,Dan,Will,0
Survivor: Worlds Apart,30,Dan,Carolyn,0
Survivor: Worlds Apart,30,Dan,Mike,1
Survivor: Worlds Apart,30,Tyler,Will,0
Survivor: Worlds Apart,30,Tyler,Carolyn,0
Survivor: Worlds Apart,30,Tyler,Mike,1
Survivor: Worlds Apart,30,Shirin,Will,0
Survivor: Worlds Apart,30,Shirin,Carolyn,0
Survivor: Worlds Apart,30,Shirin,Mike,1
Survivor: Worlds Apart,30,Jenn,Will,0
Survivor: Worlds Apart,30,Jenn,Carolyn,0
Survivor: Worlds Apart,30,Jenn,Mike,1
Survivor: Worlds Apart,30,Joe,Will,0
Survivor: Worlds Apart,30,Joe,Carolyn,0
Survivor: Worlds Apart,30,Joe,Mike,1
Survivor: Worlds Apart,30,Hali,Will,0
Survivor: Worlds Apart,30,Hali,Carolyn,0
Survivor: Worlds Apart,30,Hali,Mike,1
Survivor: San Juan del Sur,29,Keith,Missy,0
Survivor: San Juan del Sur,29,Keith,Jaclyn,0
Survivor: San Juan del Sur,29,Keith,Natalie,1
Survivor: San Juan del Sur,29,Baylor,Missy,1
Survivor: San Juan del Sur,29,Baylor,Jaclyn,0
Survivor: San Juan del Sur,29,Baylor,Natalie,0
Survivor: San Juan del Sur,29,Jon,Missy,0
Survivor: San Juan del Sur,29,Jon,Jaclyn,1
Survivor: San Juan del Sur,29,Jon,Natalie,0
Survivor: San Juan del Sur,29,Alec,Missy,0
Survivor: San Juan del Sur,29,Alec,Jaclyn,0
Survivor: San Juan del Sur,29,Alec,Natalie,1
Survivor: San Juan del Sur,29,Reed,Missy,0
Survivor: San Juan del Sur,29,Reed,Jaclyn,1
Survivor: San Juan del Sur,29,Reed,Natalie,0
Survivor: San Juan del Sur,29,Wes,Missy,0
Survivor: San Juan del Sur,29,Wes,Jaclyn,0
Survivor: San Juan del Sur,29,Wes,Natalie,1
Survivor: San Juan del Sur,29,Jeremy,Missy,0
Survivor: San Juan del Sur,29,Jeremy,Jaclyn,0
Survivor: San Juan del Sur,29,Jeremy,Natalie,1
Survivor: San Juan del Sur,29,Josh,Missy,0
Survivor: San Juan del Sur,29,Josh,Jaclyn,0
Survivor: San Juan del Sur,29,Josh,Natalie,1
Survivor: Cagayan,28,Kass,Woo,0
Survivor: Cagayan,28,Kass,Tony,1
Survivor: Cagayan,28,Spencer,Woo,0
Survivor: Cagayan,28,Spencer,Tony,1
Survivor: Cagayan,28,Trish,Woo,0
Survivor: Cagayan,28,Trish,Tony,1
Survivor: Cagayan,28,Tasha,Woo,1
Survivor: Cagayan,28,Tasha,Tony,0
Survivor: Cagayan,28,Jefra,Woo,0
Survivor: Cagayan,28,Jefra,Tony,1
Survivor: Cagayan,28,Jeremiah,Woo,0
Survivor: Cagayan,28,Jeremiah,Tony,1
Survivor: Cagayan,28,LJ,Woo,0
Survivor: Cagayan,28,LJ,Tony,1
Survivor: Cagayan,28,Morgan,Woo,0
Survivor: Cagayan,28,Morgan,Tony,1
Survivor: Cagayan,28,Sarah,Woo,0
Survivor: Cagayan,28,Sarah,Tony,1
Survivor: Blood vs. Water,27,Tina,Gervase,0
Survivor: Blood vs. Water,27,Tina,Monica,0
Survivor: Blood vs. Water,27,Tina,Tyson,1
Survivor: Blood vs. Water,27,Ciera,Gervase,0
Survivor: Blood vs. Water,27,Ciera,Monica,0
Survivor: Blood vs. Water,27,Ciera,Tyson,1
Survivor: Blood vs. Water,27,Laura M.,Gervase,0
Survivor: Blood vs. Water,27,Laura M.,Monica,0
Survivor: Blood vs. Water,27,Laura M.,Tyson,1
Survivor: Blood vs. Water,27,Hayden,Gervase,0
Survivor: Blood vs. Water,27,Hayden,Monica,0
Survivor: Blood vs. Water,27,Hayden,Tyson,1
Survivor: Blood vs. Water,27,Katie,Gervase,0
Survivor: Blood vs. Water,27,Katie,Monica,0
Survivor: Blood vs. Water,27,Katie,Tyson,1
Survivor: Blood vs. Water,27,Caleb,Gervase,0
Survivor: Blood vs. Water,27,Caleb,Monica,0
Survivor: Blood vs. Water,27,Caleb,Tyson,1
Survivor: Blood vs. Water,27,Vytas,Gervase,0
Survivor: Blood vs. Water,27,Vytas,Monica,1
Survivor: Blood vs. Water,27,Vytas,Tyson,0
Survivor: Blood vs. Water,27,Aras,Gervase,0
Survivor: Blood vs. Water,27,Aras,Monica,0
Survivor: Blood vs. Water,27,Aras,Tyson,1
Survivor: Caramoan,26,Eddie,Sherri,0
Survivor: Caramoan,26,Eddie,Dawn,0
Survivor: Caramoan,26,Eddie,Cochran,1
Survivor: Caramoan,26,Erik,Sherri,0
Survivor: Caramoan,26,Erik,Dawn,0
Survivor: Caramoan,26,Erik,Cochran,1
Survivor: Caramoan,26,Brenda,Sherri,0
Survivor: Caramoan,26,Brenda,Dawn,0
Survivor: Caramoan,26,Brenda,Cochran,1
Survivor: Caramoan,26,Andrea,Sherri,0
Survivor: Caramoan,26,Andrea,Dawn,0
Survivor: Caramoan,26,Andrea,Cochran,1
Survivor: Caramoan,26,Reynold,Sherri,0
Survivor: Caramoan,26,Reynold,Dawn,0
Survivor: Caramoan,26,Reynold,Cochran,1
Survivor: Caramoan,26,Malcolm,Sherri,0
Survivor: Caramoan,26,Malcolm,Dawn,0
Survivor: Caramoan,26,Malcolm,Cochran,1
Survivor: Caramoan,26,Phillip,Sherri,0
Survivor: Caramoan,26,Phillip,Dawn,0
Survivor: Caramoan,26,Phillip,Cochran,1
Survivor: Caramoan,26,Michael,Sherri,0
Survivor: Caramoan,26,Michael,Dawn,0
Survivor: Caramoan,26,Michael,Cochran,1
Survivor: Philippines,25,Malcolm,Lisa,0
Survivor: Philippines,25,Malcolm,Michael,0
Survivor: Philippines,25,Malcolm,Denise,1
Survivor: Philippines,25,Abi-Maria,Lisa,0
Survivor: Philippines,25,Abi-Maria,Michael,0
Survivor: Philippines,25,Abi-Maria,Denise,1
Survivor: Philippines,25,Carter,Lisa,0
Survivor: Philippines,25,Carter,Michael,1
Survivor: Philippines,25,Carter,Denise,0
Survivor: Philippines,25,Jonathan,Lisa,0
Survivor: Philippines,25,Jonathan,Michael,0
Survivor: Philippines,25,Jonathan,Denise,1
Survivor: Philippines,25,Pete,Lisa,0
Survivor: Philippines,25,Pete,Michael,0
Survivor: Philippines,25,Pete,Denise,1
Survivor: Philippines,25,Artis,Lisa,0
Survivor: Philippines,25,Artis,Michael,0
Survivor: Philippines,25,Artis,Denise,1
Survivor: Philippines,25,Jeff,Lisa,0
Survivor: Philippines,25,Jeff,Michael,0
Survivor: Philippines,25,Jeff,Denise,1
Survivor: Philippines,25,RC,Lisa,1
Survivor: Philippines,25,RC,Michael,0
Survivor: Philippines,25,RC,Denise,0
Survivor: One World,24,Christina,Chelsea,0
Survivor: One World,24,Christina,Sabrina,0
Survivor: One World,24,Christina,Kim,1
Survivor: One World,24,Alicia,Chelsea,0
Survivor: One World,24,Alicia,Sabrina,0
Survivor: One World,24,Alicia,Kim,1
Survivor: One World,24,Tarzan,Chelsea,0
Survivor: One World,24,Tarzan,Sabrina,0
Survivor: One World,24,Tarzan,Kim,1
Survivor: One World,24,Kat,Chelsea,0
Survivor: One World,24,Kat,Sabrina,0
Survivor: One World,24,Kat,Kim,1
Survivor: One World,24,Troyzan,Chelsea,0
Survivor: One World,24,Troyzan,Sabrina,1
Survivor: One World,24,Troyzan,Kim,0
Survivor: One World,24,Leif,Chelsea,0
Survivor: One World,24,Leif,Sabrina,1
Survivor: One World,24,Leif,Kim,0
Survivor: One World,24,Jay,Chelsea,0
Survivor: One World,24,Jay,Sabrina,0
Survivor: One World,24,Jay,Kim,1
Survivor: One World,24,Michael,Chelsea,0
Survivor: One World,24,Michael,Sabrina,0
Survivor: One World,24,Michael,Kim,1
Survivor: One World,24,Jonas,Chelsea,0
Survivor: One World,24,Jonas,Sabrina,0
Survivor: One World,24,Jonas,Kim,1
Survivor: South Pacific,23,Ozzy,Albert,0
Survivor: South Pacific,23,Ozzy,Coach,0
Survivor: South Pacific,23,Ozzy,Sophie,1
Survivor: South Pacific,23,Rick,Albert,0
Survivor: South Pacific,23,Rick,Coach,1
Survivor: South Pacific,23,Rick,Sophie,0
Survivor: South Pacific,23,Brandon,Albert,0
Survivor: South Pacific,23,Brandon,Coach,0
Survivor: South Pacific,23,Brandon,Sophie,1
Survivor: South Pacific,23,Edna,Albert,0
Survivor: South Pacific,23,Edna,Coach,1
Survivor: South Pacific,23,Edna,Sophie,0
Survivor: South Pacific,23,Cochran,Albert,0
Survivor: South Pacific,23,Cochran,Coach,1
Survivor: South Pacific,23,Cochran,Sophie,0
Survivor: South Pacific,23,Whitney,Albert,0
Survivor: South Pacific,23,Whitney,Coach,0
Survivor: South Pacific,23,Whitney,Sophie,1
Survivor: South Pacific,23,Dawn,Albert,0
Survivor: South Pacific,23,Dawn,Coach,0
Survivor: South Pacific,23,Dawn,Sophie,1
Survivor: South Pacific,23,Keith,Albert,0
Survivor: South Pacific,23,Keith,Coach,0
Survivor: South Pacific,23,Keith,Sophie,1
Survivor: South Pacific,23,Jim,Albert,0
Survivor: South Pacific,23,Jim,Coach,0
Survivor: South Pacific,23,Jim,Sophie,1
Survivor: Redemption Island,22,Ashley,Natalie,0
Survivor: Redemption Island,22,Ashley,Phillip,0
Survivor: Redemption Island,22,Ashley,Rob,1
Survivor: Redemption Island,22,Andrea,Natalie,0
Survivor: Redemption Island,22,Andrea,Phillip,0
Survivor: Redemption Island,22,Andrea,Rob,1
Survivor: Redemption Island,22,Mike,Natalie,0
Survivor: Redemption Island,22,Mike,Phillip,0
Survivor: Redemption Island,22,Mike,Rob,1
Survivor: Redemption Island,22,Matt,Natalie,0
Survivor: Redemption Island,22,Matt,Phillip,0
Survivor: Redemption Island,22,Matt,Rob,1
Survivor: Redemption Island,22,Grant,Natalie,0
Survivor: Redemption Island,22,Grant,Phillip,0
Survivor: Redemption Island,22,Grant,Rob,1
Survivor: Redemption Island,22,Ralph,Natalie,0
Survivor: Redemption Island,22,Ralph,Phillip,1
Survivor: Redemption Island,22,Ralph,Rob,0
Survivor: Redemption Island,22,Steve,Natalie,0
Survivor: Redemption Island,22,Steve,Phillip,0
Survivor: Redemption Island,22,Steve,Rob,1
Survivor: Redemption Island,22,Julie,Natalie,0
Survivor: Redemption Island,22,Julie,Phillip,0
Survivor: Redemption Island,22,Julie,Rob,1
Survivor: Redemption Island,22,David,Natalie,0
Survivor: Redemption Island,22,David,Phillip,0
Survivor: Redemption Island,22,David,Rob,1
Survivor: Nicaragua,21,Holly,Sash,0
Survivor: Nicaragua,21,Holly,Chase,1
