season_name,season,full_name,castaway,age,city,state,personality_type,day,order,result,jury_status,original_tribe,swapped_tribe,swapped_tribe2,merged_tribe,total_votes_received,immunity_idols_won
Survivor: Island of the Idols,39,Tommy Sheehan,Tommy,26,Long Beach,New York,ENFJ,39,20,Sole Survivor,NA,Vokai,Vokai,NA,Lumuwaku,4,0
Survivor: Edge of Extinction,38,Reem Daly,Reem,46,Ashburn,Virginia,ESTP,3,1,1st voted out,1st jury member,Manu,NA,NA,NA,4,0
Survivor: Edge of Extinction,38,Keith Sowell,Keith,19,Durham,North Carolina,INFP,6,2,2nd voted out,NA,Manu,NA,NA,NA,6,0
Survivor: Edge of Extinction,38,Chris Underwood,Chris,25,Greenville,South Carolina,ENTP,8,3,3rd voted out,NA,Manu,NA,NA,NA,9,1
Survivor: Edge of Extinction,38,Rick Devens,Rick,33,Macon,Georgia,ENTP,11,4,4th voted out,NA,Manu,Lesu,NA,NA,12,4
Survivor: Edge of Extinction,38,Aubry Bracco,Aubry,32,Los Angeles,California,INFJ,13,5,5th voted out,2nd jury member,Kama,Manu,NA,NA,4,0
Survivor: Edge of Extinction,38,Wendy Diaz,Wendy,25,Bell,California,ENFP,16,6,6th voted out,NA,Manu,Manu,NA,NA,15,0
Survivor: Edge of Extinction,38,Joe Anglim,Joe,29,Ogden,Utah,ISFP,19,7,7th voted out,3rd jury member,Kama,Kama,NA,Vata,6,0
Survivor: Edge of Extinction,38,Eric Hafemann,Eric,34,Livermore,California,ESTP,22,8,8th voted out,4th jury member,Kama,Manu,NA,Vata,8,0
Survivor: Edge of Extinction,38,Julia Carter,Julia,25,Bethesda,Maryland,ESFJ,23,9,9th voted out,5th jury member,Kama,Kama,NA,Vata,9,0
Survivor: Edge of Extinction,38,David Wright,David,44,Sherman Oaks,California,INFP,25,10,10th voted out,6th jury member,Manu,Lesu,NA,Vata,12,0
Survivor: Edge of Extinction,38,Kelley Wentworth,Kelley,32,Seattle,Washington,ENTP,27,11,11th voted out,7th jury member,Manu,Lesu,NA,Vata,14,0
Survivor: Edge of Extinction,38,Dan DaSilva,Wardog,38,Los Angeles,California,ENTP,29,12,12th voted out,8th jury member,Manu,Lesu,NA,Vata,8,0
Survivor: Edge of Extinction,38,Ron Clark,Ron,45,Atlanta,Georgia,NA,31,13,13th voted out,9th jury member,Kama,Kama,NA,Vata,2,0
Survivor: Edge of Extinction,38,Aurora McCreary,Aurora,32,Orlando,Florida,ISTP,34,14,14th voted out,10th jury member,Kama,Kama,NA,Vata,12,2
Survivor: Edge of Extinction,38,Victoria Baamonde,Victoria,23,Bronx,New York,INTP,36,15,15th voted out,11th jury member,Kama,Manu,NA,Vata,2,0
Survivor: Edge of Extinction,38,Lauren O'Connell,Lauren,21,Waco,Texas,ESFP,37,16,16th voted out,12th jury member,Manu,Lesu,NA,Vata,11,0
Survivor: Edge of Extinction,38,Rick Devens,Rick,33,Macon,Georgia,ENTP,38,17,Eliminated,13th jury member,Manu,Lesu,NA,Vata,12,4
Survivor: Edge of Extinction,38,Julie Rosenberg,Julie,46,New York City,New York,ENFP,39,18,2nd runner-up,NA,Kama,Kama,NA,Vata,1,2
Survivor: Edge of Extinction,38,Gavin Whitson,Gavin,23,Erwin,Tennessee,ISFJ,39,19,Runner-up,NA,Kama,Manu,NA,Vata,0,2
Survivor: Edge of Extinction,38,Chris Underwood,Chris,25,Greenville,South Carolina,ENTP,39,20,Sole Survivor,NA,Manu,NA,NA,Vata,9,1
Survivor: David vs. Goliath,37,Pat Cusack,Pat,41,Watervliet,New York,ESTP,3,1,Medically evacuated,NA,David,NA,NA,NA,0,0
Survivor: David vs. Goliath,37,Jessica Peet,Jessica,19,Lakeland,Florida,ENFP,6,2,1st voted out,NA,David,NA,NA,NA,5,0
Survivor: David vs. Goliath,37,Jeremy Crawford,Jeremy,40,New York City,New York,ENFJ,9,3,2nd voted out,NA,Goliath,NA,NA,NA,9,0
Survivor: David vs. Goliath,37,Bi Nguyen,Bi,28,Houston,Texas,ISFP,10,4,Quit,NA,David,NA,NA,NA,0,0
Survivor: David vs. Goliath,37,Natalia Azoqa,Natalia,26,Irvine,California,ESTJ,11,5,3rd voted out,NA,Goliath,Vuku,NA,NA,3,0
Survivor: David vs. Goliath,37,Natalie Cole,Natalie,57,Los Angeles,California,ESTJ,15,6,4th voted out,NA,Goliath,Jabeni,NA,NA,4,0
Survivor: David vs. Goliath,37,Lyrsa Torres,Lyrsa,36,Boston,Massachusetts,ISFP,17,7,5th voted out,NA,David,Jabeni,NA,NA,9,0
Survivor: David vs. Goliath,37,Elizabeth Olson,Elizabeth,31,Longview,Texas,ESTP,20,8,6th voted out,1st jury member,David,Vuku,NA,Kalokalo,13,0
Survivor: David vs. Goliath,37,John Hennigan,John,38,Los Angeles,California,INFJ,22,9,7th voted out,2nd jury member,Goliath,Tiva,NA,Kalokalo,3,0
Survivor: David vs. Goliath,37,Dan Rengering,Dan,28,Gainesville,Florida,ESFP,25,10,8th voted out,3rd jury member,Goliath,Tiva,NA,Kalokalo,5,1
Survivor: David vs. Goliath,37,Alec Merlino,Alec,24,San Clemente,California,ESFP,28,11,9th voted out,4th jury member,Goliath,Vuku,NA,Kalokalo,9,1
Survivor: David vs. Goliath,37,Carl Boudreaux,Carl,41,Houston,Texas,ISFJ,30,12,10th voted out,5th jury member,David,Vuku,NA,Kalokalo,6,0
Survivor: David vs. Goliath,37,Gabby Pascuzzi,Gabby,25,Denver,Colorado,INFP,32,13,11th voted out,6th jury member,David,Tiva,NA,Kalokalo,2,0
Survivor: David vs. Goliath,37,Christian Hubicki,Christian,32,Tallahassee,Florida,ENFP,35,14,12th voted out,7th jury member,David,Tiva,NA,Kalokalo,18,1
Survivor: David vs. Goliath,37,Davie Rickenbacker,Davie,30,Atlanta,Georgia,ENFP,36,15,13th voted out,8th jury member,David,Vuku,NA,Kalokalo,7,1
Survivor: David vs. Goliath,37,Alison Raybould,Alison,28,Chapel Hill,North Carolina,ENFJ,37,16,14th voted out,9th jury member,Goliath,Tiva,NA,Kalokalo,13,1
Survivor: David vs. Goliath,37,Kara Kay,Kara,30,San Diego,California,ENFJ,38,17,Eliminated,10th jury member,Goliath,Vuku,NA,Kalokalo,0,1
Survivor: David vs. Goliath,37,Angelina Keeley,Angelina,28,San Clemente,California,ENTJ,39,18,2nd runner-up,NA,Goliath,Jabeni,NA,Kalokalo,6,0
Survivor: David vs. Goliath,37,Mike White,Mike,47,Los Angeles,California,INFP,39,19,Runner-up,NA,Goliath,Jabeni,NA,Kalokalo,1,1
Survivor: David vs. Goliath,37,Nick Wilson,Nick,27,Williamsburg,Kentucky,ENTP,39,20,Sole Survivor,NA,David,Jabeni,NA,Kalokalo,0,2
Survivor: Ghost Island,36,Stephanie Gonzalez,Gonzalez,26,Ocala,Florida,ESTJ,3,1,1st voted out,NA,Malolo,NA,NA,NA,8,0
Survivor: Ghost Island,36,Jacob Derwin,Jacob,22,Brooklyn,New York,INFP,6,2,2nd voted out,NA,Malolo,NA,NA,NA,5,0
Survivor: Ghost Island,36,Morgan Ricke,Morgan,29,Orlando,Florida,ENFP,9,3,3rd voted out,NA,Naviti,Naviti,NA,NA,4,0
Survivor: Ghost Island,36,Brendan Shapiro,Brendan,40,Herndon,Virginia,ENFJ,12,4,4th voted out,NA,Malolo,Malolo,NA,NA,5,0
Survivor: Ghost Island,36,Stephanie Johnson,Stephanie,34,Chicago,Illinois,ENFP,14,5,5th voted out,NA,Malolo,Malolo,NA,NA,7,0
Survivor: Ghost Island,36,James Lim,James,24,New York City,New York,INTJ,17,6,6th voted out,NA,Malolo,Naviti,Malolo,NA,6,0
Survivor: Ghost Island,36,Bradley Kleihege,Bradley,26,Los Angeles,California,ENTJ,19,7,7th voted out,NA,Naviti,Malolo,Naviti,NA,8,0
Survivor: Ghost Island,36,Chris Noble,Chris,27,Brooklyn,New York,ESTJ,22,8,8th voted out,1st jury member,Naviti,Naviti,Yanuya,Lavita,10,0
Survivor: Ghost Island,36,Libby Vincek,Libby,24,Houston,Texas,ESFJ,25,9,9th voted out,2nd jury member,Malolo,Naviti,Naviti,Lavita,8,0
Survivor: Ghost Island,36,Desiree Afuye,Desiree,21,Brooklyn,New York,ESFP,27,10,10th voted out,3rd jury member,Naviti,Malolo,Malolo,Lavita,10,0
Survivor: Ghost Island,36,Jenna Bowman,Jenna,23,Venice Beach,California,ISTJ,29,11,11th voted out,4th jury member,Malolo,Malolo,Yanuya,Lavita,3,0
Survivor: Ghost Island,36,Michael Yerger,Michael,18,Los Angeles,California,INFJ,29,12,12th voted out,5th jury member,Malolo,Malolo,Malolo,Lavita,15,0
Survivor: Ghost Island,36,Chelsea Townsend,Chelsea,25,Los Angeles,California,ISFP,32,13,13th voted out,6th jury member,Naviti,Malolo,Naviti,Lavita,5,2
Survivor: Ghost Island,36,Kellyn Bechtold,Kellyn,30,Denver,Colorado,ESFJ,35,14,14th voted out,7th jury member,Naviti,Malolo,Malolo,Lavita,8,1
Survivor: Ghost Island,36,Sebastian Noel,Sebastian,22,Satellite Beach,Florida,ESFP,36,15,15th voted out,8th jury member,Naviti,Malolo,Yanuya,Lavita,5,0
Survivor: Ghost Island,36,Donathan Hurley,Donathan,25,Kimper,Kentucky,ENFP,37,16,16th voted out,9th jury member,Malolo,Naviti,Naviti,Lavita,11,0
Survivor: Ghost Island,36,Angela Perkins,Angela,42,Cincinnati,Ohio,ISTJ,38,17,Eliminated,10th jury member,Naviti,Naviti,Malolo,Lavita,3,1
Survivor: Ghost Island,36,Laurel Johnson,Laurel,29,Minneapolis,Minnesota,INTP,39,18,2nd runner-up,11th jury member,Malolo,Naviti,Yanuya,Lavita,2,1
Survivor: Ghost Island,36,Domenick Abbate,Domenick,38,Nesconset,New York,ESTP,39,19,Runner-up,NA,Naviti,Naviti,Naviti,Lavita,2,3
Survivor: Ghost Island,36,Wendell Holland,Wendell,33,Philadelphia,Pennsylvania,INFJ,39,20,Sole Survivor,NA,Naviti,Naviti,Yanuya,Lavita,5,2
Survivor: Heroes vs. Healers vs. Hustlers,35,Katrina Radke,Katrina,46,Excelsior,Minnesota,ENFP,3,1,1st voted out,NA,Levu,NA,NA,NA,5,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Simone Nguyen,Simone,25,New York City,New York,INTP,6,2,2nd voted out,NA,Yawa,NA,NA,NA,5,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Patrick Bolton,Patrick,24,Auburn,Alabama,ESTP,8,3,3rd voted out,NA,Yawa,NA,NA,NA,5,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Alan Ball,Alan,32,Houston,Texas,ISTP,11,4,4th voted out,NA,Levu,Levu,NA,NA,2,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Roark Luskin,Roark,27,Santa Monica,California,ENTP,14,5,5th voted out,NA,Soko,Soko,NA,NA,3,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Alexandrea Elliott,Ali,24,Los Angeles,California,INFJ,16,6,6th voted out,NA,Yawa,Soko,NA,NA,3,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Jessica Johnston,Jessica,29,Louisville,Kentucky,ENFP,19,7,7th voted out,NA,Soko,Yawa,NA,Solewa,7,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Desiree Williams,Desi,27,Newport News,Virginia,ESFJ,21,8,8th voted out,1st jury member,Soko,Levu,NA,Solewa,11,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Cole Medders,Cole,24,Little Rock,Arkansas,ISFP,24,9,9th voted out,2nd jury member,Soko,Yawa,NA,Solewa,7,1
Survivor: Heroes vs. Healers vs. Hustlers,35,John Hilsabeck,JP,28,Los Angeles,California,ISFP,27,10,10th voted out,3rd jury member,Levu,Soko,NA,Solewa,6,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Joe Mena,Joe,34,Tolland,Connecticut,ESTJ,30,11,11th voted out,4th jury member,Soko,Levu,NA,Solewa,12,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Lauren Rimmer,Lauren,35,Beaufort,North Carolina,ISTJ,33,12,12th voted out,5th jury member,Yawa,Yawa,NA,Solewa,3,1
Survivor: Heroes vs. Healers vs. Hustlers,35,Ashley Nolan,Ashley,26,Satellite Beach,Florida,ESFP,36,13,13th voted out,6th jury member,Levu,Levu,NA,Solewa,8,2
Survivor: Heroes vs. Healers vs. Hustlers,35,Mike Zahalsky,Mike,43,Parkland,Florida,ENFP,37,14,14th voted out,7th jury member,Soko,Yawa,NA,Solewa,9,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Devon Pinto,Devon,23,Solana Beach,California,INFJ,38,15,Eliminated,8th jury member,Yawa,Levu,NA,Solewa,2,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Ryan Ulrich,Ryan,23,North Arlington,New Jersey,ENFP,39,16,2nd runner-up,NA,Yawa,Soko,NA,Solewa,2,0
Survivor: Heroes vs. Healers vs. Hustlers,35,Chrissy Hofbeck,Chrissy,46,Lebanon Township,New Jersey,ENTJ,39,17,Runner-up,NA,Levu,Soko,NA,Solewa,7,4
Survivor: Heroes vs. Healers vs. Hustlers,35,Ben Driebergen,Ben,34,Boise,Idaho,ESFP,39,18,Sole Survivor,NA,Levu,Yawa,NA,Solewa,11,0
Survivor: Game Changers,34,Ciera Eastin,Ciera,27,Salem,Oregon,INFP,3,1,1st voted out,NA,Mana,NA,NA,NA,9,0
Survivor: Game Changers,34,Tony Vlachos,Tony,42,Jersey City,New Jersey,ESTP,6,2,2nd voted out,NA,Mana,NA,NA,NA,7,0
Survivor: Game Changers,34,Caleb Reynolds,Caleb,28,Hopkinsville,Kentucky,ESFP,9,3,3rd voted out,NA,Mana,Mana,NA,NA,5,0
Survivor: Game Changers,34,Malcolm Freberg,Malcolm,29,Hermosa Beach,California,ENTP,11,4,4th voted out,NA,Mana,Nuku,NA,NA,5,0
Survivor: Game Changers,34,James Thomas Jr.,J.T.,31,Mobile,Alabama,ESTP,13,5,5th voted out,NA,Nuku,Nuku,NA,NA,3,0
Survivor: Game Changers,34,Sandra Diaz-Twine,Sandra,41,Fayetteville,North Carolina,ESTP,16,6,6th voted out,NA,Mana,Nuku,NA,NA,5,0
Survivor: Game Changers,34,Jeff Varner,Jeff,50,High Point,North Carolina,ENFP,18,7,7th voted out,NA,Mana,Nuku,NA,NA,6,0
Survivor: Game Changers,34,Hali Ford,Hali,26,Knoxville,Tennessee,INFP,21,8,8th voted out,1st jury member,Mana,Mana,NA,Maku Maku,8,0
Survivor: Game Changers,34,Oscar Lusth,Ozzy,34,Venice,California,ISFP,24,9,9th voted out,2nd jury member,Nuku,Tavua,NA,Maku Maku,6,0
Survivor: Game Changers,34,Debbie Wanner,Debbie,51,Reading,Pennsylvania,ENTP,26,10,10th voted out,3rd jury member,Nuku,Mana,NA,Maku Maku,6,1
Survivor: Game Changers,34,Zeke Smith,Zeke,28,Brooklyn,New York,INTP,29,11,11th voted out,4th jury member,Nuku,Tavua,NA,Maku Maku,11,0
Survivor: Game Changers,34,Sierra Dawn Thomas,Sierra,29,Roy,Utah,ISFJ,32,12,12th voted out,5th jury member,Nuku,Mana,NA,Maku Maku,15,0
Survivor: Game Changers,34,Andrea Boehlke,Andrea,27,New York City,New York,ENFP,33,13,13th voted out,6th jury member,Nuku,Tavua,NA,Maku Maku,14,2
Survivor: Game Changers,34,Michaela Bradshaw,Michaela,25,Fort Worth,Texas,ISTJ,35,14,14th voted out,7th jury member,Mana,Nuku,NA,Maku Maku,10,0
Survivor: Game Changers,34,Cirie Fields,Cirie,45,Norwalk,Connecticut,ENFJ,36,15,Eliminated,8th jury member,Nuku,Tavua,NA,Maku Maku,0,0
Survivor: Game Changers,34,Aubry Bracco,Aubry,30,Cambridge,Massachusetts,INFJ,37,16,15th voted out,9th jury member,Mana,Nuku,NA,Maku Maku,9,1
Survivor: Game Changers,34,Tai Trang,Tai,52,San Francisco,California,INFP,38,17,16th voted out,10th jury member,Nuku,Mana,NA,Maku Maku,12,1
Survivor: Game Changers,34,Troy Robertson,Troyzan,54,Miami,Florida,ESFP,39,18,2nd runner-up,NA,Mana,Tavua,NA,Maku Maku,2,1
Survivor: Game Changers,34,Brad Culpepper,Brad,47,Tampa,Florida,ESTJ,39,19,Runner-up,NA,Nuku,Mana,NA,Maku Maku,2,5
Survivor: Game Changers,34,Sarah Lacina,Sarah,32,Marion,Iowa,ENTJ,39,20,Sole Survivor,NA,Nuku,Tavua,NA,Maku Maku,3,0
Survivor: Millennials vs. Gen X,33,Rachel Ako,Rachel,37,Los Angeles,California,ENFP,4,1,1st voted out,NA,Takali,NA,NA,NA,5,0
Survivor: Millennials vs. Gen X,33,Mari Takahashi,Mari,31,Los Angeles,California,ESFP,7,2,2nd voted out,NA,Vanua,NA,NA,NA,7,0
Survivor: Millennials vs. Gen X,33,Paul Wachter,Paul,52,Sugarloaf Key,Florida,ESTJ,10,3,3rd voted out,NA,Takali,NA,NA,NA,6,0
Survivor: Millennials vs. Gen X,33,Lucy Huang,Lucy,42,Diamond Bar,California,ISTJ,12,4,4th voted out,NA,Takali,NA,NA,NA,2,0
Survivor: Millennials vs. Gen X,33,Ciandre Taylor,CeCe,39,Granada Hills,California,ISFJ,15,5,5th voted out,NA,Takali,Vanua,NA,NA,11,0
Survivor: Millennials vs. Gen X,33,Jessica Figueroa,Figgy,23,Nashville,Tennessee,ESFP,18,6,6th voted out,NA,Vanua,Takali,NA,NA,6,0
Survivor: Millennials vs. Gen X,33,Michaela Bradshaw,Michaela,25,Fort Worth,Texas,ISTJ,20,7,7th voted out,NA,Vanua,Ikabula,NA,NA,4,0
Survivor: Millennials vs. Gen X,33,Michelle Schubert,Michelle,28,Yakima,Washington,INFP,23,8,8th voted out,1st jury member,Vanua,Vanua,NA,Vinaka,10,0
Survivor: Millennials vs. Gen X,33,Taylor Lee Stocker,Taylor,24,Post Falls,Idaho,INFP,25,9,9th voted out,2nd jury member,Vanua,Takali,NA,Vinaka,7,0
Survivor: Millennials vs. Gen X,33,Chris Hammons,Chris,38,Moore,Oklahoma,ISTJ,28,10,10th voted out,3rd jury member,Takali,Vanua,NA,Vinaka,7,0
Survivor: Millennials vs. Gen X,33,Jessica Lewis,Jessica,37,Voorheesville,New York,ENFJ,30,11,Eliminated,4th jury member,Takali,Takali,NA,Vinaka,9,0
Survivor: Millennials vs. Gen X,33,Zeke Smith,Zeke,28,Brooklyn,New York,INTP,33,12,12th voted out,5th jury member,Vanua,Vanua,NA,Vinaka,14,0
Survivor: Millennials vs. Gen X,33,Will Wahl,Will,18,Long Valley,New Jersey,INTP,34,13,13th voted out,6th jury member,Vanua,Ikabula,NA,Vinaka,6,1
Survivor: Millennials vs. Gen X,33,Sunday Burquest,Sunday,45,Otsego,Minnesota,ENFJ,35,14,14th voted out,7th jury member,Takali,Ikabula,NA,Vinaka,5,0
Survivor: Millennials vs. Gen X,33,Justin Starrett,Jay,27,Fort Lauderdale,Florida,ESTP,36,15,15th voted out,8th jury member,Vanua,Ikabula,NA,Vinaka,10,2
Survivor: Millennials vs. Gen X,33,Bret LaBelle,Bret,42,Dedham,Massachusetts,ESFJ,37,16,16th voted out,9th jury member,Takali,Ikabula,NA,Vinaka,5,0
Survivor: Millennials vs. Gen X,33,David Wright,David,42,Sherman Oaks,California,INFP,38,17,17th voted out,10th jury member,Takali,Vanua,NA,Vinaka,10,2
Survivor: Millennials vs. Gen X,33,Hannah Shapiro,Hannah,24,West Hollywood,California,ENFP,39,18,Co-runner-up,NA,Vanua,Ikabula,NA,Vinaka,13,0
Survivor: Millennials vs. Gen X,33,Ken McNickle,Ken,33,Denver,Colorado,ISFP,39,19,Co-runner-up,NA,Takali,Takali,NA,Vinaka,3,4
Survivor: Millennials vs. Gen X,33,Adam Klein,Adam,25,San Francisco,California,ENTP,39,20,Sole Survivor,NA,Vanua,Takali,NA,Vinaka,6,1
Survivor: Kaoh Rong,32,Darnell Hamilton,Darnell,27,Chicago,Illinois,ISFP,3,1,1st voted out,NA,To Tang,NA,NA,NA,7,0
Survivor: Kaoh Rong,32,Jennifer Lanzetti,Jennifer,38,Salt Lake City,Utah,ESTP,6,2,2nd voted out,NA,To Tang,NA,NA,NA,3,0
Survivor: Kaoh Rong,32,Elisabeth Markham,Liz,27,New York City,New York,INTJ,8,3,3rd voted out,NA,Chan Loh,NA,NA,NA,5,0
Survivor: Kaoh Rong,32,Caleb Reynolds,Caleb,27,Hopkinsville,Kentucky,ESFP,9,4,Medically evacuated,NA,Gondol,NA,NA,NA,0,0
Survivor: Kaoh Rong,32,Alecia Holden,Alecia,24,Dallas,Texas,ESFP,11,5,4th voted out,NA,To Tang,NA,NA,NA,8,0
Survivor: Kaoh Rong,32,Anna Khait,Anna,26,Brooklyn,New York,ENFP,13,6,5th voted out,NA,Gondol,Gondol,NA,NA,5,0
Survivor: Kaoh Rong,32,Peter Baggenstos,Peter,34,Minneapolis,Minnesota,ENTJ,16,7,6th voted out,NA,Chan Loh,Gondol,NA,NA,7,0
