season_name,season,episode,title,day,challenge_type,winners,winning_tribe
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Tyson,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Sandra,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Yul,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Wendell,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Sophie,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Kim,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Nick,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Sarah,Dakal
Survivor: Winners at War,40,2,It's Like a Survivor Economy,6,immunity,Tony,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Tyson,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Sandra,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Yul,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Wendell,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Sophie,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Kim,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Nick,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Sarah,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,reward,Tony,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Tyson,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Sandra,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Yul,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Wendell,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Sophie,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Kim,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Nick,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Sarah,Dakal
Survivor: Winners at War,40,3,Out for Blood,9,immunity,Tony,Dakal
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Rob,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Parvati,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Adam,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Jeremy,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Denise,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Ben,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Michele,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,reward,Natalie,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Rob,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Parvati,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Adam,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Jeremy,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Denise,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Ben,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Michele,Sele
Survivor: Winners at War,40,4,I Like Revenge,11,immunity,Natalie,Sele
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Parvati,Sele
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Yul,Sele
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Wendell,Sele
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Nick,Sele
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Michele,Sele
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Sandra,Dakal
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Kim,Dakal
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Jeremy,Dakal
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Denise,Dakal
Survivor: Winners at War,40,5,The Buddy System on Steroids,14,immunity,Tony,Dakal
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Adam,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Sophie,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Ben,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Sarah,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Adam,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Sophie,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Ben,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,reward,Sarah,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Adam,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sophie,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Ben,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sarah,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Adam,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sophie,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Ben,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sarah,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Adam,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sophie,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Ben,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sarah,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Adam,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sophie,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Ben,Yara
Survivor: Winners at War,40,6,Quick on the Draw,16,immunity,Sarah,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Adam,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Sophie,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Ben,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Sarah,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Yul,Sele
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Wendell,Sele
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Nick,Sele
Survivor: Winners at War,40,7,We're in the Majors,18,reward,Michele,Sele
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Adam,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Sophie,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Ben,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Sarah,Yara
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Kim,Dakal
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Jeremy,Dakal
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Denise,Dakal
Survivor: Winners at War,40,7,We're in the Majors,18,immunity,Tony,Dakal
Survivor: Winners at War,40,8,This is Where the Battle Begins,21,reward,Tyson,NA
Survivor: Winners at War,40,8,This is Where the Battle Begins,21,immunity,Denise,NA
Survivor: Winners at War,40,8,This is Where the Battle Begins,21,immunity,Jeremy,NA
Survivor: Winners at War,40,9,War is Not Pretty,23,reward,Ben,NA
Survivor: Winners at War,40,9,War is Not Pretty,23,reward,Kim,NA
Survivor: Winners at War,40,9,War is Not Pretty,23,reward,Michele,NA
Survivor: Winners at War,40,9,War is Not Pretty,23,reward,Sarah,NA
Survivor: Winners at War,40,9,War is Not Pretty,23,reward,Sophie,NA
Survivor: Winners at War,40,9,War is Not Pretty,23,reward,Nick,NA
Survivor: Winners at War,40,9,War is Not Pretty,23,immunity,Kim,NA
Survivor: Winners at War,40,10,The Full Circle,25,immunity,Tony,NA
Survivor: Winners at War,40,11,This is Extortion,28,reward,Ben,NA
Survivor: Winners at War,40,11,This is Extortion,28,reward,Kim,NA
Survivor: Winners at War,40,11,This is Extortion,28,reward,Sophie,NA
Survivor: Winners at War,40,11,This is Extortion,28,immunity,Tony,NA
Survivor: Winners at War,40,12,Friendly Fire,29,immunity,Denise,NA
Survivor: Winners at War,40,12,Friendly Fire,29,immunity,Tony,NA
Survivor: Winners at War,40,13,The Penultimate Step of the War,31,immunity,Nick,NA
Survivor: Winners at War,40,13,The Penultimate Step of the War,34,immunity,Michele,NA
Survivor: Winners at War,40,14,It All Boils Down to This,36,reward,Natalie,NA
Survivor: Winners at War,40,14,It All Boils Down to This,36,reward,Michele,NA
Survivor: Winners at War,40,14,It All Boils Down to This,36,reward,Denise,NA
Survivor: Winners at War,40,14,It All Boils Down to This,36,reward,Sarah,NA
Survivor: Winners at War,40,14,It All Boils Down to This,36,immunity,Michele,NA
Survivor: Winners at War,40,14,It All Boils Down to This,37,immunity,Tony,NA
Survivor: Winners at War,40,14,It All Boils Down to This,38,immunity,Natalie,NA
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Molly,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Jason,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Jack,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Kellee,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Jamal,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Dan,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Janet,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Lauren,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Noura,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,reward,Tommy,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Molly,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Jason,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Jack,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Kellee,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Jamal,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Dan,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Janet,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Lauren,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Noura,Vokai
Survivor: Island of the Idols,39,1,I Vote You Out and That's It,3,immunity,Tommy,Vokai
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Vince,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Chelsea,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Tom,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Aaron,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Missy,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Elizabeth,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Karishma,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Elaine,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,reward,Dean,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Vince,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Chelsea,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Tom,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Aaron,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Missy,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Elizabeth,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Karishma,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Elaine,Lairo
Survivor: Island of the Idols,39,2,"YOLO, Let's Play!",6,immunity,Dean,Lairo
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Jason,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Jack,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Kellee,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Jamal,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Dan,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Janet,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Lauren,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Noura,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,reward,Tommy,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Jason,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Jack,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Kellee,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Jamal,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Dan,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Janet,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Lauren,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Noura,Vokai
Survivor: Island of the Idols,39,3,Honesty Would Be Chill,8,immunity,Tommy,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Jason,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Jack,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Kellee,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Jamal,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Dan,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Janet,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Lauren,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Noura,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,reward,Tommy,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Jason,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Jack,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Kellee,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Jamal,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Dan,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Janet,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Lauren,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Noura,Vokai
Survivor: Island of the Idols,39,4,Plan Z,11,immunity,Tommy,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Jason,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Aaron,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Missy,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Elizabeth,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Elaine,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Dan,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Lauren,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,reward,Tommy,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Jason,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Aaron,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Missy,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Elizabeth,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Elaine,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Dan,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Lauren,Vokai
Survivor: Island of the Idols,39,5,Don't Bite the Hand That Feeds You,14,immunity,Tommy,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Jason,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Aaron,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Missy,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Elizabeth,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Elaine,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Dan,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Lauren,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,reward,Tommy,Vokai
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,immunity,Jack,Lairo
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,immunity,Kellee,Lairo
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,immunity,Jamal,Lairo
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,immunity,Karishma,Lairo
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,immunity,Janet,Lairo
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,immunity,Noura,Lairo
Survivor: Island of the Idols,39,6,Suck It Up Buttercup,16,immunity,Dean,Lairo
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,reward,Aaron,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,reward,Missy,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,reward,Elizabeth,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,reward,Elaine,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,reward,Dan,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,reward,Lauren,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,reward,Tommy,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,immunity,Aaron,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,immunity,Missy,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,immunity,Elizabeth,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,immunity,Elaine,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,immunity,Dan,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,immunity,Lauren,Vokai
Survivor: Island of the Idols,39,7,"I Was Born at Night, But Not Last Night",19,immunity,Tommy,Vokai
Survivor: Island of the Idols,39,8,We Made It to the Merge!,22,immunity,Aaron,NA
Survivor: Island of the Idols,39,8,We Made It to the Merge!,24,immunity,Aaron,NA
Survivor: Island of the Idols,39,9,Two for the Price of One,27,reward,Elaine,NA
Survivor: Island of the Idols,39,9,Two for the Price of One,27,reward,Elizabeth,NA
Survivor: Island of the Idols,39,9,Two for the Price of One,27,reward,Karishma,NA
Survivor: Island of the Idols,39,9,Two for the Price of One,27,reward,Missy,NA
Survivor: Island of the Idols,39,9,Two for the Price of One,27,reward,Tommy,NA
Survivor: Island of the Idols,39,9,Two for the Price of One,27,immunity,Noura,NA
Survivor: Island of the Idols,39,9,Two for the Price of One,27,immunity,Elaine,NA
Survivor: Island of the Idols,39,10,Bring on the Bacon,30,immunity,Noura,NA
Survivor: Island of the Idols,39,11,A Very Simple Plan,32,reward,Janet,NA
Survivor: Island of the Idols,39,11,A Very Simple Plan,32,reward,Tommy,NA
Survivor: Island of the Idols,39,11,A Very Simple Plan,32,reward,Dan,NA
Survivor: Island of the Idols,39,11,A Very Simple Plan,32,reward,Lauren,NA
Survivor: Island of the Idols,39,11,A Very Simple Plan,32,immunity,Lauren,NA
Survivor: Island of the Idols,39,12,Just Go For It,35,reward,Tommy,NA
Survivor: Island of the Idols,39,12,Just Go For It,35,reward,Dean,NA
Survivor: Island of the Idols,39,12,Just Go For It,35,reward,Noura,NA
Survivor: Island of the Idols,39,12,Just Go For It,35,immunity,Dean,NA
Survivor: Island of the Idols,39,12,Just Go For It,36,immunity,None,NA
Survivor: Island of the Idols,39,13,"Mama, Look at Me Now",37,reward,Dean,NA
Survivor: Island of the Idols,39,13,"Mama, Look at Me Now",37,reward,Noura,NA
Survivor: Island of the Idols,39,13,"Mama, Look at Me Now",37,immunity,Dean,NA
Survivor: Island of the Idols,39,13,"Mama, Look at Me Now",38,immunity,Noura,NA
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Aubry,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Joe,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Eric,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Julia,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Ron,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Aurora,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Victoria,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Julie,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,reward,Gavin,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Aubry,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Joe,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Eric,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Julia,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Ron,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Aurora,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Victoria,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Julie,Kama
Survivor: Edge of Extinction,38,1,It Smells Like Success,3,immunity,Gavin,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Aubry,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Joe,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Eric,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Julia,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Ron,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Aurora,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Victoria,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Julie,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,reward,Gavin,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Aubry,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Joe,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Eric,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Julia,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Ron,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Aurora,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Victoria,Kama
Survivor: Edge of Extinction,38,2,One of Us is Going to Win the War,6,immunity,Julie,Kama
